-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.15.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.15.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. of constraints in utilisation,Constraints in utilisation - Inadequate power supply,Constraints in utilisation - Mechanical breakdown,Constraints in utilisation - Less water discharge,Constraints in utilisation - Storage siltation,Constraints in utilisation - Channel break down,Constraints in utilisation - Other reasons,Total,Total in use
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,0,0,0,0,3,0,0,3,3
ANDHRA PRADESH,KARIMNAGAR,ELEGADE,36,0,0,0,0,0,0,0,36
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,4,0,0,33,0,0,0,33,37
ANDHRA PRADESH,KARIMNAGAR,JULAPALLE,32,0,0,0,0,0,0,0,32
ANDHRA PRADESH,KARIMNAGAR,KAMANPUR,27,0,0,0,89,0,0,89,116
ANDHRA PRADESH,KARIMNAGAR,MALHARRAO,0,0,0,0,2,0,0,2,2
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,0,0,0,0,1,1,0,2,2
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MANTHANI,23,11,7,16,10,0,0,44,67
ANDHRA PRADESH,KARIMNAGAR,ODELA,20,0,0,0,0,0,0,0,20
ANDHRA PRADESH,KARIMNAGAR,SRIRAMPUR,27,0,0,0,0,0,0,0,27
ANDHRA PRADESH,KARIMNAGAR,SULTANABAD,20,0,0,2,2,0,0,4,24
ANDHRA PRADESH,KARIMNAGAR,THIMMAPUR,0,0,0,5,6,0,0,11,11
ANDHRA PRADESH,KARIMNAGAR,VELGATOOR,10,12,1,0,35,0,0,48,58
ANDHRA PRADESH,KARIMNAGAR,YELLA REDDI PETA,28,0,0,0,0,0,0,0,28
ANDHRA PRADESH,KHAMMAM,ASWAPURAM,76,0,0,2,0,0,0,2,78
ANDHRA PRADESH,KHAMMAM,ASWARAOPETA,65,11,0,0,0,0,0,11,76
ANDHRA PRADESH,KHAMMAM,BAYYARAM,30,0,0,0,0,0,0,0,30
ANDHRA PRADESH,KHAMMAM,BHADRACHALAM,46,9,0,0,0,0,0,9,55
ANDHRA PRADESH,KHAMMAM,BONAKAL,105,23,0,9,0,0,0,32,137
ANDHRA PRADESH,KHAMMAM,BURGAMPADU,64,40,0,1,0,0,0,41,105
ANDHRA PRADESH,KHAMMAM,CHANDRUGONDA,1,0,0,0,0,0,0,0,1
ANDHRA PRADESH,KHAMMAM,CHERLA,5,2,0,0,0,0,0,2,7
ANDHRA PRADESH,KHAMMAM,CHINTHAKANI,3,0,0,0,0,0,0,0,3
ANDHRA PRADESH,KHAMMAM,CHINTUR,72,140,0,0,0,0,0,140,212
ANDHRA PRADESH,KHAMMAM,DUMMUGUDEM,21,1,0,2,0,0,0,3,24
ANDHRA PRADESH,KHAMMAM,ENKURU,59,0,0,0,0,0,0,0,59
ANDHRA PRADESH,KHAMMAM,GARLA,9,51,0,19,2,0,0,72,81
ANDHRA PRADESH,KHAMMAM,GUNDALA,6,0,0,0,0,0,0,0,6
ANDHRA PRADESH,KHAMMAM,KALLURU,85,8,0,1,0,0,0,9,94
ANDHRA PRADESH,KHAMMAM,KHAMMAM RURAL,239,36,0,5,0,0,0,41,280
ANDHRA PRADESH,KHAMMAM,KHAMMAM URBAN,84,0,0,1,0,0,0,1,85
ANDHRA PRADESH,KHAMMAM,KONIJERLA,1,1,0,0,0,0,0,1,2
ANDHRA PRADESH,KHAMMAM,KOTHAGUDEM,340,23,0,0,0,0,0,23,363
ANDHRA PRADESH,KHAMMAM,KUKUNOOR,160,4,0,29,0,0,0,33,193
ANDHRA PRADESH,KHAMMAM,KUNAVARAM,92,18,0,0,0,0,0,18,110
ANDHRA PRADESH,KHAMMAM,KUSUMANCHI,1,0,0,1,0,0,0,1,2
ANDHRA PRADESH,KHAMMAM,MADHIRA,187,34,0,0,0,0,0,34,221
ANDHRA PRADESH,KHAMMAM,MUDIGONDA,4,0,0,3,0,0,0,3,7
ANDHRA PRADESH,KHAMMAM,MULAKALAPALLE,54,136,0,0,0,0,0,136,190
ANDHRA PRADESH,KHAMMAM,NELAKONDAPALLE,4,0,0,0,0,0,0,0,4
ANDHRA PRADESH,KHAMMAM,PALAWANCHA,279,17,0,5,0,0,0,22,301
ANDHRA PRADESH,KHAMMAM,PENUBALLI,27,24,0,0,0,0,0,24,51
ANDHRA PRADESH,KHAMMAM,SATHUPALLE,36,9,0,7,0,0,0,16,52
ANDHRA PRADESH,KHAMMAM,SINGARENI,28,1,0,0,0,0,0,1,29
ANDHRA PRADESH,KHAMMAM,TEKULAPALLE,185,6,0,7,0,0,0,13,198
ANDHRA PRADESH,KHAMMAM,THALLADA,239,28,0,1,0,0,0,29,268
ANDHRA PRADESH,KHAMMAM,THIRUMALAYAPALEM,0,0,0,1,0,0,0,1,1
ANDHRA PRADESH,KHAMMAM,VARARAMACHANDRAPURAM,0,268,0,0,0,0,0,268,268
ANDHRA PRADESH,KHAMMAM,VELAIRPAD,67,0,0,10,0,0,0,10,77
ANDHRA PRADESH,KHAMMAM,VEMSOOR,1,6,0,0,0,0,0,6,7
ANDHRA PRADESH,KHAMMAM,VENKATAPURAM,153,75,0,0,0,0,0,75,228
ANDHRA PRADESH,KHAMMAM,WAZEED,12,0,0,0,0,0,0,0,12
ANDHRA PRADESH,KHAMMAM,WYRA,122,6,0,3,0,0,0,9,131
ANDHRA PRADESH,KHAMMAM,YELLANDU,8,0,0,0,0,0,0,0,8
ANDHRA PRADESH,KHAMMAM,YERRUPALEM,36,0,0,0,0,0,0,0,36
ANDHRA PRADESH,KRISHNA,AGIRIPALLE,0,0,0,1,0,0,0,1,1
ANDHRA PRADESH,KRISHNA,BAPULAPADU,10,1,1,0,0,0,0,2,12
ANDHRA PRADESH,KRISHNA,CHANDARLAPADU,0,3,1,2,1,0,0,7,7
ANDHRA PRADESH,KRISHNA,CHATRAI,0,1,0,0,0,0,0,1,1
ANDHRA PRADESH,KRISHNA,G KONDURU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,GAMPALAGUDEM,2,1,2,0,0,0,0,3,5
ANDHRA PRADESH,KRISHNA,GANNAVARAM,1,0,0,0,0,0,4,4,5
ANDHRA PRADESH,KRISHNA,IBRAHIMPATNAM,3,1,0,0,0,0,0,1,4
ANDHRA PRADESH,KRISHNA,JAGGAYYAPETA,4,3,0,1,0,0,4,8,12
ANDHRA PRADESH,KRISHNA,KAIKALUR,1,1,0,0,0,0,0,1,2
ANDHRA PRADESH,KRISHNA,KALIDINDI,0,0,0,0,0,0,0,0,0
