-----
{
 "description": "The table refers to Block wise Distribution of Dugwells in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.15.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.15.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No Constraints in utilisation,Constraints in utilisation - Inadequate power supply,Constraints in utilisation - Mechanical break down,Constraints in utilisation - Less water discharge,Constraints in utilisation - Other reason,Total,Total in use
ANDHRA PRADESH,VISAKHAPATNAM,SABBAVARAM,322,0,972,301,26,1299,1621
ANDHRA PRADESH,VISAKHAPATNAM,VISAKHAPATNAM,11,0,55,0,2,57,68
ANDHRA PRADESH,VISAKHAPATNAM,YELAMANCHILI,745,0,15,31,0,46,791
ANDHRA PRADESH,VIZIANAGARAM,BADANGI,477,0,0,464,0,464,941
ANDHRA PRADESH,VIZIANAGARAM,BALAJIPETA,362,0,0,86,3,89,451
ANDHRA PRADESH,VIZIANAGARAM,BHOGHAPURAM,97,0,5,1022,6,1033,1130
ANDHRA PRADESH,VIZIANAGARAM,BOBBILI,1194,0,0,141,0,141,1335
ANDHRA PRADESH,VIZIANAGARAM,BONDAPALLE,74,0,0,576,0,576,650
ANDHRA PRADESH,VIZIANAGARAM,CHEEPURUPALLE,182,0,5,2283,0,2288,2470
ANDHRA PRADESH,VIZIANAGARAM,DATTIRAJERU,648,1142,1,66,0,1209,1857
ANDHRA PRADESH,VIZIANAGARAM,DENKADA,182,0,0,732,5,737,919
ANDHRA PRADESH,VIZIANAGARAM,GAJAPATHINAGARAM,462,0,0,311,10,321,783
ANDHRA PRADESH,VIZIANAGARAM,GANTYADA,49,0,21,129,268,418,467
ANDHRA PRADESH,VIZIANAGARAM,GARIVIDI,354,1,0,1820,0,1821,2175
ANDHRA PRADESH,VIZIANAGARAM,GARUGUBILLI,547,0,0,62,5,67,614
ANDHRA PRADESH,VIZIANAGARAM,GUMMALAKSHMIPURAM,4,0,0,0,0,0,4
ANDHRA PRADESH,VIZIANAGARAM,GURLA,1330,0,0,763,0,763,2093
ANDHRA PRADESH,VIZIANAGARAM,JAMI,512,0,0,47,0,47,559
ANDHRA PRADESH,VIZIANAGARAM,JIYYAMMA VALASA,25,0,0,6,0,6,31
ANDHRA PRADESH,VIZIANAGARAM,KOMARADA,70,0,0,41,7,48,118
ANDHRA PRADESH,VIZIANAGARAM,KOTHAVALASA,72,0,0,860,1,861,933
ANDHRA PRADESH,VIZIANAGARAM,KURUPAM,10,0,0,0,0,0,10
ANDHRA PRADESH,VIZIANAGARAM,LAKKAVARAPUKOTA,1,0,1,520,0,521,522
ANDHRA PRADESH,VIZIANAGARAM,MAKKUVA,176,0,0,43,0,43,219
ANDHRA PRADESH,VIZIANAGARAM,MENTADA,37,0,0,478,0,478,515
ANDHRA PRADESH,VIZIANAGARAM,MERAKAMUDIDAM,96,1,2,1264,0,1267,1363
ANDHRA PRADESH,VIZIANAGARAM,NELLIMARLA,357,0,1,1571,0,1572,1929
ANDHRA PRADESH,VIZIANAGARAM,PACHIPENTA,0,0,0,47,0,47,47
ANDHRA PRADESH,VIZIANAGARAM,PARVATHIPURAM,24,1,0,4,672,677,701
ANDHRA PRADESH,VIZIANAGARAM,PUSAPATIREGA,66,44,0,2477,0,2521,2587
ANDHRA PRADESH,VIZIANAGARAM,RAMABHADRAPURAM,405,0,0,440,0,440,845
ANDHRA PRADESH,VIZIANAGARAM,SALUR,126,0,0,13,0,13,139
ANDHRA PRADESH,VIZIANAGARAM,SEETHANAGARAM,57,0,0,12,501,513,570
ANDHRA PRADESH,VIZIANAGARAM,SRUNGAVARAPUKOTA,35,0,0,59,0,59,94
ANDHRA PRADESH,VIZIANAGARAM,THERLAM,1069,0,0,196,0,196,1265
ANDHRA PRADESH,VIZIANAGARAM,VEPADA,215,0,0,326,0,326,541
ANDHRA PRADESH,VIZIANAGARAM,VIZIANAGARAM,167,7,3,592,17,619,786
ANDHRA PRADESH,WARANGAL,ATMAKUR,3266,0,0,390,0,390,3656
ANDHRA PRADESH,WARANGAL,BACHANNAPETA,738,0,0,1851,0,1851,2589
ANDHRA PRADESH,WARANGAL,BHUPALPALLE,1383,0,0,358,0,358,1741
ANDHRA PRADESH,WARANGAL,CHENNARAOPET,3367,0,0,56,0,56,3423
ANDHRA PRADESH,WARANGAL,CHERIYAL,1013,0,0,684,0,684,1697
ANDHRA PRADESH,WARANGAL,CHITYAL,4468,0,0,818,0,818,5286
ANDHRA PRADESH,WARANGAL,DEVARUPPULA,738,0,0,840,0,840,1578
ANDHRA PRADESH,WARANGAL,DHARMASAGAR,4619,0,0,671,0,671,5290
ANDHRA PRADESH,WARANGAL,DORNAKAL,587,0,0,2909,0,2909,3496
ANDHRA PRADESH,WARANGAL,DUGGONDI,3056,0,0,704,0,704,3760
ANDHRA PRADESH,WARANGAL,ETURNAGARAM,32,0,0,0,0,0,32
ANDHRA PRADESH,WARANGAL,GEESUGONDA,3560,0,0,239,0,239,3799
ANDHRA PRADESH,WARANGAL,GHANAPUR,469,0,0,206,0,206,675
ANDHRA PRADESH,WARANGAL,GHANPUR(stn),2023,0,0,3902,0,3902,5925
ANDHRA PRADESH,WARANGAL,GOVINDARAOPET,99,0,0,6,0,6,105
ANDHRA PRADESH,WARANGAL,GUDUR,1751,0,0,1286,0,1286,3037
ANDHRA PRADESH,WARANGAL,HANAMKONDA,1688,0,0,1440,0,1440,3128
ANDHRA PRADESH,WARANGAL,HASANPARTHY,2847,0,0,328,0,328,3175
ANDHRA PRADESH,WARANGAL,JANGAON,1959,0,0,372,0,372,2331
ANDHRA PRADESH,WARANGAL,KESAMUDRAM,3421,0,0,1021,0,1021,4442
ANDHRA PRADESH,WARANGAL,KHANAPUR,1305,0,0,7,0,7,1312
ANDHRA PRADESH,WARANGAL,KODAKANDLA,2217,0,0,577,0,577,2794
ANDHRA PRADESH,WARANGAL,KOTHAGUDEM,219,0,0,31,0,31,250
ANDHRA PRADESH,WARANGAL,KURAVI,2928,0,0,2270,0,2270,5198
ANDHRA PRADESH,WARANGAL,LINGALA GHANPUR,1657,0,0,624,0,624,2281
ANDHRA PRADESH,WARANGAL,MADDUR,562,0,0,1187,0,1187,1749
ANDHRA PRADESH,WARANGAL,MAHABUBABAD,3844,0,0,422,0,422,4266
ANDHRA PRADESH,WARANGAL,MANGAPET,320,0,0,43,0,43,363
ANDHRA PRADESH,WARANGAL,MARIPEDA,3980,0,0,2123,0,2123,6103
ANDHRA PRADESH,WARANGAL,MOGULLAPALLE,3902,0,0,390,0,390,4292
ANDHRA PRADESH,WARANGAL,MULUG,854,0,0,20,0,20,874
ANDHRA PRADESH,WARANGAL,NALLABELLY,1750,0,0,406,0,406,2156
ANDHRA PRADESH,WARANGAL,NARMETTA,2725,0,0,29,0,29,2754
ANDHRA PRADESH,WARANGAL,NARSAMPET,2585,0,0,93,0,93,2678
ANDHRA PRADESH,WARANGAL,NARSIMHULAPET,3425,0,0,536,0,536,3961
ANDHRA PRADESH,WARANGAL,NEKKONDA,2891,0,0,426,0,426,3317
ANDHRA PRADESH,WARANGAL,NELLIKUDUR,3173,0,0,1111,0,1111,4284
ANDHRA PRADESH,WARANGAL,PALAKURTHI,1956,0,0,2000,0,2000,3956
ANDHRA PRADESH,WARANGAL,PARKAL,4837,0,0,212,0,212,5049
ANDHRA PRADESH,WARANGAL,PARVATHAGIRI,3372,0,0,233,0,233,3605
ANDHRA PRADESH,WARANGAL,RAGHUNATHA PALLE,1024,0,0,1516,0,1516,2540
ANDHRA PRADESH,WARANGAL,RAIPARTHY,1339,0,0,1580,0,1580,2919
ANDHRA PRADESH,WARANGAL,REGONDA,4422,0,0,33,0,33,4455
ANDHRA PRADESH,WARANGAL,SANGEM,2677,0,0,1405,0,1405,4082
ANDHRA PRADESH,WARANGAL,SHAYAMPET,2436,0,0,111,0,111,2547
ANDHRA PRADESH,WARANGAL,TADVAI,135,0,0,62,0,62,197
ANDHRA PRADESH,WARANGAL,THORRUR,2247,0,0,1649,0,1649,3896
ANDHRA PRADESH,WARANGAL,VENKATAPUR,338,0,0,1,0,1,339
ANDHRA PRADESH,WARANGAL,WARDHANNAPET,4070,0,0,784,0,784,4854
ANDHRA PRADESH,WARANGAL,ZAFFERGADH,1125,0,0,1940,0,1940,3065
ANDHRA PRADESH,WEST GODAVARI,BHIMADOLE,83,25,0,112,0,137,220
ANDHRA PRADESH,WEST GODAVARI,BUTTAYAGUDEM,64,4,1,24,19,48,112
ANDHRA PRADESH,WEST GODAVARI,CHINTALAPUDI,687,0,0,0,0,0,687
ANDHRA PRADESH,WEST GODAVARI,DENDULURU,492,21,0,94,0,115,607
ANDHRA PRADESH,WEST GODAVARI,DEVARAPALLE,102,255,1,0,0,256,358
ANDHRA PRADESH,WEST GODAVARI,DWARAKA TIRUMALA,417,1,0,0,0,1,418
ANDHRA PRADESH,WEST GODAVARI,GOPALAPURAM,264,89,13,290,185,577,841
ANDHRA PRADESH,WEST GODAVARI,JANGAREDDIGUDEM,792,6,0,7,1,14,806
ANDHRA PRADESH,WEST GODAVARI,JEELUGUMILLI,0,4,0,0,0,4,4
ANDHRA PRADESH,WEST GODAVARI,KAMAVARAPUKOTA,260,0,0,1,0,1,261
ANDHRA PRADESH,WEST GODAVARI,KOYYALAGUDEM,707,105,1,12,0,118,825
ANDHRA PRADESH,WEST GODAVARI,LINGAPALEM,1837,0,0,4,0,4,1841
ANDHRA PRADESH,WEST GODAVARI,PEDAVEGI,900,0,0,0,0,0,900
ANDHRA PRADESH,WEST GODAVARI,POLAVARAM,34,3,0,2,0,5,39
ANDHRA PRADESH,WEST GODAVARI,T NARASAPURAM,1740,0,0,38,0,38,1778
ANDHRA PRADESH,WEST GODAVARI,THALLAPUDI,27,0,0,2,0,2,29
ANDHRA PRADESH,WEST GODAVARI,UNGUTURU,0,0,0,0,0,0,0
ARUNACHAL PRADESH,CHANGLANG,BORDUMSA-DIYUN,0,1,0,0,0,1,1
ARUNACHAL PRADESH,EAST SIANG,MEBO,1,0,0,0,0,0,1
ARUNACHAL PRADESH,PAPUMPARE,KIMIN-DOIMUKH,2,0,0,0,0,0,2
ASSAM,BARPETA,CHAK-CHAKA,23,0,0,0,0,0,23
ASSAM,CACHAR,LAKHIPUR,0,0,0,1,0,1,1
ASSAM,DHUBRI,GOLOKGANJ,1,0,0,0,13,13,14
ASSAM,GOALPARA,DUDHNAI,6,0,2,0,2,4,10
ASSAM,GOALPARA,KUSHDHAWA,1,3,0,2,2,7,8
ASSAM,JORHAT,JORHAT NORTH WEST,0,7,1,0,2,10,10
ASSAM,KOKRAJHAR,KACHUGAON,2,0,0,0,1,1,3
ASSAM,KOKRAJHAR,SIDLI-CHIRANG PT,1,0,0,0,0,0,1
ASSAM,LAKHIMPUR,BIHPURIA,3,0,0,0,0,0,3
ASSAM,LAKHIMPUR,NARAYANPUR,34,0,0,1,13,14,48
ASSAM,MORIGAON,MAYONG,17,0,0,0,0,0,17
ASSAM,NAGOAN,BAJIAGAON,1,0,0,0,0,0,1
ASSAM,NAGOAN,BARHAMPUR,0,0,0,0,0,0,0
ASSAM,SIBSAGAR,PACHIM ABHOYPUR,0,0,0,0,0,0,0
ASSAM,SONITPUR,BAGHMARA,0,0,0,0,0,0,0
BIHAR,AURANGABAD,AURANGABAD,0,32,2,243,4,281,281
BIHAR,AURANGABAD,BARUN,0,192,19,109,205,525,525
BIHAR,AURANGABAD,DAUDNAGAR,0,11,6,201,63,281,281
BIHAR,AURANGABAD,DEO,0,38,13,590,13,654,654
BIHAR,AURANGABAD,GOH,0,53,95,29,21,198,198
BIHAR,AURANGABAD,HASPURA,1,54,209,45,0,308,309
BIHAR,AURANGABAD,KUTUMBA,0,47,32,643,60,782,782
BIHAR,AURANGABAD,MADANPUR,0,20,196,556,3,775,775
BIHAR,AURANGABAD,NABINAGAR,1,29,88,197,26,340,341
BIHAR,AURANGABAD,OBRA,0,3,130,16,20,169,169
BIHAR,AURANGABAD,RAFIGANAJ,1,5,293,145,0,443,444
BIHAR,BANKA,AMARPUR,0,6,377,229,0,612,612
BIHAR,BANKA,BANKA,754,0,10,129,0,139,893
BIHAR,BANKA,BARAHAT,2,15,1,428,0,444,446
BIHAR,BANKA,BELHAR,354,0,0,73,1,74,428
BIHAR,BANKA,BOUNSI,32,0,30,360,50,440,472
BIHAR,BANKA,CHANAN,6,8,7,1365,65,1445,1451
BIHAR,BANKA,DHORAIYA,1,17,106,34,0,157,158
BIHAR,BANKA,KATORIYA,2,0,10,2074,54,2138,2140
BIHAR,BANKA,PHULLIDUMER,0,0,0,261,0,261,261
BIHAR,BANKA,RAJOUN,1,0,59,182,23,264,265
BIHAR,BANKA,SAMBHUGANJ,0,0,56,455,0,511,511
BIHAR,BHAGALPUR,GOURADIH,415,41,7,163,0,211,626
BIHAR,BHAGALPUR,JAGDISHPUR,127,0,0,314,325,639,766
BIHAR,BHAGALPUR,KAHALGAON,16,0,0,396,0,396,412
BIHAR,BHAGALPUR,NATHNAGAR,164,2,11,51,1,65,229
BIHAR,BHAGALPUR,PIRPAINTY,308,0,1,825,0,826,1134
BIHAR,BHAGALPUR,SABOUR,340,0,1,5,0,6,346
BIHAR,BHAGALPUR,SANHAULA,343,0,10,42,2,54,397
BIHAR,BHAGALPUR,SHAHKUND,138,0,23,521,11,555,693
BIHAR,BHAGALPUR,SULTANGANJ,82,0,2,44,0,46,128
BIHAR,BHOJPUR,ARA,21,0,3,0,7,10,31
BIHAR,BHOJPUR,BARHARA,7,0,3,0,0,3,10
BIHAR,BHOJPUR,BEHEA,5,0,1,0,14,15,20
BIHAR,BHOJPUR,CHARPOKHARI,149,1,1,36,52,90,239
BIHAR,BHOJPUR,GARHANI,24,0,0,6,0,6,30
BIHAR,BHOJPUR,JAGDISHPUR,57,7,35,0,0,42,99
BIHAR,BHOJPUR,KOILWAR,65,0,23,11,0,34,99
BIHAR,BHOJPUR,PIRO,350,4,22,31,105,162,512
BIHAR,BHOJPUR,SAHAR,31,0,0,3,9,12,43
BIHAR,BHOJPUR,SANDESH,66,1,0,5,0,6,72
BIHAR,BHOJPUR,SHAHPUR,6,0,7,1,0,8,14
BIHAR,BHOJPUR,TARARI,229,16,0,38,168,222,451
BIHAR,BHOJPUR,UDWANTNAGAR,7,3,0,3,5,11,18
BIHAR,BUXAR,BRAHMPUR,0,0,0,2,4,6,6
BIHAR,BUXAR,BUXAR,0,0,0,19,0,19,19
BIHAR,BUXAR,CHOUGAI,0,0,0,23,9,32,32
BIHAR,BUXAR,CHOUSA,0,0,0,1,23,24,24
BIHAR,BUXAR,DUMRAON,0,0,0,70,5,75,75
BIHAR,BUXAR,ITARHI,0,0,0,6,6,12,12
BIHAR,BUXAR,RAJPUR,1,22,0,9,149,180,181
BIHAR,BUXAR,SIMRI,0,0,0,0,0,0,0
BIHAR,EAST CHAMPARAN,AREARAJ,2,18,0,0,0,18,20
BIHAR,EAST CHAMPARAN,GHORASAHAN,2,0,0,0,0,0,2
BIHAR,GAYA,AMAS,0,1,0,295,270,566,566
BIHAR,GAYA,ATRI,0,0,19,8,595,622,622
BIHAR,GAYA,BANKE BAZAR,0,0,0,149,294,443,443
BIHAR,GAYA,BARACHATTY,0,1,29,593,1032,1655,1655
BIHAR,GAYA,BATHANI,0,35,90,111,117,353,353
BIHAR,GAYA,BELAGANJ,0,14,90,46,698,848,848
BIHAR,GAYA,BODHGAYA,0,54,39,77,629,799,799
BIHAR,GAYA,DOBHI,0,107,46,40,711,904,904
BIHAR,GAYA,DUMARIYA,0,1,0,86,927,1014,1014
BIHAR,GAYA,FATEHPUR,0,1,131,400,653,1185,1185
BIHAR,GAYA,GAYA NAGAR,0,7,0,44,0,51,51
BIHAR,GAYA,GURARU,0,5,0,133,64,202,202
BIHAR,GAYA,GURUA,0,1,259,125,289,674,674
BIHAR,GAYA,IMAMGANJ,0,0,31,113,1520,1664,1664
BIHAR,GAYA,KHIZARSARAI,0,0,0,0,273,273,273
BIHAR,GAYA,KONCH,0,34,41,27,247,349,349
BIHAR,GAYA,MANPUR,0,101,668,26,135,930,930
BIHAR,GAYA,MOHANPUR,0,5,989,83,14,1091,1091
BIHAR,GAYA,PARAIYA,0,274,3,125,51,453,453
BIHAR,GAYA,SHERGHATTY,0,8,6,28,184,226,226
BIHAR,GAYA,TANKUPPA,0,41,55,162,7,265,265
BIHAR,GAYA,TEKARI,0,9,12,56,782,859,859
BIHAR,GAYA,WAZIRGANJ,0,71,159,485,207,922,922
BIHAR,GOPAALGANJ,BAIKUNTHPUR,0,7,0,1,0,8,8
BIHAR,GOPAALGANJ,BARAULI,0,0,2,0,5,7,7
BIHAR,GOPAALGANJ,BHOREY,0,10,0,0,15,25,25
BIHAR,GOPAALGANJ,BIJAIPUR,0,0,0,6,11,17,17
BIHAR,GOPAALGANJ,HATHUA,0,8,5,14,4,31,31
BIHAR,GOPAALGANJ,KATEYA,0,0,7,5,1,13,13
BIHAR,GOPAALGANJ,KUCHAIKOTE,0,0,0,34,26,60,60
BIHAR,GOPAALGANJ,MANJHA,0,0,3,34,0,37,37
BIHAR,GOPAALGANJ,PANCHDEWRI,0,0,3,0,9,12,12
BIHAR,GOPAALGANJ,PHULWARIYA,0,0,0,0,34,34,34
BIHAR,GOPAALGANJ,THAWE,0,0,0,0,0,0,0
BIHAR,GOPAALGANJ,UCHKAGAON,0,1,69,0,36,106,106
BIHAR,JAMUI,ALIGANJ,0,0,6,0,108,114,114
BIHAR,JAMUI,BARHAT,0,0,0,59,171,230,230
BIHAR,JAMUI,CHAKAI,1711,4,14,380,9,407,2118
BIHAR,JAMUI,GHIDHOR,0,9,5,16,74,104,104
BIHAR,JAMUI,JAMUI,200,2,21,35,4,62,262
BIHAR,JAMUI,JHAJHA,894,32,18,744,4,798,1692
BIHAR,JAMUI,KHAIRA,4,69,94,1055,4,1222,1226
BIHAR,JAMUI,LAXMIPUR,715,0,0,5,1,6,721
BIHAR,JAMUI,SIKANDARA,324,0,0,280,6,286,610
BIHAR,JAMUI,SONO,485,26,104,917,11,1058,1543
BIHAR,JEHANABAD,ARWAL,48,0,61,33,4,98,146
BIHAR,JEHANABAD,GHOSHI,0,3,36,73,27,139,139
BIHAR,JEHANABAD,HULASGANJ,0,23,82,72,62,239,239
BIHAR,JEHANABAD,JEHANABAD,7,21,43,18,2,84,91
BIHAR,JEHANABAD,KAKO,9,41,122,151,38,352,361
BIHAR,JEHANABAD,KALER,1,17,0,46,0,63,64
BIHAR,JEHANABAD,KARPI,8,68,158,140,6,372,380
BIHAR,JEHANABAD,KURTHA,43,3,13,168,14,198,241
BIHAR,JEHANABAD,MAKHDUMPUR,12,23,16,84,0,123,135
BIHAR,JEHANABAD,MODANGANJ,0,0,31,68,7,106,106
BIHAR,JEHANABAD,RATNI,1,1,45,27,0,73,74
BIHAR,JEHANABAD,VANSHI,0,21,24,3,0,48,48
BIHAR,KAIMUR (BHABUA),ADHAURA,0,0,0,62,0,62,62
BIHAR,KAIMUR (BHABUA),BHABUA,854,525,27,110,0,662,1516
BIHAR,KAIMUR (BHABUA),BHAGWANPUR,264,4,224,97,0,325,589
BIHAR,KAIMUR (BHABUA),CHAINPUR,296,61,28,736,111,936,1232
BIHAR,KAIMUR (BHABUA),CHAND,514,26,108,249,1,384,898
BIHAR,KAIMUR (BHABUA),DURGAWATI,137,217,99,49,2,367,504
BIHAR,KAIMUR (BHABUA),KUDRA,334,116,27,171,34,348,682
BIHAR,KAIMUR (BHABUA),MOHANIA,21,52,241,198,2,493,514
BIHAR,KAIMUR (BHABUA),NUAON,91,50,122,146,1,319,410
BIHAR,KAIMUR (BHABUA),RAMGARH,174,447,93,2,0,542,716
BIHAR,KAIMUR (BHABUA),RAMPUR,253,10,37,34,18,99,352
BIHAR,KATIHAR,AZAMNAGAR,0,0,0,0,8,8,8
BIHAR,LAKHISARAI,HALSI,0,34,0,3,49,86,86
BIHAR,LAKHISARAI,LAKHISARAI,0,1,26,108,278,413,413
BIHAR,LAKHISARAI,RAMGHAR CHOK,0,0,2,11,60,73,73
BIHAR,LAKHISARAI,SURYAGARAH,0,1,2,129,378,510,510
BIHAR,MADHEPURA,GAMHARIA,0,0,0,0,0,0,0
BIHAR,MADHEPURA,KUMAR KHAND,0,0,0,0,0,0,0
BIHAR,MADHEPURA,SINGHESHWAR,0,0,0,0,0,0,0
BIHAR,MADHUBANI,BABUBARHI,0,0,4,15,7,26,26
BIHAR,MADHUBANI,HARLAKHI,0,0,0,0,21,21,21
BIHAR,MADHUBANI,JAYNAGAR,6,0,3,0,54,57,63
BIHAR,MADHUBANI,LAKHANAUR,1,0,4,0,0,4,5
BIHAR,MUNGER,ASARGANJ,69,0,0,27,5,32,101
BIHAR,MUNGER,BARIYARPUR,2,17,0,21,0,38,40
BIHAR,MUNGER,DHARAHARA,118,0,3,494,21,518,636
BIHAR,MUNGER,HAWALI KHAGARHPUR,326,0,8,429,12,449,775
BIHAR,MUNGER,JAMALPUR,395,0,0,42,34,76,471
BIHAR,MUNGER,SADAR MUNGER,10,16,0,442,17,475,485
BIHAR,MUNGER,SANGRAMPUR,146,0,15,204,1,220,366
BIHAR,MUNGER,TARAPUR,132,0,0,82,77,159,291
BIHAR,MUNGER,TATIA BAMBAR,74,0,0,99,16,115,189
BIHAR,MUZAFFARPUR,KANTI,0,0,0,0,1,1,1
BIHAR,MUZAFFARPUR,KATRA,0,0,0,0,1,1,1
BIHAR,MUZAFFARPUR,KURHANI,0,0,15,2,0,17,17
BIHAR,MUZAFFARPUR,MINAPUR,0,0,1,0,0,1,1
BIHAR,MUZAFFARPUR,MORAUL,0,0,0,0,0,0,0
BIHAR,MUZAFFARPUR,MUSHAHARI,0,0,0,0,0,0,0
BIHAR,NALANDA,ASTHAWAN,1022,6,84,43,18,151,1173
BIHAR,NALANDA,BEN,626,30,28,169,0,227,853
BIHAR,NALANDA,BIHARSHARIF,470,810,650,45,3,1508,1978
BIHAR,NALANDA,BIND,193,1,61,30,0,92,285
BIHAR,NALANDA,CHANDI,175,65,708,43,0,816,991
BIHAR,NALANDA,EKANGARSARAI,362,1,13,19,1,34,396
BIHAR,NALANDA,GIRIYAK,381,22,145,39,0,206,587
BIHAR,NALANDA,HARNAUT,876,28,64,33,8,133,1009
BIHAR,NALANDA,HILSA,1392,0,62,0,0,62,1454
BIHAR,NALANDA,ISLAMPUR,68,176,156,102,0,434,502
BIHAR,NALANDA,KARAIPARSURAI,476,0,0,0,0,0,476
BIHAR,NALANDA,KATRISARAI,106,11,36,13,0,60,166
BIHAR,NALANDA,NAGARNAUSA,119,70,403,26,0,499,618
BIHAR,NALANDA,NOORSARAI,2405,0,0,0,0,0,2405
BIHAR,NALANDA,PARWALPUR,444,8,171,85,0,264,708
BIHAR,NALANDA,RAHUI,1040,22,5,418,0,445,1485
BIHAR,NALANDA,RAJGIR,359,1,10,184,1,196,555
BIHAR,NALANDA,SARMERA,111,48,0,186,0,234,345
BIHAR,NALANDA,SILAO,1428,10,14,12,0,36,1464
BIHAR,NALANDA,THARTHARI,154,200,105,73,0,378,532
BIHAR,NAWADA,AKBARPUR,0,14,49,101,0,164,164
BIHAR,NAWADA,GOVINDPUR,0,37,21,291,4,353,353
BIHAR,NAWADA,HASUA,0,47,8,384,19,458,458
BIHAR,NAWADA,KASHICHAK,0,0,1,24,38,63,63
BIHAR,NAWADA,KAWAKOLE,0,0,18,250,2,270,270
BIHAR,NAWADA,MESKAUR,0,32,10,240,0,282,282
BIHAR,NAWADA,NARDIGUNJ,0,17,5,79,0,101,101
BIHAR,NAWADA,NARHAT,0,1,0,25,7,33,33
BIHAR,NAWADA,NAWADA,0,4,4,88,17,113,113
BIHAR,NAWADA,PAKRIBRAWAN,0,0,0,0,15,15,15
BIHAR,NAWADA,RAJAULI,0,12,2,165,2,181,181
BIHAR,NAWADA,ROH,0,1,11,9,2,23,23
BIHAR,NAWADA,SIRDALA,0,4,69,332,1,406,406
BIHAR,NAWADA,WARISALIGUNJ,0,1,12,273,22,308,308
BIHAR,PATNA,ATHAMALGOLA,0,6,0,0,0,6,6
BIHAR,PATNA,BAKHTIARPUR,0,1,0,0,0,1,1
BIHAR,PATNA,BARH,0,94,94,0,0,188,188
BIHAR,PATNA,BELCHCHI,0,14,0,0,0,14,14
BIHAR,PATNA,BIHTA,0,212,0,0,0,212,212
BIHAR,PATNA,DANIYAWAN,0,169,0,0,0,169,169
BIHAR,PATNA,DHANARUA,0,347,2,19,0,368,368
BIHAR,PATNA,DULHIN BAZAR,0,109,0,0,0,109,109
BIHAR,PATNA,FATUHA,0,93,0,0,0,93,93
BIHAR,PATNA,GHOSWARI,0,16,21,0,0,37,37
BIHAR,PATNA,KHUSRUPUR,0,105,0,0,0,105,105
BIHAR,PATNA,MANER,0,8,0,0,0,8,8
BIHAR,PATNA,MASAURHI,0,656,0,0,0,656,656
BIHAR,PATNA,MOKAMA,0,33,0,0,0,33,33
BIHAR,PATNA,NAUBATPUR,0,82,199,0,0,281,281
BIHAR,PATNA,PALIGANJ,0,52,0,0,0,52,52
BIHAR,PATNA,PANDARAK,0,51,73,0,0,124,124
BIHAR,PATNA,PATNA SADAR,0,206,0,0,0,206,206
BIHAR,PATNA,PHULWARI,0,151,1,7,0,159,159
BIHAR,PATNA,PUNPUN,0,217,0,0,0,217,217
BIHAR,PATNA,SAMPATCHAK,0,248,0,0,0,248,248
BIHAR,PATNA,VIKRAM,0,85,4,0,0,89,89
BIHAR,ROHTAS(SASARAM),AKHORIGOLA,0,0,0,1,0,1,1
BIHAR,ROHTAS(SASARAM),BIKRAMGANJ,165,0,1,0,21,22,187
BIHAR,ROHTAS(SASARAM),CHENARI,213,146,29,314,157,646,859
BIHAR,ROHTAS(SASARAM),DAWATH,1,0,0,13,108,121,122
BIHAR,ROHTAS(SASARAM),DEHRI,36,17,0,0,0,17,53
BIHAR,ROHTAS(SASARAM),DINARA,6,0,2,0,1,3,9
BIHAR,ROHTAS(SASARAM),KARAKAT,87,0,0,33,98,131,218
BIHAR,ROHTAS(SASARAM),KARGAHAR,76,1,22,10,85,118,194
BIHAR,ROHTAS(SASARAM),KOCHAS,117,1,50,49,16,116,233
BIHAR,ROHTAS(SASARAM),NASRIGANJ,40,0,1,0,22,23,63
BIHAR,ROHTAS(SASARAM),NAUHATTA,12,476,71,229,42,818,830
BIHAR,ROHTAS(SASARAM),NOKHA,0,0,0,0,0,0,0
BIHAR,ROHTAS(SASARAM),RAJPUR,5,0,37,1,17,55,60
BIHAR,ROHTAS(SASARAM),ROHTAS,177,113,40,81,0,234,411
BIHAR,ROHTAS(SASARAM),SANJHAULI,23,0,0,28,13,41,64
BIHAR,ROHTAS(SASARAM),SASARAM,366,64,57,132,79,332,698
BIHAR,ROHTAS(SASARAM),SHEOSAGAR,188,0,10,364,74,448,636
BIHAR,ROHTAS(SASARAM),SURAJPURA,5,0,0,10,53,63,68
BIHAR,ROHTAS(SASARAM),TILOUTTHU,38,29,4,3,0,36,74
BIHAR,SARAN,AMNAUR,14,0,25,1,0,26,40
BIHAR,SARAN,BANIYAPUR,37,1,14,2,0,17,54
BIHAR,SARAN,DARIYAPUR,5,0,1,77,0,78,83
BIHAR,SARAN,DIGHWARA,11,0,9,41,0,50,61
BIHAR,SARAN,EKMA,0,0,12,6,0,18,18
BIHAR,SARAN,GARKHA,1,0,0,36,92,128,129
BIHAR,SARAN,ISHUAPUR,0,0,7,80,0,87,87
BIHAR,SARAN,JALAPUR,1,0,0,182,0,182,183
BIHAR,SARAN,LAHLADPUR,1,0,4,49,0,53,54
BIHAR,SARAN,MAKER,0,0,0,3,0,3,3
