-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells according to ownership. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.2.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells according to ownership", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.2.csv"
}
-----
"State","District","Government","Cooperative Societies","Panchayat","Group of farmers","Individual farmers","Others","Total"
"KARNATAKA","Shimoga",43,2,1,1,9910,0,9957
"KARNATAKA","Tumkur",24,12,14,7,78693,0,78750
"KARNATAKA","Udupi",2,0,0,0,380,0,382
"KARNATAKA","Uttara Kannada",1,1,1,0,1627,0,1630
"KERALA","ALAPPUZHA",0,0,0,1,1275,0,1276
"KERALA","ERANAKULAM",0,0,0,4,354,1,359
"KERALA","IDDUKKI",36,0,9,2,228,1,276
"KERALA","KANNUR",0,0,0,0,117,0,117
"KERALA","KASARAGODE",5,0,2,0,297,0,304
"KERALA","KOLLAM",16,0,1,0,97,0,114
"KERALA","KOTTAYAM",1,0,3,0,124,0,128
"KERALA","KOZHIKODE",0,0,3,0,73,0,76
"KERALA","MALAPPURAM",0,0,0,0,368,0,368
"KERALA","PALAKKAD",0,0,5,1,642,0,648
"KERALA","PATHANAMTHITTA",4,0,6,0,115,0,125
"KERALA","THIRUVANANTHAPURAM",0,0,1,0,56,0,57
"KERALA","THRISSUR",9,3,1,7,811,1,832
"MADHYA PRADESH","BALAGHAT",0,0,0,0,16,0,16
"MADHYA PRADESH","BARWANI",0,0,0,0,1190,0,1190
"MADHYA PRADESH","BETUL",0,0,1,7,1615,0,1623
"MADHYA PRADESH","BHIND",10,7,0,211,1125,1,1354
"MADHYA PRADESH","BHOPAL",0,2,0,117,5379,2,5500
"MADHYA PRADESH","CHHATARPUR",1,0,0,0,191,0,192
"MADHYA PRADESH","CHHINDWARA",2,0,0,0,1550,4,1556
"MADHYA PRADESH","DAMOH",0,0,1,1,5424,0,5426
"MADHYA PRADESH","DATIA",16,0,0,934,1126,0,2076
"MADHYA PRADESH","DEWAS",5,2,2,1233,18409,17,19668
"MADHYA PRADESH","DHAR",46,88,13,49,19724,61,19981
"MADHYA PRADESH","DINDORI",0,0,0,0,2,0,2
"MADHYA PRADESH","GUNA",23,0,0,970,6410,11,7414
"MADHYA PRADESH","GWALIOR",40,1,0,620,4964,11,5636
"MADHYA PRADESH","HARDA",1,0,0,4,1378,1,1384
"MADHYA PRADESH","HOSHANGABAD",22,11,1,53,4713,3,4803
"MADHYA PRADESH","INDORE",93,22,1,54,29272,24,29466
"MADHYA PRADESH","JABALPUR",111,34,168,47,10669,17,11046
"MADHYA PRADESH","JHABUA",1,0,0,22,259,1,283
"MADHYA PRADESH","KATNI",6,0,0,3,673,5,687
"MADHYA PRADESH","KHANDWA",1,0,0,0,1819,0,1820
"MADHYA PRADESH","KHARGONE",1,0,0,0,1120,0,1121
"MADHYA PRADESH","MANDLA",0,0,0,0,1,0,1
"MADHYA PRADESH","MANDSAUR",16,0,0,0,996,0,1012
"MADHYA PRADESH","MORENA",0,0,0,0,67,0,67
"MADHYA PRADESH","NARSINGHPUR",20,0,0,84,26582,2,26688
