-----
{
 "description": "The table refers to Block wise Distribution of Dugwells according to The Farmers holding size. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.3.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells according to The Farmers holding size", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.3.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
ANDHRA PRADESH,ADILABAD,MAMDA,444,58,28,0,530
ANDHRA PRADESH,ADILABAD,MANCHERIAL,1272,511,145,0,1928
ANDHRA PRADESH,ADILABAD,MANDAMARRI,6,243,348,0,597
ANDHRA PRADESH,ADILABAD,NARNOOR,156,255,196,0,607
ANDHRA PRADESH,ADILABAD,NENNAL,212,91,51,2,356
ANDHRA PRADESH,ADILABAD,NERADIGONDA,60,51,15,0,126
ANDHRA PRADESH,ADILABAD,NIRMAL,1130,465,165,1,1761
ANDHRA PRADESH,ADILABAD,REBBANA,61,90,148,9,308
ANDHRA PRADESH,ADILABAD,SARANGAPUR,148,40,8,0,196
ANDHRA PRADESH,ADILABAD,SIRPUR (T),104,181,62,3,350
ANDHRA PRADESH,ADILABAD,SIRPUR (U),57,154,173,1,385
ANDHRA PRADESH,ADILABAD,TALAMADUGU,147,379,193,0,719
ANDHRA PRADESH,ADILABAD,TAMSI,62,209,166,7,444
ANDHRA PRADESH,ADILABAD,TANDUR,107,71,40,0,218
ANDHRA PRADESH,ADILABAD,TIRYANI,75,60,49,0,184
ANDHRA PRADESH,ADILABAD,UTNUR,193,332,240,3,768
ANDHRA PRADESH,ADILABAD,VEMANPALLE,130,63,37,4,234
ANDHRA PRADESH,ADILABAD,WANKDI,43,54,33,10,140
ANDHRA PRADESH,ANANTHAPUR,AGALI,316,500,139,0,955
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,16,112,718,102,948
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,79,220,193,23,515
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,195,168,237,16,616
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,113,324,276,3,716
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,9,100,407,93,609
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,74,126,184,62,446
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,1,28,159,41,229
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,111,319,210,35,675
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,158,363,349,34,904
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,454,468,866,28,1816
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,42,329,391,19,781
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,112,517,617,37,1283
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,54,135,419,3,611
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,77,279,1212,83,1651
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,36,170,574,11,791
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,62,223,389,46,720
ANDHRA PRADESH,ANANTHAPUR,GOOTY,7,143,280,55,485
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,320,541,357,0,1218
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,21,206,379,38,644
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,62,202,367,76,707
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,65,245,212,11,533
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,431,308,198,6,943
ANDHRA PRADESH,ANANTHAPUR,KADIRI,205,223,199,1,628
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,114,387,413,83,997
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,16,268,408,111,803
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,50,224,526,94,894
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,7,28,144,7,186
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,814,434,188,0,1436
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,61,252,442,52,807
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,8,180,410,108,706
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,81,272,235,3,591
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,604,458,397,19,1478
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,15,294,871,89,1269
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,43,175,319,2,539
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,98,440,421,61,1020
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,254,341,335,3,933
ANDHRA PRADESH,ANANTHAPUR,NARPALA,136,412,1083,199,1830
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,11,131,814,186,1142
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,47,75,211,34,367
ANDHRA PRADESH,ANANTHAPUR,PARIGI,180,262,260,23,725
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,90,222,64,1,377
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,1,7,18,3,29
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,207,534,461,36,1238
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,14,397,1214,51,1676
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,189,347,285,0,821
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,8,17,509,0,534
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,117,216,281,10,624
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,61,170,458,30,719
ANDHRA PRADESH,ANANTHAPUR,RODDAM,13,151,547,98,809
ANDHRA PRADESH,ANANTHAPUR,ROLLA,274,353,208,3,838
ANDHRA PRADESH,ANANTHAPUR,SETTUR,182,266,242,22,712
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,171,352,586,10,1119
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,146,272,304,5,727
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,67,412,568,37,1084
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,55,137,509,85,786
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,675,311,198,32,1216
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,78,249,710,74,1111
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,105,221,196,43,565
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,13,105,151,39,308
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,35,68,94,0,197
ANDHRA PRADESH,ANANTHAPUR,YADIKI,21,141,338,27,527
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,85,226,702,38,1051
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,189,206,175,3,573
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,1610,983,432,4,3029
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,1464,1336,566,13,3379
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,133,371,87,1,592
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,1758,721,279,2,2760
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,677,619,172,0,1468
ANDHRA PRADESH,CHITTOOR,CHITTOOR,1685,686,194,3,2568
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,315,769,540,29,1653
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,2496,1208,380,8,4092
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,837,820,502,15,2174
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,364,403,141,8,916
ANDHRA PRADESH,CHITTOOR,GUDIPALA,1210,1071,304,7,2592
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,781,546,322,14,1663
ANDHRA PRADESH,CHITTOOR,IRALA,1264,1199,287,5,2755
ANDHRA PRADESH,CHITTOOR,K V P PURAM,254,605,363,1,1223
ANDHRA PRADESH,CHITTOOR,KALAKADA,179,570,1082,47,1878
ANDHRA PRADESH,CHITTOOR,KALIKIRI,342,540,448,29,1359
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,354,1076,1197,27,2654
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,725,1054,445,6,2230
ANDHRA PRADESH,CHITTOOR,KUPPAM,1115,1000,399,19,2533
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,113,402,447,11,973
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,589,326,158,0,1073
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,52,179,516,118,865
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,264,348,350,3,965
ANDHRA PRADESH,CHITTOOR,NAGARI,724,735,176,2,1637
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,366,301,132,3,802
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,123,395,488,13,1019
ANDHRA PRADESH,CHITTOOR,NINDRA,384,682,273,1,1340
ANDHRA PRADESH,CHITTOOR,PAKALA,940,1002,321,6,2269
ANDHRA PRADESH,CHITTOOR,PALAMANER,1208,630,165,4,2007
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,604,835,288,1,1728
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,591,772,375,27,1765
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,436,298,257,12,1003
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,234,397,599,3,1233
ANDHRA PRADESH,CHITTOOR,PENUMURU,1536,770,239,1,2546
ANDHRA PRADESH,CHITTOOR,PICHATUR,244,475,331,51,1101
ANDHRA PRADESH,CHITTOOR,PILERU,217,449,981,15,1662
ANDHRA PRADESH,CHITTOOR,PULICHERLA,553,578,342,16,1489
ANDHRA PRADESH,CHITTOOR,PUNGANUR,463,690,487,14,1654
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,1131,1336,482,44,2993
ANDHRA PRADESH,CHITTOOR,PUTTUR,1030,645,109,0,1784
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,604,994,254,2,1854
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,723,1049,229,1,2002
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,365,605,551,3,1524
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,455,574,176,17,1222
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,161,422,361,0,944
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,364,490,228,6,1088
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,636,519,296,8,1459
ANDHRA PRADESH,CHITTOOR,SODAM,624,978,905,28,2535
ANDHRA PRADESH,CHITTOOR,SOMALA,615,907,533,26,2081
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,399,746,461,3,1609
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,1230,686,120,2,2038
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,737,222,82,9,1050
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,2515,474,149,8,3146
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,317,746,343,7,1413
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,714,738,479,0,1931
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,67,77,52,0,196
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,423,672,715,61,1871
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,277,316,185,9,787
ANDHRA PRADESH,CHITTOOR,VAYALPAD,762,343,170,3,1278
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,386,2102,701,0,3189
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,1468,802,369,10,2649
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,549,662,315,1,1527
ANDHRA PRADESH,CHITTOOR,YADAMARI,1204,1014,171,4,2393
ANDHRA PRADESH,CHITTOOR,YERPEDU,407,833,316,10,1566
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,251,238,202,8,699
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,138,241,324,8,711
ANDHRA PRADESH,CUDDAPAH,ATLUR,16,172,930,12,1130
ANDHRA PRADESH,CUDDAPAH,B KODUR,35,211,454,0,700
ANDHRA PRADESH,CUDDAPAH,BADVEL,42,262,344,0,648
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,91,257,455,28,831
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,175,506,469,19,1169
ANDHRA PRADESH,CUDDAPAH,CHAPAD,67,118,96,3,284
ANDHRA PRADESH,CUDDAPAH,CHENNUR,14,47,55,11,127
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,514,696,352,7,1569
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,107,298,577,39,1021
ANDHRA PRADESH,CUDDAPAH,CHITVEL,246,259,51,5,561
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,83,73,55,0,211
ANDHRA PRADESH,CUDDAPAH,DUVVUR,289,320,302,13,924
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,548,677,995,55,2275
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,49,202,269,0,520
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,100,114,77,8,299
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,137,269,192,2,600
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,75,196,225,15,511
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,166,295,112,8,581
ANDHRA PRADESH,CUDDAPAH,KODUR,317,684,244,1,1246
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,1,21,39,4,65
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,289,496,768,33,1586
ANDHRA PRADESH,CUDDAPAH,LINGALA,81,215,429,5,730
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,55,129,243,11,438
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,29,203,319,15,566
ANDHRA PRADESH,CUDDAPAH,NANDALUR,291,206,96,5,598
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,311,544,422,1,1278
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,2,31,94,4,131
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,69,118,77,0,264
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,58,170,132,0,360
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,107,689,906,0,1702
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,9,31,53,2,95
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,25,177,369,10,581
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,354,515,378,22,1269
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,406,686,310,1,1403
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,8,31,30,8,77
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,211,467,243,15,936
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,486,638,754,15,1893
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,491,483,284,7,1265
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,286,473,945,88,1792
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,137,258,304,0,699
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,95,291,265,7,658
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,77,596,793,50,1516
ANDHRA PRADESH,CUDDAPAH,THANDUR,12,99,393,65,569
ANDHRA PRADESH,CUDDAPAH,VALLUR,293,126,99,2,520
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,545,493,36,0,1074
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,78,177,235,2,492
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,53,181,350,26,610
ANDHRA PRADESH,CUDDAPAH,VEMULA,66,160,435,33,694
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,611,723,237,2,1573
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,10,56,132,22,220
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,0,1,0,0,1
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,3,3,1,0,7
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,7,4,5,0,16
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,83,14,1,0,98
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,41,43,36,0,120
ANDHRA PRADESH,EAST GODAVARI,KARAPA,1,1,0,0,2
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,45,30,56,0,131
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,73,58,51,0,182
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,1,0,0,1,2
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,8,6,12,0,26
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,49,30,25,2,106
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,22,54,93,0,169
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,3,6,2,0,11
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,5,10,1,0,16
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,96,54,80,2,232
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,135,118,81,4,338
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,6,9,4,0,19
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,17,34,22,0,73
ANDHRA PRADESH,EAST GODAVARI,TUNI,279,178,149,2,608
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,3,0,0,0,3
ANDHRA PRADESH,GUNTUR,ACHAMPETA,198,235,115,0,548
ANDHRA PRADESH,GUNTUR,AMARAVATHI,357,235,148,7,747
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,0,4,0,0,4
ANDHRA PRADESH,GUNTUR,BAPATLA,3005,96,4,1,3106
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,50,155,69,0,274
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,4,4,24,0,32
ANDHRA PRADESH,GUNTUR,CHEBROLE,549,167,71,0,787
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,1049,43,21,1,1114
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,261,172,34,1,468
ANDHRA PRADESH,GUNTUR,DACHEPALLE,7,24,9,0,40
ANDHRA PRADESH,GUNTUR,EDLAPADU,174,73,27,0,274
ANDHRA PRADESH,GUNTUR,GUNTUR,32,7,2,1,42
ANDHRA PRADESH,GUNTUR,GURAZALA,5,6,2,0,13
ANDHRA PRADESH,GUNTUR,IPURU,19,55,73,3,150
ANDHRA PRADESH,GUNTUR,KAREMPUDI,22,4,0,0,26
ANDHRA PRADESH,GUNTUR,KARLAPALEM,1107,237,140,5,1489
ANDHRA PRADESH,GUNTUR,KROSURU,90,100,132,7,329
ANDHRA PRADESH,GUNTUR,MACHAVARAM,3,19,36,0,58
ANDHRA PRADESH,GUNTUR,MACHERLA,8,86,65,0,159
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,176,58,15,0,249
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,30,11,12,0,53
ANDHRA PRADESH,GUNTUR,MUPPALLA,106,55,35,0,196
ANDHRA PRADESH,GUNTUR,NADENDLA,105,13,16,0,134
ANDHRA PRADESH,GUNTUR,NAGARAM,294,14,0,0,308
ANDHRA PRADESH,GUNTUR,NAKARIKALLU,49,10,1,0,60
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,99,150,66,1,316
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,91,39,3,0,133
ANDHRA PRADESH,GUNTUR,NUZENDLA,0,21,55,0,76
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,40,19,11,0,70
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,102,117,74,3,296
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,32,22,15,0,69
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,55,0,0,0,55
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,606,105,39,0,750
ANDHRA PRADESH,GUNTUR,PRATHIPADU,6,8,0,0,14
ANDHRA PRADESH,GUNTUR,RAJUPALEM,60,41,13,0,114
ANDHRA PRADESH,GUNTUR,RENTACRINTALA,1,7,13,2,23
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,72,55,44,0,171
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,21,19,18,0,58
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,7,7,1,0,15
ANDHRA PRADESH,GUNTUR,TADIKONDA,28,10,2,0,40
ANDHRA PRADESH,GUNTUR,THADEPALLE,36,45,35,0,116
ANDHRA PRADESH,GUNTUR,THULLUR,33,20,10,0,63
ANDHRA PRADESH,GUNTUR,VELDURTHI,102,123,26,0,251
ANDHRA PRADESH,GUNTUR,VINUKONDA,4,13,18,0,35
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,2141,1850,1775,108,5874
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,2740,2462,461,2,5665
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,1391,1312,1071,9,3783
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,1850,1637,896,4,4387
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,1329,1731,1167,26,4253
ANDHRA PRADESH,KARIMNAGAR,CHOPPADANDI,969,1655,1184,16,3824
ANDHRA PRADESH,KARIMNAGAR,DHARMAPURI,1832,1418,666,5,3921
ANDHRA PRADESH,KARIMNAGAR,DHARMARAM,1359,936,407,93,2795
ANDHRA PRADESH,KARIMNAGAR,ELEGADE,646,479,242,0,1367
ANDHRA PRADESH,KARIMNAGAR,ELKATHURTHI,1227,1518,532,36,3313
ANDHRA PRADESH,KARIMNAGAR,ELLANTHAKUNTA,1532,1923,1177,56,4688
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,729,248,55,0,1032
ANDHRA PRADESH,KARIMNAGAR,GANGADHARA,2904,1555,518,199,5176
ANDHRA PRADESH,KARIMNAGAR,GOLLAPALLE,1185,1185,952,20,3342
ANDHRA PRADESH,KARIMNAGAR,HUSNABAD,3237,3043,859,9,7148
ANDHRA PRADESH,KARIMNAGAR,HUZURABAD,1315,2022,1674,18,5029
ANDHRA PRADESH,KARIMNAGAR,IBRAHIMPATNAM,1379,1519,719,3,3620
ANDHRA PRADESH,KARIMNAGAR,JAGTIAL,2808,1604,918,21,5351
ANDHRA PRADESH,KARIMNAGAR,JAMMIKUNTA,4217,1700,767,23,6707
ANDHRA PRADESH,KARIMNAGAR,JULAPALLE,515,300,112,1,928
ANDHRA PRADESH,KARIMNAGAR,KAMALAPUR,1723,2054,469,1,4247
ANDHRA PRADESH,KARIMNAGAR,KAMANPUR,1267,567,100,5,1939
ANDHRA PRADESH,KARIMNAGAR,KARIMNAGAR,2829,1623,284,2,4738
ANDHRA PRADESH,KARIMNAGAR,KATARAM,72,299,259,2,632
ANDHRA PRADESH,KARIMNAGAR,KATHLAPUR,2339,1627,352,0,4318
ANDHRA PRADESH,KARIMNAGAR,KESAVAPATNAM,1886,1493,876,9,4264
ANDHRA PRADESH,KARIMNAGAR,KODIMIAL,2425,1414,721,30,4590
ANDHRA PRADESH,KARIMNAGAR,KOHEDA,2181,1436,294,4,3915
ANDHRA PRADESH,KARIMNAGAR,KONARAOPETA,1440,1383,381,6,3210
ANDHRA PRADESH,KARIMNAGAR,KORATLA,1049,1105,1112,23,3289
ANDHRA PRADESH,KARIMNAGAR,MAHADEVPUR,42,152,227,9,430
ANDHRA PRADESH,KARIMNAGAR,MALHARRAO,431,237,77,0,745
ANDHRA PRADESH,KARIMNAGAR,MALLAPUR,1646,1602,826,3,4077
ANDHRA PRADESH,KARIMNAGAR,MALLIAL,3051,1568,602,29,5250
ANDHRA PRADESH,KARIMNAGAR,MANAKONDUR,2768,2021,1315,38,6142
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,329,476,287,3,1095
ANDHRA PRADESH,KARIMNAGAR,MEDIPALLE,2362,1731,1202,1,5296
ANDHRA PRADESH,KARIMNAGAR,METPALLE,1513,997,896,20,3426
