-----
{
 "description": "The table refers to district wise distribution of shallow tubewells according to source of finance . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.7.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.7.csv"
}
-----
State,District,Government fund,Farmer's saving,Loan & Saving,Subsidy & Bank loan,Subsidy only,Others,Total
BIHAR,PAKUR,36,120,0,0,45,0,201
BIHAR,PATNA,5346,11162,787,2632,2794,676,23397
BIHAR,PURNIA,2121,9116,455,1575,6057,4759,24083
BIHAR,RANCHI,0,0,0,83,5,0,88
BIHAR,ROHTAS,4086,8601,476,1650,1592,667,17072
BIHAR,SAHARSA,39,135,1095,975,4715,2852,9811
BIHAR,SAHEBGANJ,735,205,2,1,306,473,1722
BIHAR,SAMASTIPUR,6319,13386,2985,2982,2218,1585,29475
BIHAR,SARAN,4712,12869,1385,2071,2623,553,24213
BIHAR,SHEIKHPURA,717,2287,162,1086,907,174,5333
BIHAR,SHEOHAR,650,1948,118,72,476,1192,4456
BIHAR,SINGHBHUM EAST,214,194,159,222,336,127,1252
BIHAR,SINGHBHUM WEST,0,6,0,5,0,0,11
BIHAR,SITAMARHI,633,4009,820,1077,2207,6158,14904
BIHAR,SIWAN,1893,12968,1113,2325,4258,4312,26869
BIHAR,SUPAUL,621,485,806,1773,3751,5901,13337
BIHAR,VAISHALI,3445,10391,1014,1398,3060,1601,20909
GOA,NORTH GOA,9,1,2,1,7,0,20
GOA,SOUTH GOA,0,3,1,3,1,0,8
HARYANA,AMBALA,241,12295,1957,19,10,41,14563
HARYANA,BHIWANI,8648,6762,2867,168,10,16,18471
HARYANA,FARIDABAD,1107,17900,5842,464,83,111,25507
HARYANA,GURGAON,3019,23911,1405,297,87,0,28719
HARYANA,HISAR,8346,29486,6863,150,323,194,45362
HARYANA,JIND,4899,16750,7822,96,7,136,29710
HARYANA,KAITHAL,6981,18085,5543,32,13,289,30943
HARYANA,KARNAL,8542,39520,3554,52,48,492,52208
HARYANA,KURUKSHETRA,3789,28034,3476,21,248,264,35832
HARYANA,MEHANDERGARH,7391,13935,2419,68,85,235,24133
HARYANA,PANCHKULA,33,858,278,4,7,1,1181
HARYANA,PANIPAT,3724,17865,3410,194,888,226,26307
HARYANA,RIWARI,5065,15742,2073,26,10,298,23214
HARYANA,ROHTAK,8301,33249,8322,99,154,492,50617
HARYANA,SIRSA,3030,16771,4634,72,58,130,24695
HARYANA,SONIPAT,5181,25007,5558,126,24,201,36097
HARYANA,YAMUNA NAGAR,3040,18277,3685,711,11,146,25870
HIMACHAL PRADESH,Bilaspur,0,22,0,0,0,0,22
HIMACHAL PRADESH,Hamirpur,2,7,2,0,0,0,11
HIMACHAL PRADESH,Kangra,3,266,33,0,0,0,302
HIMACHAL PRADESH,Mandi,16,40,6,2,0,1,65
HIMACHAL PRADESH,Sirmaur,50,77,36,1,8,1,173
HIMACHAL PRADESH,Solan,13,27,0,5,15,0,60
HIMACHAL PRADESH,Una,152,544,18,0,0,1,715
JAMMU & KASHMIR,Budgam,1,0,0,0,0,0,1
JAMMU & KASHMIR,Jammu,84,489,10,200,240,45,1068
JAMMU & KASHMIR,Kathua,13,152,35,19,6,2,227
JAMMU & KASHMIR,Kupwara,5,2,0,0,0,4,11
JAMMU & KASHMIR,Srinagar,3,2,0,0,0,1,6
KARNATAKA,BANGALORE RURAL,624,5133,1278,215,85,211,7546
KARNATAKA,BANGALORE URBAN,203,1503,428,26,65,113,2338
KARNATAKA,BELGAUM,930,2231,1579,307,20,23,5090
KARNATAKA,BELLARY,243,839,179,138,10,96,1505
KARNATAKA,BIDAR,66,139,70,24,1,1,301
KARNATAKA,BIJAPUR,791,733,568,135,11,16,2254
KARNATAKA,CHIKKAMAGALORE,59,1614,1108,90,19,50,2940
KARNATAKA,CHITRADURGA,872,4760,3221,451,16,282,9602
KARNATAKA,DAKSHINA KANNADA,92,336,97,4,0,0,529
KARNATAKA,DHARWAR,432,2635,3820,594,106,44,7631
KARNATAKA,GULBARGA,191,423,47,8,13,16,698
KARNATAKA,HASSAN,519,5199,4313,465,45,69,10610
KARNATAKA,KODAGU,0,4,2,4,0,1,11
KARNATAKA,KOLAR,975,5019,667,61,92,83,6897
KARNATAKA,MANDYA,107,584,279,79,38,22,1109
KARNATAKA,MYSORE,427,1191,802,222,30,30,2702
KARNATAKA,RAICHUR,484,1661,953,434,51,132,3715
KARNATAKA,SHIMOGA,127,1529,1690,310,72,44,3772
KARNATAKA,TUMKUR,880,7911,914,76,169,162,10112
KARNATAKA,UTTARA KANNADA,37,43,43,15,1,0,139
KERALA,ALAPUZHA,17,124,21,288,17,14,481
KERALA,ERANAKULAM,0,43,34,23,3,1,104
KERALA,IDUKKI,0,0,1,0,0,0,1
KERALA,KANNUR,0,0,0,2,0,0,2
KERALA,KASARAGODE,12,12,2,6,10,2,44
KERALA,KOLLAM,8,14,10,31,4,0,67
KERALA,KOTTAYAM,0,10,0,2,0,1,13
KERALA,KOZHIKODE,0,1,0,0,0,0,1
KERALA,MALAPPURAM,1,177,3,0,0,1,182
KERALA,PALAKKAD,29,114,31,5,9,0,188
KERALA,PATHANAMTHITTA,1,19,2,16,5,1,44
KERALA,THIRUVANANTHAPURAM,16,20,149,1,0,0,186
KERALA,THRISSUR,102,832,14,25,27,6,1006
MADHYA PRADESH,BALAGHAT,47,21,0,2,0,0,70
MADHYA PRADESH,BASTAR,3,8,16,6,0,0,33
MADHYA PRADESH,BETUL,220,258,61,32,0,0,571
MADHYA PRADESH,BHIND,33,170,52,6,191,0,452
MADHYA PRADESH,BHOPAL,419,2152,292,81,7,1,2952
MADHYA PRADESH,BILASPUR,335,1095,251,57,74,0,1812
MADHYA PRADESH,CHHATARPUR,219,7,42,9,5,0,282
MADHYA PRADESH,CHHINDWARA,400,133,29,19,1,0,582
MADHYA PRADESH,DAMOH,211,2007,283,115,21,69,2706
MADHYA PRADESH,DEWAS,550,5824,153,14,18,0,6559
MADHYA PRADESH,DHAR,1728,12098,439,116,41,371,14793
MADHYA PRADESH,DURG,459,3679,871,374,28,8,5419
MADHYA PRADESH,GUNA,350,1297,73,5,176,0,1901
MADHYA PRADESH,GWALIOR,62,499,9,4,68,0,642
MADHYA PRADESH,HOSHANGABAD,427,1330,326,415,7,14,2519
MADHYA PRADESH,INDORE,1112,15719,599,61,35,31,17557
MADHYA PRADESH,JABALPUR,331,530,177,194,19,0,1251
MADHYA PRADESH,JHABUA,3,30,36,9,0,0,78
MADHYA PRADESH,KHANDWA,38,18,6,0,0,0,62
MADHYA PRADESH,KHARGONE,38,452,235,95,9,0,829
MADHYA PRADESH,MANDLA,4,44,2,1,0,0,51
MADHYA PRADESH,MANDSAUR,133,228,14,11,0,13,399
MADHYA PRADESH,MORENA,122,1433,25,25,268,0,1873
MADHYA PRADESH,NARSIMHAPUR,1542,2741,965,372,34,15,5669
MADHYA PRADESH,PANNA,18,79,19,14,8,8,146
MADHYA PRADESH,RAIGARH,36,945,476,47,11,0,1515
MADHYA PRADESH,RAIPUR,881,2308,515,179,26,0,3909
MADHYA PRADESH,RAISEN,1025,4042,265,161,55,2,5550
MADHYA PRADESH,RAJGARH,265,853,24,2,0,1,1145
MADHYA PRADESH,RAJNANDGAON,26,78,54,17,1,0,176
MADHYA PRADESH,RATLAM,153,3837,31,9,36,0,4066
MADHYA PRADESH,REWA,78,937,87,56,0,0,1158
MADHYA PRADESH,SAGAR,300,1018,80,110,43,0,1551
MADHYA PRADESH,SATNA,198,2147,130,110,1,0,2586
MADHYA PRADESH,SEHORE,1005,4429,86,58,9,51,5638
MADHYA PRADESH,SEONI,22,10,1,5,2,0,40
MADHYA PRADESH,SHAHDOL,22,24,4,1,5,0,56
MADHYA PRADESH,SHAJAPUR,292,2739,48,19,0,0,3098
MADHYA PRADESH,SHIVPURI,25,138,6,3,24,27,223
MADHYA PRADESH,SIDHI,6,93,94,28,0,1,222
MADHYA PRADESH,SURGUJA,0,13,4,1,0,0,18
MADHYA PRADESH,TIKAMGARH,720,91,16,9,60,0,896
MADHYA PRADESH,UJJAIN,1386,15497,145,32,11,0,17071
MADHYA PRADESH,VIDISHA,240,2057,236,18,11,10,2572
MANIPUR,BISHNUPUR,0,0,0,0,0,0,0
MANIPUR,CHURACHANDPUR,0,0,0,0,0,0,0
MANIPUR,IMPHAL,0,0,0,0,0,0,0
MANIPUR,SENAPATI,0,0,0,0,0,0,0
MANIPUR,THOUBAL,0,0,0,0,0,0,0
MEGHALAYA,WEST GARO HILLS,1,108,0,0,0,0,109
MEGHALAYA,WEST KHASI HILLS,0,0,0,0,0,0,0
NAGALAND,KOHIMA,0,0,0,0,6,0,6
ORISSA,ANGUL,0,1,0,1,0,0,2
ORISSA,BALASORE,218,3397,1462,1207,602,0,6886
ORISSA,BARAGARH,62,62,43,14,7,0,188
ORISSA,BHADRAK,149,384,378,294,39,3,1247
ORISSA,BOLANGIR,5,9,2,0,0,0,16
ORISSA,CUTTACK,39,318,475,674,147,0,1653
ORISSA,GAJAPATI,9,4,64,8,0,0,85
ORISSA,GANJAM,109,69,212,107,3,2,502
ORISSA,JAGATSINGHPUR,142,267,450,428,75,0,1362
ORISSA,JAJPUR,3,250,48,544,211,0,1056
ORISSA,JHARSUGUDA,6,0,2,1,0,0,9
ORISSA,KALAHANDI,5,3,1,1,0,0,10
ORISSA,KENDRAPARA,212,26,177,60,24,0,499
ORISSA,KEONJHAR,11,6,8,6,0,0,31
ORISSA,KHURDA,54,41,97,128,19,1,340
ORISSA,KORAPUT,0,0,1,0,0,0,1
ORISSA,MAYURBHANJ,36,58,24,21,7,0,146
ORISSA,NAYAGARH,72,31,112,2,1,0,218
ORISSA,NUAPADA,1,0,1,0,1,0,3
ORISSA,PURI,203,703,372,527,397,0,2202
ORISSA,RAYAGADA,9,27,3,10,0,0,49
ORISSA,SAMBALPUR,2,0,0,0,0,0,2
ORISSA,SONEPUR,1,1,0,0,0,0,2
ORISSA,SUNDARGARH,1,1,1,0,0,0,3
PUNJAB,AMRITSAR,4993,89307,842,35,57,350,95584
PUNJAB,BATHINDA,2955,27448,1643,116,7,42,32211
PUNJAB,FARIDKOT,3563,99251,482,3,1,8,103308
PUNJAB,FATEHGARH SAHIB,986,23520,220,7,0,12,24745
PUNJAB,FEROZEPUR,16378,74899,6265,253,3,5,97803
PUNJAB,GURDASPUR,1089,57505,1187,175,20,34,60010
PUNJAB,HOSHIARPUR,8746,41477,766,125,19,143,51276
PUNJAB,JALANDHAR,15140,72923,592,5,289,22,88971
PUNJAB,KAPURTHALA,298,39435,250,4,56,6,40049
PUNJAB,LUDHIANA,95884,8232,403,14,314,87,104934
PUNJAB,MANSA,1616,30636,994,8,10,8,33272
PUNJAB,PATIALA,26206,49201,250,0,15,550,76222
PUNJAB,ROPAR,1169,21504,836,334,3,30,23876
PUNJAB,SANGRUR,15395,94900,1044,11,21,39,111410
RAJASTHAN,AJMER,0,0,0,0,0,0,0
RAJASTHAN,ALWAR,5106,11917,529,203,33,0,17788
RAJASTHAN,BANSWARA,3,6,0,4,0,0,13
RAJASTHAN,BARAN,564,1056,426,1,0,2,2049
RAJASTHAN,BHARATPUR,9120,18045,1954,355,73,0,29547
RAJASTHAN,BHILWARA,7,8,0,0,0,0,15
RAJASTHAN,BIKANER,0,18,2,0,0,0,20
RAJASTHAN,BUNDI,60,15,12,0,5,0,92
RAJASTHAN,CHITTORGARH,148,225,47,3,0,0,423
RAJASTHAN,CHURU,47,3,36,3,0,1,90
RAJASTHAN,DAUSA,624,2645,87,27,0,0,3383
RAJASTHAN,DHOLPUR,362,2980,316,426,10,0,4094
RAJASTHAN,DUNGARPUR,3,10,7,0,0,0,20
RAJASTHAN,JAIPUR,15,8,0,0,0,0,23
RAJASTHAN,JAISALMER,8,10,0,0,0,0,18
RAJASTHAN,JALORE,19,40,5,1,0,0,65
RAJASTHAN,JHALAWAR,6,50,13,0,0,0,69
RAJASTHAN,JODHPUR,28,206,29,1,0,0,264
RAJASTHAN,KOTA,365,975,529,9,34,0,1912
RAJASTHAN,NAGAUR,14,349,155,0,2,2,522
RAJASTHAN,PALI,23,106,5,0,0,1,135
RAJASTHAN,RAJSAMAND,0,7,0,0,0,0,7
RAJASTHAN,SAWAI-MADHOPUR,1000,1205,31,1,2,140,2379
RAJASTHAN,SIROHI,0,1,0,0,0,0,1
RAJASTHAN,TONK,2,3,0,0,0,0,5
RAJASTHAN,UDAIPUR,1,24,1,0,0,0,26
TAMIL NADU,COIMBATORE,710,5,21,0,0,36,772
TAMIL NADU,CUDDALORE,5221,15291,929,39,92,30,21602
TAMIL NADU,DHARMAPURI,72,4,1,0,0,0,77
TAMIL NADU,DINDIGUL,164,178,0,0,0,0,342
TAMIL NADU,ERODE,180,0,0,0,0,0,180
TAMIL NADU,KANCHIPURAM,3599,54,145,2,13,19,3832
TAMIL NADU,KANNIYAKUMARI,55,0,0,0,0,0,55
TAMIL NADU,KARUR,297,4,0,0,0,0,301
TAMIL NADU,MADURAI,16,33,0,0,0,0,49
TAMIL NADU,NAGAPATTINAM,721,1166,268,16,6,67,2244
TAMIL NADU,NAMAKKAL,31,4,1,0,0,0,36
TAMIL NADU,PERAMBALUR,3165,106,19,0,1,3,3294
TAMIL NADU,PUDUKOTTAI,284,292,11,3,0,0,590
TAMIL NADU,RAMNATHAPURAM,21,232,20,0,1,5,279
TAMIL NADU,SALEM,103,0,44,0,0,0,147
TAMIL NADU,SIVAGANGA,37,1,0,0,0,0,38
TAMIL NADU,THANJAVUR,15387,2316,941,70,145,15,18874
TAMIL NADU,THENI,376,0,3,1,15,0,395
TAMIL NADU,TIRUNELVELI,29,3,0,0,0,0,32
TAMIL NADU,TIRUVALLUR,4668,82,25,7,150,247,5179
TAMIL NADU,TIRUVARUR,8232,2643,312,23,81,22,11313
TAMIL NADU,TRICHIRAPPALLI,573,173,3,0,0,0,749
TAMIL NADU,VILLUPURAM,4675,839,153,2,169,26,5864
TRIPURA,DHALAI,29,0,1,25,0,0,55
TRIPURA,NORTH,2,3,0,0,0,0,5
TRIPURA,SOUTH,21,15,0,0,20,0,56
TRIPURA,WEST,1,8,1,2,0,0,12
UTTAR PRADESH,AGRA,1526,23596,5823,4380,22,2,35349
UTTAR PRADESH,ALIGARH,2728,27544,12178,6570,38,59,49117
UTTAR PRADESH,ALLAHABAD,1508,10344,5916,9847,37,71,27723
UTTAR PRADESH,AMBEDKAR NAGAR,1631,19321,2950,11707,22,0,35631
UTTAR PRADESH,AZAMGARH,655,11635,3374,12116,33,725,28538
UTTAR PRADESH,BADAUN,1634,26523,11462,13847,487,138,54091
UTTAR PRADESH,BAHRAICH,816,31989,2717,16319,1141,0,52982
UTTAR PRADESH,BALLIA,419,4105,3533,15209,95,131,23492
UTTAR PRADESH,BANDA,1214,2801,1647,419,4,75,6160
UTTAR PRADESH,BARABANKI,1744,15610,3846,11841,159,41,33241
UTTAR PRADESH,BAREILLY,1809,21114,6995,17949,674,71,48612
UTTAR PRADESH,BASTI,1810,15755,6731,21460,317,178,46251
UTTAR PRADESH,BIJNOR,5818,43713,7578,3281,266,234,60890
UTTAR PRADESH,BULANDSHAHR,2038,18658,22730,1478,98,33,45035
UTTAR PRADESH,DEHRADUN,85,200,3,62,108,0,458
UTTAR PRADESH,DEORIA,1052,9171,5785,18029,1016,57,35110
UTTAR PRADESH,ETAH,3333,21073,7680,9799,86,13,41984
UTTAR PRADESH,ETAWAH,1037,11518,4975,11807,38,317,29692
UTTAR PRADESH,FAIZABAD,1264,17534,2826,8974,81,2,30681
UTTAR PRADESH,FARUKHABAD,2816,27466,9208,9934,195,328,49947
UTTAR PRADESH,FATEHPUR,687,6263,2699,2771,11,82,12513
UTTAR PRADESH,FIROZABAD,1413,11582,4208,3112,34,41,20390
UTTAR PRADESH,GHAZIABAD,2587,21321,3119,4075,60,25,31187
UTTAR PRADESH,GHAZIPUR,1541,6398,5860,5883,199,186,20067
UTTAR PRADESH,GONDA,1134,20741,5111,24139,341,24,51490
UTTAR PRADESH,GORAKHPUR,838,9491,7610,27941,377,27,46284
UTTAR PRADESH,HAMIRPUR,444,2618,3394,1006,4,5,7471
UTTAR PRADESH,HARDOI,1744,17723,5027,18147,676,141,43458
UTTAR PRADESH,HARDWAR,426,18881,1205,2249,194,375,23330
UTTAR PRADESH,JALAUN,1050,1815,1198,1154,59,6,5282
UTTAR PRADESH,JAUNPUR,1974,12098,13137,28691,59,65,56024
UTTAR PRADESH,JHANSI,410,347,139,190,6,4,1096
UTTAR PRADESH,KANPUR DEHAT,1427,12711,6912,10534,77,1743,33404
UTTAR PRADESH,KANPUR NAGAR,73,3671,828,2404,1,797,7774
UTTAR PRADESH,KHIRI,4246,28243,7553,17897,760,112,58811
UTTAR PRADESH,KUSHI NAGAR,367,7531,1047,17862,775,264,27846
UTTAR PRADESH,LALITPUR,286,0,0,0,0,0,286
UTTAR PRADESH,LUCKNOW,1933,9112,2955,8387,29,13,22429
UTTAR PRADESH,MAHOBA,27,63,29,36,17,0,172
UTTAR PRADESH,MAHRAJGANJ,496,3970,1907,23789,229,31,30422
UTTAR PRADESH,MAINPURI,772,11088,2330,5718,102,2,20012
UTTAR PRADESH,MATHURA,1568,22814,8608,5485,199,1,38675
UTTAR PRADESH,MAU,309,4464,1311,4438,32,145,10699
UTTAR PRADESH,MEERUT,5677,40329,4825,2152,139,11,53133
UTTAR PRADESH,MIRZAPUR,233,969,307,558,1,83,2151
UTTAR PRADESH,MORADABAD,3133,55117,7036,3100,163,168,68717
UTTAR PRADESH,MUZAFFER NAGAR,1878,48030,5608,6985,129,14,62644
UTTAR PRADESH,NAINITAL,31,5,4,119,27,0,186
UTTAR PRADESH,PILIBHIT,797,12683,7150,5068,1033,35,26766
UTTAR PRADESH,PRATAPGARH,838,5830,5708,25784,21,22,38203
UTTAR PRADESH,RAEBARELY,1552,11722,5473,20398,535,32,39712
UTTAR PRADESH,RAMPUR,304,35096,3607,6543,263,0,45813
UTTAR PRADESH,SAHARANPUR,4041,43220,3416,3655,809,272,55413
UTTAR PRADESH,SANT RAVIDAS NAGAR,315,4417,1359,1066,13,96,7266
UTTAR PRADESH,SHAHJAHANPUR,4098,44677,11288,12603,1845,240,74751
UTTAR PRADESH,SIDDHARTH NAGAR,1337,8786,2011,10202,149,39,22524
UTTAR PRADESH,SITAPUR,3414,30131,6126,16765,1579,36,58051
UTTAR PRADESH,SONBHADRA,328,566,224,122,0,0,1240
UTTAR PRADESH,SULTANPUR,475,5122,4082,22629,261,7,32576
UTTAR PRADESH,UDHAMSINGH NAGAR,854,16443,2023,2533,142,47,22042
UTTAR PRADESH,UNNAO,3145,23560,4269,16094,661,31,47760
UTTAR PRADESH,VARANASI,1865,9054,4460,3127,40,15,18561
WEST BENGAL,BANKURA,721,18329,869,729,825,321,21794
WEST BENGAL,BIRBHUM,531,14264,2390,1859,172,232,19448
WEST BENGAL,BURDWAN,2451,33634,4969,2570,490,1206,45320
WEST BENGAL,COOCHBEHAR,3394,13989,792,1296,1402,734,21607
WEST BENGAL,DAKSHIN DINAJPUR,1799,8777,499,377,599,133,12184
WEST BENGAL,DARJEELING,1298,106,21,39,772,50,2286
WEST BENGAL,HOOGLY,1142,14345,2975,1567,125,219,20373
WEST BENGAL,HOWRAH,9,877,122,8,0,23,1039
WEST BENGAL,JALPAIGURI,1774,1929,98,12,1451,155,5419
WEST BENGAL,MALDA,1870,24365,1339,952,448,462,29436
WEST BENGAL,MIDNAPORE,3512,48950,6082,1658,1246,637,62085
WEST BENGAL,MURSHIDABAD,3584,64392,3555,2522,490,442,74985
WEST BENGAL,NADIA,2913,63141,8936,7447,821,896,84154
WEST BENGAL,NORTH 24 PARGANAS,2299,49136,2817,1862,469,368,56951
WEST BENGAL,PURULIA,1,6,0,4,0,0,11
WEST BENGAL,SOUTH 24 PARGANAS,200,4896,171,837,17,74,6195
WEST BENGAL,UTTAR DINAJPUR,2378,28520,751,559,856,141,33205
DELHI,EAST,1,344,1,0,0,0,346
DELHI,NORTH-EAST,3,467,1,0,0,0,471
DELHI,NORTH-WEST,2,3665,8,0,0,0,3675
DELHI,SOUTH-WEST,26,4142,9,1,1,1,4180
DELHI,WEST,0,347,1,0,0,0,348
PONDICHERRY,KARAIKAL,94,110,5,0,0,0,209
PONDICHERRY,PONDICHERRY,8,3254,265,102,1,7,3637
