-----
{
 "description": "The table refers to District wise Construction of Surface Flow Schemes over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.1.csv", 
 "title": "Download CSV for Districtwise Construction of Surface Flow Schemes over the years", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.1.csv"
}
-----
"State","District","Upto 1993-94","Upto 1994-95","Upto 1995-96","Upto 1996-97","Upto 1997-98","Upto 1998-99","Upto 1999-00","Upto 2000-01","Total (1994-01)"
"JHARKHAND","GIRIDIH",1723,113,35,48,12,8,10,9,1958
"JHARKHAND","GODDA",905,31,8,19,8,6,1,1,979
"JHARKHAND","GUMLA",702,44,51,20,15,7,3,7,849
"JHARKHAND","HAZARIBAGH",944,33,18,12,4,2,1,6,1020
"JHARKHAND","JAMTARA",3009,395,34,10,0,5,0,1,3454
"JHARKHAND","KODERMA",322,35,11,5,14,8,0,1,396
"JHARKHAND","LATEHAR",2242,37,25,52,8,7,7,23,2401
"JHARKHAND","LOHARDAGA",3,1,0,0,0,0,0,0,4
"JHARKHAND","PAKUR",1428,150,89,46,11,3,6,2,1735
"JHARKHAND","PALAMU",5379,210,144,146,28,43,7,7,5964
"JHARKHAND","RANCHI",231,5,17,21,7,1,4,6,292
"JHARKHAND","SAHEBGANJ",1145,165,64,71,40,32,14,15,1546
"JHARKHAND","SARAIKELA",2378,102,124,122,43,37,10,5,2821
"JHARKHAND","SIMDEGA",441,11,9,6,1,0,1,0,469
"JHARKHAND","WEST SINGHBHUM",2389,165,105,37,24,57,11,18,2806
"KARNATAKA","Bagalkote",70,1,0,3,3,0,0,0,77
"KARNATAKA","Bangalore",452,2,4,0,36,5,0,18,517
"KARNATAKA","Bangalore Rural",1019,12,26,27,3,0,0,53,1140
"KARNATAKA","Belgaum",332,3,5,5,4,0,0,5,354
"KARNATAKA","Bellary",95,0,0,7,1,0,0,1,104
"KARNATAKA","Bidar",998,52,143,49,93,82,20,119,1556
"KARNATAKA","Bijapur",226,2,0,0,1,1,0,32,262
"KARNATAKA","Chamaraja Nagara",24,0,1,0,11,0,1,59,96
"KARNATAKA","Chikmagalur",1408,226,108,93,44,33,13,13,1938
"KARNATAKA","Chitradurga",137,4,3,3,0,1,0,9,157
"KARNATAKA","Dakshina Kannada",1148,46,57,34,43,18,4,24,1374
"KARNATAKA","Davanagere",304,48,93,66,39,32,35,43,660
"KARNATAKA","Dharwar",813,2,15,16,0,0,0,3,849
"KARNATAKA","Gadag",33,1,0,0,0,0,0,3,37
"KARNATAKA","Gulbarga",419,14,10,18,13,33,12,19,538
"KARNATAKA","Hassan",3798,307,28,5,1,2,0,272,4413
"KARNATAKA","Haveri",1344,60,82,63,56,35,21,38,1699
"KARNATAKA","Kodagu",638,17,15,8,11,63,36,75,863
"KARNATAKA","Kolar",3422,6,9,7,1,0,1,92,3538
"KARNATAKA","Koppal",54,1,0,2,0,0,0,1,58
"KARNATAKA","Mandya",320,6,7,2,2,6,8,12,363
"KARNATAKA","Mysore",385,10,22,17,6,9,4,47,500
"KARNATAKA","Raichur",294,22,30,89,17,10,16,51,529
"KARNATAKA","Shimoga",4278,117,67,48,33,16,46,112,4717
"KARNATAKA","Tumkur",1199,10,1,16,2,1,2,30,1261
"KARNATAKA","Udupi",1292,116,68,37,9,14,9,14,1559
"KARNATAKA","Uttara Kannada",1377,41,63,32,30,25,14,32,1614
"KERALA","ALAPPUZHA",246,6,11,7,3,7,4,5,289
"KERALA","ERANAKULAM",410,30,21,26,20,26,21,13,567
"KERALA","IDDUKKI",248,17,35,13,17,27,37,26,420
"KERALA","KANNUR",532,35,49,76,46,46,58,16,858
"KERALA","KASARAGODE",382,48,38,38,31,74,59,27,697
"KERALA","KOLLAM",389,6,20,12,31,23,20,17,518
"KERALA","KOTTAYAM",376,41,26,15,16,21,8,30,533
"KERALA","KOZHIKODE",194,27,39,28,36,19,17,17,377
"KERALA","MALAPPURAM",675,45,58,56,58,47,64,26,1029
"KERALA","PALAKKAD",1768,84,102,78,132,74,49,12,2299
"KERALA","PATHANAMTHITTA",201,5,9,8,6,11,8,1,249
"KERALA","THIRUVANANTHAPURAM",1473,55,32,35,29,16,25,16,1681
"KERALA","THRISSUR",844,17,20,15,8,4,9,5,922
"KERALA","WAYANAD",353,19,16,22,17,22,57,12,518
"MADHYA PRADESH","BALAGHAT",6885,36,52,7,9,12,13,13,7027
"MADHYA PRADESH","BARWANI",884,97,106,63,142,143,28,2,1465
"MADHYA PRADESH","BETUL",4279,280,222,104,134,112,65,46,5242
"MADHYA PRADESH","BHIND",44,0,0,0,0,0,0,0,44
"MADHYA PRADESH","BHOPAL",415,3,17,139,105,20,5,0,704
"MADHYA PRADESH","CHHATARPUR",2744,67,38,8,15,94,1,1,2968
"MADHYA PRADESH","CHHINDWARA",922,21,72,70,13,3,30,25,1156
"MADHYA PRADESH","DAMOH",1737,131,149,139,56,22,6,14,2254
"MADHYA PRADESH","DATIA",7,0,0,0,0,0,0,0,7
"MADHYA PRADESH","DEWAS",502,41,20,17,46,17,21,1,665
"MADHYA PRADESH","DHAR",1001,233,12,13,30,7,1,0,1297
"MADHYA PRADESH","GUNA",2640,99,82,244,287,235,105,138,3830
"MADHYA PRADESH","GWALIOR",446,1,1,2,8,0,18,0,476
"MADHYA PRADESH","HARDA",129,7,4,1,2,5,5,0,153
"MADHYA PRADESH","HOSHANGABAD",320,273,40,6,18,11,35,5,708
"MADHYA PRADESH","INDORE",194,1,3,4,209,0,0,28,439
"MADHYA PRADESH","JABALPUR",506,1,2,4,3,2,0,3,521
"MADHYA PRADESH","JHABUA",695,21,36,13,4,24,0,550,1343
"MADHYA PRADESH","KATNI",2309,143,81,23,59,24,12,62,2713
"MADHYA PRADESH","KHANDWA",389,14,23,5,4,2,0,3,440
"MADHYA PRADESH","KHARGONE",690,24,33,16,190,21,42,0,1016
"MADHYA PRADESH","MANDLA",111,0,0,0,1,0,5,8,125
"MADHYA PRADESH","MANDSAUR",72,0,4,1,0,0,1,0,78
"MADHYA PRADESH","MORENA",126,0,0,0,0,0,0,0,126
"MADHYA PRADESH","NARSINGHPUR",563,28,44,89,28,25,23,13,813
"MADHYA PRADESH","NEEMUCH",39,0,1,0,0,0,0,0,40
"MADHYA PRADESH","PANNA",2568,16,135,21,792,16,16,82,3646
"MADHYA PRADESH","RAISEN",7,1,0,0,0,0,0,0,8
"MADHYA PRADESH","RAJGARH",786,0,288,12,20,3,1,0,1110
"MADHYA PRADESH","RATLAM",1972,126,181,54,21,22,9,7,2392
"MADHYA PRADESH","REWA",333,7,4,5,14,0,0,6,369
"MADHYA PRADESH","SAGAR",1495,3,16,0,0,0,7,175,1696
"MADHYA PRADESH","SATNA",124,38,4,10,9,4,3,12,204
"MADHYA PRADESH","SEHORE",305,2,58,14,9,0,3,1,392
"MADHYA PRADESH","SEONI",659,71,18,19,11,13,14,9,814
"MADHYA PRADESH","SHAHDOL",1878,27,2,1,10,11,28,305,2262
"MADHYA PRADESH","SHAJAPUR",409,23,12,5,9,35,5,14,512
"MADHYA PRADESH","SHEOPUR",488,0,3,1,0,0,0,152,644
"MADHYA PRADESH","SHIVPURI",2436,184,193,103,146,45,16,28,3151
"MADHYA PRADESH","SIDHI",135,0,1,2,3,0,0,0,141
"MADHYA PRADESH","TIKAMGARH",1602,2,7,0,3,3,0,5,1622
"MADHYA PRADESH","UJJAIN",302,0,0,1,0,0,5,10,318
"MADHYA PRADESH","UMARIA",254,2,1,2,5,0,14,0,278
"MADHYA PRADESH","VIDISHA",1243,15,4,36,8,18,68,123,1515
"MAHARASHTRA","AHMEDNAGAR",3442,443,194,3,2,2,158,0,4244
"MAHARASHTRA","AKOLA",12114,32,676,172,13,3,55,168,13233
"MAHARASHTRA","AMRAVATI",311,64,7,1,6,3,6,16,414
"MAHARASHTRA","AURANGABAD",266,0,0,0,0,0,0,0,266
"MAHARASHTRA","BEED",1048,42,0,34,0,6,4,0,1134
"MAHARASHTRA","BHANDARA",545,0,3,2,0,1,2,1,554
"MAHARASHTRA","BULDANA",709,37,29,66,71,29,155,87,1183
"MAHARASHTRA","CHANDRAPUR",935,225,7,19,18,131,0,2,1337
"MAHARASHTRA","DHULE",787,32,88,4,4,1,0,0,916
"MAHARASHTRA","GADCHIROLI",4802,96,72,109,34,89,71,44,5317
"MAHARASHTRA","GONDIYA",650,8,6,4,3,1,0,4,676
"MAHARASHTRA","HINGOLI",27,0,2,2,0,0,0,0,31
"MAHARASHTRA","JALGAON",177,0,0,0,0,0,0,9,186
"MAHARASHTRA","JALNA",30,0,0,0,0,0,0,0,30
"MAHARASHTRA","KOLHAPUR",202,0,0,1,0,0,0,0,203
"MAHARASHTRA","LATUR",766,70,59,148,102,28,17,0,1190
"MAHARASHTRA","NAGPUR",266,3,4,2,12,13,1,12,313
"MAHARASHTRA","NANDED",193,10,19,13,9,3,1,2,250
"MAHARASHTRA","NANDURBAR",1502,73,3,0,0,0,0,0,1578
"MAHARASHTRA","NASHIK",4039,83,142,80,321,94,119,392,5270
"MAHARASHTRA","OSMANABAD",1009,57,49,68,57,30,10,17,1297
"MAHARASHTRA","PARBHANI",16,0,6,0,0,0,0,0,22
"MAHARASHTRA","PUNE",8678,183,187,142,300,129,105,185,9909
"MAHARASHTRA","RAIGHAR",258,1,5,7,1,7,1,1,281
"MAHARASHTRA","RATNAGIRI",1186,27,6,5,2,10,18,9,1263
"MAHARASHTRA","SANGLI",2228,0,1084,79,10,83,16,83,3583
"MAHARASHTRA","SATARA",8061,11,65,73,52,28,6,0,8296
"MAHARASHTRA","SINDHUDURGA",487,36,29,15,25,23,33,18,666
"MAHARASHTRA","SOLAPUR",36,3,2,1,0,3,1,1,47
"MAHARASHTRA","THANE",177,0,0,1,0,0,1,0,179
"MAHARASHTRA","WARDHA",94,12,21,4,63,40,17,67,318
"MAHARASHTRA","WASHIM",2860,113,33,43,88,43,83,158,3421
"MAHARASHTRA","YAVATMAL",81,2,0,2,3,1,4,1,94
"MANIPUR","BISHNUPUR",2,0,0,0,1,3,7,8,21
"MANIPUR","CHANDEL",0,0,0,0,2,0,8,12,22
"MANIPUR","CHURACHANDPUR",0,1,5,5,8,9,23,29,80
"MANIPUR","IMPHAL EAST",7,4,1,0,2,2,0,12,28
"MANIPUR","IMPHAL WEST",7,0,2,0,0,1,5,22,37
"MANIPUR","SENAPATI",0,0,0,10,7,2,4,3,26
"MANIPUR","TAMENGLONG",3,5,0,9,0,1,7,14,39
"MANIPUR","THOUBAL",20,3,0,0,0,0,0,0,23
"MANIPUR","UKHRUL",1,1,2,4,10,6,4,8,36
"MEGHALAYA","EAST GARO HILLS",124,8,11,6,6,11,5,23,194
"MEGHALAYA","EAST KHASI HILLS",3350,116,92,62,36,20,25,452,4153
"MEGHALAYA","JAINTIA HILLS",396,202,222,182,137,128,101,83,1451
"MEGHALAYA","RI BHOI",4179,86,76,70,68,68,99,104,4750
"MEGHALAYA","SOUTH GARO HILLS",9,39,32,8,4,4,0,0,96
"MEGHALAYA","WEST GARO HILLS",282,10,21,15,29,24,51,58,490
"MEGHALAYA","WEST KHASI HILLS",862,69,59,41,31,141,57,20,1280
"MIZORAM","AIZAWL",1052,38,36,20,16,19,29,3,1213
"MIZORAM","CHAMPHAI",2180,176,107,109,33,23,15,24,2667
"MIZORAM","KOLASIB",264,46,32,16,23,30,2,18,431
"MIZORAM","LAWNGTLAI",764,72,27,23,25,10,17,17,955
"MIZORAM","LUNGLEI",620,31,11,9,3,0,5,2,681
"MIZORAM","MAMIT",192,44,22,10,2,3,1,13,287
"MIZORAM","SAIHA",339,22,13,9,3,12,3,18,419
"MIZORAM","SERCHHIP",836,174,27,9,3,0,0,0,1049
"NAGALAND","DIMAPUR",851,44,53,14,13,5,19,4,1003
"NAGALAND","KOHIMA",1874,147,134,119,129,106,161,124,2794
"NAGALAND","MOKOKCHUNG",850,79,50,68,41,48,28,17,1181
"NAGALAND","MON",768,38,58,41,36,33,27,54,1055
"NAGALAND","PHEK",3189,73,109,63,84,75,59,34,3686
"NAGALAND","TUENSANG",2567,378,630,428,629,443,315,200,5590
"NAGALAND","WOKHA",1032,67,76,79,53,54,128,62,1551
"NAGALAND","ZUNHEBOTO",2859,40,47,29,21,7,56,27,3086
"ORISSA","ANGUL",251,296,17,14,4,3,7,3,595
"ORISSA","BALASORE",122,0,2,0,1,3,1,0,129
"ORISSA","BARGARH",2506,327,22,29,40,26,17,6,2973
"ORISSA","BHADRAK",217,2,4,1,1,2,3,2,232
"ORISSA","BOLANGIR",1919,47,23,28,14,25,17,12,2085
"ORISSA","BOUDH",318,2,0,2,0,0,0,4,326
"ORISSA","CUTTACK",384,4,8,8,13,23,22,6,468
"ORISSA","DEOGARH",283,4,5,4,2,4,3,1,306
"ORISSA","DHENKANAL",931,226,24,11,6,3,4,2,1207
"ORISSA","GAJAPATI",909,86,98,64,55,51,31,19,1313
"ORISSA","GANJAM",3912,44,76,87,16,13,19,419,4586
"ORISSA","JAGATSINGHPUR",6,1,0,0,0,0,0,0,7
"ORISSA","JAJAPUR",152,25,17,6,5,5,3,5,218
"ORISSA","JHARSUGUDA",253,193,28,21,22,8,2,8,535
"ORISSA","KALAHANDI",873,41,41,25,16,17,9,5,1027
"ORISSA","KANDHAMAL",397,53,48,38,30,17,8,9,600
"ORISSA","KENDRAPARA",6,0,0,0,0,0,0,1,7
"ORISSA","KEONJHAR",659,15,9,25,13,8,6,2,737
"ORISSA","KHURDA",507,11,14,7,9,5,5,8,566
"ORISSA","KORAPUT",1104,96,120,116,83,43,27,38,1627
"ORISSA","MALKANAGIRI",263,76,68,69,57,27,12,2,574
"ORISSA","MAYURBHANJA",856,32,21,14,8,12,6,5,954
"ORISSA","NAWARANGAPUR",98,40,11,7,10,4,8,7,185
"ORISSA","NAYAGARH",460,18,8,17,6,8,3,3,523
"ORISSA","NUAPADA",709,59,42,9,7,6,9,7,848
"ORISSA","PURI",686,3,5,16,0,0,0,35,745
"ORISSA","RAYAGADA",2543,204,201,158,137,80,42,46,3411
"ORISSA","SAMBALPUR",532,259,15,20,5,6,3,3,843
"ORISSA","SONEPUR",392,3,11,5,8,2,3,6,430
"ORISSA","SUNDARGARH",189,32,11,4,3,3,3,1,246
"PONDICHERRY","KARAIKAL",16104,11,40,1,0,0,0,635,16791
"PONDICHERRY","PONDICHERRY",2760,0,2,0,0,0,0,0,2762
"PONDICHERRY","YANAM",588,1,0,0,0,0,0,0,589
"PUNJAB","GURDASPUR",19,0,1,2,3,0,1,0,26
"PUNJAB","HOSHIARPUR",37,0,1,1,0,1,0,0,40
"PUNJAB","MOGA",6,7,4,3,0,0,0,0,20
"PUNJAB","PATIALA",29,0,5,0,0,0,0,0,34
"PUNJAB","ROPAR",1614,1,105,145,1,0,0,0,1866
"RAJASTHAN","AJMER",941,4,2,0,2,0,1,1,951
"RAJASTHAN","ALWAR",4,0,1,0,0,0,0,0,5
"RAJASTHAN","BANSWARA",107,5,0,7,6,18,0,0,143
"RAJASTHAN","BARAN",104,0,1,0,9,2,0,0,116
"RAJASTHAN","BHARATPUR",4,0,0,0,0,0,0,0,4
