-----
{
 "description": "This data provides details of Hon\u2019ble Members of the Seventh Lok Sabha from 18th January 1980 to 31st December 1984. It consists of name of members, constituency name, state name and party name.", 
 "file_name": "Members_of_Seventh_Lok_Sabha_From_18th_January_1980_to_31st_December_1984.xls", 
 "title": "Download XLS for Members of Seventh Lok Sabha from 18th January 1980 to 31st December 1984", 
 "url": "http://data.gov.in/sites/default/files/Members_of_Seventh_Lok_Sabha_From_18th_January_1980_to_31st_December_1984.xls"
}
-----
"Lok Sabha","Member Name","Gender","Constituency Name","State Name","Party Name"
"Seventh Lok Sabha","Sardar Buta Singh","Male","Ropar-SC                                                                                            ","Punjab                                                      ","Congress (I)"
"Seventh Lok Sabha","Shri Satyasadhan Chakraborty","Male","Calcutta South                                                                                      ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Seventh Lok Sabha","Shri Chakradhari Singh","Male","Sarguja-ST                                                                                          ","Madhya Pradesh                                              ","Congress (I)"
"Seventh Lok Sabha","Shri Chandra Shekhar","Male","Ballia                                                                                              ","Uttar Pradesh                                               ","Janata Party"
"Seventh Lok Sabha","Shri Chandra Shekhar Singh","Male","Banka                                                                                               ","Bihar                                                       ","Congress (I)"
"Seventh Lok Sabha","Shri Chandulal Chandrakar","Male","Durg                                                                                                ","Madhya Pradesh                                              ","Congress (I)"
"Seventh Lok Sabha","Shri T.V. Chandrashekarappa","Male","Davangere                                                                                           ","Karnataka                                                   ","Congress (I)"
"Seventh Lok Sabha","Chaudhari Charan Singh","Male","Baghpat                                                                                             ","Uttar Pradesh                                               ","Janata (S)"
"Seventh Lok Sabha","Shri Charanjit Singh","Male","South Delhi                                                                                         ","Delhi                                                       ","Congress (I)"
"Seventh Lok Sabha","Shri Somnath Chatterjee","Male","Jadavpur                                                                                            ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Seventh Lok Sabha","Shri Chaturbhuj","Male","Jhalawar                                                                                            ","Rajasthan                                                   ","Janata Party"
"Seventh Lok Sabha","Smt. Vidyawati Chaturvedi","Female","Khajuraho                                                                                           ","Madhya Pradesh                                              ","Congress (I)"
"Seventh Lok Sabha","Shri Manphool Singh Bhadu Chaudhary","Male","Bikaner                                                                                             ","Rajasthan                                                   ","Congress (I)"
"Seventh Lok Sabha","Shri Motibhai Ranchhodbhai Chaudhary","Male","Mehsana                                                                                             ","Gujarat                                                     ","Janata Party"
"Seventh Lok Sabha","Shri Tridib Chaudhuri","Male","Berhampore                                                                                          ","West Bengal                                                 ","Revolutionary Socialist Party"
"Seventh Lok Sabha","Shri Fatehbhan Singh Chauhan","Male","Dhar-ST                                                                                             ","Madhya Pradesh                                              ","Congress (I)"
"Seventh Lok Sabha","Shri SHankarrao Bhaurao Chavan","Male","Nanded                                                                                              ","Maharashtra                                                 ","Congress (I)"
"Seventh Lok Sabha","Shri Yashwantrao Balwantrao Chavan","Male","Satara                                                                                              ","Maharashtra                                                 ","Congress (U)"
"Seventh Lok Sabha","Shri Ishwarbhai Khodabhai Chavda","Male","Anand                                                                                               ","Gujarat                                                     ","Congress (I)"
"Seventh Lok Sabha","Smt. Vidya Chennupati","Female","Vijayawada                                                                                          ","Andhra Pradesh                                              ","Congress (I)"
"Seventh Lok Sabha","Shri Chhangur Ram","Male","Lalganj-SC                                                                                          ","Uttar Pradesh                                               ","Janata (S)"
"Seventh Lok Sabha","Shri Chingwang Konyak","Male","Nagaland                                                                                            ","Nagaland                                                    ","Congress (I)"
"Seventh Lok Sabha","Shri C. Chinnaswamy","Male","Gobichettipalayam                                                                                   ","Tamil Nadu                                                  ","All India Anna Dravida Munnetra Kazhagam"
"Seventh Lok Sabha","Shri Narayan Choubey","Male","Midnapore                                                                                           ","West Bengal                                                 ","Communist Party of India"
"Seventh Lok Sabha","Shri Chitturi Subba Rao Choudhari","Male","Eluru                                                                                               ","Andhra Pradesh                                              ","Congress (I)"
"Seventh Lok Sabha","Shri Kalingappa Bhimanna Choudhari","Male","Bijapur                                                                                             ","Karnataka                                                   ","Congress (I)"
"Seventh Lok Sabha","Smt. Usha Prakash Choudhari","Female","Amravati                                                                                            ","Maharashtra                                                 ","Congress (I)"
"Seventh Lok Sabha","Shri A.B.A. Ghani Khan Choudhury","Male","Malda                                                                                               ","West Bengal                                                 ","Congress (I)"
"Seventh Lok Sabha","Shri Saifuddin Choudhury","Male","Katwa                                                                                               ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Seventh Lok Sabha","Shri Ajitsinh Dabhi","Male","Kaira                                                                                               ","Gujarat                                                     ","Congress (I)"
"Seventh Lok Sabha","Shri Mool Chand Daga","Male","Pali                                                                                                ","Rajasthan                                                   ","Congress (I)"
"Seventh Lok Sabha","Shri Dalbir Singh","Male","Sirsa-SC                                                                                            ","Haryana                                                     ","Congress (I)"
"Seventh Lok Sabha","Shri Dalbir Singh","Male","Shahdol-ST                                                                                          ","Madhya Pradesh                                              ","Congress (I)"
"Seventh Lok Sabha","Shri Somjibhai Damor","Male","Dohad-ST                                                                                            ","Gujarat                                                     ","Congress (I)"
"Seventh Lok Sabha","Prof. Madhu Dandavate","Male","Rajapur                                                                                             ","Maharashtra                                                 ","Janata Dal"
"Seventh Lok Sabha","Smt. Pramila Madhu Dandavate","Female","Bombay North Central                                                                                ","Maharashtra                                                 ","Janata Party"
"Seventh Lok Sabha","Shri Anadi Charan Das","Male","Jajpur-SC                                                                                           ","Odisha                                                      ","Congress (I)"
"Seventh Lok Sabha","Shri Renu Pada Das","Male","Krishnagar                                                                                          ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Seventh Lok Sabha","Shri Amal Datta","Male","Diamond Harbour                                                                                     ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Seventh Lok Sabha","Shri N. Dennis","Male","Nagercoil                                                                                           ","Tamil Nadu                                                  ","Tamil Manila Congress (Moopanar)"
"Seventh Lok Sabha","Shri V. Kishore Chandra Deo","Male","Parvathipuram-ST                                                                                    ","Andhra Pradesh                                              ","Congress (U)"
"Seventh Lok Sabha","Shri B.V. Desai","Male","Raichur                                                                                             ","Karnataka                                                   ","Congress (I)"
"Seventh Lok Sabha","Shri Sontosh Mohan Dev","Male","Silchar                                                                                             ","Assam                                                       ","Congress (I)"
"Seventh Lok Sabha","Shri B. Devarajan","Male","Rasipuram-SC                                                                                        ","Tamil Nadu                                                  ","Congress (I)"
"Seventh Lok Sabha","Shri Devi Lal","Male","Sonepat                                                                                             ","Haryana                                                     ","Janata (S)"
"Seventh Lok Sabha","Shri C.T. Dhandapani","Male","Pollachi-SC                                                                                         ","Tamil Nadu                                                  ","Dravida Munnetra Kazhagam"
"Seventh Lok Sabha","Shri Jambuwant Bapurao Dhote","Male","Nagpur                                                                                              ","Maharashtra                                                 ","Congress (I)"
"Seventh Lok Sabha","Chaudhary Digambar Singh","Male","Mathura                                                                                             ","Uttar Pradesh                                               ","Janata (S)"
"Seventh Lok Sabha","Dr. Pratapsinh Jala Digvijaysinh ","Male","Surendranagar                                                                                       ","Gujarat                                                     ","Congress (I)"
"Seventh Lok Sabha","Shri Girdhari Lal Dogra","Male","Jammu                                                                                               ","Jammu and Kashmir                                           ","Congress (I)"
"Seventh Lok Sabha","Shri Doongar Singh","Male","Hamirpur                                                                                            ","Uttar Pradesh                                               ","Congress (I)"
"Seventh Lok Sabha","Shri Bindeshwari Dubey","Male","Giridih                                                                                             ","Bihar                                                       ","Congress (I)"
"Seventh Lok Sabha","Shri Ramnath Dubey","Male","Banda                                                                                               ","Uttar Pradesh                                               ","Congress (I)"
"Seventh Lok Sabha","Shri Christopher Ekka","Male","Sundergarh-ST                                                                                       ","Odisha                                                      ","Congress (I)"
"Seventh Lok Sabha","Shri Biren Singh Engti","Male","Autonomous District-ST                                                                              ","Assam                                                       ","Congress (I)"
"Seventh Lok Sabha","Shri Eduardo Faleiro","Male","Mormugao                                                                                            ","Goa, Daman and Diu                                          ","Congress (I)"
"Seventh Lok Sabha","Shri George Fernandes","Male","Muzaffarpur                                                                                         ","Bihar                                                       ","Janata (S)"
"Seventh Lok Sabha","Shri Oscar Fernandes","Male","Udipi                                                                                               ","Karnataka                                                   ","Congress (I)"
"Seventh Lok Sabha","Shri Vithal Narhar Gadgil","Male","Pune                                                                                                ","Maharashtra                                                 ","Congress (I)"
"Seventh Lok Sabha","Shri Bheravdan Khetdangi Gadhvi","Male","Banaskantha                                                                                         ","Gujarat                                                     ","Congress (I)"
"Seventh Lok Sabha","Shri Ranjit Sinh Gaekwad","Male","Baroda                                                                                              ","Gujarat                                                     ","Congress (I)"
"Seventh Lok Sabha","Shri Udaysingrao Gaikwad","Male","Kolhapur                                                                                            ","Maharashtra                                                 ","Congress (I)"
"Seventh Lok Sabha","Shri Giridhar Gamang","Male","Koraput-ST                                                                                          ","Odisha                                                      ","Congress (I)"
"Seventh Lok Sabha","Shri Chhitubhai Gamit","Male","Mandvi-ST                                                                                           ","Gujarat                                                     ","Congress (I)"
"Seventh Lok Sabha","Smt. Indira Gandhi","Female","Medak                                                                                               ","Andhra Pradesh                                              ","Congress (I)"
"Seventh Lok Sabha","Shri Rajiv Gandhi","Male","Amethi                                                                                              ","Uttar Pradesh                                               ","Congress (I)"
"Seventh Lok Sabha","Shri Sanjay Gandhi","Male","Amethi                                                                                              ","Uttar Pradesh                                               ","Congress (I)"
"Seventh Lok Sabha","Shri Harish Kumar Gangawar","Male","Pilibhit                                                                                            ","Uttar Pradesh                                               ","Congress (I)"
"Seventh Lok Sabha","Shri Devinder Singh Garcha","Male","Ludhiana                                                                                            ","Punjab                                                      ","Congress (I)"
"Seventh Lok Sabha","Shri Manikrao Hodlya Gavit","Male","Nandurbar-ST                                                                                        ","Maharashtra                                                 ","Congress (I)"
"Seventh Lok Sabha","Smt. Gayatri Devi","Female","Kairana                                                                                             ","Uttar Pradesh                                               ","Janata (S)"
"Seventh Lok Sabha","Shri Ashok Gehlot","Male","Jodhpur                                                                                             ","Rajasthan                                                   ","Congress (I)"
"Seventh Lok Sabha","Shri R.Y. Ghorpade","Male","Bellary                                                                                             ","Karnataka                                                   ","Congress (I)"
"Seventh Lok Sabha","Shri Niren Ghosh","Male","Dumdum                                                                                              ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Seventh Lok Sabha","Smt. Bibha Ghosh Goswami","Female","Nabadwip-SC                                                                                         ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Seventh Lok Sabha","Prof. Sudhir Kumar Giri","Male","Contai                                                                                              ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Seventh Lok Sabha","Shri Tarun Gogoi","Male","Jorhat                                                                                              ","Assam                                                       ","Congress (I)"
