-----
{
 "description": "The table refers to Block wise Distribution of Dugwells according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.10.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.10.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Horse Power (0-2),Horse Power (2 - 4),Horse Power (4 - 6),Horse Power (6 -8),Horse Power (8 - 10),Horse Power (Above 10),Unspecified,Total
KERALA,THRISSUR,OLLUKKARA,1241,899,63,3,1,7,35,2249
KERALA,THRISSUR,PAZHAYANNUR,1389,647,47,0,0,6,164,2253
KERALA,THRISSUR,PUZHAKKAL,1694,1165,62,0,2,4,26,2953
KERALA,THRISSUR,THALIKULAM,801,361,10,2,1,0,13,1188
KERALA,THRISSUR,THRISSUR CORPORATION,1040,712,24,1,2,4,8,1791
KERALA,THRISSUR,VADAKKANCHERRY,2277,822,26,0,1,3,15,3144
KERALA,THRISSUR,VELLANGALLUR,863,559,96,0,1,0,4,1523
KERALA,WAYANAD,KALPETTA,48,1,42,2,0,0,7,100
KERALA,WAYANAD,KALPETTA MUNI,1,0,1,0,0,0,3,5
KERALA,WAYANAD,MANANTHAVADI,141,9,16,1,2,2,45,216
KERALA,WAYANAD,SULTHANBATHERI,77,96,155,7,21,0,10,366
MADHYA PRADESH,BALAGHAT,BAIHAR,23,4,21,0,0,0,113,161
MADHYA PRADESH,BALAGHAT,BALAGHAT,153,792,215,0,0,2,223,1385
MADHYA PRADESH,BALAGHAT,BIRSA,10,76,32,0,0,0,314,432
MADHYA PRADESH,BALAGHAT,KATANGI,477,1166,238,0,8,171,503,2563
MADHYA PRADESH,BALAGHAT,KHAIRLANJI,360,590,184,1,0,0,479,1614
MADHYA PRADESH,BALAGHAT,KIRNAPUR,585,1058,404,1,0,2,195,2245
MADHYA PRADESH,BALAGHAT,LALBURRA,432,916,135,0,2,1,86,1572
MADHYA PRADESH,BALAGHAT,LANJI,497,682,158,0,0,2,57,1396
MADHYA PRADESH,BALAGHAT,PARASWADA,35,20,32,1,0,0,388,476
MADHYA PRADESH,BALAGHAT,WARASEONI,190,467,223,0,1,1,55,937
MADHYA PRADESH,BARWANI,BARWANI,1,640,172,21,11,2,471,1318
MADHYA PRADESH,BARWANI,NIWALI,0,80,211,0,0,0,70,361
MADHYA PRADESH,BARWANI,PANSEMAL,0,477,874,11,1,1,225,1589
MADHYA PRADESH,BARWANI,PATI,3,721,154,3,0,1,296,1178
MADHYA PRADESH,BARWANI,RAJPUR,1,5249,938,7,3,1,621,6820
MADHYA PRADESH,BARWANI,SENDHWA,1,1796,890,17,19,1,452,3176
MADHYA PRADESH,BARWANI,THIKRI,0,2689,1105,20,14,0,185,4013
MADHYA PRADESH,BETUL,AMLA,28,7444,821,0,0,0,100,8393
MADHYA PRADESH,BETUL,ATHNER,30,2360,515,8,0,0,14,2927
MADHYA PRADESH,BETUL,BETUL,517,7394,580,13,0,0,179,8683
MADHYA PRADESH,BETUL,BHAINSDEHI,30,2616,542,15,0,0,175,3378
MADHYA PRADESH,BETUL,BHIMPURA,4,1355,847,182,1,0,23,2412
MADHYA PRADESH,BETUL,CHICHOLI,1,3222,492,0,0,1,64,3780
MADHYA PRADESH,BETUL,GHODA DONGRI,221,2667,486,7,1,0,53,3435
