-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes by type. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.5.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes by type", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.5.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Tanks,Storage,Permanent Diversion,Temporary Diversion,Water Conversation,Total
ANDHRA PRADESH,CUDDAPAH,ATLUR,39,0,0,0,0,39
ANDHRA PRADESH,CUDDAPAH,B KODUR,2,1,0,0,0,3
ANDHRA PRADESH,CUDDAPAH,BADVEL,27,0,0,1,1,29
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,27,0,0,0,12,39
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,26,63,0,0,0,89
ANDHRA PRADESH,CUDDAPAH,CHENNUR,3,0,0,0,0,3
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,86,31,9,0,0,126
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,24,1,0,11,0,36
ANDHRA PRADESH,CUDDAPAH,CHITVEL,14,0,0,0,0,14
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,5,0,0,2,0,7
ANDHRA PRADESH,CUDDAPAH,DUVVUR,2,0,0,0,0,2
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,186,54,1,44,0,285
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,34,3,0,0,0,37
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,8,10,0,0,54,72
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,14,1,0,0,0,15
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,6,0,0,0,0,6
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,6,0,4,0,0,10
ANDHRA PRADESH,CUDDAPAH,KODUR,18,0,0,0,0,18
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,2,0,0,0,0,2
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,26,92,0,0,16,134
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,9,1,0,0,0,10
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,24,0,7,15,0,46
ANDHRA PRADESH,CUDDAPAH,NANDALUR,19,7,0,0,0,26
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,8,22,0,0,0,30
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,3,0,0,0,0,3
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,17,1,0,0,0,18
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,51,0,2,1,26,80
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,26,3,0,0,0,29
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,14,10,0,0,0,24
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,74,0,0,20,0,94
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,35,88,0,0,0,123
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,13,0,0,0,0,13
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,85,2,0,0,93,180
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,0,0,0,0,2,2
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,63,42,0,41,22,168
ANDHRA PRADESH,CUDDAPAH,THANDUR,5,0,0,0,0,5
ANDHRA PRADESH,CUDDAPAH,VALLUR,10,0,0,0,0,10
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,78,0,1,0,0,79
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,4,0,0,0,0,4
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,0,11,0,12,47,70
ANDHRA PRADESH,CUDDAPAH,VEMULA,6,2,0,0,56,64
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,9,19,3,0,6,37
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,3,0,0,0,0,3
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,62,8,0,0,0,70
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHI,18,0,0,0,0,18
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,33,0,0,0,0,33
ANDHRA PRADESH,EAST GODAVARI,DEVIPATNAM,53,0,0,0,0,53
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,123,0,0,0,0,123
