-----
{
 "description": "The table refers to Block wise Surface Flow Schemes- Potential Created and Utilized through Tanks. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.12.csv", 
 "title": "Download CSV for Blockwise Surface Flow Schemes- Potential Created and Utilized through Tanks", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.12.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Tanks,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others,Total,Irrigation potential utilised - Kharif,Irrigation potential utilised - Rabi,Irrigation potential utilised - Perennial,Irrigation potential utilised - Others,Total,
ANDHRA PRADESH,VISAKHAPATNAM,VISAKHAPATNAM,1,10,0,0,0,10,4,0,0,0,4,
ANDHRA PRADESH,VISAKHAPATNAM,YELAMANCHILI,41,3570,0,9,0,3579,3248,0,7,0,3255,
ANDHRA PRADESH,VIZIANAGARAM,BADANGI,324,2603,23,551,2,3178,1557,4,360,2,1923,
ANDHRA PRADESH,VIZIANAGARAM,BALAJIPETA,290,3144,237,54,144,3579,3073,211,0,19,3303,
ANDHRA PRADESH,VIZIANAGARAM,BHOGHAPURAM,102,1224,0,0,0,1224,997,0,0,0,997,
ANDHRA PRADESH,VIZIANAGARAM,BOBBILI,328,4721,11,0,0,4732,3149,3,0,0,3152,
ANDHRA PRADESH,VIZIANAGARAM,BONDAPALLE,444,4829,36,0,0,4865,4188,4,0,0,4192,
ANDHRA PRADESH,VIZIANAGARAM,CHEEPURUPALLE,210,1908,0,0,0,1908,598,0,0,0,598,
ANDHRA PRADESH,VIZIANAGARAM,DATTIRAJERU,485,4141,204,0,0,4344,3876,176,0,0,4051,
ANDHRA PRADESH,VIZIANAGARAM,DENKADA,174,2170,0,0,0,2170,2007,0,0,0,2007,
ANDHRA PRADESH,VIZIANAGARAM,GAJAPATHINAGARAM,354,3963,0,0,0,3963,3495,0,0,0,3495,
ANDHRA PRADESH,VIZIANAGARAM,GANTYADA,354,4446,2603,0,0,7049,3410,179,0,0,3589,
ANDHRA PRADESH,VIZIANAGARAM,GARIVIDI,330,2855,0,0,0,2855,1578,0,0,0,1578,
ANDHRA PRADESH,VIZIANAGARAM,GARUGUBILLI,271,3637,0,0,0,3637,3595,0,0,0,3595,
ANDHRA PRADESH,VIZIANAGARAM,GUMMALAKSHMIPURAM,30,516,0,0,0,516,346,0,0,0,346,
ANDHRA PRADESH,VIZIANAGARAM,GURLA,361,3508,35,143,0,3686,1807,0,0,0,1807,
ANDHRA PRADESH,VIZIANAGARAM,JAMI,184,3262,5,0,0,3267,3260,0,0,0,3260,
ANDHRA PRADESH,VIZIANAGARAM,JIYYAMMA VALASA,107,1324,0,0,0,1324,1268,0,0,0,1268,
ANDHRA PRADESH,VIZIANAGARAM,KOMARADA,273,2788,14,0,0,2802,2223,11,0,0,2234,
ANDHRA PRADESH,VIZIANAGARAM,KOTHAVALASA,289,2651,19,27,0,2697,1454,0,17,0,1471,
ANDHRA PRADESH,VIZIANAGARAM,KURUPAM,84,848,0,27,0,875,842,0,27,0,869,
ANDHRA PRADESH,VIZIANAGARAM,LAKKAVARAPUKOTA,369,5263,430,25,25,5743,4280,82,1,25,4388,
ANDHRA PRADESH,VIZIANAGARAM,MAKKUVA,122,918,13,0,0,931,918,13,0,0,931,
ANDHRA PRADESH,VIZIANAGARAM,MENTADA,297,3452,910,42,0,4403,3408,441,25,0,3875,
ANDHRA PRADESH,VIZIANAGARAM,MERAKAMUDIDAM,302,2918,134,10,0,3062,2268,68,0,0,2336,
ANDHRA PRADESH,VIZIANAGARAM,NELLIMARLA,240,3247,0,0,0,3247,1501,0,0,0,1501,
ANDHRA PRADESH,VIZIANAGARAM,PACHIPENTA,78,408,0,0,0,408,0,0,0,0,0,
ANDHRA PRADESH,VIZIANAGARAM,PARVATHIPURAM,490,9174,104,3,0,9282,7481,104,0,0,7586,
ANDHRA PRADESH,VIZIANAGARAM,PUSAPATIREGA,252,3282,0,0,0,3282,2838,0,0,0,2838,
ANDHRA PRADESH,VIZIANAGARAM,RAMABHADRAPURAM,234,2826,16,74,0,2916,1880,14,43,0,1937,
ANDHRA PRADESH,VIZIANAGARAM,SALUR,229,1873,2,23,0,1898,1873,2,23,0,1898,
ANDHRA PRADESH,VIZIANAGARAM,SEETHANAGARAM,264,3136,0,0,0,3136,2638,0,0,0,2638,
ANDHRA PRADESH,VIZIANAGARAM,SRUNGAVARAPUKOTA,232,3614,0,789,0,4402,3341,0,773,0,4114,
ANDHRA PRADESH,VIZIANAGARAM,THERLAM,467,4612,5,457,0,5074,3900,0,401,0,4301,
ANDHRA PRADESH,VIZIANAGARAM,VEPADA,354,4328,44,362,0,4733,4021,44,357,0,4422,
ANDHRA PRADESH,VIZIANAGARAM,VIZIANAGARAM,286,3535,1,0,0,3536,2846,1,0,0,2847,
ANDHRA PRADESH,WARANGAL,ATMAKUR,138,8388,700,0,0,9088,5416,670,0,0,6086,
ANDHRA PRADESH,WARANGAL,BACHANNAPETA,13,740,854,0,0,1595,0,0,0,0,0,
ANDHRA PRADESH,WARANGAL,BHUPALPALLE,50,3146,1160,0,0,4306,3041,582,0,0,3623,
ANDHRA PRADESH,WARANGAL,CHENNARAOPET,52,4446,0,0,0,4446,4446,0,0,0,4446,
ANDHRA PRADESH,WARANGAL,CHERIYAL,153,4891,4734,0,0,9625,110,0,0,0,110,
ANDHRA PRADESH,WARANGAL,CHITYAL,125,5495,912,0,0,6407,4085,0,0,0,4085,
ANDHRA PRADESH,WARANGAL,DEVARUPPULA,49,796,120,0,0,916,707,0,0,0,707,
ANDHRA PRADESH,WARANGAL,DHARMASAGAR,34,3089,0,0,0,3089,5,0,0,0,5,
ANDHRA PRADESH,WARANGAL,DORNAKAL,49,3717,0,0,0,3717,3693,0,0,0,3693,
ANDHRA PRADESH,WARANGAL,DUGGONDI,25,671,0,0,0,671,527,0,0,0,527,
ANDHRA PRADESH,WARANGAL,ETURNAGARAM,36,1800,0,0,0,1800,1800,0,0,0,1800,
ANDHRA PRADESH,WARANGAL,GEESUGONDA,0,0,0,0,0,0,0,0,0,0,0,
ANDHRA PRADESH,WARANGAL,GHANAPUR,73,5167,1161,0,0,6328,4775,1091,0,0,5866,
ANDHRA PRADESH,WARANGAL,GHANPUR(stn),112,3329,2410,0,0,5739,100,563,0,0,663,
ANDHRA PRADESH,WARANGAL,GOVINDARAOPET,31,1914,100,0,0,2014,1914,100,0,0,2014,
ANDHRA PRADESH,WARANGAL,GUDUR,25,2919,156,0,0,3075,2918,52,0,0,2970,
ANDHRA PRADESH,WARANGAL,HANAMKONDA,90,4872,296,0,0,5168,3348,100,0,0,3448,
ANDHRA PRADESH,WARANGAL,HASANPARTHY,104,947,6,0,0,953,733,5,0,0,738,
ANDHRA PRADESH,WARANGAL,JANGAON,33,1645,21,0,0,1666,0,0,0,0,0,
ANDHRA PRADESH,WARANGAL,KESAMUDRAM,30,4328,4328,0,0,8656,3006,340,0,0,3346,
ANDHRA PRADESH,WARANGAL,KHANAPUR,11,810,40,0,0,850,810,40,0,0,850,
ANDHRA PRADESH,WARANGAL,KODAKANDLA,35,2414,1009,0,0,3423,2368,949,0,0,3317,
ANDHRA PRADESH,WARANGAL,KOTHAGUDEM,46,3096,220,0,0,3316,2911,160,0,0,3071,
ANDHRA PRADESH,WARANGAL,KURAVI,111,5519,0,0,0,5519,4489,0,0,0,4489,
ANDHRA PRADESH,WARANGAL,LINGALA GHANPUR,24,2502,0,0,0,2502,140,0,0,0,140,
ANDHRA PRADESH,WARANGAL,MADDUR,99,3146,3146,0,0,6292,0,0,0,0,0,
ANDHRA PRADESH,WARANGAL,MAHABUBABAD,76,5340,786,0,0,6126,2546,579,0,0,3125,
ANDHRA PRADESH,WARANGAL,MANGAPET,54,3421,110,0,0,3531,3113,50,0,0,3163,
ANDHRA PRADESH,WARANGAL,MARIPEDA,83,2244,1960,577,1152,5933,2189,1778,526,908,5401,
ANDHRA PRADESH,WARANGAL,MOGULLAPALLE,32,2182,15,0,0,2197,1887,15,0,0,1902,
ANDHRA PRADESH,WARANGAL,MULUG,128,8174,775,0,0,8949,8161,775,0,0,8936,
ANDHRA PRADESH,WARANGAL,NALLABELLY,61,2940,90,0,0,3030,2780,70,0,0,2850,
ANDHRA PRADESH,WARANGAL,NARMETTA,22,348,143,0,0,491,0,0,0,0,0,
ANDHRA PRADESH,WARANGAL,NARSAMPET,58,6433,0,0,0,6433,6432,0,0,0,6432,
ANDHRA PRADESH,WARANGAL,NARSIMHULAPET,39,2355,843,0,0,3198,2075,448,0,0,2523,
ANDHRA PRADESH,WARANGAL,NEKKONDA,80,4781,4761,0,0,9543,3692,2124,0,0,5816,
ANDHRA PRADESH,WARANGAL,NELLIKUDUR,12,1339,452,0,0,1791,1339,250,0,0,1589,
ANDHRA PRADESH,WARANGAL,PALAKURTHI,103,4245,832,0,0,5077,0,0,0,0,0,
ANDHRA PRADESH,WARANGAL,PARKAL,129,7179,2021,0,0,9200,6003,2004,0,0,8007,
ANDHRA PRADESH,WARANGAL,PARVATHAGIRI,22,2748,550,0,0,3298,2518,400,0,0,2918,
ANDHRA PRADESH,WARANGAL,RAGHUNATHA PALLE,102,4563,1143,0,0,5706,1125,0,0,0,1125,
ANDHRA PRADESH,WARANGAL,RAIPARTHY,110,6401,2157,0,0,8558,3717,839,0,0,4556,
ANDHRA PRADESH,WARANGAL,REGONDA,31,5737,5372,0,0,11108,4439,703,0,0,5142,
ANDHRA PRADESH,WARANGAL,SANGEM,108,5176,215,6,0,5396,5067,165,4,0,5235,
ANDHRA PRADESH,WARANGAL,SHAYAMPET,76,4432,705,0,0,5137,4110,325,0,0,4435,
ANDHRA PRADESH,WARANGAL,TADVAI,51,3753,130,0,12,3895,3325,40,0,12,3377,
ANDHRA PRADESH,WARANGAL,THORRUR,25,5186,1983,0,0,7169,3044,1240,0,0,4284,
ANDHRA PRADESH,WARANGAL,VENKATAPUR,77,6305,645,0,0,6950,5732,455,0,0,6187,
ANDHRA PRADESH,WARANGAL,WARDHANNAPET,31,7030,432,0,0,7462,5566,432,0,0,5998,
ANDHRA PRADESH,WARANGAL,ZAFFERGADH,16,2456,1532,0,0,3988,1766,0,0,0,1766,
ANDHRA PRADESH,WEST GODAVARI,BHIMADOLE,38,701,0,0,0,701,169,0,0,0,169,
ANDHRA PRADESH,WEST GODAVARI,BUTTAYAGUDEM,48,1901,685,0,0,2586,1102,0,0,0,1102,
ANDHRA PRADESH,WEST GODAVARI,CHINTALAPUDI,162,3921,0,0,0,3921,3920,0,0,0,3920,
ANDHRA PRADESH,WEST GODAVARI,DENDULURU,108,2733,0,0,0,2733,1573,0,0,0,1573,
ANDHRA PRADESH,WEST GODAVARI,DEVARAPALLE,48,1636,0,0,0,1636,1293,0,0,0,1293,
ANDHRA PRADESH,WEST GODAVARI,DWARAKA TIRUMALA,111,2974,0,0,0,2974,2853,0,0,0,2853,
ANDHRA PRADESH,WEST GODAVARI,GOPALAPURAM,115,2353,0,0,0,2353,2222,0,0,0,2222,
ANDHRA PRADESH,WEST GODAVARI,JANGAREDDIGUDEM,46,1776,557,0,0,2333,1776,557,0,0,2333,
ANDHRA PRADESH,WEST GODAVARI,JEELUGUMILLI,36,1301,123,0,0,1424,846,25,0,0,871,
ANDHRA PRADESH,WEST GODAVARI,KAMAVARAPUKOTA,175,2849,0,0,0,2849,2849,0,0,0,2849,
ANDHRA PRADESH,WEST GODAVARI,KOVVUR,1,16,0,0,0,16,15,0,0,0,15,
ANDHRA PRADESH,WEST GODAVARI,KOYYALAGUDEM,102,1190,8,0,0,1198,913,1,0,0,914,
ANDHRA PRADESH,WEST GODAVARI,LINGAPALEM,94,2388,0,0,0,2388,2388,0,0,0,2388,
ANDHRA PRADESH,WEST GODAVARI,NALLAJERLA,24,334,0,0,0,334,175,0,0,0,175,
ANDHRA PRADESH,WEST GODAVARI,NIDADAVOLE,11,186,0,0,0,186,0,0,0,0,0,
ANDHRA PRADESH,WEST GODAVARI,PEDAPADU,32,3293,2494,0,0,5787,0,0,0,0,0,
ANDHRA PRADESH,WEST GODAVARI,PEDAVEGI,98,4123,0,0,0,4123,2804,0,0,0,2804,
ANDHRA PRADESH,WEST GODAVARI,POLAVARAM,24,1900,204,32,20,2157,629,85,32,2,748,
ANDHRA PRADESH,WEST GODAVARI,T NARASAPURAM,87,1440,0,0,0,1440,1440,0,0,0,1440,
ANDHRA PRADESH,WEST GODAVARI,TADEPALLIGUDEM,51,2294,0,0,0,2294,1316,0,0,0,1316,
ANDHRA PRADESH,WEST GODAVARI,THALLAPUDI,1,52,0,0,0,52,33,0,0,0,33,
ANDHRA PRADESH,WEST GODAVARI,UNGUTURU,53,965,0,0,0,965,703,0,0,0,703,
ARUNACHAL PRADESH,CHANGLANG,BORDUMSA-DIYUN,18,445,18,0,0,463,55,9,0,0,64,
ARUNACHAL PRADESH,CHANGLANG,CHANGLANG,2,16,0,0,0,16,6,0,0,0,6,
ARUNACHAL PRADESH,CHANGLANG,KHAGAM MIAO,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,CHANGLANG,NAMPONG-MANMAO,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,DIBANG VALLEY,ANINI-ETALIN,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,DIBANG VALLEY,HUNLI KRONLI,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,DIBANG VALLEY,ROING-DAMBUK,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,EAST KAMENG,BAMENG,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,EAST KAMENG,CHIYAN-TAJO,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,EAST KAMENG,PAKKE-KESSANG,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,EAST KAMENG,SEPPA,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,EAST SIANG,BOLENG,1,5,0,0,0,5,0,0,0,0,0,
ARUNACHAL PRADESH,EAST SIANG,MEBO,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,EAST SIANG,PASIGHAT,2,50,0,0,0,50,35,0,0,0,35,
ARUNACHAL PRADESH,EAST SIANG,RAMLE-BANGO,10,60,0,0,0,60,41,0,0,0,41,
ARUNACHAL PRADESH,LOHIT,HAWAI-WALLONG,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,LOHIT,HAYULIANG,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,LOHIT,NAMSAI-CHOWKHAM,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,LOHIT,TEZU-SUNPURA,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,LOHIT,WAKRO,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,LOWER SUBANSIRI,CHAMBANG,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,LOWER SUBANSIRI,DAMIN,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,LOWER SUBANSIRI,KOLORIANG,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,LOWER SUBANSIRI,NYAPIN,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,LOWER SUBANSIRI,PALIN,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,LOWER SUBANSIRI,PARSIPARLO,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,LOWER SUBANSIRI,PISTANA,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,LOWER SUBANSIRI,RAGA,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,LOWER SUBANSIRI,SANGRAM,1,15,0,0,0,15,10,0,0,0,10,
ARUNACHAL PRADESH,LOWER SUBANSIRI,SARLI,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,LOWER SUBANSIRI,TALI,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,LOWER SUBANSIRI,YACHULI,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,LOWER SUBANSIRI,ZIRO-I,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,PAPUMPARE,KIMIN-DOIMUKH,2,63,7,0,20,90,22,6,0,0,28,
ARUNACHAL PRADESH,PAPUMPARE,SAGALEE,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,TAWANG,LUMLA,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,TAWANG,TAWANG,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,TAWANG,THIMBU-MUKTO,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,TIRAP,NAMSANG,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,TIRAP,NIAUSA,2,22,0,0,0,22,22,0,0,0,22,
ARUNACHAL PRADESH,TIRAP,PONGCHAU-WAKKA,3,36,0,0,2,38,0,0,0,0,0,
ARUNACHAL PRADESH,UPPER SIANG,JENGGING,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,UPPER SIANG,MARIYANG,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,UPPER SIANG,TUTING,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,UPPER SIANG,YINGKIONG,1,45,0,0,0,45,45,0,0,0,45,
ARUNACHAL PRADESH,UPPER SUBANSIRI,DAPORIJO,1,3,0,0,0,3,0,0,0,0,0,
ARUNACHAL PRADESH,UPPER SUBANSIRI,DUMPORIJO,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,UPPER SUBANSIRI,GIBA,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,UPPER SUBANSIRI,NACHO,1,5,0,0,0,5,5,0,0,0,5,
ARUNACHAL PRADESH,UPPER SUBANSIRI,TALIHA,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,WEST KAMENG,DIRANG,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,WEST KAMENG,KALAKTANG,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,WEST KAMENG,THRIZINO,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,WEST SIANG,ALONG,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,WEST SIANG,BASAR,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,WEST SIANG,GENSI,1,10,0,0,0,10,0,0,0,0,0,
ARUNACHAL PRADESH,WEST SIANG,KAYING PAYUM,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,WEST SIANG,LIROMOBA,2,4,0,0,0,4,0,0,0,0,0,
ARUNACHAL PRADESH,WEST SIANG,MECHUKA,0,0,0,0,0,0,0,0,0,0,0,
ARUNACHAL PRADESH,WEST SIANG,RUMGONG,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,BARPETA,BAJALI,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,BARPETA,GOBARDHANA,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,BARPETA,JALAH,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,BONGAIGAON,BOROBAZAR,4,390,225,0,0,615,50,5,0,0,55,
ASSAM,BONGAIGAON,MANIKPUR,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,BONGAIGAON,SIDLI- CHIRANG PT,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,CACHAR,BARJALENGA,2,10,4,0,6,20,10,4,0,6,20,
ASSAM,CACHAR,LAKHIPUR,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,CACHAR,NARSINGPUR,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,CACHAR,PALANGHAT,6,17,9,0,0,25,17,9,0,0,25,
ASSAM,CACHAR,SILCHAR,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,CACHAR,SONAI,2,15,20,0,0,35,15,20,0,0,35,
ASSAM,DARRANG,BECHIMARI,6,224,0,0,0,224,0,0,0,0,0,
ASSAM,DARRANG,BHERGAON,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,DARRANG,KALAIGAON,91,108,56,23,77,263,57,27,3,74,161,
ASSAM,DARRANG,KHIRABARI,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,DARRANG,MAZBAT,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,DARRANG,PACHIM-MANGALDAI,10,10,3,0,0,14,0,0,0,0,0,
ASSAM,DARRANG,PUB-MANGALDAI,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,DARRANG,SIPAJHAR,25,69,28,0,0,97,7,7,0,0,14,
ASSAM,DARRANG,UDALGURI,4,187,0,0,20,207,197,0,0,10,207,
ASSAM,DHUBRI,DEBITOLA,1,25,7,0,3,35,25,7,0,0,32,
ASSAM,DHUBRI,MANKACHAR,8,8,8,0,0,16,8,8,0,0,16,
ASSAM,GOALPARA,DUDHNAI,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,GOALPARA,JALESWAR,2,40,0,0,0,40,40,0,0,0,40,
ASSAM,GOALPARA,KUSHDHAWA,1,75,0,0,0,75,75,0,0,0,75,
ASSAM,GOALPARA,LAKHIPUR,2,30,0,0,0,30,30,0,0,0,30,
ASSAM,GOLAGHAT,GAMARIGURI,2,2,2,2,0,6,1,2,2,1,6,
ASSAM,HAILAKANDI,ALGAPUR,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,HAILAKANDI,HAILAKANDI,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,JORHAT,JORHAT CENTRAL,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,JORHAT,KALIAPANI,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,JORHAT,TITABAR,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,KAMRUP,BOKO BONGAON,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,KAMRUP,BONGAON,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,KAMRUP,CHANDRAPUR,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,KAMRUP,CHHAYGAON,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,KAMRUP,DIMORIA,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,KAMRUP,RANI,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,KARBIANGLONG,AMRI,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,KARBIANGLONG,BOKAJAN,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,KARBIANGLONG,CHINTHONG,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,KARBIANGLONG,HOWRAGHAT,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,KARBIANGLONG,LONGSOMEPI,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,KARBIANGLONG,LUMBATANG,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,KARBIANGLONG,NILIP,1,6,5,0,0,11,6,5,0,0,11,
ASSAM,KARBIANGLONG,RONGKHAG,3,102,100,0,0,202,102,100,0,0,202,
ASSAM,KARBIANGLONG,RONGMONGWAY,3,22,14,0,0,36,16,10,0,0,26,
ASSAM,KARBIANGLONG,SOCHENG,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,KARBIANGLONG,SOMILANGSO,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,KARIMGANJ,PATHERKANDI,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,KOKRAJHAR,DOTOMA,14,139,62,0,0,201,106,39,1,0,146,
ASSAM,KOKRAJHAR,KACHUGAON,1,13,0,0,0,13,13,0,0,0,13,
ASSAM,KOKRAJHAR,KOKRAJHAR,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,KOKRAJHAR,SIDLI-CHIRANG PT,3,186,59,0,0,245,136,16,0,0,152,
ASSAM,LAKHIMPUR,DHAKUAKHANA,14,410,270,0,0,680,0,0,0,0,0,
ASSAM,LAKHIMPUR,NARAYANPUR,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,MORIGAON,BHUR- BANDHA,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,MORIGAON,MAYONG,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,NAGOAN,BARHAMPUR,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,NAGOAN,BINNAKANDI,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,NAGOAN,KALIABOR,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,NAGOAN,KATHITOLI,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,NAGOAN,KHAGARIJAN,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,NAGOAN,LIMDING DEV,1,1,1,0,0,1,0,1,0,0,1,
ASSAM,NAGOAN,RAHA,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,NALBARI,BASKA,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,NALBARI,DHAMDHAMA,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,NALBARI,TAMULPUR,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,NC HILLS,DIYANG VELLEY,11,480,0,0,0,480,480,0,0,0,480,
ASSAM,NC HILLS,DIYUNGBRA,1,3,0,0,0,3,0,0,0,0,0,
ASSAM,NC HILLS,HARANGAJAO,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,NC HILLS,JATINGA VALLEY,1,1,0,0,0,1,1,0,0,0,1,
ASSAM,NC HILLS,NEW SANGBAR,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,SIBSAGAR,DEMOW,1,40,20,0,0,60,0,0,0,0,0,
ASSAM,SIBSAGAR,LAKWA,1,40,20,0,0,60,0,0,0,0,0,
ASSAM,SIBSAGAR,NAZIRA,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,SIBSAGAR,SEPEKHATI,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,SIBSAGAR,SIBSAGAR,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,SONITPUR,BAGHMARA,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,SONITPUR,BALIPARA,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,SONITPUR,BEHELI,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,SONITPUR,BORCHALA,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,SONITPUR,CHATIA,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,SONITPUR,DHEKIAJULI,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,SONITPUR,NADUAR,2,124,0,0,0,124,124,0,0,0,124,
ASSAM,SONITPUR,PUB-CHAIDUAR,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,SONITPUR,SOKAMATHA,0,0,0,0,0,0,0,0,0,0,0,
BIHAR,ARARIA,BHARGAMA,0,0,0,0,0,0,0,0,0,0,0,
BIHAR,AURANGABAD,AURANGABAD,0,0,0,0,0,0,0,0,0,0,0,
BIHAR,AURANGABAD,BARUN,1,1,280,0,1,282,0,0,0,0,0,
BIHAR,AURANGABAD,DEO,18,535,142,0,4,681,397,108,0,0,505,
BIHAR,AURANGABAD,GOH,2,12,0,0,0,12,2,0,0,0,2,
BIHAR,AURANGABAD,HASPURA,0,0,0,0,0,0,0,0,0,0,0,
BIHAR,AURANGABAD,KUTUMBA,20,153,41,0,0,194,0,0,0,0,0,
