-----
{
 "description": "The table provides the Balance of Payments (BOP) (US$ million) as per IMF Balance of Payments Manual 5 - New Format. BOP mainly refers to the difference between a country's external financial assets and external liabilities. This table gives item-wise details for the years 2010-11, 2011-12 and ...", 
 "file_name": "tab63.xls", 
 "title": "Download XLS for Balance of Payments - as per BPM6 new format (US$ million)(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab63.xls"
}
-----
"6.3 (A): BALANCE OF PAYMENTS AS PER IMF BALANCE OF PAYMENTS MANNUAL 6","","","","","","","","","",""
"","","","","","","","","","","(Rs. billion)"
"1.B ","Primary Income ",436.710133798,1254.7188121,-818.008678302,483.709965393,1251.9492119,-768.23924651,272.0,847.0,-575.0
"1.C ","Secondary Income ",2533.49440622,113.488048348,2420.00635787,3176.28956425,127.27150103,3049.01806322,1879.0,81.2943904117,1798.0
2.0,"Capital Account (2.1+2.2)",31.0899245983,29.336445318,1.75347928029,44.0,46.0,-3.0,14.0,43.0,-29.0
2.1,"Gross acquisitions (DR.)/disposals (CR.) of non-produced nonfinancial assets ",1.74613312658,0.614094432763,1.13203869381,13.0,17.0,-5.0,3.0,4.0,-1.0
2.2,"Capital transfers ",29.3437914717,28.7223508852,0.621440586481,31.0,29.0,2.0,11.0,39.0,-28.0
3.0,"Financial Account (3.1 to 3.5)",22903.3616393,20594.478275,2308.88336432,23824.8072009,19944.8903994,3879.9168015,12006.0,9820.0,2186.0
3.1,"Direct Investment (3.1A+3.1B)",1758.88748055,1217.87914374,541.008336815,2320.22708992,1288.56051016,1031.66657975,1166.0,463.0,703.0
"3.1.A ","Direct Investment in India",1642.55157858,318.976366747,1323.57521184,2199.99663923,650.389627996,1549.60701123,1040.0,149.0,891.0
"3.1.B ","Direct Investment by India",116.33590197,898.902776993,-782.566875023,120.230450688,638.170882166,-517.940431478,126.0,313.0,-187.0
3.2,"Portfolio Investment",11449.2889081,10149.159147,1300.12976105,8864.30427809,8036.18618046,828.118097638,4091.0,3779.0,312.0
"3.2A ","Portfolio Invesment in India",11413.9366216,10060.8100899,1353.12653171,8823.3566919,7983.49551061,839.861181299,4044.0,3700.0,344.0
"3.2.B ","Portfolio Invesment by India",35.3522864452,88.3490571082,-52.996770663,40.9475861908,52.6906698523,-11.7430836614,47.4263002142,79.3626013203,-31.9363011061
3.3,"Financial derivatives (other than reserves) and employee stock options ","","","","","","",76.2473120467,118.0,-42.4458532173
3.4,"Other investment",9695.18525072,8632.92976733,1062.25548339,11699.2793352,10364.1688726,1335.11046262,6664.0,5426.0,1238.0
"   3.4.1 ","Other equity (ADRs/GDRs)",93.6771239681,0.0,93.6771239681,27.5936332912,0.0,27.5936332912,9.8470601884,0.0,9.8470601884
"   3.4.2 ","Currency and deposits ",2319.82677448,2148.43445516,171.392319322,3124.70398365,2535.0390084,589.664975245,1912.0,1371.0,541.0
"  3.4.3 ","Loans (External Assistance, ECBs and Banking Capital)",3329.9119355,2502.51429809,827.397637404,2988.92546342,2276.73456521,712.190898204,1313.0,946.0,367.0
"  3.4.4 ","Insurance, pension, and standardized guarantee schemes","","","","","","",0.814528169115,6.10681040404,-5.29228223493
"  3.4.5 ","Trade credit and advances",3497.11244865,2948.56108727,548.551361377,4929.20372333,4623.60470226,305.599021069,3147.0,2628.0,519.0
" 3.4.6 ","Other accounts receivable/payable—other",454.656968128,1033.41992681,-578.762958681,628.852531549,928.790596734,-299.938065185,282.0,481.0,-199.0
" 3.4.7 ","Special drawing rights","-","-","-","-","-","-","-","-","-"
3.5,"Reserve assets","-",594.510216928,-594.510216928,940.996497696,255.974836215,685.021661481,8.71914291991,28.0,-19.0
4.0,"Total assets/liabilities",22903.3616393,20594.478275,2308.88336432,23824.8072009,19944.8903994,3879.9168015,12006.0,9820.0,2186.0
5.0,"Net errors and omissions","-",121.0,-120.624203261,"-",116.0,-115.639433232,"-",37.0,-37.1270796284
"Source: Reserve Bank of India","","","","","","","","","",""
"P: Preliminary,   PR: Partially Rervised","","","","","","","","","",""
"Note: Totals may not tally due to rounding off","","","","","","","","","",""
