-----
{
 "description": "The table refers to district wise distribution of shallow tubewells according to the farmers holding size . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.3.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells according to The Farmers holding size for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.3.csv"
}
-----
State,District,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
HARYANA,HISAR,3514,11966,27566,2121,45167
HARYANA,JIND,1919,6100,19244,2284,29547
HARYANA,KAITHAL,1653,6198,21028,1761,30640
HARYANA,KARNAL,3433,11094,34014,3139,51680
HARYANA,KURUKSHETRA,1904,7132,24680,1837,35553
HARYANA,MEHANDERGARH,1274,4869,16384,1340,23867
HARYANA,PANCHKULA,116,399,615,38,1168
HARYANA,PANIPAT,2014,5912,16839,1300,26065
HARYANA,RIWARI,1903,4904,14862,1232,22901
HARYANA,ROHTAK,3965,11097,32001,2743,49806
HARYANA,SIRSA,1290,4486,17000,1771,24547
HARYANA,SONIPAT,2754,7976,22956,2178,35864
HARYANA,YAMUNA NAGAR,2076,5786,16580,1253,25695
HIMACHAL PRADESH,Bilaspur,0,0,0,22,22
HIMACHAL PRADESH,Hamirpur,3,1,6,1,11
HIMACHAL PRADESH,Kangra,68,77,127,29,301
HIMACHAL PRADESH,Mandi,19,24,20,2,65
HIMACHAL PRADESH,Sirmaur,35,47,56,35,173
HIMACHAL PRADESH,Solan,8,9,30,13,60
HIMACHAL PRADESH,Una,241,206,237,30,714
JAMMU & KASHMIR,Budgam,1,0,0,0,1
JAMMU & KASHMIR,Jammu,338,328,327,75,1068
JAMMU & KASHMIR,Kathua,57,94,71,5,227
JAMMU & KASHMIR,Kupwara,4,4,0,3,11
JAMMU & KASHMIR,Srinagar,2,0,4,0,6
KARNATAKA,BANGALORE RURAL,2297,3072,1943,230,7542
KARNATAKA,BANGALORE URBAN,509,653,1113,63,2338
KARNATAKA,BELGAUM,1020,1883,2012,174,5089
KARNATAKA,BELLARY,198,387,725,167,1477
KARNATAKA,BIDAR,43,100,86,50,279
KARNATAKA,BIJAPUR,251,1004,903,95,2253
KARNATAKA,CHIKKAMAGALORE,114,927,1741,155,2937
KARNATAKA,CHITRADURGA,1522,3388,4007,683,9600
KARNATAKA,DAKSHINA KANNADA,76,146,275,32,529
KARNATAKA,DHARWAR,572,2396,4057,606,7631
KARNATAKA,GULBARGA,179,217,197,102,695
KARNATAKA,HASSAN,2092,4290,3859,364,10605
KARNATAKA,KODAGU,1,7,2,1,11
KARNATAKA,KOLAR,1628,2666,2427,160,6881
KARNATAKA,MANDYA,280,562,257,8,1107
KARNATAKA,MYSORE,460,1153,974,89,2676
KARNATAKA,RAICHUR,561,1235,1574,345,3715
KARNATAKA,SHIMOGA,505,1354,1672,240,3771
KARNATAKA,TUMKUR,2113,3357,4190,451,10111
KARNATAKA,UTTARA KANNADA,28,38,49,23,138
KERALA,ALAPUZHA,448,29,4,0,481
KERALA,ERANAKULAM,101,1,1,0,103
KERALA,IDUKKI,1,0,0,0,1
KERALA,KANNUR,1,1,0,0,2
KERALA,KASARAGODE,6,14,13,0,33
KERALA,KOLLAM,55,10,2,0,67
KERALA,KOTTAYAM,8,2,3,0,13
KERALA,KOZHIKODE,1,0,0,0,1
KERALA,MALAPPURAM,163,16,3,0,182
KERALA,PALAKKAD,65,77,43,3,188
KERALA,PATHANAMTHITTA,33,7,3,0,43
KERALA,THIRUVANANTHAPURAM,181,4,1,0,186
KERALA,THRISSUR,913,80,11,0,1004
MADHYA PRADESH,BALAGHAT,9,9,12,38,68
MADHYA PRADESH,BASTAR,1,2,28,2,33
MADHYA PRADESH,BETUL,60,165,308,37,570
MADHYA PRADESH,BHIND,22,40,363,21,446
MADHYA PRADESH,BHOPAL,201,703,1816,226,2946
MADHYA PRADESH,BILASPUR,241,246,1115,207,1809
MADHYA PRADESH,CHHATARPUR,17,85,168,12,282
MADHYA PRADESH,CHHINDWARA,92,145,223,122,582
MADHYA PRADESH,DAMOH,321,586,1572,225,2704
MADHYA PRADESH,DEWAS,413,980,3876,1276,6545
MADHYA PRADESH,DHAR,667,2782,9452,1887,14788
MADHYA PRADESH,DURG,707,1437,2894,381,5419
MADHYA PRADESH,GUNA,95,252,1219,322,1888
MADHYA PRADESH,GWALIOR,55,125,410,49,639
MADHYA PRADESH,HOSHANGABAD,56,275,1930,256,2517
MADHYA PRADESH,INDORE,1162,3698,10983,1630,17473
MADHYA PRADESH,JABALPUR,67,289,791,98,1245
MADHYA PRADESH,JHABUA,7,17,49,5,78
MADHYA PRADESH,KHANDWA,8,16,35,3,62
MADHYA PRADESH,KHARGONE,33,168,581,45,827
MADHYA PRADESH,MANDLA,6,13,30,2,51
MADHYA PRADESH,MANDSAUR,41,37,153,168,399
MADHYA PRADESH,MORENA,117,192,1414,138,1861
MADHYA PRADESH,NARSIMHAPUR,287,1435,3630,297,5649
MADHYA PRADESH,PANNA,6,15,104,21,146
MADHYA PRADESH,RAIGARH,85,267,890,266,1508
MADHYA PRADESH,RAIPUR,538,1076,1974,320,3908
MADHYA PRADESH,RAISEN,118,507,3974,949,5548
MADHYA PRADESH,RAJGARH,53,132,714,246,1145
MADHYA PRADESH,RAJNANDGAON,16,27,96,37,176
MADHYA PRADESH,RATLAM,395,715,2582,373,4065
MADHYA PRADESH,REWA,51,206,779,116,1152
MADHYA PRADESH,SAGAR,129,383,877,156,1545
MADHYA PRADESH,SATNA,186,493,1697,208,2584
MADHYA PRADESH,SEHORE,189,836,3671,936,5632
MADHYA PRADESH,SEONI,7,7,22,4,40
MADHYA PRADESH,SHAHDOL,0,8,44,4,56
MADHYA PRADESH,SHAJAPUR,0,0,0,3098,3098
MADHYA PRADESH,SHIVPURI,12,33,143,35,223
MADHYA PRADESH,SIDHI,5,25,139,51,220
MADHYA PRADESH,SURGUJA,1,4,12,1,18
MADHYA PRADESH,TIKAMGARH,122,248,508,9,887
MADHYA PRADESH,UJJAIN,0,0,0,16986,16986
MADHYA PRADESH,VIDISHA,56,179,1682,651,2568
MANIPUR,BISHNUPUR,0,0,0,0,0
MANIPUR,CHURACHANDPUR,0,0,0,0,0
MANIPUR,IMPHAL,0,0,0,0,0
MANIPUR,SENAPATI,0,0,0,0,0
MANIPUR,THOUBAL,0,0,0,0,0
MEGHALAYA,WEST GARO HILLS,10,39,42,18,109
MEGHALAYA,WEST KHASI HILLS,0,0,0,0,0
NAGALAND,KOHIMA,1,1,4,0,6
ORISSA,ANGUL,0,0,2,0,2
ORISSA,BALASORE,2130,2669,2016,70,6885
ORISSA,BARAGARH,0,20,125,42,187
ORISSA,BHADRAK,239,478,488,42,1247
ORISSA,BOLANGIR,0,0,12,4,16
ORISSA,CUTTACK,501,635,470,46,1652
ORISSA,GAJAPATI,5,47,32,1,85
ORISSA,GANJAM,76,191,167,43,477
ORISSA,JAGATSINGHPUR,389,541,404,23,1357
ORISSA,JAJPUR,269,429,347,10,1055
ORISSA,JHARSUGUDA,0,4,5,0,9
ORISSA,KALAHANDI,0,2,7,1,10
ORISSA,KENDRAPARA,93,236,156,13,498
ORISSA,KEONJHAR,5,13,9,1,28
ORISSA,KHURDA,79,152,102,7,340
ORISSA,KORAPUT,0,0,1,0,1
ORISSA,MAYURBHANJ,16,64,62,4,146
ORISSA,NAYAGARH,73,76,64,4,217
ORISSA,NUAPADA,0,0,2,1,3
ORISSA,PURI,545,954,638,63,2200
ORISSA,RAYAGADA,3,10,21,14,48
ORISSA,SAMBALPUR,0,0,2,0,2
ORISSA,SONEPUR,0,0,1,1,2
ORISSA,SUNDARGARH,2,0,1,0,3
PUNJAB,AMRITSAR,3069,14494,72460,5536,95559
PUNJAB,BATHINDA,1132,4813,22702,3561,32208
PUNJAB,FARIDKOT,27477,24259,45855,5716,103307
PUNJAB,FATEHGARH SAHIB,2992,5389,14873,1480,24734
PUNJAB,FEROZEPUR,8262,17757,59401,12375,97795
PUNJAB,GURDASPUR,5794,14900,36526,2776,59996
PUNJAB,HOSHIARPUR,9257,14427,25643,1939,51266
PUNJAB,JALANDHAR,12531,21971,51239,3198,88939
PUNJAB,KAPURTHALA,3342,10321,23977,2385,40025
PUNJAB,LUDHIANA,8771,18183,69600,8279,104833
PUNJAB,MANSA,2308,5680,20484,4715,33187
PUNJAB,PATIALA,7474,13492,47788,7427,76181
PUNJAB,ROPAR,4274,8112,11012,465,23863
PUNJAB,SANGRUR,11255,17190,72026,10824,111295
RAJASTHAN,AJMER,0,0,0,0,0
RAJASTHAN,ALWAR,1190,4004,11933,630,17757
RAJASTHAN,BANSWARA,0,4,8,0,12
RAJASTHAN,BARAN,88,222,1569,159,2038
RAJASTHAN,BHARATPUR,1747,5315,21325,1117,29504
RAJASTHAN,BHILWARA,1,5,9,0,15
RAJASTHAN,BIKANER,0,0,13,7,20
RAJASTHAN,BUNDI,0,16,74,2,92
RAJASTHAN,CHITTORGARH,11,58,287,64,420
RAJASTHAN,CHURU,7,6,66,9,88
RAJASTHAN,DAUSA,367,1145,1736,118,3366
RAJASTHAN,DHOLPUR,493,1470,1990,133,4086
RAJASTHAN,DUNGARPUR,0,5,12,1,18
RAJASTHAN,JAIPUR,2,3,17,1,23
RAJASTHAN,JAISALMER,0,0,10,8,18
RAJASTHAN,JALORE,0,13,49,3,65
