-----
{
 "description": "The table refers to District wise Culturable Command Area and Potential Created through Shallow Tubewells . The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.12.csv", 
 "title": "Download CSV for Districtwise Culturable Command Area and Potential Created through Shallow Tubewells", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.12.csv"
}
-----
"State","District","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total - Irrigation potential created"
"GUJARAT","RAJKOT",5356,5245,468,3,11,5727
"GUJARAT","SABARKANTHA",10009,6442,5684,1318,21,13465
"GUJARAT","SURAT",23237,1293,321,21648,20,23283
"GUJARAT","SURENDRANAGAR",1518,1240,464,10,5,1719
"GUJARAT","VADODARA",41887,13689,25297,6309,8012,53307
"GUJARAT","VALSAD",1435,596,257,578,6,1436
"HARYANA","AMBALA",32587,31232,30998,280,66,62576
"HARYANA","BHIWANI",91675,45188,82681,1371,74,129314
"HARYANA","FARIDABAD",84389,53843,84014,77,26,137960
"HARYANA","FATEHABAD",64221,62773,63294,185,131,126384
"HARYANA","GURGAON",58016,22496,54097,55,19,76666
"HARYANA","HISSAR",61444,49944,50875,45,6,100870
"HARYANA","JHAJJAR",43207,19778,37930,47,25,57780
"HARYANA","JIND",71483,66246,67296,34,122,133699
"HARYANA","KAITHAL",90660,87089,87489,344,32,174955
"HARYANA","KARNAL",147792,135353,135156,119,303,270932
"HARYANA","KURUKSHETRA",110887,109409,108411,51,4,217875
"HARYANA","MAHENDRAGARH",65625,22759,63800,437,0,86996
"HARYANA","PANCHKULA",4564,4150,4198,89,5,8442
"HARYANA","PANIPAT",42836,41814,42392,35,23,84263
"HARYANA","REWARI",57864,17757,55871,84,3,73715
"HARYANA","ROHTAK",21165,13367,15350,73,73,28863
"HARYANA","SIRSA",87512,74617,75286,435,82,150419
"HARYANA","SONEPAT",66923,55425,55424,22,12,110883
"HARYANA","YAMUNANAGAR",63995,59133,53669,149,7,112959
"HIMACHAL PRADESH","Bilaspur",74,73,73,0,0,147
"HIMACHAL PRADESH","Hamirpur",25,18,18,0,0,37
"HIMACHAL PRADESH","Kangra",1432,1248,1260,46,0,2553
"HIMACHAL PRADESH","Mandi",416,386,345,0,26,757
"HIMACHAL PRADESH","Sirmaur",260,226,223,25,0,473
"HIMACHAL PRADESH","Solan",870,732,778,9,0,1520
"HIMACHAL PRADESH","Una",3165,1562,2399,21,12,3994
"JAMMU & KASHMIR","ANANTNAG",8,5,4,0,0,9
"JAMMU & KASHMIR","JAMMU",2672,2016,1917,46,0,3979
"JAMMU & KASHMIR","KATHUA",1566,1493,892,0,0,2385
"JAMMU & KASHMIR","KUPWARA",2,2,2,0,0,4
"JAMMU & KASHMIR","UDHAMPUR",19,16,14,0,0,30
"JHARKHAND","CHATRA",137,93,63,8,2,166
"JHARKHAND","DHANBAD",40,22,21,2,0,45
"JHARKHAND","DUMKA",8,5,3,0,0,8
"JHARKHAND","GARHWA",57,32,38,0,0,70
"JHARKHAND","GIRIDIH",495,399,407,22,2,830
"JHARKHAND","GODDA",623,449,283,25,9,766
"JHARKHAND","HAZARIBAGH",0,11,7,5,2,25
"JHARKHAND","KODERMA",686,133,593,34,34,793
"JHARKHAND","LATEHAR",4,4,0,0,0,4
"JHARKHAND","PAKUR",4,2,2,0,0,4
"JHARKHAND","PALAMU",221,180,152,29,0,362
"JHARKHAND","SAHEBGANJ",311,310,302,13,6,630
"JHARKHAND","WEST SINGHBHUM",0,0,0,0,0,0
"KARNATAKA","Bagalkote",43130,28373,11892,14076,9629,63970
"KARNATAKA","Bangalore",12801,8844,5446,3291,4818,22399
"KARNATAKA","Bangalore Rural",40313,21365,7561,16594,8210,53730
"KARNATAKA","Belgaum",60513,42283,20975,10656,4652,78566
"KARNATAKA","Bellary",38705,38198,4423,311,18469,61401
"KARNATAKA","Bidar",12010,4254,2232,6317,473,13277
"KARNATAKA","Bijapur",17716,10093,7780,3633,1558,23064
"KARNATAKA","Chamaraja Nagara",19957,16693,2460,2513,1022,22689
"KARNATAKA","Chikmagalur",23484,1718,508,20178,1381,23785
"KARNATAKA","Chitradurga",62399,34666,7442,23390,10100,75597
"KARNATAKA","Dakshina Kannada",12468,795,1805,9785,539,12924
"KARNATAKA","Davanagere",50213,35453,3946,17441,21750,78591
"KARNATAKA","Dharwar",12289,10654,2367,1103,3027,17151
"KARNATAKA","Gadag",14396,11491,3418,660,5312,20880
"KARNATAKA","Gulbarga",8602,5500,3485,1783,492,11260
"KARNATAKA","Hassan",33298,9723,4015,20525,3408,37670
"KARNATAKA","Haveri",32430,26646,9856,2621,12046,51170
"KARNATAKA","Kodagu",77,81,0,2,21,104
"KARNATAKA","Kolar",61255,43773,24405,13378,18759,100315
"KARNATAKA","Koppal",29373,27179,492,514,21409,49595
"KARNATAKA","Mandya",16592,7324,2948,7092,3139,20503
"KARNATAKA","Mysore",22510,13597,5056,6884,6680,32217
"KARNATAKA","Raichur",7826,7339,1331,133,4089,12892
"KARNATAKA","Shimoga",15261,10637,139,4440,5729,20945
"KARNATAKA","Tumkur",88647,38951,9492,44086,16353,108882
"KARNATAKA","Udupi",521,4,109,396,22,531
"KARNATAKA","Uttara Kannada",2691,2034,875,374,329,3613
"KERALA","ALAPPUZHA",500,176,171,379,195,920
"KERALA","ERANAKULAM",379,72,52,241,76,441
"KERALA","IDDUKKI",624,40,37,548,84,710
"KERALA","KANNUR",213,0,2,196,35,233
"KERALA","KASARAGODE",296,50,69,200,185,504
"KERALA","KOLLAM",249,90,78,49,80,297
"KERALA","KOTTAYAM",254,0,0,252,1,254
"KERALA","KOZHIKODE",164,9,4,148,20,181
"KERALA","MALAPPURAM",414,26,57,305,92,479
"KERALA","PALAKKAD",982,440,232,348,83,1104
"KERALA","PATHANAMTHITTA",143,2,2,111,37,151
"KERALA","THIRUVANANTHAPURAM",97,9,7,52,50,118
"KERALA","THRISSUR",643,142,138,452,191,922
"MADHYA PRADESH","BALAGHAT",28,23,6,1,0,30
"MADHYA PRADESH","BARWANI",3396,2210,1288,0,0,3499
"MADHYA PRADESH","BETUL",3997,280,3651,206,6,4144
"MADHYA PRADESH","BHIND",12447,2416,10183,74,0,12673
"MADHYA PRADESH","BHOPAL",25667,1918,25645,42,5,27609
"MADHYA PRADESH","CHHATARPUR",579,1,586,0,0,587
"MADHYA PRADESH","CHHINDWARA",5841,1920,4229,245,0,6394
"MADHYA PRADESH","DAMOH",16683,124,17017,176,7,17325
"MADHYA PRADESH","DATIA",11542,1933,9148,708,1,11790
"MADHYA PRADESH","DEWAS",61316,969,60461,878,2,62309
"MADHYA PRADESH","DHAR",78438,9936,70206,327,352,80820
"MADHYA PRADESH","DINDORI",0,0,1,0,0,1
"MADHYA PRADESH","GUNA",32686,10,37136,0,0,37146
"MADHYA PRADESH","GWALIOR",16489,5746,13166,86,7,19004
"MADHYA PRADESH","HARDA",6673,0,6739,0,0,6739
"MADHYA PRADESH","HOSHANGABAD",33452,31,33744,16,5,33797
"MADHYA PRADESH","INDORE",92406,99,101815,536,3,102452
"MADHYA PRADESH","JABALPUR",53988,6163,51535,632,463,58793
"MADHYA PRADESH","JHABUA",513,149,393,4,0,546
"MADHYA PRADESH","KATNI",2901,341,2903,2,2,3248
"MADHYA PRADESH","KHANDWA",5114,1577,2018,2050,21,5665
"MADHYA PRADESH","KHARGONE",3863,2595,1652,47,1,4295
"MADHYA PRADESH","MANDLA",1,0,1,0,0,1
"MADHYA PRADESH","MANDSAUR",2730,92,2620,28,0,2740
"MADHYA PRADESH","MORENA",594,0,551,30,27,608
"MADHYA PRADESH","NARSINGHPUR",117088,2909,118531,703,114,122257
"MADHYA PRADESH","NEEMUCH",1174,190,1111,22,133,1456
"MADHYA PRADESH","PANNA",10262,102,10189,25,0,10316
"MADHYA PRADESH","RAISEN",63245,0,63308,0,0,63308
"MADHYA PRADESH","RAJGARH",11870,273,11847,13,109,12241
"MADHYA PRADESH","RATLAM",23534,5172,17722,92,1424,24410
"MADHYA PRADESH","REWA",26048,15529,19638,1079,32,36279
"MADHYA PRADESH","SAGAR",16669,23,16669,1,2,16695
"MADHYA PRADESH","SATNA",61223,142,60973,105,117,61337
"MADHYA PRADESH","SEHORE",33867,935,42593,1687,51,45266
"MADHYA PRADESH","SEONI",550,152,411,1,0,563
"MADHYA PRADESH","SHAHDOL",1161,14,1149,0,0,1163
"MADHYA PRADESH","SHAJAPUR",23360,531,22844,84,3,23462
"MADHYA PRADESH","SHEOPUR",15103,5,15176,1,0,15182
"MADHYA PRADESH","SHIVPURI",10168,40,10701,1,0,10742
"MADHYA PRADESH","SIDHI",10859,27,10922,0,10939,21888
"MADHYA PRADESH","TIKAMGARH",2257,838,2243,14,0,3094
"MADHYA PRADESH","UJJAIN",93897,853,95262,274,291,96680
"MADHYA PRADESH","UMARIA",3172,161,3137,0,1,3300
"MADHYA PRADESH","VIDISHA",57171,137,57368,0,0,57505
"MAHARASHTRA","AHMEDNAGAR",23409,14703,8109,4646,2608,30066
"MAHARASHTRA","AKOLA",620,482,212,20,26,739
"MAHARASHTRA","AMRAVATI",344,186,92,75,4,357
"MAHARASHTRA","AURANGABAD",2773,2181,888,571,252,3893
"MAHARASHTRA","BEED",1908,1069,603,384,1977,4033
"MAHARASHTRA","BHANDARA",88,85,46,0,17,148
"MAHARASHTRA","BULDANA",953,360,596,9,0,965
"MAHARASHTRA","CHANDRAPUR",408,388,174,98,0,660
"MAHARASHTRA","DHULE",769,692,228,26,8,954
"MAHARASHTRA","GADCHIROLI",407,407,0,0,0,407
"MAHARASHTRA","GONDIYA",364,313,102,6,82,503
"MAHARASHTRA","HINGOLI",5934,5040,4945,245,1185,11415
"MAHARASHTRA","JALGAON",2670,1681,571,844,87,3182
"MAHARASHTRA","JALNA",481,282,176,76,6,541
"MAHARASHTRA","KOLHAPUR",3721,1208,1032,1657,219,4116
