-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes according to The Farmers holding size. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.3.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes according to The Farmers holding size", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.3.csv"
}
-----
"State","District","Marginal (0-1 ha)","Small (1-2 ha)","Medium (2-10 ha)","Big ( > 10 ha)","Total"
"CHHATTISGARH","SURGUJA",80,184,381,32,677
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",13,5,9,37,64
"DELHI","NANGLOI",8,2,1,4,15
"GOA","NORTH GOA",169,83,74,22,348
"GOA","SOUTH GOA",99,88,250,51,488
"GUJARAT","AHMEDABAD",5,3,0,0,8
"GUJARAT","BANASKANTHA",4,0,8,0,12
"GUJARAT","BHARUCH",0,0,0,0,0
"GUJARAT","DAHOD",0,0,0,0,0
"GUJARAT","DANG",0,0,0,0,0
"GUJARAT","KACHCHH",54,85,187,16,342
"GUJARAT","KHEDA",0,0,0,0,0
"GUJARAT","NAVSARI",81,29,35,1,146
"GUJARAT","PATAN",2,0,0,0,2
"GUJARAT","RAJKOT",333,207,151,133,824
"GUJARAT","SABARKANTHA",52,48,110,7,217
"GUJARAT","SURAT",28,23,18,0,69
"GUJARAT","SURENDRANAGAR",132,81,49,18,280
"GUJARAT","VADODARA",3,13,10,1,27
"GUJARAT","VALSAD",100,58,58,1,217
"HARYANA","BHIWANI",50,53,182,35,320
"HARYANA","FATEHABAD",7,3,73,9,92
"HARYANA","PANCHKULA",0,0,5,1,6
"HARYANA","SIRSA",0,2,27,0,29
"HARYANA","SONEPAT",0,0,0,37,37
"HIMACHAL PRADESH","Bilaspur",6,3,8,3,20
"HIMACHAL PRADESH","Chamba",0,0,0,1,1
"HIMACHAL PRADESH","Hamirpur",9,14,6,11,40
"HIMACHAL PRADESH","Kangra",2,5,5,10,22
"HIMACHAL PRADESH","Kullu",0,0,0,0,0
"HIMACHAL PRADESH","Lahul & Spiti",0,0,0,2,2
"HIMACHAL PRADESH","Mandi",1,1,1,0,3
"HIMACHAL PRADESH","Shimla",0,0,1,4,5
"HIMACHAL PRADESH","Sirmaur",12,9,10,14,45
"HIMACHAL PRADESH","Solan",13,27,35,10,85
"HIMACHAL PRADESH","Una",0,0,0,0,0
"JAMMU & KASHMIR","ANANTNAG",2,0,0,0,2
"JAMMU & KASHMIR","BADGAM",0,1,2,4,7
"JAMMU & KASHMIR","BARAMULLA",8,2,9,43,62
"JAMMU & KASHMIR","DODA",0,0,0,0,0
"JAMMU & KASHMIR","JAMMU",1,6,1,0,8
"JAMMU & KASHMIR","KATHUA",20,17,3,0,40
"JAMMU & KASHMIR","KUPWARA",0,0,0,0,0
"JAMMU & KASHMIR","POONCH",0,0,0,0,0
"JAMMU & KASHMIR","PULWAMA",9,2,1,0,12
"JAMMU & KASHMIR","RAJOURI",0,0,2,0,2
"JAMMU & KASHMIR","SRINAGAR",9,2,36,7,54
"JAMMU & KASHMIR","UDHAMPUR",0,0,0,0,0
"JHARKHAND","BOKARO",276,217,26,1,520
"JHARKHAND","CHATRA",8,27,8,1,44
"JHARKHAND","DEOGHAR",24,13,7,1,45
"JHARKHAND","DHANBAD",227,248,37,9,521
"JHARKHAND","DUMKA",721,589,151,4,1465
"JHARKHAND","GARHWA",22,26,28,12,88
"JHARKHAND","GIRIDIH",20,154,42,16,232
"JHARKHAND","GODDA",1,0,0,0,1
"JHARKHAND","GUMLA",102,65,13,0,180
"JHARKHAND","HAZARIBAGH",47,32,13,2,94
"JHARKHAND","JAMTARA",1935,862,149,18,2964
"JHARKHAND","KODERMA",0,0,0,0,0
"JHARKHAND","LATEHAR",32,39,84,27,182
"JHARKHAND","LOHARDAGA",38,39,7,0,84
"JHARKHAND","PAKUR",75,26,4,7,112
"JHARKHAND","PALAMU",10,0,2,0,12
"JHARKHAND","RANCHI",190,142,24,4,360
"JHARKHAND","SAHEBGANJ",464,381,212,54,1111
"JHARKHAND","SARAIKELA",47,80,51,9,187
"JHARKHAND","SIMDEGA",29,47,11,3,90
"JHARKHAND","WEST SINGHBHUM",41,59,32,8,140
"KARNATAKA","Bagalkote",2190,3709,5957,226,12082
"KARNATAKA","Bangalore",199,70,23,0,292
"KARNATAKA","Bangalore Rural",599,227,38,0,864
"KARNATAKA","Belgaum",2078,2579,7419,1147,13223
"KARNATAKA","Bellary",39,116,1804,1253,3212
"KARNATAKA","Bidar",283,334,263,7,887
"KARNATAKA","Bijapur",1102,1370,1882,266,4620
"KARNATAKA","Chamaraja Nagara",0,0,0,0,0
"KARNATAKA","Chikmagalur",422,428,701,178,1729
"KARNATAKA","Chitradurga",15,36,12,1,64
"KARNATAKA","Dakshina Kannada",514,577,710,24,1825
"KARNATAKA","Davanagere",1231,1351,1026,3,3611
"KARNATAKA","Dharwar",95,330,454,1,880
"KARNATAKA","Gadag",155,471,530,7,1163
"KARNATAKA","Gulbarga",381,656,674,12,1723
"KARNATAKA","Hassan",0,2,3,0,5
"KARNATAKA","Haveri",603,1299,1318,10,3230
"KARNATAKA","Kodagu",91,137,188,9,425
"KARNATAKA","Kolar",0,0,0,0,0
"KARNATAKA","Koppal",163,252,481,21,917
"KARNATAKA","Mandya",3,7,4,2,16
"KARNATAKA","Mysore",2,12,6,13,33
"KARNATAKA","Raichur",498,1022,1091,36,2647
"KARNATAKA","Shimoga",1588,1050,539,9,3186
"KARNATAKA","Tumkur",23,4,1,1,29
"KARNATAKA","Udupi",308,536,1086,50,1980
"KARNATAKA","Uttara Kannada",403,314,207,12,936
"KERALA","ALAPPUZHA",272,11,6,22,311
"KERALA","ERANAKULAM",802,101,80,37,1020
"KERALA","IDDUKKI",48,50,33,18,149
"KERALA","KANNUR",598,248,49,3,898
"KERALA","KASARAGODE",2,26,3,1,32
"KERALA","KOLLAM",17,1,0,0,18
"KERALA","KOTTAYAM",592,125,58,76,851
"KERALA","KOZHIKODE",364,116,45,12,537
"KERALA","MALAPPURAM",1723,578,157,24,2482
"KERALA","PALAKKAD",1078,719,346,50,2193
"KERALA","PATHANAMTHITTA",98,14,7,20,139
"KERALA","THIRUVANANTHAPURAM",15,3,9,2,29
"KERALA","THRISSUR",2416,263,103,88,2870
"KERALA","WAYANAD",271,305,269,67,912
"MADHYA PRADESH","BALAGHAT",294,198,186,32,710
"MADHYA PRADESH","BARWANI",679,651,1878,303,3511
"MADHYA PRADESH","BETUL",1325,1615,3159,437,6536
"MADHYA PRADESH","BHIND",1,5,14,0,20
"MADHYA PRADESH","BHOPAL",342,465,1248,142,2197
"MADHYA PRADESH","CHHATARPUR",514,911,1677,314,3416
"MADHYA PRADESH","CHHINDWARA",96,236,317,24,673
"MADHYA PRADESH","DAMOH",2346,2599,4766,485,10196
"MADHYA PRADESH","DATIA",153,137,130,5,425
"MADHYA PRADESH","DEWAS",218,533,1126,121,1998
"MADHYA PRADESH","DHAR",523,1002,2275,236,4036
"MADHYA PRADESH","DINDORI",26,53,109,3,191
"MADHYA PRADESH","GUNA",1817,3474,6403,946,12640
"MADHYA PRADESH","GWALIOR",85,88,302,15,490
"MADHYA PRADESH","HARDA",341,1120,2336,359,4156
"MADHYA PRADESH","HOSHANGABAD",1527,2715,3672,178,8092
"MADHYA PRADESH","INDORE",549,513,822,168,2052
"MADHYA PRADESH","JABALPUR",1081,1421,1812,85,4399
"MADHYA PRADESH","JHABUA",460,870,1279,268,2877
"MADHYA PRADESH","KATNI",1450,1693,2294,190,5627
"MADHYA PRADESH","KHANDWA",481,1116,2152,208,3957
"MADHYA PRADESH","KHARGONE",807,2212,4167,413,7599
"MADHYA PRADESH","MANDLA",508,239,158,7,912
"MADHYA PRADESH","MANDSAUR",524,579,1068,63,2234
"MADHYA PRADESH","MORENA",54,39,119,8,220
"MADHYA PRADESH","NARSINGHPUR",297,645,1218,71,2231
"MADHYA PRADESH","NEEMUCH",68,77,112,11,268
"MADHYA PRADESH","PANNA",1298,1585,3057,202,6142
"MADHYA PRADESH","RAISEN",791,2502,5739,726,9758
"MADHYA PRADESH","RAJGARH",204,404,1365,248,2221
"MADHYA PRADESH","RATLAM",234,459,922,59,1674
"MADHYA PRADESH","REWA",750,1175,2645,565,5135
"MADHYA PRADESH","SAGAR",4707,6497,10451,1116,22771
"MADHYA PRADESH","SATNA",601,870,1646,179,3296
"MADHYA PRADESH","SEHORE",196,473,1189,87,1945
"MADHYA PRADESH","SEONI",139,339,452,53,983
"MADHYA PRADESH","SHAHDOL",392,640,1196,143,2371
"MADHYA PRADESH","SHAJAPUR",324,533,1395,136,2388
"MADHYA PRADESH","SHEOPUR",158,404,464,22,1048
"MADHYA PRADESH","SHIVPURI",990,676,1241,123,3030
"MADHYA PRADESH","SIDHI",317,707,1669,251,2944
"MADHYA PRADESH","TIKAMGARH",183,469,602,80,1334
"MADHYA PRADESH","UJJAIN",530,609,1834,250,3223
"MADHYA PRADESH","UMARIA",306,722,1349,113,2490
"MADHYA PRADESH","VIDISHA",1946,3867,9631,1273,16717
"MAHARASHTRA","AHMEDNAGAR",1447,489,641,26,2603
"MAHARASHTRA","AKOLA",182,292,221,12,707
"MAHARASHTRA","AMRAVATI",62,130,213,8,413
"MAHARASHTRA","AURANGABAD",14,0,0,0,14
"MAHARASHTRA","BEED",161,131,144,11,447
"MAHARASHTRA","BHANDARA",119,81,52,0,252
"MAHARASHTRA","BULDANA",180,180,210,12,582
"MAHARASHTRA","CHANDRAPUR",88,177,291,26,582
"MAHARASHTRA","DHULE",0,0,0,0,0
"MAHARASHTRA","GADCHIROLI",31,22,13,3,69
"MAHARASHTRA","GONDIYA",87,48,22,2,159
"MAHARASHTRA","HINGOLI",450,723,648,36,1857
"MAHARASHTRA","JALGAON",10,23,28,0,61
"MAHARASHTRA","JALNA",2,0,0,0,2
"MAHARASHTRA","KOLHAPUR",10849,4655,5534,928,21966
"MAHARASHTRA","LATUR",790,1383,1529,93,3795
"MAHARASHTRA","NAGPUR",68,113,101,1,283
"MAHARASHTRA","NANDED",2216,2887,2478,105,7686
"MAHARASHTRA","NANDURBAR",33,109,89,1,232
"MAHARASHTRA","NASHIK",1700,139,116,14,1969
"MAHARASHTRA","OSMANABAD",873,1072,1027,100,3072
"MAHARASHTRA","PARBHANI",373,739,740,47,1899
"MAHARASHTRA","PUNE",44,34,22,1,101
"MAHARASHTRA","RAIGHAR",724,186,146,4,1060
"MAHARASHTRA","RATNAGIRI",138,29,71,17,255
"MAHARASHTRA","SANGLI",3996,1466,1115,116,6693
"MAHARASHTRA","SATARA",1737,3393,557,40,5727
"MAHARASHTRA","SINDHUDURGA",673,1077,407,15,2172
"MAHARASHTRA","SOLAPUR",7398,7065,5968,376,20807
"MAHARASHTRA","THANE",563,215,322,69,1169
"MAHARASHTRA","WARDHA",2,2,1,1,6
"MAHARASHTRA","WASHIM",440,490,488,108,1526
"MAHARASHTRA","YAVATMAL",383,2228,2972,137,5720
"MANIPUR","IMPHAL EAST",5,0,0,0,5
"MANIPUR","IMPHAL WEST",0,0,0,0,0
"MANIPUR","THOUBAL",0,0,0,0,0
"MEGHALAYA","EAST GARO HILLS",0,0,0,0,0
"MEGHALAYA","JAINTIA HILLS",1,0,1,0,2
"MEGHALAYA","WEST GARO HILLS",0,0,0,0,0
"MIZORAM","CHAMPHAI",14,2,1,0,17
"MIZORAM","KOLASIB",1,12,13,0,26
"MIZORAM","MAMIT",0,2,0,0,2
"MIZORAM","SERCHHIP",95,70,4,1,170
"NAGALAND","DIMAPUR",0,7,28,3,38
"ORISSA","ANGUL",67,79,48,7,201
"ORISSA","BALASORE",77,132,15,2,226
"ORISSA","BARGARH",37,214,482,93,826
"ORISSA","BHADRAK",166,227,156,97,646
"ORISSA","BOLANGIR",211,451,608,68,1338
"ORISSA","BOUDH",4,10,17,0,31
"ORISSA","CUTTACK",1527,596,215,40,2378
"ORISSA","DEOGARH",87,91,107,36,321
"ORISSA","DHENKANAL",41,32,30,29,132
"ORISSA","GAJAPATI",0,19,27,0,46
"ORISSA","GANJAM",543,311,186,91,1131
"ORISSA","JAGATSINGHPUR",10,12,3,1,26
"ORISSA","JAJAPUR",126,152,138,116,532
"ORISSA","JHARSUGUDA",49,41,45,252,387
"ORISSA","KALAHANDI",25,35,109,21,190
"ORISSA","KANDHAMAL",1,21,12,6,40
"ORISSA","KENDRAPARA",343,436,327,162,1268
"ORISSA","KEONJHAR",172,203,115,167,657
"ORISSA","KHURDA",40,45,52,24,161
"ORISSA","KORAPUT",448,742,523,64,1777
"ORISSA","MALKANAGIRI",6,46,24,14,90
"ORISSA","MAYURBHANJA",456,518,283,419,1676
"ORISSA","NAWARANGAPUR",225,467,248,34,974
"ORISSA","NAYAGARH",4,20,16,4,44
"ORISSA","NUAPADA",4,28,45,3,80
"ORISSA","PURI",1094,961,433,1966,4454
"ORISSA","RAYAGADA",63,50,87,26,226
"ORISSA","SAMBALPUR",269,329,383,176,1157
"ORISSA","SONEPUR",9,42,59,6,116
"ORISSA","SUNDARGARH",67,279,266,107,719
"PONDICHERRY","KARAIKAL",3,3,0,0,6
"PONDICHERRY","PONDICHERRY",1,0,0,0,1
"PUNJAB","AMRITSER",0,1,18,2,21
"PUNJAB","FATEHGARH SAHIB",8,9,20,0,37
"PUNJAB","GURDASPUR",4,3,2,5,14
"PUNJAB","HOSHIARPUR",0,0,0,0,0
"PUNJAB","MOGA",2,7,11,0,20
"PUNJAB","PATIALA",27,131,559,30,747
"PUNJAB","ROPAR",67,86,363,55,571
"PUNJAB","SANGRUR",0,0,0,0,0
"RAJASTHAN","AJMER",0,0,0,0,0
"RAJASTHAN","BANSWARA",83,329,382,36,830
"RAJASTHAN","BARAN",0,0,2,0,2
"RAJASTHAN","BHILWARA",7,6,31,28,72
"RAJASTHAN","BUNDI",3,9,25,7,44
"RAJASTHAN","CHITTORGARH",7,28,18,3,56
"RAJASTHAN","DAUSA",0,0,0,0,0
"RAJASTHAN","DUNGARPUR",22,57,50,37,166
"RAJASTHAN","JAIPUR",13,46,168,5,232
"RAJASTHAN","JHALAWAR",4,8,23,7,42
"RAJASTHAN","KOTA",44,121,79,5,249
"RAJASTHAN","PALI",0,0,3,2,5
"RAJASTHAN","RAJSAMAND",6,32,12,4,54
"RAJASTHAN","SAWAI MADHOPUR",1,0,3,0,4
"RAJASTHAN","SIROHI",2,0,1,0,3
"RAJASTHAN","TONK",0,0,18,8,26
"RAJASTHAN","UDAIPUR",8,13,15,5,41
"TAMIL NADU","COIMBATORE",596,269,277,27,1169
"TAMIL NADU","CUDDALORE",47,9,1,0,57
"TAMIL NADU","DHARMAPURI",715,246,74,11,1046
"TAMIL NADU","DINDIGUL",10,3,8,3,24
"TAMIL NADU","ERODE",653,568,971,98,2290
"TAMIL NADU","KANCHEEPURAM",15,0,0,0,15
"TAMIL NADU","KARUR",168,90,222,33,513
"TAMIL NADU","MADURAI",55,28,20,0,103
"TAMIL NADU","NAGAPATTINAM",4,0,2,2,8
"TAMIL NADU","NAMAKKAL",1664,80,36,5,1785
"TAMIL NADU","NILGIRIS",396,49,33,40,518
"TAMIL NADU","PERAMBALUR",121,56,51,0,228
"TAMIL NADU","SALEM",37,14,19,0,70
"TAMIL NADU","SIVAGANGA",0,0,0,0,0
"TAMIL NADU","THANJAVUR",147,24,20,0,191
"TAMIL NADU","THENI",145,85,58,21,309
"TAMIL NADU","THIRUVALLUR",15,4,17,6,42
"TAMIL NADU","THIRUVARUR",0,0,7,8,15
"TAMIL NADU","TIRUCHIRAPPALLI",410,140,69,3,622
"TAMIL NADU","TIRUNELVELI",5,0,1,0,6
"TAMIL NADU","TIRUVANNAMALAI",18,13,5,0,36
"TAMIL NADU","TUTICORIN DISTRICT",0,0,0,0,0
"TAMIL NADU","VELLORE",94,56,28,0,178
"TAMIL NADU","VILLUPPURAM",288,43,8,1,340
"TRIPURA","DHALAI",0,0,0,0,0
"TRIPURA","NORTH TRIPURA",6,2,3,0,11
"TRIPURA","SOUTH TRIPURA",219,58,16,1,294
"TRIPURA","WEST TRIPURA",57,32,34,7,130
"UTTAR PRADESH","ALIGARH",0,0,0,0,0
"UTTAR PRADESH","ALLAHABAD",38,91,60,27,216
"UTTAR PRADESH","BAHARAICH",0,0,0,0,0
"UTTAR PRADESH","BALRAMPUR",2,1,2,1,6
"UTTAR PRADESH","BANDA",38,43,42,1,124
"UTTAR PRADESH","BAREILLY",11,1,0,0,12
"UTTAR PRADESH","BIJNOR",6,6,0,0,12
"UTTAR PRADESH","BULAND SAHAR",1,0,0,0,1
"UTTAR PRADESH","CHANDAULI",54,22,3,1,80
"UTTAR PRADESH","CHITRAKOOT",162,413,663,54,1292
"UTTAR PRADESH","DEORIA",4,0,0,0,4
"UTTAR PRADESH","FARRUKHABAD",1,0,6,3,10
"UTTAR PRADESH","GHAZIABAD",8,0,0,0,8
"UTTAR PRADESH","GHAZIPUR",1,0,0,0,1
"UTTAR PRADESH","GONDA",22,4,0,2,28
"UTTAR PRADESH","HAMIRPUR",184,169,105,10,468
"UTTAR PRADESH","HARDOI",13,5,6,0,24
"UTTAR PRADESH","JALAUN",60,76,93,15,244
"UTTAR PRADESH","JAUNPUR",4,6,0,0,10
"UTTAR PRADESH","JHANSI",281,447,435,24,1187
"UTTAR PRADESH","KANNAUJ",0,15,2,0,17
"UTTAR PRADESH","KANPUR DEHAT",5,0,0,0,5
"UTTAR PRADESH","KANPUR NAGAR",21,31,11,0,63
"UTTAR PRADESH","LALITPUR",81,178,155,4,418
"UTTAR PRADESH","LUCKNOW",18,6,2,3,29
"UTTAR PRADESH","MAHARAJ GANJ",19,3,4,0,26
"UTTAR PRADESH","MAHOBA",51,80,114,14,259
"UTTAR PRADESH","MEERUT",6,5,7,0,18
"UTTAR PRADESH","MIRZAPUR",151,101,94,14,360
"UTTAR PRADESH","MUZZAFARNAGAR",7,5,4,0,16
"UTTAR PRADESH","RAEBARELI",0,0,0,0,0
"UTTAR PRADESH","RAMPUR",16,3,4,0,23
"UTTAR PRADESH","SANT KABIR NAGAR",15,0,0,0,15
"UTTAR PRADESH","SANT RAVI DAS NAGAR",0,0,0,0,0
"UTTAR PRADESH","SHRAWASTI",11,2,0,0,13
"UTTAR PRADESH","SIDDHARTH NAGAR",38,21,2,0,61
"UTTAR PRADESH","SONBHADRA",410,554,323,57,1344
"UTTAR PRADESH","SULTANPUR",2,0,0,0,2
"UTTAR PRADESH","VARANASI",5,8,1,0,14
"UTTARANCHAL","ALMORA",2,0,0,0,2
"UTTARANCHAL","BAGESHWAR",1,1,0,1,3
"UTTARANCHAL","CHAMOLI",0,0,0,0,0
"UTTARANCHAL","CHAMPAWAT",0,0,0,0,0
"UTTARANCHAL","DEHRA DUN",10,7,6,0,23
"UTTARANCHAL","HARIDWAR",0,0,0,0,0
"UTTARANCHAL","NAINITAL",3,1,0,0,4
"UTTARANCHAL","PAURI",3,0,0,0,3
"UTTARANCHAL","PITHORAGARH",1,0,1,0,2
"UTTARANCHAL","RUDHARAPARYAG",0,0,0,0,0
"UTTARANCHAL","TEHARI GARHWAL",0,0,0,0,0
"UTTARANCHAL","UDHAM SINGH NAGAR",11,5,8,15,39
"UTTARANCHAL","UTTARKASHI",0,0,0,0,0
"WEST BENGAL","BANKURA",0,1572,0,0,1572
"WEST BENGAL","BIRBHUM",0,8194,0,0,8194
"WEST BENGAL","BURDWAN",0,3860,0,0,3860
"WEST BENGAL","COOCHBEHAR",0,658,0,0,658
"WEST BENGAL","DAKSHIN DINAJPUR",0,3605,0,0,3605
"WEST BENGAL","DARJEELING",0,56,0,0,56
"WEST BENGAL","HAORA",0,9145,0,0,9145
"WEST BENGAL","HOOGHLY",0,8263,0,0,8263
"WEST BENGAL","JALPAIGURI",0,515,0,0,515
"WEST BENGAL","MALDA",0,3153,0,0,3153
"WEST BENGAL","MIDNAPORE",0,32600,0,0,32600
"WEST BENGAL","MURSHIDABAD",0,1404,0,0,1404
"WEST BENGAL","NADIA",0,27,0,0,27
"WEST BENGAL","NORTH 24 PARGANAS",0,866,0,0,866
"WEST BENGAL","PURULIA",0,136,0,0,136
"WEST BENGAL","SOUTH 24 PARGANAS",0,24560,0,0,24560
"WEST BENGAL","UTTAR DINAJPUR",0,229,0,0,229
