-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.7.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.7.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Government fund,Farmer's saving,Loan & Saving,Subsidy & Bank loan,Subsidy only,Others,Total
ANDHRA PRADESH,ADILABAD,LOHESRA,368,973,140,21,8,0,1510
ANDHRA PRADESH,ADILABAD,MAMDA,861,10,0,2,1,0,874
ANDHRA PRADESH,ADILABAD,MANCHERIAL,14,0,0,0,0,0,14
ANDHRA PRADESH,ADILABAD,MUDHOLE,220,537,364,188,16,0,1325
ANDHRA PRADESH,ADILABAD,NARNOOR,14,35,25,12,8,0,94
ANDHRA PRADESH,ADILABAD,NERADIGONDA,130,17,91,4,22,6,270
ANDHRA PRADESH,ADILABAD,NIRMAL,312,106,12,12,14,0,456
ANDHRA PRADESH,ADILABAD,REBBANA,6,3,1,0,0,0,10
ANDHRA PRADESH,ADILABAD,SARANGAPUR,1137,285,5,7,196,0,1630
ANDHRA PRADESH,ADILABAD,TALAMADUGU,217,43,2,17,0,0,279
ANDHRA PRADESH,ADILABAD,TAMSI,116,39,44,6,0,0,205
ANDHRA PRADESH,ADILABAD,TANDUR,17,0,0,0,0,0,17
ANDHRA PRADESH,ADILABAD,TANUR,323,273,0,0,0,0,596
ANDHRA PRADESH,ADILABAD,UTNUR,22,1,12,6,2,0,43
ANDHRA PRADESH,ADILABAD,VEMANPALLE,81,6,2,0,15,0,104
ANDHRA PRADESH,ADILABAD,WANKDI,1,0,0,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,AGALI,0,682,8,27,1,3,721
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,0,195,69,18,4,0,286
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,0,219,106,19,0,1,345
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,0,220,103,0,0,0,323
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,89,1,59,0,0,149
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,0,482,1,3,4,0,490
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,1,281,227,11,19,0,539
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,0,552,20,0,16,0,588
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,0,509,51,2,2,0,564
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,0,142,0,0,0,0,142
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,0,647,342,57,2,0,1048
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,0,500,161,30,0,0,691
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,3,196,270,45,9,6,529
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,0,1118,258,98,10,1,1485
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,0,250,50,4,3,2,309
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,0,74,22,0,0,0,96
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,0,567,564,10,0,3,1144
ANDHRA PRADESH,ANANTHAPUR,GOOTY,0,337,71,2,2,1,413
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,0,153,231,0,0,0,384
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,5,148,131,6,2,8,300
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,0,9,422,166,0,1,598
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,0,377,71,2,1,0,451
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,4,6,422,82,31,18,563
ANDHRA PRADESH,ANANTHAPUR,KADIRI,0,54,196,3,13,0,266
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,0,332,62,24,6,1,425
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,0,329,10,9,2,0,350
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,3,101,213,160,6,3,486
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,0,174,780,26,1,2,983
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,0,309,82,9,2,0,402
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,0,318,61,8,22,0,409
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,0,87,11,5,0,0,103
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,0,2,939,10,15,0,966
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,0,319,134,15,10,0,478
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,0,49,269,4,0,0,322
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,0,309,59,0,0,0,368
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,0,140,109,10,2,5,266
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,0,346,27,6,1,0,380
ANDHRA PRADESH,ANANTHAPUR,NARPALA,0,5,371,6,4,4,390
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,0,289,0,1,0,0,290
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,0,513,169,4,0,1,687
ANDHRA PRADESH,ANANTHAPUR,PARIGI,0,48,313,199,8,1,569
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,0,1000,632,59,38,0,1729
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,0,558,123,28,4,1,714
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,0,8,282,144,1,8,443
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,0,1488,4,12,0,0,1504
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,0,293,43,0,2,0,338
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,0,162,88,63,14,0,327
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,0,298,267,34,10,4,613
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,0,42,405,264,23,10,744
ANDHRA PRADESH,ANANTHAPUR,RODDAM,187,882,16,5,0,0,1090
ANDHRA PRADESH,ANANTHAPUR,ROLLA,0,517,1,19,0,0,537
ANDHRA PRADESH,ANANTHAPUR,SETTUR,0,24,1,76,0,0,101
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,0,598,61,24,9,1,693
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,0,347,68,3,13,0,431
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,0,4,375,3,0,0,382
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,0,250,579,144,11,1,985
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,0,108,223,39,18,17,405
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,0,114,19,0,0,0,133
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,0,170,4,1,0,0,175
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,0,70,81,26,20,1,198
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,0,120,37,2,0,0,159
ANDHRA PRADESH,ANANTHAPUR,YADIKI,0,13,722,12,12,0,759
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,0,1188,6,12,0,0,1206
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,8,190,20,3,22,0,243
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,1,323,53,4,1,0,382
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,3,94,1,1,0,0,99
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,6,102,12,0,0,0,120
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,28,80,4,2,0,0,114
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,620,111,26,3,0,0,760
ANDHRA PRADESH,CHITTOOR,CHITTOOR,0,64,0,0,0,0,64
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,3,37,55,1,0,0,96
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,0,147,0,0,0,0,147
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,2,96,6,0,0,0,104
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,3,1,0,0,0,0,4
ANDHRA PRADESH,CHITTOOR,GUDIPALA,0,19,0,3,0,0,22
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,39,0,21,1,0,0,61
ANDHRA PRADESH,CHITTOOR,K V P PURAM,168,400,7,43,18,0,636
ANDHRA PRADESH,CHITTOOR,KALAKADA,2,358,11,0,0,0,371
ANDHRA PRADESH,CHITTOOR,KALIKIRI,0,444,9,0,0,0,453
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,1,100,0,0,0,0,101
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,0,979,0,0,0,0,979
ANDHRA PRADESH,CHITTOOR,KUPPAM,17,4,1,0,0,0,22
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,1,174,3,0,0,0,178
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,734,15,5,2,0,0,756
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,1,98,3,7,0,0,109
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,116,417,1,1,3,0,538
ANDHRA PRADESH,CHITTOOR,NAGARI,4,152,378,40,1,0,575
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,3,413,1,17,1,0,435
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,146,35,2,0,0,0,183
ANDHRA PRADESH,CHITTOOR,NINDRA,79,768,8,14,1,0,870
ANDHRA PRADESH,CHITTOOR,PAKALA,4,306,0,1,0,0,311
ANDHRA PRADESH,CHITTOOR,PALAMANER,130,71,1,1,1,0,204
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,1,150,0,0,0,0,151
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,3,194,0,1,0,0,198
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,2,39,29,0,1,0,71
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,0,208,0,0,2,0,210
ANDHRA PRADESH,CHITTOOR,PENUMURU,116,0,0,0,0,0,116
ANDHRA PRADESH,CHITTOOR,PICHATUR,0,68,120,8,1,0,197
ANDHRA PRADESH,CHITTOOR,PILERU,0,17,51,0,0,0,68
ANDHRA PRADESH,CHITTOOR,PULICHERLA,53,20,0,0,0,0,73
ANDHRA PRADESH,CHITTOOR,PUNGANUR,20,239,7,2,17,0,285
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,16,902,5,2,0,0,925
ANDHRA PRADESH,CHITTOOR,PUTTUR,18,529,23,0,0,0,570
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,0,58,7,11,0,0,76
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,0,324,203,21,7,0,555
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,1,66,0,0,0,0,67
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,2,82,346,107,15,0,552
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,95,6,1,3,0,0,105
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,13,0,0,0,0,0,13
ANDHRA PRADESH,CHITTOOR,SODAM,1,45,38,0,0,0,84
ANDHRA PRADESH,CHITTOOR,SOMALA,0,61,1,0,0,0,62
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,25,368,4,4,0,0,401
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,198,132,7,1,0,0,338
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,41,621,0,0,4,0,666
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,14,700,7,1,1,0,723
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,0,19,0,0,5,0,24
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,1,523,108,0,0,0,632
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,1,8,349,3,12,0,373
ANDHRA PRADESH,CHITTOOR,VAYALPAD,13,69,21,1,0,0,104
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,0,646,0,0,0,0,646
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,70,47,1,1,0,0,119
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,476,9,1,0,0,0,486
ANDHRA PRADESH,CHITTOOR,YADAMARI,0,26,1,0,0,0,27
ANDHRA PRADESH,CHITTOOR,YERPEDU,32,1244,256,64,8,0,1604
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,0,380,9,1,1,0,391
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,0,27,1,17,8,0,53
ANDHRA PRADESH,CUDDAPAH,ATLUR,0,73,1,0,0,0,74
ANDHRA PRADESH,CUDDAPAH,B KODUR,1,0,0,0,0,0,1
ANDHRA PRADESH,CUDDAPAH,BADVEL,0,68,2,11,5,0,86
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,0,20,0,0,0,0,20
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,1,439,1,0,8,0,449
ANDHRA PRADESH,CUDDAPAH,CHAPAD,0,1096,8,61,0,0,1165
ANDHRA PRADESH,CUDDAPAH,CHENNUR,0,277,2,1,0,0,280
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,0,18,5,0,0,0,23
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,1,24,5,0,0,0,30
ANDHRA PRADESH,CUDDAPAH,CHITVEL,0,231,7,0,8,0,246
ANDHRA PRADESH,CUDDAPAH,DUVVUR,2,228,0,1,5,0,236
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,0,37,0,3,0,0,40
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,0,5,0,0,4,1,10
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,0,353,21,1,1,1,377
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,0,1273,27,20,39,1,1360
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,1,597,4,19,4,0,625
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,116,1256,9,0,0,0,1381
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,0,68,24,0,0,0,92
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,1,322,0,0,1,0,324
ANDHRA PRADESH,CUDDAPAH,NANDALUR,0,257,4,1,0,0,262
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,246,2,0,0,0,248
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,0,417,27,0,0,0,444
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,4,1527,66,21,3,0,1621
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,1,248,11,0,14,5,279
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,0,1043,0,0,0,0,1043
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,0,85,30,4,1,0,120
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,0,262,3,0,1,0,266
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,1,122,1,0,0,0,124
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,0,60,2,1,0,0,63
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,0,945,22,141,22,0,1130
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,0,35,2,1,0,0,38
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,0,770,11,3,1,0,785
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,0,797,2,0,0,0,799
ANDHRA PRADESH,CUDDAPAH,THANDUR,0,18,1,10,0,0,29
ANDHRA PRADESH,CUDDAPAH,VALLUR,0,492,5,1,0,0,498
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,437,4,0,0,0,441
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,9,534,4,4,0,0,551
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,0,920,1,3,0,2,926
ANDHRA PRADESH,CUDDAPAH,VEMULA,0,222,2,0,0,0,224
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,0,21,7,0,0,0,28
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,0,268,0,0,0,0,268
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,25,6,0,0,0,0,31
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,685,17,14,11,0,0,727
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,745,5,4,39,1,0,794
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,52,0,0,57,0,0,109
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,419,50,3,41,0,0,513
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,1224,155,2,9,0,0,1390
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHI,211,5,0,0,14,0,230
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,1093,96,161,1,0,0,1351
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,90,53,0,0,0,0,143
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,4,205,1,3,0,0,213
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,5,0,0,0,0,0,5
ANDHRA PRADESH,EAST GODAVARI,I POLAVARAM,40,1,0,21,0,0,62
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,21,84,34,0,0,0,139
ANDHRA PRADESH,EAST GODAVARI,KADIAM,1166,601,31,0,0,0,1798
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,50,0,0,0,0,0,50
ANDHRA PRADESH,EAST GODAVARI,KAKINADA (RURAL),56,0,0,0,0,0,56
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,677,41,27,1,0,0,746
ANDHRA PRADESH,EAST GODAVARI,KARAPA,24,0,0,0,0,0,24
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,241,392,49,1,0,0,683
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,100,112,174,0,0,0,386
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,212,26,1,0,12,0,251
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLI,65,0,0,0,0,0,65
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,652,881,3,9,18,0,1563
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,1898,27,85,26,0,0,2036
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,432,0,0,12,3,0,447
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,686,0,18,0,0,0,704
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,441,2,0,23,1,0,467
ANDHRA PRADESH,EAST GODAVARI,P GANNAVARAM,638,44,97,9,0,0,788
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,17,314,0,71,0,0,402
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,259,1,0,0,0,0,260
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,209,115,4,2,11,2,343
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,521,13,4,7,0,0,545
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,171,97,38,9,8,0,323
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),186,3,1,2,0,0,192
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,31,49,2,0,0,0,82
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,4,620,0,0,0,0,624
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,0,37,1,0,0,0,38
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,24,1193,0,1,1,0,1219
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,8,364,1,0,0,0,373
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,79,3,5,81,0,0,168
ANDHRA PRADESH,EAST GODAVARI,SAKHINETIPALLE,109,0,0,1,0,0,110
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,40,21,0,0,0,0,61
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,288,3,2,2,2,0,297
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,9,482,203,12,1,0,707
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,25,0,2,0,0,0,27
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,294,76,10,0,1,0,381
ANDHRA PRADESH,EAST GODAVARI,TUNI,415,78,10,0,0,0,503
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,35,0,6,0,1,0,42
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,954,75,11,10,5,0,1055
ANDHRA PRADESH,GUNTUR,ACHAMPETA,0,96,0,0,0,0,96
ANDHRA PRADESH,GUNTUR,AMARAVATHI,1,189,0,13,0,77,280
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,2,318,6,1,0,0,327
ANDHRA PRADESH,GUNTUR,BAPATLA,6,10,8,0,3,0,27
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,2,116,3,1,0,0,122
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,15,699,242,92,0,0,1048
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,1,844,6,4,766,0,1621
ANDHRA PRADESH,GUNTUR,CHEBROLE,0,9,0,0,19,0,28
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,4,49,0,0,0,0,53
ANDHRA PRADESH,GUNTUR,DACHEPALLE,0,93,0,0,0,0,93
ANDHRA PRADESH,GUNTUR,DUGGIRALA,432,1045,18,23,162,0,1680
ANDHRA PRADESH,GUNTUR,EDLAPADU,25,2,0,10,0,0,37
ANDHRA PRADESH,GUNTUR,GUNTUR,8,17,5,4,2,0,36
ANDHRA PRADESH,GUNTUR,GURAZALA,26,44,0,1,0,0,71
ANDHRA PRADESH,GUNTUR,IPURU,9,20,2,21,1,0,53
ANDHRA PRADESH,GUNTUR,KAREMPUDI,43,219,0,0,36,0,298
ANDHRA PRADESH,GUNTUR,KARLAPALEM,0,3,6,31,0,0,40
ANDHRA PRADESH,GUNTUR,KOLLIPARA,20,1073,468,175,1,0,1737
ANDHRA PRADESH,GUNTUR,KOLLUR,21,2569,15,37,0,0,2642
ANDHRA PRADESH,GUNTUR,KROSURU,1,19,0,0,0,0,20
ANDHRA PRADESH,GUNTUR,MACHAVARAM,1,129,43,16,5,0,194
ANDHRA PRADESH,GUNTUR,MACHERLA,5,51,1,0,0,0,57
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,4,826,13,3,53,0,899
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,0,3,0,0,0,0,3
ANDHRA PRADESH,GUNTUR,NADENDLA,0,3,0,1,0,0,4
ANDHRA PRADESH,GUNTUR,NAGARAM,1,11,22,0,2,0,36
ANDHRA PRADESH,GUNTUR,NAKARIKALLU,0,77,0,0,5,0,82
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,0,3,0,0,0,0,3
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,0,5,0,0,0,0,5
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,6,78,0,2,0,0,86
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,6,70,0,10,4,0,90
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,58,0,1,0,0,0,59
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,2,0,0,0,0,0,2
ANDHRA PRADESH,GUNTUR,PONNUR,15,982,14,1,8,1,1021
ANDHRA PRADESH,GUNTUR,PRATHIPADU,24,0,4,0,0,0,28
ANDHRA PRADESH,GUNTUR,RAJUPALEM,4,11,0,10,0,0,25
ANDHRA PRADESH,GUNTUR,RENTACRINTALA,2,29,0,0,1,0,32
ANDHRA PRADESH,GUNTUR,REPALLE,1,92,0,0,0,0,93
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,0,0,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,0,0,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,0,20,0,0,0,0,20
ANDHRA PRADESH,GUNTUR,TADIKONDA,2,297,10,4,23,6,342
ANDHRA PRADESH,GUNTUR,TENALI,14,1267,6,2,0,0,1289
ANDHRA PRADESH,GUNTUR,THADEPALLE,14,1006,22,0,0,0,1042
ANDHRA PRADESH,GUNTUR,THULLUR,18,1979,22,1,140,0,2160
ANDHRA PRADESH,GUNTUR,TSUNDUR,5,624,0,9,1,0,639
ANDHRA PRADESH,GUNTUR,VEMURU,4,474,131,36,8,0,653
ANDHRA PRADESH,GUNTUR,VINUKONDA,0,15,2,0,0,0,17
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,813,166,16,8,0,0,1003
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,44,16,2,10,0,0,72
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,356,8,0,0,0,0,364
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,296,1,0,0,1,0,298
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,296,31,1,0,10,0,338
