-----
{
 "description": "The table refers to District wise Distribution of Dugwells according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.7.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.7.csv"
}
-----
"State","District","Government Funds","Farmer's saving","Loan & Saving","Subsidy & Bank loan","Others","Total"
"KERALA","KANNUR",1352,1945,11060,333,528,15218
"KERALA","KASARAGODE",1838,731,3796,397,49,6811
"KERALA","KOLLAM",1310,917,2439,1310,127,6103
"KERALA","KOTTAYAM",3139,1367,4801,1126,378,10811
"KERALA","KOZHIKODE",1812,1255,8229,569,767,12632
"KERALA","MALAPPURAM",5974,1840,3676,815,121,12426
"KERALA","PALAKKAD",4642,1282,2051,874,68,8917
"KERALA","PATHANAMTHITTA",823,715,4102,915,79,6634
"KERALA","THIRUVANANTHAPURAM",2252,1401,4385,4891,229,13158
"KERALA","THRISSUR",35588,2932,4585,1201,169,44475
"KERALA","WAYANAD",231,119,259,56,22,687
"MADHYA PRADESH","BALAGHAT",8737,1848,1542,555,99,12781
"MADHYA PRADESH","BARWANI",16052,1237,749,396,21,18455
"MADHYA PRADESH","BETUL",48276,2638,1231,1029,832,54006
"MADHYA PRADESH","BHIND",12355,1436,383,460,548,15182
"MADHYA PRADESH","BHOPAL",6863,2752,427,136,33,10211
"MADHYA PRADESH","CHHATARPUR",47602,4134,1127,442,415,53720
"MADHYA PRADESH","CHHINDWARA",70383,3881,1744,1181,787,77976
"MADHYA PRADESH","DAMOH",7461,2955,1829,924,100,13269
"MADHYA PRADESH","DATIA",15273,3153,1286,157,123,19992
"MADHYA PRADESH","DEWAS",28039,4001,1059,245,150,33494
"MADHYA PRADESH","DHAR",30472,5664,975,131,162,37404
"MADHYA PRADESH","DINDORI",171,11,149,98,27,456
"MADHYA PRADESH","GUNA",23094,3101,428,110,608,27341
"MADHYA PRADESH","GWALIOR",12069,1075,378,589,3800,17911
"MADHYA PRADESH","HARDA",10438,1288,625,597,119,13067
"MADHYA PRADESH","HOSHANGABAD",14591,2906,2020,1387,419,21323
"MADHYA PRADESH","INDORE",6695,4846,578,129,459,12707
"MADHYA PRADESH","JABALPUR",7170,1329,854,391,52,9796
"MADHYA PRADESH","JHABUA",15660,3917,4600,599,255,25031
"MADHYA PRADESH","KATNI",8949,1367,943,649,86,11994
"MADHYA PRADESH","KHANDWA",49578,7777,3246,1292,1045,62938
"MADHYA PRADESH","KHARGONE",48611,4477,2536,1032,774,57430
"MADHYA PRADESH","MANDLA",1426,528,311,384,39,2688
"MADHYA PRADESH","MANDSAUR",90905,3435,963,600,2006,97909
"MADHYA PRADESH","MORENA",13214,711,237,206,440,14808
"MADHYA PRADESH","NARSINGHPUR",7342,3402,817,157,183,11901
"MADHYA PRADESH","NEEMUCH",45502,1067,196,113,658,47536
"MADHYA PRADESH","PANNA",4228,1980,419,65,80,6772
"MADHYA PRADESH","RAISEN",7260,1848,1193,567,116,10984
"MADHYA PRADESH","RAJGARH",63990,4216,675,1179,221,70281
"MADHYA PRADESH","RATLAM",39153,3451,785,585,749,44723
"MADHYA PRADESH","REWA",10614,849,211,66,27,11767
"MADHYA PRADESH","SAGAR",37325,4133,1957,850,398,44663
"MADHYA PRADESH","SATNA",14588,1857,858,1695,136,19134
"MADHYA PRADESH","SEHORE",23374,2371,1632,791,137,28305
"MADHYA PRADESH","SEONI",17536,1964,1488,742,627,22357
"MADHYA PRADESH","SHAHDOL",3199,334,280,223,143,4179
"MADHYA PRADESH","SHAJAPUR",47491,3112,1144,715,1449,53911
"MADHYA PRADESH","SHEOPUR",3166,143,50,155,662,4176
"MADHYA PRADESH","SHIVPURI",37487,2010,850,613,2449,43409
"MADHYA PRADESH","SIDHI",10178,1133,764,165,32,12272
"MADHYA PRADESH","TIKAMGARH",57110,1146,583,127,125,59091
"MADHYA PRADESH","UJJAIN",31178,4820,2682,1668,523,40871
"MADHYA PRADESH","UMARIA",1935,197,115,103,32,2382
"MADHYA PRADESH","VIDISHA",9314,4889,1124,401,375,16103
"MAHARASHTRA","AHMEDNAGAR",134840,9424,4985,1740,1535,152524
"MAHARASHTRA","AKOLA",17338,1760,322,418,528,20366
"MAHARASHTRA","AMRAVATI",60772,7449,1600,3179,161,73161
