-----
{
 "description": "The table refers to block wise distribution of shallow tubewells by type . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.5.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells by type for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.5.csv"
}
-----
State,District,Block,Shallow tubewell,Filter,Borewell,Others,Total
WEST BENGAL,NORTH 24 PARGANAS,BARASAT - I,1102,5,81,27,1215
WEST BENGAL,NORTH 24 PARGANAS,BARASAT - II,1143,0,0,0,1143
WEST BENGAL,NORTH 24 PARGANAS,BARRACKPORE - II,43,3,11,0,57
WEST BENGAL,NORTH 24 PARGANAS,BARRACKPORE -I,387,18,102,0,507
WEST BENGAL,NORTH 24 PARGANAS,BASHIRHAT - I,1926,38,1,0,1965
WEST BENGAL,NORTH 24 PARGANAS,BASIRHAT - II,2500,189,92,66,2847
WEST BENGAL,NORTH 24 PARGANAS,BONGAON,8107,212,755,2,9076
WEST BENGAL,NORTH 24 PARGANAS,DEGANGA,5745,31,259,1,6036
WEST BENGAL,NORTH 24 PARGANAS,GAIGHATA,6823,15,15,5,6858
WEST BENGAL,NORTH 24 PARGANAS,HABRA - I,1780,495,123,140,2538
WEST BENGAL,NORTH 24 PARGANAS,HABRA - II,1606,0,3,28,1637
WEST BENGAL,NORTH 24 PARGANAS,HAROA,1427,65,56,4,1552
WEST BENGAL,NORTH 24 PARGANAS,HASNABAD,575,0,2,0,577
WEST BENGAL,NORTH 24 PARGANAS,HINGALGANJ,7,2,9,0,18
WEST BENGAL,NORTH 24 PARGANAS,MINAKHAN,1124,3,0,1,1128
WEST BENGAL,NORTH 24 PARGANAS,RAJARHAT,1125,0,0,24,1149
WEST BENGAL,NORTH 24 PARGANAS,SANDESHKHALI - I,364,35,0,0,399
WEST BENGAL,NORTH 24 PARGANAS,SANDESHKHALI II,110,19,90,5,224
WEST BENGAL,NORTH 24 PARGANAS,SWARUPNAGAR,5513,2,0,1,5516
WEST BENGAL,PURULIA,MANBAZAR - I,7,0,0,0,7
WEST BENGAL,PURULIA,PUNCHA,3,1,0,0,4
WEST BENGAL,SOUTH 24 PARGANAS,BARUIPUR,374,1,0,27,402
WEST BENGAL,SOUTH 24 PARGANAS,BHANGORE - I,2335,2,4,2,2343
WEST BENGAL,SOUTH 24 PARGANAS,BHANGORE - II,2747,87,3,29,2866
WEST BENGAL,SOUTH 24 PARGANAS,CANNING - I,15,0,0,4,19
WEST BENGAL,SOUTH 24 PARGANAS,CANNING - II,262,0,0,18,280
WEST BENGAL,SOUTH 24 PARGANAS,JAYNAGAR - I,36,1,0,0,37
WEST BENGAL,SOUTH 24 PARGANAS,MAGRAHAT - II,19,9,8,4,40
WEST BENGAL,SOUTH 24 PARGANAS,MATHURAPUR - II,75,0,0,0,75
WEST BENGAL,SOUTH 24 PARGANAS,SONARPUR,151,1,0,0,152
WEST BENGAL,UTTAR DINAJPUR,CHOPRA,672,13,0,1,686
WEST BENGAL,UTTAR DINAJPUR,GOALPOKHAR - II,3148,9,456,0,3613
WEST BENGAL,UTTAR DINAJPUR,GOALPOKHER - I,2248,113,11,0,2372
