-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.7.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.7.csv"
}
-----
"State","District","Farmer's saving","Loan & Savings","Subsidy & Bank loan","Others","Total"
"KARNATAKA","Mandya",13,0,1,19,33
"KARNATAKA","Mysore",5,8,5,29,47
"KARNATAKA","Raichur",1161,1049,141,310,2661
"KARNATAKA","Shimoga",1672,1328,136,76,3212
"KARNATAKA","Tumkur",29,0,0,9,38
"KARNATAKA","Udupi",1191,706,47,40,1984
"KARNATAKA","Uttara Kannada",553,359,21,24,957
"KERALA","ALAPPUZHA",34,6,292,0,332
"KERALA","ERANAKULAM",260,143,806,4,1213
"KERALA","IDDUKKI",40,30,157,4,231
"KERALA","KANNUR",261,206,486,2,955
"KERALA","KASARAGODE",22,8,17,0,47
"KERALA","KOLLAM",3,4,28,0,35
"KERALA","KOTTAYAM",196,183,600,2,981
"KERALA","KOZHIKODE",139,66,369,5,579
"KERALA","MALAPPURAM",848,801,964,7,2620
"KERALA","PALAKKAD",1060,533,580,81,2254
"KERALA","PATHANAMTHITTA",22,4,160,0,186
"KERALA","THIRUVANANTHAPURAM",7,14,21,0,42
"KERALA","THRISSUR",2466,223,314,2,3005
"KERALA","WAYANAD",515,207,291,0,1013
"MADHYA PRADESH","BALAGHAT",466,34,11,373,884
"MADHYA PRADESH","BARWANI",2684,749,49,31,3513
"MADHYA PRADESH","BETUL",4962,210,869,496,6537
"MADHYA PRADESH","BHIND",36,3,109,142,290
"MADHYA PRADESH","BHOPAL",1082,775,22,466,2345
"MADHYA PRADESH","CHHATARPUR",2043,383,55,1270,3751
"MADHYA PRADESH","CHHINDWARA",362,85,50,179,676
"MADHYA PRADESH","DAMOH",5753,1448,502,2594,10297
"MADHYA PRADESH","DATIA",352,37,92,53,534
"MADHYA PRADESH","DEWAS",1608,66,5,585,2264
"MADHYA PRADESH","DHAR",2926,1389,496,260,5071
"MADHYA PRADESH","DINDORI",183,0,4,20,207
"MADHYA PRADESH","GUNA",9873,533,160,2296,12862
"MADHYA PRADESH","GWALIOR",13,23,551,435,1022
"MADHYA PRADESH","HARDA",3561,444,49,131,4185
"MADHYA PRADESH","HOSHANGABAD",4726,316,87,3122,8251
"MADHYA PRADESH","INDORE",1713,137,33,189,2072
"MADHYA PRADESH","JABALPUR",3064,562,204,622,4452
"MADHYA PRADESH","JHABUA",1393,562,465,770,3190
"MADHYA PRADESH","KATNI",4136,383,240,1685,6444
"MADHYA PRADESH","KHANDWA",3377,465,113,174,4129
"MADHYA PRADESH","KHARGONE",4387,2681,352,185,7605
"MADHYA PRADESH","MANDLA",542,200,4,173,919
"MADHYA PRADESH","MANDSAUR",1939,7,7,363,2316
"MADHYA PRADESH","MORENA",25,18,2,175,220
"MADHYA PRADESH","NARSINGHPUR",1513,426,140,234,2313
"MADHYA PRADESH","NEEMUCH",242,2,2,28,274
"MADHYA PRADESH","PANNA",5611,797,552,3818,10778
"MADHYA PRADESH","RAISEN",5521,1351,359,2551,9782
"MADHYA PRADESH","RAJGARH",2684,126,40,303,3153
"MADHYA PRADESH","RATLAM",1007,9,66,708,1790
"MADHYA PRADESH","REWA",3674,151,80,1376,5281
"MADHYA PRADESH","SAGAR",15288,1090,248,6245,22871
"MADHYA PRADESH","SATNA",2198,280,66,1118,3662
"MADHYA PRADESH","SEHORE",1511,64,3,409,1987
"MADHYA PRADESH","SEONI",833,15,44,375,1267
"MADHYA PRADESH","SHAHDOL",1557,92,359,1592,3600
"MADHYA PRADESH","SHAJAPUR",1811,126,132,714,2783
"MADHYA PRADESH","SHEOPUR",718,51,109,802,1680
"MADHYA PRADESH","SHIVPURI",1924,161,41,1516,3642
"MADHYA PRADESH","SIDHI",2369,131,112,434,3046
"MADHYA PRADESH","TIKAMGARH",1234,35,14,195,1478
"MADHYA PRADESH","UJJAIN",2781,211,4,454,3450
"MADHYA PRADESH","UMARIA",1272,416,240,610,2538
"MADHYA PRADESH","VIDISHA",11236,2206,498,2791,16731
"MAHARASHTRA","AHMEDNAGAR",1269,1050,123,189,2631
"MAHARASHTRA","AKOLA",577,84,11,154,826
"MAHARASHTRA","AMRAVATI",362,12,7,33,414
"MAHARASHTRA","AURANGABAD",0,0,0,14,14
"MAHARASHTRA","BEED",640,14,16,8,678
"MAHARASHTRA","BHANDARA",189,42,0,47,278
"MAHARASHTRA","BULDANA",534,18,5,25,582
"MAHARASHTRA","CHANDRAPUR",691,54,30,49,824
"MAHARASHTRA","DHULE",0,0,0,268,268
"MAHARASHTRA","GADCHIROLI",72,6,9,36,123
"MAHARASHTRA","GONDIYA",196,20,2,19,237
"MAHARASHTRA","HINGOLI",1771,146,22,6,1945
"MAHARASHTRA","JALGAON",58,2,0,1,61
"MAHARASHTRA","JALNA",14,0,0,0,14
"MAHARASHTRA","KOLHAPUR",13438,7699,284,921,22342
"MAHARASHTRA","LATUR",2730,729,35,301,3795
"MAHARASHTRA","NAGPUR",185,273,13,15,486
"MAHARASHTRA","NANDED",4571,2889,112,323,7895
"MAHARASHTRA","NANDURBAR",35,144,5,703,887
"MAHARASHTRA","NASHIK",1606,158,73,797,2634
"MAHARASHTRA","OSMANABAD",1811,924,128,242,3105
"MAHARASHTRA","PARBHANI",1802,84,3,32,1921
"MAHARASHTRA","PUNE",3,98,0,3,104
"MAHARASHTRA","RAIGHAR",536,226,298,11,1071
"MAHARASHTRA","RATNAGIRI",190,5,10,62,267
"MAHARASHTRA","SANGLI",3200,3711,445,138,7494
"MAHARASHTRA","SATARA",3246,1389,1797,28,6460
