-----
{
 "description": "The table refers to Block wise Construction of Surface Lift Schemes over the years. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.1.csv", 
 "title": "Download CSV for Blockwise Construction of Surface Lift Schemes over the years", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.1.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Upto 1993-94,During 1994-95,During 1995-96,During 1996-97,During 1997-98,During 1998-99,During 1999-00,During 2000-01,Total (1994-01)
ORISSA,BHADRAK,CHANDABALI,288,2,3,4,4,6,0,1,308
ORISSA,BHADRAK,DHAMNAGAR,136,15,37,12,9,12,14,5,240
ORISSA,BHADRAK,TIHIDI,98,0,1,0,2,4,6,0,111
ORISSA,BOLANGIR,AGALPUR,31,3,1,1,1,0,0,0,37
ORISSA,BOLANGIR,BALANGIR,103,19,20,8,11,4,0,0,165
ORISSA,BOLANGIR,BANGOMUNDA,3,0,5,6,0,0,0,0,14
ORISSA,BOLANGIR,BELAPARA,63,4,5,13,1,1,0,0,87
ORISSA,BOLANGIR,DEOGAON,135,18,23,15,34,13,8,3,249
ORISSA,BOLANGIR,GUDVELA,64,0,0,4,5,8,8,7,96
ORISSA,BOLANGIR,KHAPRAKHOL,168,1,2,1,2,0,2,3,179
ORISSA,BOLANGIR,LOISINGHA,86,4,5,10,0,1,0,0,106
ORISSA,BOLANGIR,MURIBAHAL,23,0,0,0,0,0,0,0,23
ORISSA,BOLANGIR,PATNAGARH,182,48,22,17,10,10,1,1,291
ORISSA,BOLANGIR,PUINTALA,151,4,10,4,6,1,0,0,176
ORISSA,BOLANGIR,SAINTALA,25,22,9,19,64,5,1,1,146
ORISSA,BOLANGIR,TITILAGARH,38,1,5,0,0,0,0,0,44
ORISSA,BOLANGIR,TUREIKELA,3,2,1,2,0,0,0,0,8
ORISSA,BOUDH,BOUDH,37,6,3,1,2,1,3,0,53
ORISSA,BOUDH,HARABHANGA,23,0,0,0,0,0,0,1,24
ORISSA,BOUDH,KANTAMAL,62,1,9,1,0,5,1,2,81
ORISSA,CUTTACK,ATHAGARH,71,0,0,15,0,0,0,0,86
ORISSA,CUTTACK,BADAMBA,48,0,1,1,0,1,0,0,51
ORISSA,CUTTACK,BANKI,50,0,0,0,0,1,0,0,51
ORISSA,CUTTACK,BARANGA,62,0,1,0,0,1,0,0,64
ORISSA,CUTTACK,CUTTACKSADAR,198,0,0,3,2,0,1,2,206
ORISSA,CUTTACK,DAMPADA,59,0,0,0,0,0,0,25,84
ORISSA,CUTTACK,KANTAPADA,306,0,3,2,0,1,0,0,312
ORISSA,CUTTACK,MAHANGA,190,7,11,15,8,11,5,3,250
ORISSA,CUTTACK,NARASINGHPUR,34,1,1,1,2,0,0,1,40
ORISSA,CUTTACK,NIALI,795,13,18,21,26,22,9,9,913
ORISSA,CUTTACK,NISCHINTAKOILI,131,34,41,18,12,9,2,0,247
ORISSA,CUTTACK,SALIPUR,299,4,15,5,4,3,5,2,337
ORISSA,CUTTACK,TANGI CHOUDWAR,83,2,6,4,1,1,2,4,103
ORISSA,CUTTACK,TIGIRIA,13,0,0,0,10,0,0,0,23
ORISSA,DEOGARH,BARAKOTE,56,58,23,6,0,0,0,1,144
ORISSA,DEOGARH,RIAMAL,476,5,7,10,2,2,0,0,502
ORISSA,DEOGARH,TILEIBANI,70,2,0,0,0,0,1,0,73
ORISSA,DHENKANAL,BHUBAN,41,6,2,0,0,3,0,0,52
ORISSA,DHENKANAL,GANDIA,53,2,6,8,4,4,4,1,82
ORISSA,DHENKANAL,HINDOL,42,18,5,0,1,0,0,0,66
ORISSA,DHENKANAL,KAMAKHYANAGAR,21,17,0,0,0,1,0,0,39
ORISSA,DHENKANAL,KANKADAHAD,13,18,3,25,0,1,0,0,60
ORISSA,DHENKANAL,ODAPADA,72,3,2,3,0,0,1,2,83
ORISSA,DHENKANAL,PARJANG,31,1,0,0,0,0,0,0,32
ORISSA,DHENKANAL,SADAR,32,19,1,5,0,1,0,0,58
ORISSA,GAJAPATI,GUMMA,11,2,1,0,2,6,0,13,35
ORISSA,GAJAPATI,KASINAGAR,15,3,2,13,6,0,0,0,39
ORISSA,GAJAPATI,MOHANA,21,3,0,0,0,0,0,0,24
ORISSA,GAJAPATI,NUAGADA,0,0,0,1,0,0,0,0,1
ORISSA,GAJAPATI,PARALAKHEMUNDI,80,0,0,0,2,0,1,1,84
ORISSA,GAJAPATI,R.UDAYGIRI,8,0,0,0,0,0,0,0,8
ORISSA,GAJAPATI,RAYAGADA,25,0,1,0,0,0,0,0,26
ORISSA,GANJAM,ASKA,50,0,0,4,18,25,16,77,190
ORISSA,GANJAM,BELLAGUNTHA,13,2,0,1,2,1,0,4,23
ORISSA,GANJAM,BHANJANAGAR,48,0,1,1,0,0,0,0,50
ORISSA,GANJAM,BUGUDA,36,2,0,0,0,0,0,0,38
ORISSA,GANJAM,CHHATRAPUR,32,0,0,0,0,0,0,2,34
ORISSA,GANJAM,CHIKETI,31,0,5,6,2,0,0,0,44
ORISSA,GANJAM,DHARAKOTE,79,3,8,1,1,0,1,18,111
ORISSA,GANJAM,DIGAPAHANDI,68,1,4,2,0,4,3,300,382
ORISSA,GANJAM,GANJAM,39,0,0,0,0,0,0,0,39
ORISSA,GANJAM,HINJILICUT,34,2,2,0,0,0,0,0,38
ORISSA,GANJAM,JAGANNATHPRASAD,72,0,2,2,2,2,0,1,81
ORISSA,GANJAM,KABISURYANAGAR,37,0,1,0,0,0,0,21,59
ORISSA,GANJAM,KHALLIKOTE,12,0,0,0,0,0,0,0,12
ORISSA,GANJAM,KODALA,16,2,1,0,0,0,0,0,19
ORISSA,GANJAM,KUKUDAHANDI,21,0,0,0,0,0,0,0,21
ORISSA,GANJAM,PATRAPUR,42,3,2,0,0,0,0,0,47
ORISSA,GANJAM,POLASARA,43,1,0,0,0,0,0,0,44
ORISSA,GANJAM,PURUSOTTAMPUR,47,0,0,0,0,0,0,15,62
ORISSA,GANJAM,RANGEILUNDA,13,0,0,0,7,1,1,0,22
ORISSA,GANJAM,SANAKHEMUNDI,56,0,2,13,4,9,11,0,95
ORISSA,GANJAM,SHERAGAD,115,11,6,0,18,3,0,0,153
ORISSA,GANJAM,SORADA,81,0,1,3,22,3,0,0,110
ORISSA,JAGATSINGHPUR,BALIKUDA,17,0,0,1,5,7,1,1,32
ORISSA,JAGATSINGHPUR,BIRIDI,1,1,0,1,0,0,0,0,3
ORISSA,JAGATSINGHPUR,ERASAMA,18,0,0,0,0,0,0,0,18
ORISSA,JAGATSINGHPUR,JAGATSINGHPUR,2,0,0,0,0,0,0,0,2
ORISSA,JAGATSINGHPUR,KUJANG,16,0,1,0,0,1,0,0,18
ORISSA,JAGATSINGHPUR,NAUGAON,1,0,0,0,0,0,0,0,1
ORISSA,JAGATSINGHPUR,RAGHUNATHPUR,2,0,0,0,0,0,0,0,2
ORISSA,JAGATSINGHPUR,TIRTOL,17,0,0,4,1,0,0,0,22
ORISSA,JAJAPUR,BADACHANA,102,6,2,4,9,6,3,3,135
ORISSA,JAJAPUR,BARI,79,0,0,2,0,0,0,0,81
ORISSA,JAJAPUR,BINJHARPUR,31,0,0,6,2,3,2,1,45
ORISSA,JAJAPUR,DANAGADI,30,0,3,1,0,0,0,0,34
ORISSA,JAJAPUR,DASARATHPUR,42,23,27,26,14,15,8,0,155
ORISSA,JAJAPUR,DHARMASALA,232,14,18,28,24,15,2,9,342
ORISSA,JAJAPUR,JAJPUR,42,0,1,1,6,7,1,4,62
