-----
{
 "description": "Annual and seasonal minimum (night) temperatures in 0C averaged over the country as a whole for the period 1901-2012. This time series is based on the surface air temperature (1.2 m above sea level) data from more than 350 stations spread over the country. The time series shows a warming over India ...", 
 "file_name": "India_Min_Temperatures_1901-2012_1.xls", 
 "title": "Download XLS for Annual And Seasonal Minimum Temperature Of India ", 
 "url": "http://data.gov.in/sites/default/files/India_Min_Temperatures_1901-2012_1.xls"
}
-----
"ANNUAL AND SEASONAL MINIMUM TEMPERATURE OF INDIA ","","","","",""
1933.0,19.3458,14.0822,20.2465,23.3404,16.6276
1934.0,19.2235,13.7809,20.5038,23.3659,16.1597
1935.0,19.2098,13.8367,20.3889,23.0684,16.4123
1936.0,19.5308,13.9612,20.8752,23.1837,17.0288
1937.0,19.2508,14.1069,20.3856,23.3983,16.0151
1938.0,19.2825,13.6077,21.2548,23.1403,15.9498
1939.0,19.1612,13.95,20.0765,23.234,16.2898
1940.0,19.2429,13.5653,20.3066,23.251,16.6202
1941.0,19.848,14.2496,21.5337,23.5172,17.0022
1942.0,19.4548,14.1023,21.1885,23.3707,16.202
1943.0,19.0589,13.7525,20.3274,23.0982,16.0241
1944.0,19.1831,13.4519,20.3909,23.2861,16.3827
1945.0,18.884,12.9256,20.2602,23.3647,15.5058
1946.0,19.3815,13.5529,20.7285,23.2538,16.7803
1947.0,19.2319,13.5716,21.0491,23.4587,16.0766
1948.0,19.491,14.0329,20.8064,23.3246,16.7031
1949.0,19.2777,13.8687,21.008,23.2929,15.7997
1950.0,18.9532,13.3947,20.2841,23.2551,15.7151
1951.0,19.3561,13.1971,20.2736,23.2418,17.1595
1952.0,19.5123,14.5294,20.9135,23.3888,16.2644
1953.0,19.7083,14.2215,21.553,23.5178,16.4591
1954.0,19.3337,14.0168,21.109,23.2801,15.841
1955.0,19.187,14.0216,20.2922,23.2345,16.1287
1956.0,19.2902,13.253,21.0916,23.0683,16.4609
1957.0,19.2974,13.5998,20.0947,23.2265,17.0596
1958.0,19.9194,14.5754,21.1759,23.6415,17.2625
1959.0,19.6024,13.8208,20.9331,23.4753,16.9623
1960.0,19.2698,13.9856,20.2474,23.3879,16.3242
1961.0,19.2701,13.7918,20.757,23.3797,15.9559
1962.0,19.2029,13.516,20.5273,23.2147,16.3208
1963.0,19.2719,13.3939,20.2176,23.1427,17.0838
1964.0,19.1068,13.3846,20.8674,23.0051,15.9632
1965.0,18.9742,13.7576,19.7592,22.7984,16.5682
1966.0,19.307,14.3222,20.4553,23.122,16.3951
1967.0,19.081,13.5732,20.0716,23.0759,16.4356
1968.0,18.8338,12.8187,20.0195,22.9403,16.1828
1969.0,19.3178,13.4012,20.7566,23.1686,16.6889
1970.0,19.1565,13.9243,20.7708,23.1089,15.7605
1971.0,18.7601,13.1208,20.1591,22.7184,15.8429
1972.0,18.9032,12.6673,20.0995,22.9069,16.5259
1973.0,19.3769,14.1247,20.8753,23.3409,16.0945
1974.0,18.7578,12.7659,20.5683,22.6674,15.7293
1975.0,18.612,13.2606,20.0295,22.4979,15.5809
1976.0,18.8978,13.1781,19.8318,22.6612,16.7593
1977.0,19.3072,13.5093,20.4233,23.0882,17.0151
1978.0,19.24,13.5017,20.4164,23.0671,16.7864
1979.0,19.5463,13.9438,20.3002,23.2718,17.5602
1980.0,19.5346,14.0677,20.9734,23.2232,16.8224
1981.0,19.2466,13.9355,20.6743,23.1365,16.1731
1982.0,19.2116,13.7696,20.0644,23.0962,16.8072
1983.0,19.1417,13.5732,20.1037,23.4071,16.2049
1984.0,19.2475,13.6207,20.9014,23.1207,16.1804
1985.0,19.2979,13.9271,20.939,22.9766,16.3323
1986.0,19.0928,13.6123,20.3125,22.9185,16.4259
1987.0,19.423,13.8061,20.3201,23.5247,16.8017
1988.0,19.3325,14.0746,20.7242,23.1674,16.3329
1989.0,18.948,13.0174,20.1818,22.8951,16.405
1990.0,19.2903,13.9086,20.2409,23.1793,16.7421
1991.0,19.292,13.7259,20.6317,23.2854,16.3386
1992.0,19.1524,13.5822,20.0704,23.1449,16.6246
1993.0,19.3432,13.9103,20.414,23.2451,16.6917
1994.0,19.4788,14.4463,20.7588,23.3243,16.4266
1995.0,20.3911,14.9901,21.4682,24.1622,17.8444
1996.0,19.5471,15.2756,20.9298,23.2909,16.2375
1997.0,19.2066,13.1286,20.1344,23.4496,17.21
1998.0,19.841,14.4943,20.9654,23.6697,17.0263
1999.0,19.5274,14.4318,20.8592,23.2407,16.6504
2000.0,19.4829,13.8401,20.765,23.2492,16.8833
2001.0,19.4878,13.5997,21.0392,23.355,16.9524
2002.0,19.7839,13.9265,21.381,23.4046,16.7922
2003.0,19.6956,14.32,20.9977,23.5567,16.7553
2004.0,19.6898,14.3898,21.2983,23.2731,16.837
2005.0,19.5789,14.6249,20.8422,23.4592,16.4288
2006.0,20.0719,15.4776,20.958,23.435,17.5565
2007.0,19.6918,14.4654,21.0595,23.5867,16.615
2008.0,19.5969,13.5968,20.8183,23.3033,17.4336
2009.0,19.9422,14.9528,21.1535,23.5851,17.2001
2010.0,20.1543,14.5103,22.0899,23.5703,17.4166
2011.0,19.5797,13.8445,20.6839,23.5585,17.1604
2012.0,19.5354,13.6797,20.7818,23.6756,16.7985
