-----
{
 "description": "The table refers to block wise surface lift schemes in the command of major/minor projects and average pumping hours. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.11_1.csv", 
 "title": "Download CSV for Blockwise surface lift Schemes in the command of major/medium projects and Average pumping hours for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.11_1.csv"
}
-----
-----
{
 "description": "The table refers to block wise surface lift schemes in the command of major/minor projects and average pumping hours. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.11_1.csv", 
 "title": "Download CSV for Blockwise surface lift Schemes in the command of major/medium projects and Average pumping hours for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.11_1.csv"
}
-----
State,District,Block,Location of Schemes - On the Maj/Med,Location of schemes - Outside command,Total,Avg pumping hours (0-4),Avg pumping hours (4-8),Avg pumping hours (8-12),Avg pumping hours (12-16),Avg pumping hours (16-20),Avg pumping hours (20-24),Total
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,5,0,5,0,5,0,0,0,0,5
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,1,0,1,0,1,0,0,0,0,1
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,0,10,10,0,10,0,0,0,0,10
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,0,3,3,0,0,0,0,3,0,3
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,0,2,2,0,2,0,0,0,0,2
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,0,1,1,0,0,1,0,0,0,1
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,0,1,1,0,0,0,1,0,0,1
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,0,2,2,0,2,0,0,0,0,2
ANDHRA PRADESH,EAST GODAVARI,Y. RAMAVARAM,0,1,1,0,0,0,1,0,0,1
ANDHRA PRADESH,GUNTUR,ACHAMPET,4,36,40,0,25,15,0,0,0,40
ANDHRA PRADESH,GUNTUR,AMARAVATHI,64,2,66,0,43,6,0,17,0,66
ANDHRA PRADESH,GUNTUR,BAPATLA,51,0,51,2,35,13,0,1,0,51
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,0,12,12,0,12,0,0,0,0,12
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,0,1,1,0,1,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,CHEBROLE,4,1,5,0,4,1,0,0,0,5
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,1,0,1,0,1,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,0,32,32,16,4,11,1,0,0,32
ANDHRA PRADESH,GUNTUR,DACHEPALLE,5,82,87,0,84,3,0,0,0,87
ANDHRA PRADESH,GUNTUR,EDLAPADU,0,32,32,28,4,0,0,0,0,32
ANDHRA PRADESH,GUNTUR,GUNTUR,1,0,1,1,0,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,GURAZALA,0,24,24,0,21,3,0,0,0,24
ANDHRA PRADESH,GUNTUR,IPUR,0,1,1,0,0,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,KAKUMANU,6,0,6,0,3,2,0,1,0,6
ANDHRA PRADESH,GUNTUR,KARLAPALEM,8,18,26,0,26,0,0,0,0,26
ANDHRA PRADESH,GUNTUR,KOLLUR,0,9,9,0,0,9,0,0,0,9
ANDHRA PRADESH,GUNTUR,KROSURU,82,0,82,0,52,30,0,0,0,82
ANDHRA PRADESH,GUNTUR,MACHERLA,0,4,4,0,4,0,0,0,0,4
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,0,6,6,0,0,6,0,0,0,6
ANDHRA PRADESH,GUNTUR,MUPPALLA,0,13,13,0,13,0,0,0,0,13
ANDHRA PRADESH,GUNTUR,NADENDLA,1,27,28,21,4,3,0,0,0,28
ANDHRA PRADESH,GUNTUR,NAGARAM,108,0,108,15,23,42,22,6,0,108
ANDHRA PRADESH,GUNTUR,NARASARAOPET,2,0,2,0,2,0,0,0,0,2
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,30,0,30,1,18,10,1,0,0,30
ANDHRA PRADESH,GUNTUR,NUZENDLA,0,93,93,32,55,5,1,0,0,93
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,2,0,2,0,0,2,0,0,0,2
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,3,0,3,0,1,2,0,0,0,3
ANDHRA PRADESH,GUNTUR,PEDANANDIPADU,0,3,3,0,1,2,0,0,0,3
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,0,3,3,0,1,2,0,0,0,3
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,1,17,18,0,12,6,0,0,0,18
ANDHRA PRADESH,GUNTUR,PONNUR,44,0,44,0,37,7,0,0,0,44
ANDHRA PRADESH,GUNTUR,RAJUPALEM,47,0,47,12,35,0,0,0,0,47
ANDHRA PRADESH,GUNTUR,REPALLE,52,2,54,16,29,9,0,0,0,54
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,28,63,91,1,47,43,0,0,0,91
ANDHRA PRADESH,GUNTUR,SAV'PURAM KANUM'PUDI,20,0,20,15,1,4,0,0,0,20
ANDHRA PRADESH,GUNTUR,TADEPALLE,1,69,70,0,19,43,1,7,0,70
ANDHRA PRADESH,GUNTUR,TADIKONDA,40,0,40,3,30,7,0,0,0,40
ANDHRA PRADESH,GUNTUR,TENALI,1,0,1,0,1,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,THULLUR,0,6,6,0,0,6,0,0,0,6
ANDHRA PRADESH,GUNTUR,VATTICHERUKURU,0,3,3,0,0,3,0,0,0,3
ANDHRA PRADESH,GUNTUR,VEMURU,7,0,7,3,4,0,0,0,0,7
ANDHRA PRADESH,GUNTUR,VINUKONDA,21,112,133,22,111,0,0,0,0,133
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,0,3,3,0,0,3,0,0,0,3
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,24,16,40,8,29,3,0,0,0,40
ANDHRA PRADESH,KARIMNAGAR,KATARAM,0,1,1,0,1,0,0,0,0,1
ANDHRA PRADESH,KARIMNAGAR,MALHARRAO MANDAL,0,1,1,0,0,1,0,0,0,1
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,0,8,8,0,0,0,0,0,8,8
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,0,67,67,27,20,10,1,5,4,67
ANDHRA PRADESH,KARIMNAGAR,MUSTABAD,34,20,54,20,0,31,0,3,0,54
ANDHRA PRADESH,KARIMNAGAR,ODELA,0,12,12,4,6,1,1,0,0,12
ANDHRA PRADESH,KARIMNAGAR,RAIKAL,0,2,2,0,0,2,0,0,0,2
ANDHRA PRADESH,KARIMNAGAR,SRIRAMPUR,0,141,141,22,96,23,0,0,0,141
ANDHRA PRADESH,KARIMNAGAR,THIMMAPUR,0,5,5,0,4,1,0,0,0,5
ANDHRA PRADESH,KARIMNAGAR,VELGATOOR,9,35,44,3,33,8,0,0,0,44
ANDHRA PRADESH,KHAMMAM,ASWAPURAM,0,82,82,6,46,30,0,0,0,82
ANDHRA PRADESH,KHAMMAM,ASWARAOPETA,22,9,31,0,20,11,0,0,0,31
ANDHRA PRADESH,KHAMMAM,BAYYARAM,0,147,147,133,11,2,1,0,0,147
ANDHRA PRADESH,KHAMMAM,BHADRACHALAM,0,100,100,59,40,1,0,0,0,100
ANDHRA PRADESH,KHAMMAM,BONAKAL,10,23,33,19,11,2,0,0,1,33
ANDHRA PRADESH,KHAMMAM,BURGAMPADU,0,140,140,127,13,0,0,0,0,140
ANDHRA PRADESH,KHAMMAM,CHANDRUGONDA,0,36,36,29,7,0,0,0,0,36
ANDHRA PRADESH,KHAMMAM,CHERLA,0,96,96,54,33,9,0,0,0,96
ANDHRA PRADESH,KHAMMAM,CHINTHAKANI,0,25,25,0,25,0,0,0,0,25
ANDHRA PRADESH,KHAMMAM,CHINTUR,0,152,152,135,17,0,0,0,0,152
ANDHRA PRADESH,KHAMMAM,DUMMUGUDEM,1,41,42,16,24,2,0,0,0,42
ANDHRA PRADESH,KHAMMAM,ENKURU,0,48,48,47,1,0,0,0,0,48
ANDHRA PRADESH,KHAMMAM,GARLA,0,217,217,22,163,32,0,0,0,217
ANDHRA PRADESH,KHAMMAM,GUNDALA,0,11,11,10,0,1,0,0,0,11
ANDHRA PRADESH,KHAMMAM,JULURPAD,0,2,2,0,2,0,0,0,0,2
ANDHRA PRADESH,KHAMMAM,KALLURU,0,24,24,13,10,1,0,0,0,24
ANDHRA PRADESH,KHAMMAM,KHAMMAM (RURAL),2,193,195,93,65,20,9,8,0,195
ANDHRA PRADESH,KHAMMAM,KHAMMAM (URBAN),0,57,57,9,48,0,0,0,0,57
ANDHRA PRADESH,KHAMMAM,KOTHAGUDEM,0,161,161,32,109,20,0,0,0,161
ANDHRA PRADESH,KHAMMAM,KUKUNOOR,0,131,131,13,118,0,0,0,0,131
ANDHRA PRADESH,KHAMMAM,KUNAVARAM,0,623,623,394,229,0,0,0,0,623
ANDHRA PRADESH,KHAMMAM,MADHIRA,24,242,266,37,81,84,64,0,0,266
ANDHRA PRADESH,KHAMMAM,MANUGUR,0,40,40,16,24,0,0,0,0,40
ANDHRA PRADESH,KHAMMAM,MUDIGONDA,0,4,4,0,4,0,0,0,0,4
ANDHRA PRADESH,KHAMMAM,MULAKALAPALLE,0,184,184,0,184,0,0,0,0,184
ANDHRA PRADESH,KHAMMAM,NELAKONDAPALLE,2,1,3,0,1,1,1,0,0,3
ANDHRA PRADESH,KHAMMAM,PALWANCHA,0,242,242,33,94,108,5,1,1,242
ANDHRA PRADESH,KHAMMAM,PENUBALLI,0,21,21,2,15,2,2,0,0,21
ANDHRA PRADESH,KHAMMAM,PINAPAKA,0,11,11,0,0,11,0,0,0,11
ANDHRA PRADESH,KHAMMAM,SATHUPALLE,0,38,38,1,26,11,0,0,0,38
ANDHRA PRADESH,KHAMMAM,SINGARENI,0,2,2,1,1,0,0,0,0,2
ANDHRA PRADESH,KHAMMAM,TEKULAPALLE,0,124,124,4,114,6,0,0,0,124
ANDHRA PRADESH,KHAMMAM,THALLADA,0,169,169,37,92,38,1,1,0,169
ANDHRA PRADESH,KHAMMAM,THIRUMALAYAPALEM,0,3,3,1,2,0,0,0,0,3
ANDHRA PRADESH,KHAMMAM,VARARAMACHANDRAPURAM,0,412,412,150,262,0,0,0,0,412
ANDHRA PRADESH,KHAMMAM,VELAIRPAD,0,134,134,72,62,0,0,0,0,134
ANDHRA PRADESH,KHAMMAM,VEMSOOR,1,0,1,1,0,0,0,0,0,1
ANDHRA PRADESH,KHAMMAM,VENKATAPURAM,0,351,351,331,19,1,0,0,0,351
ANDHRA PRADESH,KHAMMAM,WAZEED,0,74,74,1,73,0,0,0,0,74
ANDHRA PRADESH,KHAMMAM,WYRA,2,76,78,2,18,37,6,15,0,78
ANDHRA PRADESH,KHAMMAM,YERRUPALEM,0,48,48,39,9,0,0,0,0,48
ANDHRA PRADESH,KRISHNA,AGIRIPALLE,0,2,2,0,0,2,0,0,0,2
ANDHRA PRADESH,KRISHNA,BAPULAPADU,0,13,13,0,0,0,8,5,0,13
ANDHRA PRADESH,KRISHNA,CHANDARLAPADU,2,3,5,0,1,4,0,0,0,5
ANDHRA PRADESH,KRISHNA,CHATRAI,0,1,1,0,0,1,0,0,0,1
ANDHRA PRADESH,KRISHNA,GAMPALAGUDEM,0,3,3,0,1,0,1,1,0,3
ANDHRA PRADESH,KRISHNA,GANNAVARAM,0,3,3,0,0,0,1,1,1,3
ANDHRA PRADESH,KRISHNA,IBRAHIMPATNAM,0,2,2,0,2,0,0,0,0,2
ANDHRA PRADESH,KRISHNA,JAGGAYYAPETA,0,3,3,0,0,1,2,0,0,3
ANDHRA PRADESH,KRISHNA,KAIKALUR,4,6,10,0,0,2,8,0,0,10
ANDHRA PRADESH,KRISHNA,KALIDINDI,0,6,6,0,0,0,4,2,0,6
ANDHRA PRADESH,KRISHNA,KANCHIKACHERLA,2,1,3,0,2,1,0,0,0,3
ANDHRA PRADESH,KRISHNA,MANDAVALLI,2,2,4,0,0,0,4,0,0,4
ANDHRA PRADESH,KRISHNA,MUDINEPALLE,21,0,21,0,0,21,0,0,0,21
ANDHRA PRADESH,KRISHNA,MUSUNURU,1,0,1,0,1,0,0,0,0,1
ANDHRA PRADESH,KRISHNA,NAGAYALANKA,0,1,1,0,0,0,0,1,0,1
ANDHRA PRADESH,KRISHNA,NANDIGAMA,0,2,2,0,0,0,0,2,0,2
ANDHRA PRADESH,KRISHNA,NANDIVADA,2,0,2,0,0,2,0,0,0,2
ANDHRA PRADESH,KRISHNA,PAMARRU,1,0,1,0,0,0,1,0,0,1
ANDHRA PRADESH,KRISHNA,PEDANA,1,0,1,0,0,1,0,0,0,1
ANDHRA PRADESH,KRISHNA,PENAMALURU,4,0,4,0,0,0,2,2,0,4
ANDHRA PRADESH,KRISHNA,REDDIGUDEM,0,1,1,0,0,0,1,0,0,1
ANDHRA PRADESH,KRISHNA,TIRUVURU,0,1,1,0,0,1,0,0,0,1
ANDHRA PRADESH,KRISHNA,UNGUTURU,3,0,3,0,0,2,0,1,0,3
ANDHRA PRADESH,KRISHNA,VATSAVAI,1,1,2,0,2,0,0,0,0,2
ANDHRA PRADESH,KRISHNA,VEERULLAPADU,3,0,3,0,1,2,0,0,0,3
ANDHRA PRADESH,KRISHNA,VIJAYAWADA (URBAN),0,1,1,0,1,0,0,0,0,1
ANDHRA PRADESH,KRISHNA,VISSANNAPET,0,1,1,0,0,1,0,0,0,1
ANDHRA PRADESH,KURNOOL,ADONI,4,55,59,45,14,0,0,0,0,59
ANDHRA PRADESH,KURNOOL,BANAGANAPALLE,0,1,1,0,0,1,0,0,0,1
ANDHRA PRADESH,KURNOOL,BANDI ATMAKUR,0,142,142,0,125,17,0,0,0,142
ANDHRA PRADESH,KURNOOL,C.BELAGAL,0,153,153,0,44,109,0,0,0,153
ANDHRA PRADESH,KURNOOL,DORNIPADU,0,11,11,1,10,0,0,0,0,11
ANDHRA PRADESH,KURNOOL,GOSPADU,34,14,48,2,44,2,0,0,0,48
ANDHRA PRADESH,KURNOOL,HALAHARVI,3,41,44,11,32,1,0,0,0,44
ANDHRA PRADESH,KURNOOL,HOLAGUNDA,0,51,51,41,8,2,0,0,0,51
ANDHRA PRADESH,KURNOOL,KOILKUNTLA,2,254,256,49,166,39,1,1,0,256
ANDHRA PRADESH,KURNOOL,KOSIGI,16,49,65,47,18,0,0,0,0,65
ANDHRA PRADESH,KURNOOL,KOTHAPALLE,0,16,16,16,0,0,0,0,0,16
ANDHRA PRADESH,KURNOOL,KOWTHALAM,0,68,68,5,47,16,0,0,0,68
ANDHRA PRADESH,KURNOOL,MAHANANDI,0,8,8,0,8,0,0,0,0,8
ANDHRA PRADESH,KURNOOL,MANTRALAYAM,0,94,94,37,35,7,1,1,13,94
ANDHRA PRADESH,KURNOOL,NANDAVARAM,8,194,202,35,94,72,0,1,0,202
ANDHRA PRADESH,KURNOOL,NANDYAL,0,80,80,16,62,2,0,0,0,80
ANDHRA PRADESH,KURNOOL,PANYAM,0,44,44,0,40,4,0,0,0,44
ANDHRA PRADESH,KURNOOL,UYYALAWADA,8,233,241,137,94,10,0,0,0,241
ANDHRA PRADESH,MAHABOOB NAGAR,AIZA,23,71,94,7,87,0,0,0,0,94
ANDHRA PRADESH,MAHABOOB NAGAR,ALAMPUR,1,6,7,6,1,0,0,0,0,7
ANDHRA PRADESH,MAHABOOB NAGAR,ATMAKUR,0,203,203,129,57,14,2,1,0,203
ANDHRA PRADESH,MAHABOOB NAGAR,GADWAL,2,125,127,16,66,27,17,0,1,127
ANDHRA PRADESH,MAHABOOB NAGAR,ITIKYAL,0,5,5,5,0,0,0,0,0,5
ANDHRA PRADESH,MAHABOOB NAGAR,MAGANOOR,6,52,58,0,0,1,51,0,6,58
ANDHRA PRADESH,MAHABOOB NAGAR,MAKTHAL,1,8,9,0,6,1,1,0,1,9
ANDHRA PRADESH,MAHABOOB NAGAR,MANOPADU,86,99,185,29,73,46,5,16,16,185
ANDHRA PRADESH,MAHABOOB NAGAR,PEBBAIR,0,9,9,0,1,8,0,0,0,9
ANDHRA PRADESH,MAHABOOB NAGAR,VEEPANGANDLA,0,1,1,0,0,0,0,0,1,1
ANDHRA PRADESH,MAHABOOB NAGAR,WADDEPALLE,33,245,278,197,27,47,7,0,0,278
ANDHRA PRADESH,MEDAK,ANDOLE,0,24,24,0,24,0,0,0,0,24
ANDHRA PRADESH,MEDAK,PAPANNAPET,2,113,115,0,114,1,0,0,0,115
ANDHRA PRADESH,MEDAK,SHANKARAMPET[A],35,55,90,29,50,11,0,0,0,90
ANDHRA PRADESH,NALGONDA,ANUMULA,6,1,7,0,1,6,0,0,0,7
ANDHRA PRADESH,NALGONDA,CHILKUR,66,23,89,1,27,60,0,1,0,89
ANDHRA PRADESH,NALGONDA,DAMERACHERLA,0,23,23,0,15,8,0,0,0,23
ANDHRA PRADESH,NALGONDA,DEVARAKONDA,0,9,9,7,2,0,0,0,0,9
ANDHRA PRADESH,NALGONDA,GARIDE PALLE,199,0,199,1,151,47,0,0,0,199
ANDHRA PRADESH,NALGONDA,HUZURNAGAR,219,1,220,0,17,200,2,0,1,220
ANDHRA PRADESH,NALGONDA,KETHE PALLE,1,0,1,0,0,0,0,0,1,1
ANDHRA PRADESH,NALGONDA,KODAD,189,8,197,15,50,102,2,28,0,197
ANDHRA PRADESH,NALGONDA,MATTAM PALLE,36,83,119,0,91,28,0,0,0,119
ANDHRA PRADESH,NALGONDA,MELLA CHERVU,33,95,128,0,54,57,17,0,0,128
ANDHRA PRADESH,NALGONDA,MIRYALAGUDA,62,101,163,2,66,76,8,11,0,163
ANDHRA PRADESH,NALGONDA,MOTHEY,0,1,1,0,1,0,0,0,0,1
ANDHRA PRADESH,NALGONDA,MUNAGALA,2,0,2,0,0,1,1,0,0,2
ANDHRA PRADESH,NALGONDA,NEREDCHERLA,129,9,138,1,109,27,1,0,0,138
ANDHRA PRADESH,NALGONDA,NIDAMANOOR,72,1,73,1,17,35,20,0,0,73
ANDHRA PRADESH,NALGONDA,PEDDAVOORA,79,372,451,450,1,0,0,0,0,451
ANDHRA PRADESH,NALGONDA,PENPAHAD,7,10,17,13,2,2,0,0,0,17
ANDHRA PRADESH,NALGONDA,THRIPURARAM,0,37,37,21,10,3,1,2,0,37
ANDHRA PRADESH,NALGONDA,VEMULA PALLE,1,11,12,0,0,5,3,3,1,12
ANDHRA PRADESH,NELLORE,ALLUR,1,70,71,2,49,19,1,0,0,71
ANDHRA PRADESH,NELLORE,ANANTHASAGARAM,1,15,16,0,14,2,0,0,0,16
ANDHRA PRADESH,NELLORE,ANUMASAMUDRAMPETA,0,42,42,0,42,0,0,0,0,42
ANDHRA PRADESH,NELLORE,ATMAKUR,0,66,66,2,10,54,0,0,0,66
ANDHRA PRADESH,NELLORE,BALAYAPALLE,0,265,265,1,226,12,26,0,0,265
ANDHRA PRADESH,NELLORE,BUT'PALEM (VAVVERU),20,0,20,0,20,0,0,0,0,20
ANDHRA PRADESH,NELLORE,CHEJERLA,4,76,80,13,53,13,1,0,0,80
ANDHRA PRADESH,NELLORE,CHILLAKUR,0,138,138,84,41,11,1,1,0,138
ANDHRA PRADESH,NELLORE,DAGADARTHI,4,0,4,0,0,2,2,0,0,4
ANDHRA PRADESH,NELLORE,DAKKILI,0,205,205,15,141,49,0,0,0,205
ANDHRA PRADESH,NELLORE,DUTTALUR,0,36,36,15,21,0,0,0,0,36
ANDHRA PRADESH,NELLORE,GUDUR,0,6,6,0,1,5,0,0,0,6
ANDHRA PRADESH,NELLORE,KALIGIRI,0,1,1,0,0,1,0,0,0,1
ANDHRA PRADESH,NELLORE,KALUVOYA,0,54,54,14,13,19,5,3,0,54
ANDHRA PRADESH,NELLORE,KAVALI,0,33,33,0,21,12,0,0,0,33
ANDHRA PRADESH,NELLORE,KODAVALUR,46,0,46,1,38,7,0,0,0,46
ANDHRA PRADESH,NELLORE,KONDAPURAM,1,53,54,0,28,25,1,0,0,54
ANDHRA PRADESH,NELLORE,KOTA,0,14,14,0,1,3,10,0,0,14
ANDHRA PRADESH,NELLORE,MANUBOLU,0,4,4,0,4,0,0,0,0,4
ANDHRA PRADESH,NELLORE,MARRIPADU,0,101,101,0,32,69,0,0,0,101
ANDHRA PRADESH,NELLORE,NELLORE,19,149,168,0,46,122,0,0,0,168
ANDHRA PRADESH,NELLORE,PODALAKUR,13,294,307,39,42,134,92,0,0,307
ANDHRA PRADESH,NELLORE,RAPUR,0,31,31,7,23,1,0,0,0,31
ANDHRA PRADESH,NELLORE,SANGAM,63,59,122,17,73,8,24,0,0,122
ANDHRA PRADESH,NELLORE,SULLURPETA,0,54,54,54,0,0,0,0,0,54
ANDHRA PRADESH,NELLORE,SYDAPURAM,0,117,117,50,39,28,0,0,0,117
ANDHRA PRADESH,NELLORE,TADA,0,144,144,1,130,4,0,0,9,144
ANDHRA PRADESH,NELLORE,VARIKUNTAPADU,0,4,4,0,1,3,0,0,0,4
ANDHRA PRADESH,NELLORE,VENKATACHALAM,5,41,46,1,42,3,0,0,0,46
ANDHRA PRADESH,NELLORE,VENKATAGIRI,0,165,165,2,103,59,1,0,0,165
ANDHRA PRADESH,NELLORE,VIDAVULUR,34,12,46,0,3,24,19,0,0,46
ANDHRA PRADESH,NELLORE,VINJAMUR,4,36,40,0,6,14,8,9,3,40
ANDHRA PRADESH,NIZAMABAD,BANSWADA,147,4,151,0,105,22,14,10,0,151
ANDHRA PRADESH,NIZAMABAD,BICHKUNDA,1,86,87,2,20,56,4,5,0,87
ANDHRA PRADESH,NIZAMABAD,BIRKOOR,10,25,35,0,0,26,9,0,0,35
