-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells by type. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.5.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells by type", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.5.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Shallow tubewell,Point,Borewell,Others,Total
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,334,72,1214,1,1621
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,273,0,5,1,279
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,1013,0,29,1,1043
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,119,0,0,1,120
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,191,75,0,0,266
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,123,0,0,1,124
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,20,42,1,0,63
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,379,350,399,2,1130
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,26,12,0,0,38
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,739,23,22,1,785
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,625,157,17,0,799
ANDHRA PRADESH,CUDDAPAH,THANDUR,29,0,0,0,29
ANDHRA PRADESH,CUDDAPAH,VALLUR,459,35,4,0,498
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,30,366,45,0,441
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,471,22,58,0,551
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,647,225,54,0,926
ANDHRA PRADESH,CUDDAPAH,VEMULA,48,1,175,0,224
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,28,0,0,0,28
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,93,175,0,0,268
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,31,0,0,0,31
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,157,518,48,4,727
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,691,77,12,14,794
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,94,15,0,0,109
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,502,11,0,0,513
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,1383,2,4,1,1390
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHI,146,83,1,0,230
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,77,1269,5,0,1351
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,23,120,0,0,143
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,211,1,1,0,213
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,5,0,0,0,5
ANDHRA PRADESH,EAST GODAVARI,I POLAVARAM,0,62,0,0,62
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,36,10,93,0,139
ANDHRA PRADESH,EAST GODAVARI,KADIAM,131,1663,3,1,1798
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,0,50,0,0,50
ANDHRA PRADESH,EAST GODAVARI,KAKINADA (RURAL),48,8,0,0,56
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,745,1,0,0,746
ANDHRA PRADESH,EAST GODAVARI,KARAPA,0,24,0,0,24
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,578,4,101,0,683
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,357,0,28,1,386
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,251,0,0,0,251
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLI,65,0,0,0,65
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,1562,0,1,0,1563
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,2,2034,0,0,2036
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,447,0,0,0,447
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,604,97,3,0,704
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,4,246,65,152,467
ANDHRA PRADESH,EAST GODAVARI,P GANNAVARAM,764,23,1,0,788
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,32,370,0,0,402
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,2,258,0,0,260
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,273,69,1,0,343
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,515,30,0,0,545
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,318,1,4,0,323
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),192,0,0,0,192
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,82,0,0,0,82
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,51,571,2,0,624
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,38,0,0,0,38
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,1137,82,0,0,1219
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,0,373,0,0,373
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,168,0,0,0,168
ANDHRA PRADESH,EAST GODAVARI,SAKHINETIPALLE,0,109,1,0,110
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,55,0,6,0,61
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,295,0,2,0,297
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,566,137,3,1,707
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,1,26,0,0,27
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,380,1,0,0,381
ANDHRA PRADESH,EAST GODAVARI,TUNI,412,5,86,0,503
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,42,0,0,0,42
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,1054,1,0,0,1055
ANDHRA PRADESH,GUNTUR,ACHAMPETA,90,5,1,0,96
ANDHRA PRADESH,GUNTUR,AMARAVATHI,5,1,274,0,280
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,166,2,159,0,327
ANDHRA PRADESH,GUNTUR,BAPATLA,0,27,0,0,27
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,48,3,71,0,122
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,1048,0,0,0,1048
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,5,7,1609,0,1621
ANDHRA PRADESH,GUNTUR,CHEBROLE,8,20,0,0,28
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,0,48,5,0,53
ANDHRA PRADESH,GUNTUR,DACHEPALLE,93,0,0,0,93
ANDHRA PRADESH,GUNTUR,DUGGIRALA,365,77,1238,0,1680
ANDHRA PRADESH,GUNTUR,EDLAPADU,37,0,0,0,37
ANDHRA PRADESH,GUNTUR,GUNTUR,8,1,27,0,36
ANDHRA PRADESH,GUNTUR,GURAZALA,71,0,0,0,71
ANDHRA PRADESH,GUNTUR,IPURU,46,6,1,0,53
ANDHRA PRADESH,GUNTUR,KAREMPUDI,293,5,0,0,298
ANDHRA PRADESH,GUNTUR,KARLAPALEM,2,38,0,0,40
ANDHRA PRADESH,GUNTUR,KOLLIPARA,1725,8,3,1,1737
ANDHRA PRADESH,GUNTUR,KOLLUR,2637,3,1,1,2642
ANDHRA PRADESH,GUNTUR,KROSURU,5,3,12,0,20
ANDHRA PRADESH,GUNTUR,MACHAVARAM,43,0,151,0,194
ANDHRA PRADESH,GUNTUR,MACHERLA,57,0,0,0,57
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,876,2,21,0,899
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,2,0,1,0,3
ANDHRA PRADESH,GUNTUR,NADENDLA,1,0,2,1,4
ANDHRA PRADESH,GUNTUR,NAGARAM,8,28,0,0,36
ANDHRA PRADESH,GUNTUR,NAKARIKALLU,82,0,0,0,82
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,0,0,3,0,3
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,0,5,0,0,5
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,64,1,19,2,86
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,90,0,0,0,90
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,59,0,0,0,59
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,1,1,0,0,2
ANDHRA PRADESH,GUNTUR,PONNUR,241,749,24,7,1021
ANDHRA PRADESH,GUNTUR,PRATHIPADU,26,0,2,0,28
ANDHRA PRADESH,GUNTUR,RAJUPALEM,22,1,2,0,25
ANDHRA PRADESH,GUNTUR,RENTACRINTALA,32,0,0,0,32
ANDHRA PRADESH,GUNTUR,REPALLE,93,0,0,0,93
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,20,0,0,0,20
ANDHRA PRADESH,GUNTUR,TADIKONDA,339,0,2,1,342
ANDHRA PRADESH,GUNTUR,TENALI,41,1178,0,70,1289
ANDHRA PRADESH,GUNTUR,THADEPALLE,1038,4,0,0,1042
ANDHRA PRADESH,GUNTUR,THULLUR,732,1427,1,0,2160
ANDHRA PRADESH,GUNTUR,TSUNDUR,637,2,0,0,639
ANDHRA PRADESH,GUNTUR,VEMURU,649,3,1,0,653
ANDHRA PRADESH,GUNTUR,VINUKONDA,17,0,0,0,17
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,532,168,298,5,1003
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,60,12,0,0,72
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,218,24,120,2,364
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,112,18,167,1,298
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,135,22,181,0,338
ANDHRA PRADESH,KARIMNAGAR,DHARMAPURI,13,0,1,0,14
ANDHRA PRADESH,KARIMNAGAR,ELKATHURTHI,252,3,0,0,255
ANDHRA PRADESH,KARIMNAGAR,ELLANTHAKUNTA,0,0,872,0,872
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,569,328,134,0,1031
ANDHRA PRADESH,KARIMNAGAR,HUSNABAD,720,48,25,0,793
ANDHRA PRADESH,KARIMNAGAR,HUZURABAD,1,0,0,0,1
ANDHRA PRADESH,KARIMNAGAR,IBRAHIMPATNAM,218,40,2,0,260
ANDHRA PRADESH,KARIMNAGAR,KAMALAPUR,17,12,0,0,29
ANDHRA PRADESH,KARIMNAGAR,KAMANPUR,26,50,1,0,77
ANDHRA PRADESH,KARIMNAGAR,KARIMNAGAR,24,2,3,0,29
ANDHRA PRADESH,KARIMNAGAR,KATHLAPUR,0,0,1285,0,1285
ANDHRA PRADESH,KARIMNAGAR,KODIMIAL,51,1,20,0,72
ANDHRA PRADESH,KARIMNAGAR,KOHEDA,326,352,230,0,908
ANDHRA PRADESH,KARIMNAGAR,KONARAOPETA,377,209,123,0,709
ANDHRA PRADESH,KARIMNAGAR,KORATLA,44,42,38,7,131
ANDHRA PRADESH,KARIMNAGAR,MAHADEVPUR,302,0,0,0,302
ANDHRA PRADESH,KARIMNAGAR,MALHARRAO,64,0,0,0,64
ANDHRA PRADESH,KARIMNAGAR,MALLIAL,60,2,4,0,66
ANDHRA PRADESH,KARIMNAGAR,MANAKONDUR,2,1,31,0,34
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,268,3,9,0,280
ANDHRA PRADESH,KARIMNAGAR,MEDIPALLE,255,26,19,0,300
