-----
{
 "description": "The Index of Eight Core Industries is a monthly production index, which is also considered as a lead indicator of the monthly industrial performance. The Index of Eight Core Industries is compiled based on the monthly production information received from the Source Agencies;\r\rFrequency and Date ...", 
 "file_name": "Index_of_Core_Industries_2004-05_0.xls", 
 "title": "Download XLS for Index of Eight Core Industries: Base Year 2004-05 - Upto May 2013", 
 "url": "http://data.gov.in/sites/default/files/Index_of_Core_Industries_2004-05_0.xls"
}
-----
"Month/ Year"," Production of Coal (in Million Tonnes)"," Production of Crude Oil (in Thousand  Tonnes)"," Production of Natural Gas (in Million cubic meters)","  Production of Petroleum Refinery Products (in Thousand Tonnes)","  Production of Fertilizers (in Thousand Tonnes)","  Production of Steel (in Thousand Tonnes)","  Production of Cement (in Thousand Tonnes)"," Electricity Generation (in Million KWH)"
39695.0,34.505,2784.0,2726.0,12182.07,2960.3,4803.0,14390.0,59120.24
39725.0,40.454,2917.0,2831.0,12371.79,2990.5,4780.0,15260.0,62338.08
39756.0,43.009,2837.0,2750.0,11926.32,3123.8,4380.0,14840.0,58347.46
39786.0,47.608,2874.0,2795.0,12510.36,2933.6,4473.0,16320.0,60141.48
39817.0,48.446,2660.0,2586.0,12550.35,2602.0,4773.0,16630.0,61443.57
39845.0,46.491,2559.0,2442.0,11950.5,2355.7,4752.0,16500.0,57338.7
39873.0,55.761,2857.0,2827.0,12999.54,2515.3,5139.0,18600.0,65057.36
39904.0,39.985,2730.0,2931.0,11597.1,2441.4,4592.0,17360.0,62779.93
39934.0,40.111,2783.2,3410.6,11874.24,2894.6,4942.0,17200.0,63897.66
39965.0,39.377,2751.8,3588.4,12207.738,3090.1,5030.0,17080.0,63046.04
39995.0,36.156,2790.3,3758.9,11396.22,3208.7,5306.0,16700.0,63221.93
40026.0,37.8,2774.8,3869.1,12856.32,3224.1,4953.0,16050.0,65809.88
40057.0,36.749,2769.5,3745.4,12596.50776,3182.8,4808.0,15330.0,63478.63
40087.0,43.206,2854.8,4082.4,13265.71623,3337.8,4926.0,16070.0,65101.09
40118.0,45.014,2793.0,4059.9,12500.48061,3298.4,4956.0,16180.0,60141.22
40148.0,48.166,2904.6,4397.2,12628.47,3347.1,5180.0,18110.0,64096.94
40179.0,51.08,2919.7,4641.0,13024.60443,3234.7,5611.0,18690.0,65346.63
40210.0,49.628,2660.7,4216.3,12039.408,2883.8,4762.0,17800.0,61315.01
40238.0,60.248,2957.6,4789.3,12862.551,2679.7,5557.0,20060.0,70193.75
40269.0,38.8,2869.6,4517.1,12216.48,2552.2,5540.0,18880.0,67104.81
40299.0,40.235,2944.9,4585.4,12790.476,2883.9,5613.0,18680.0,67998.54
40330.0,39.689,2938.7,4501.6,12557.232,3184.7,5451.0,17720.0,65414.85
40360.0,37.774,3232.2,4510.3,12962.991,3350.2,5330.0,16670.0,65874.16
40391.0,38.165,3196.2,4330.2,12563.091,3334.7,5755.0,16300.0,66849.51
40422.0,36.082,3115.3,4219.096,11311.311,3163.4,5567.0,16130.0,64793.99
40452.0,43.507,3246.5,4348.0,12630.051,3301.1,5813.0,19050.0,70613.98
40483.0,45.345,3268.6,4281.4,12065.076,3351.0,5308.0,15490.0,62272.16
40513.0,49.985,3362.556,4389.177,13680.3,3358.4,5814.0,17720.0,67321.68
40544.0,50.419,3236.4,4350.8,14160.459,3288.7,6350.0,19020.0,71654.73
40575.0,46.768,2986.0,3907.5,12423.033,3043.9,5858.0,18950.0,65708.32
40603.0,59.557,3314.7,4281.6,13950.651,2813.3,6222.0,21370.0,75536.06
40634.0,39.837,3185.8,4096.3,13012.09221,2618.3,6022.0,18890.0,71425.76
40664.0,40.758,3234.3,4143.695,13366.78584,3069.0,6239.0,18450.0,75009.28
40695.0,38.5,3165.66,3974.99,13131.31542,3100.3,6098.0,18020.0,70600.67
40725.0,38.706,3277.37,4141.27,13445.83026,3264.7,6296.0,18830.0,74425.21
40756.0,32.371,3247.55,4101.34,13040.1624,3265.7,6256.0,17670.0,73101.19
40787.0,29.531,3118.44,3949.0,11797.49175,3083.9,6140.0,16480.0,70497.5
40817.0,39.659,3217.04,4027.591,12263.39943,3279.0,6671.0,19110.0,74370.29
40848.0,47.558,3083.46,3847.413,13420.42266,3192.3,5908.0,18120.0,71234.39
40878.0,52.734,3173.38,3915.326,13770.93966,3273.2,6460.0,20130.0,73303.01
40909.0,54.29,3172.83,3896.748,13503.41028,3338.6,6633.0,21090.0,73928.81
40940.0,55.165,2995.99,3609.061,13170.37635,2934.8,6365.0,20810.0,71371.3
40969.0,63.881,3217.9,3855.898,14170.86384,2739.5,6607.0,22890.0,79432.56
41000.0,42.196,3142.679,3635.199,15718.14948,2243.0,6159.0,21248.0,75261.21
41030.0,44.68,3249.106,3700.091,16493.93781,2634.2,6475.0,21289.0,79432.56
41061.0,41.284,3141.82,3532.67,13934.0505,2842.4,6345.0,20569.0,76803.26
41091.0,39.528,3256.01,3580.974,13934.74893,3210.9,6364.0,20045.0,76470.66
41122.0,35.925,3228.16,3547.353,14140.26405,3217.2,6435.0,18497.0,74498.36
41153.0,35.844,3064.549,3362.764,13013.44815,3255.3,6218.0,19499.0,73268.91
41183.0,43.993,3203.567,3428.257,14751.83205,3289.9,6359.0,21238.0,78526.93
41214.0,45.465,3106.883,3262.309,14303.45394,3200.3,6369.0,18040.0,72965.3
41244.0,52.646,3206.333,3333.402,14453.88609,3149.1,6692.0,22038.0,77117.35
41275.0,55.551,3165.091,3242.242,14920.18716,3023.2,6760.0,23238.0,78616.0
41306.0,50.745,2876.029,2884.188,13733.73501,2780.3,6394.0,21458.0,68762.88
41334.0,64.064,3224.612,3173.246,14971.23951,2847.0,7044.0,24788.0,80333.28
41365.0,43.524,3106.15,3001.374,16598.69394,2309.2,6278.0,22997.0,77870.37
41395.0,43.227,3170.701,3009.044,17325.51033,2567.7,6738.0,21918.0,84349.87
"2004-05(Apr-Mar)",376.677,33982.0,31762.0,118216.95,33983.0,43513.0,131559.0,587432.03
"2005-06(Apr-Mar)",401.366,32198.0,32202.0,120750.27,34963.6,46566.0,147808.0,617510.47
"2006-07(Apr-Mar)",425.106,33986.0,31746.0,136292.43,36152.3,52529.0,161310.0,662522.96
"2007-08(Apr-Mar)",451.742,34118.0,32415.0,145174.86,33244.3,56075.0,174310.0,704469.02
"2008-09(Apr-Mar)",487.904,33507.0,32845.0,149518.89,33148.1,57165.0,186940.0,723793.62
"2009-10(Apr-Mar)",527.52,33690.0,47489.5,148849.35603,36823.2,60623.0,206630.0,768428.71
"2010-11(Apr-Mar)",526.326,37711.656,52222.173,153311.151,37625.5,68621.0,215980.0,811142.79
"2011-12(Apr-Mar)",532.99,38089.72,47558.632,158093.0901,37159.3,75695.0,230490.0,878699.97
"2012-13(Apr-Mar)",551.921,37864.839,40682.695,174368.93268,35692.8,77614.0,251947.0,912056.7
"2011-12(April- May)",80.595,6420.1,8239.995,26378.87805,5687.3,12261.0,37340.0,146435.04
"2012-13(April- May)",86.876,6391.785,7335.29,32212.08729,4877.2,12634.0,42537.0,154693.77
"2013-14(April- May)",86.751,6276.851,6010.418,33924.20427,4876.9,13016.0,44915.0,162220.24
