-----
{
 "description": "The table refers to Block wise Dugwells according to Water Distribution System. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.8.csv", 
 "title": "Download CSV for Blockwise Dugwells according to Water Distribution System", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.8.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Sprinkler,Drip Irrigation,Open channel,Under ground channel,Others,Total,,,,,,,,
TAMIL NADU,VELLORE,GUDIYATHAM,44,2,7505,135,13,7699,,,,,,,,
TAMIL NADU,VELLORE,JOLARPET,94,7,7361,213,843,8518,,,,,,,,
TAMIL NADU,VELLORE,K.V.KUPPAM,513,2,6954,43,190,7702,,,,,,,,
TAMIL NADU,VELLORE,KANDHILI,326,10,8240,17,195,8788,,,,,,,,
TAMIL NADU,VELLORE,KANIYAMBADI,453,1,4836,1,84,5375,,,,,,,,
TAMIL NADU,VELLORE,KATPADI,124,3,4126,58,1,4312,,,,,,,,
TAMIL NADU,VELLORE,KAVERIPAKKAM,58,8,6145,109,363,6683,,,,,,,,
TAMIL NADU,VELLORE,MADHANUR,111,5,5103,0,115,5334,,,,,,,,
TAMIL NADU,VELLORE,NATRAMPALLI,64,8,4578,225,249,5124,,,,,,,,
TAMIL NADU,VELLORE,NEMILI,152,1,5164,230,380,5927,,,,,,,,
TAMIL NADU,VELLORE,PERNAMBUT,311,19,7209,18,0,7557,,,,,,,,
TAMIL NADU,VELLORE,SHOLINGUR,161,4,6416,147,82,6810,,,,,,,,
TAMIL NADU,VELLORE,THIMIRI,562,11,9514,39,342,10468,,,,,,,,
TAMIL NADU,VELLORE,THIRUPATTUR,85,2,6990,16,339,7432,,,,,,,,
TAMIL NADU,VELLORE,VELLORE,92,29,3643,26,34,3824,,,,,,,,
TAMIL NADU,VELLORE,WALAJAH,134,3,3829,29,211,4206,,,,,,,,
TAMIL NADU,VILLUPPURAM,CHINNA SALEM,357,54,13101,614,120,14246,,,,,,,,
TAMIL NADU,VILLUPPURAM,GINGEE,91,20,10704,365,341,11521,,,,,,,,
TAMIL NADU,VILLUPPURAM,KALLAKURICHI,201,28,9233,360,440,10262,,,,,,,,
TAMIL NADU,VILLUPPURAM,KALRAYAN KILLS,15,6,1331,37,33,1422,,,,,,,,
TAMIL NADU,VILLUPPURAM,KANAI,101,34,5449,169,173,5926,,,,,,,,
TAMIL NADU,VILLUPPURAM,KANDAMANGALAM,14,2,510,1,0,527,,,,,,,,
TAMIL NADU,VILLUPPURAM,KOLIYANUR,68,0,1310,28,35,1441,,,,,,,,
TAMIL NADU,VILLUPPURAM,MARAKKANAM,564,49,8614,130,128,9485,,,,,,,,
TAMIL NADU,VILLUPPURAM,MAYILAM,467,17,7097,30,69,7680,,,,,,,,
TAMIL NADU,VILLUPPURAM,MELMALAIYANUR,572,40,11427,508,213,12760,,,,,,,,
TAMIL NADU,VILLUPPURAM,MUGAIYUR,359,68,7775,58,421,8681,,,,,,,,
TAMIL NADU,VILLUPPURAM,OLAKKUR,511,22,7925,104,183,8745,,,,,,,,
TAMIL NADU,VILLUPPURAM,RISHIVANTHAYAM,901,39,7088,109,554,8691,,,,,,,,
TAMIL NADU,VILLUPPURAM,SANKARAPURAM,887,86,8571,136,74,9754,,,,,,,,
TAMIL NADU,VILLUPPURAM,THIRUKKOYILUR,740,15,5611,431,48,6845,,,,,,,,
TAMIL NADU,VILLUPPURAM,THIRUNAVALUR,36,6,3184,127,209,3562,,,,,,,,
TAMIL NADU,VILLUPPURAM,THIRUVENNAINALLUR,21,6,1021,173,16,1237,,,,,,,,
TAMIL NADU,VILLUPPURAM,THIYAGADHURGAM,377,11,6629,241,280,7538,,,,,,,,
TAMIL NADU,VILLUPPURAM,ULUNDURPET,548,201,7300,493,536,9078,,,,,,,,
TAMIL NADU,VILLUPPURAM,VAANOOR,138,99,1827,72,132,2268,,,,,,,,
TAMIL NADU,VILLUPPURAM,VALLAM,463,79,9901,513,540,11496,,,,,,,,
TAMIL NADU,VILLUPPURAM,VIKKIRAVANDI,306,6,3056,55,249,3672,,,,,,,,
TAMIL NADU,VIRUDHUNAGAR,ARUPPUKOTTAI,81,15,1497,12,142,1747,,,,,,,,
TAMIL NADU,VIRUDHUNAGAR,KARIAPATTI,365,9,2473,121,228,3196,,,,,,,,
TAMIL NADU,VIRUDHUNAGAR,NARIKUDI,59,11,1124,19,65,1278,,,,,,,,
TAMIL NADU,VIRUDHUNAGAR,RAJAPALAYAM,590,13,8299,54,10,8966,,,,,,,,
TAMIL NADU,VIRUDHUNAGAR,SATTUR,24,3,2005,16,601,2649,,,,,,,,
TAMIL NADU,VIRUDHUNAGAR,SIVAKASI,59,41,3007,196,703,4006,,,,,,,,
TAMIL NADU,VIRUDHUNAGAR,SRIVILLIPUTUR,248,7,5906,502,362,7025,,,,,,,,
TAMIL NADU,VIRUDHUNAGAR,TIRUCHULI,79,20,2164,45,135,2443,,,,,,,,
TAMIL NADU,VIRUDHUNAGAR,VEMBAKKOTTAI,230,13,3684,165,147,4239,,,,,,,,
TAMIL NADU,VIRUDHUNAGAR,VIRUDHUNAGAR,24,9,2822,20,1068,3943,,,,,,,,
TAMIL NADU,VIRUDHUNAGAR,WATRAP,100,9,5458,105,2,5674,,,,,,,,
TRIPURA,DHALAI,SALEMA,0,0,5,0,0,5,,,,,,,,
TRIPURA,SOUTH TRIPURA,BAGAFA,0,0,6,0,2,8,,,,,,,,
TRIPURA,SOUTH TRIPURA,KILLA,0,0,8,0,0,8,,,,,,,,
TRIPURA,SOUTH TRIPURA,RAJNAGAR,0,0,162,0,28,190,,,,,,,,
TRIPURA,WEST TRIPURA,BISHALGARH,0,0,5,0,0,5,,,,,,,,
TRIPURA,WEST TRIPURA,JAMPUIJALA,2,13,2,0,0,17,,,,,,,,
TRIPURA,WEST TRIPURA,KHOWAI,0,0,3,1,0,4,,,,,,,,
TRIPURA,WEST TRIPURA,MOHANPUR,0,0,6,0,2,8,,,,,,,,
TRIPURA,WEST TRIPURA,TELIAMURA,0,0,3,0,0,3,,,,,,,,
TRIPURA,WEST TRIPURA,TULASHIKHAR,0,0,1,0,10,11,,,,,,,,
UTTAR PRADESH,AGRA,ACHNERA,0,0,633,0,0,633,,,,,,,,
UTTAR PRADESH,AGRA,BAMROLI AHIR,0,0,16,0,0,16,,,,,,,,
UTTAR PRADESH,AGRA,BICHPURI,0,0,127,0,0,127,,,,,,,,
UTTAR PRADESH,AGRA,ETMADPUR,0,0,77,0,0,77,,,,,,,,
UTTAR PRADESH,AGRA,FATEHABAD,6,0,64,0,0,70,,,,,,,,
UTTAR PRADESH,AGRA,FATEHPUR SIKRI,0,0,0,0,2,2,,,,,,,,
UTTAR PRADESH,AGRA,JAGNER,0,0,752,0,49,801,,,,,,,,
UTTAR PRADESH,AGRA,SHAMSABAD,0,0,15,2,6,23,,,,,,,,
UTTAR PRADESH,ALIGARH,AKRABAD,0,1,7,0,0,8,,,,,,,,
UTTAR PRADESH,ALIGARH,ATRAULI,3,4,3,0,0,10,,,,,,,,
UTTAR PRADESH,ALIGARH,CHANDOUS,3,1,6,0,0,10,,,,,,,,
UTTAR PRADESH,ALIGARH,DHANIPUR,0,0,12,0,0,12,,,,,,,,
UTTAR PRADESH,ALIGARH,GONDA,1,3,6,0,2,12,,,,,,,,
UTTAR PRADESH,ALIGARH,LODHA,1,0,14,0,0,15,,,,,,,,
UTTAR PRADESH,ALLAHABAD,BAHRIA,0,0,0,0,4,4,,,,,,,,
UTTAR PRADESH,ALLAHABAD,DHANUPUR,0,0,3,0,0,3,,,,,,,,
UTTAR PRADESH,ALLAHABAD,HOLAGARH,0,0,122,2,0,124,,,,,,,,
UTTAR PRADESH,ALLAHABAD,JASRA,1,0,51,0,0,52,,,,,,,,
UTTAR PRADESH,ALLAHABAD,KORAON,14,7,1128,27,43,1219,,,,,,,,
UTTAR PRADESH,ALLAHABAD,MAIJA,0,1,79,0,0,80,,,,,,,,
UTTAR PRADESH,ALLAHABAD,MANDA,58,22,694,0,16,790,,,,,,,,
UTTAR PRADESH,ALLAHABAD,SHANKARGARH,10,0,77,25,14,126,,,,,,,,
UTTAR PRADESH,ALLAHABAD,SORAON,0,0,282,3,147,432,,,,,,,,
UTTAR PRADESH,ALLAHABAD,URUWAN,0,0,44,0,0,44,,,,,,,,
UTTAR PRADESH,AMBEDAKAR NAGAR,AKBARPUR,0,0,54,0,0,54,,,,,,,,
UTTAR PRADESH,AMBEDAKAR NAGAR,BHIYAON,17,0,0,0,0,17,,,,,,,,
UTTAR PRADESH,AMBEDAKAR NAGAR,JALALPUR,2,14,1,0,4,21,,,,,,,,
UTTAR PRADESH,AMBEDAKAR NAGAR,RAMNAGAR,0,0,10,0,0,10,,,,,,,,
UTTAR PRADESH,AMBEDAKAR NAGAR,TANDA,0,0,19,0,0,19,,,,,,,,
UTTAR PRADESH,AZAMGARH,MEHNAGAR,0,0,11,0,0,11,,,,,,,,
UTTAR PRADESH,BAGHPAT,BAGHPAT,0,0,7,0,2,9,,,,,,,,
UTTAR PRADESH,BAGHPAT,BINAULI,0,0,3,0,15,18,,,,,,,,
UTTAR PRADESH,BAGHPAT,CHHAPRAULI,0,0,52,0,0,52,,,,,,,,
UTTAR PRADESH,BAHARAICH,CHITTAURA,4,1,28,0,0,33,,,,,,,,
UTTAR PRADESH,BAHARAICH,TAJAWAPUR,36,0,0,0,0,36,,,,,,,,
UTTAR PRADESH,BALLIA,BANSDEEH,0,0,192,0,31,223,,,,,,,,
UTTAR PRADESH,BALLIA,BERUARBARI,0,0,0,0,3,3,,,,,,,,
UTTAR PRADESH,BALLIA,DUBHAR,0,0,24,0,0,24,,,,,,,,
UTTAR PRADESH,BALLIA,HANUMANGANJ,0,1,107,1,25,134,,,,,,,,
UTTAR PRADESH,BALLIA,MANIER,0,0,159,0,13,172,,,,,,,,
UTTAR PRADESH,BALLIA,MURLICHAPRA,0,0,105,0,0,105,,,,,,,,
UTTAR PRADESH,BALLIA,PANDAH,0,0,33,0,6,39,,,,,,,,
UTTAR PRADESH,BALLIA,REVOTI,0,0,28,0,0,28,,,,,,,,
UTTAR PRADESH,BALLIA,SEAR,0,0,4,0,0,4,,,,,,,,
UTTAR PRADESH,BALRAMPUR,BALRAMPUR,1,0,115,0,1,117,,,,,,,,
UTTAR PRADESH,BALRAMPUR,HARRAIYA SATGHARWA,0,0,1,0,0,1,,,,,,,,
UTTAR PRADESH,BALRAMPUR,SHRI DATTGANJ,0,0,4,0,0,4,,,,,,,,
UTTAR PRADESH,BANDA,BABERU,0,0,31,0,7,38,,,,,,,,
UTTAR PRADESH,BANDA,BADOKHAR KHURD,1,0,59,1,0,61,,,,,,,,
UTTAR PRADESH,BANDA,BISANDA,0,0,221,1,0,222,,,,,,,,
UTTAR PRADESH,BANDA,JASPURA,1,0,169,1,44,215,,,,,,,,
UTTAR PRADESH,BANDA,KAMASIN,5,1,368,0,0,374,,,,,,,,
UTTAR PRADESH,BANDA,MAHUA,6,1,377,0,0,384,,,,,,,,
UTTAR PRADESH,BANDA,NARAINI,55,35,1608,0,40,1738,,,,,,,,
UTTAR PRADESH,BARABANKI,BANIKODAR,24,8,132,0,0,164,,,,,,,,
UTTAR PRADESH,BARABANKI,FATEHPUR,0,1,16,0,0,17,,,,,,,,
UTTAR PRADESH,BARABANKI,PUREDALAI,0,0,89,0,0,89,,,,,,,,
UTTAR PRADESH,BARABANKI,RAMNAGAR,0,0,172,0,0,172,,,,,,,,
UTTAR PRADESH,BARABANKI,SIDHOUR,1,22,1,0,0,24,,,,,,,,
