-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to horse power of lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.10.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.10.csv"
}
-----
State,District,Block,Horse Power (0-2),Horse Power (2 - 4),Horse Power (4 - 6),Horse Power (6 -8),Horse Power (8 - 10),Horse Power (Above 10),Unspecified,Total
MANIPUR,IMPHAL,IRILBUNG(IMPHAL-E),1,0,0,0,0,0,0,1
MANIPUR,IMPHAL,SWOMBUNG(IMPHAL-E),4,0,0,0,0,0,0,4
MANIPUR,SENAPATI,KANGPOKPI,3,0,0,0,0,0,0,3
MANIPUR,THOUBAL,KAKCHING,12,0,0,0,0,0,0,12
MANIPUR,THOUBAL,THOUBAL,7,0,0,0,0,0,0,7
MEGHALAYA,WEST GARO HILLS,BETASING,0,0,0,0,107,0,0,107
MEGHALAYA,WEST GARO HILLS,ZIKZAK,0,0,0,0,2,0,0,2
MEGHALAYA,WEST KHASI HILLS,MAIRANG,0,0,0,0,0,0,1,1
NAGALAND,KOHIMA,MEDZIPHEMA,0,1,5,0,0,0,0,6
ORISSA,ANGUL,ANUGUL,0,0,0,0,0,0,1,1
ORISSA,ANGUL,KISONAGAR,1,0,0,0,0,0,0,1
ORISSA,BALASORE,BAHANAGA,120,191,313,5,9,0,32,670
ORISSA,BALASORE,BALASORE,18,15,110,1,2,0,2,148
ORISSA,BALASORE,BALIPAL,12,69,649,11,2,0,0,743
ORISSA,BALASORE,BASTA,36,188,775,5,14,1,1,1020
ORISSA,BALASORE,BHOGARAI,28,267,1214,317,37,5,3,1871
ORISSA,BALASORE,JALESWAR,7,117,786,23,9,1,1,944
ORISSA,BALASORE,JILGIRI,2,3,26,0,0,0,5,36
ORISSA,BALASORE,KHAIRA,61,93,79,0,1,0,202,436
ORISSA,BALASORE,OUPADA,4,3,18,0,0,0,4,29
ORISSA,BALASORE,REMUNA,6,26,264,1,4,1,14,316
ORISSA,BALASORE,SIMULIA,19,96,212,7,8,1,23,366
ORISSA,BALASORE,SORO,59,38,130,4,4,0,75,310
ORISSA,BARAGARH,AMBABHANA,3,5,34,13,0,4,1,60
ORISSA,BARAGARH,ATABIRA,1,0,2,0,0,0,1,4
ORISSA,BARAGARH,BARAGARH,0,3,3,0,0,0,0,6
ORISSA,BARAGARH,BARAPALI,3,0,1,0,0,0,0,4
ORISSA,BARAGARH,BHATALI,1,29,34,3,7,1,0,75
ORISSA,BARAGARH,JHARABANDHA,0,1,0,0,0,0,0,1
ORISSA,BARAGARH,PADMAPUR,0,1,0,0,1,0,1,3
ORISSA,BARAGARH,PAIKMAL,0,1,0,0,0,0,1,2
ORISSA,BARAGARH,SOHELA,0,9,23,1,2,0,0,35
ORISSA,BHADRAK,BASUDEVPUR,38,174,129,5,8,0,41,395
ORISSA,BHADRAK,BHADRAK,13,37,173,2,20,3,1,249
ORISSA,BHADRAK,BHANDARIPOKHARI,2,27,92,0,8,0,6,135
ORISSA,BHADRAK,BONTH,10,43,92,0,1,1,10,157
ORISSA,BHADRAK,DHAMANAGAR,17,56,116,2,2,1,1,195
ORISSA,BHADRAK,TIHIDI,16,38,62,1,3,0,5,125
ORISSA,BOLANGIR,AGALPUR,0,9,0,0,0,0,0,9
ORISSA,BOLANGIR,BALANGIR,0,1,0,0,0,0,0,1
