-----
{
 "description": "The table refers to District wise Distribution of Dugwells according to Average Pumping Hours. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.11.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells according to Average Pumping Hours", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.11.csv"
}
-----
"State","District","Avg pumping hours (0-4)","Avg pumping hours (4 - 8)","Avg pumping hours (8-12)","Avg pumping hours (12 -16)","Avg pumping hours (16 - 20)","Avg pumping hours (20 - 24)","Total"
"BIHAR","MADHEPURA",4,0,0,0,0,0,4
"BIHAR","MADHUBANI",95,11,15,0,0,0,121
"BIHAR","MUNGER",2562,860,38,0,0,0,3460
"BIHAR","MUZAFFARPUR",91,17,0,0,0,0,108
"BIHAR","NALANDA",6100,14359,258,8,5,0,20730
"BIHAR","NAWADA",4140,1236,73,13,1,0,5463
"BIHAR","PATNA",2578,2342,26,10,8,7,4971
"BIHAR","ROHTAS(SASARAM)",4151,2388,73,26,0,1,6639
"BIHAR","SARAN",11517,461,3,0,0,0,11981
"BIHAR","SHEKHPURA",350,267,1,0,0,1,619
"BIHAR","SIWAN",13545,673,53,1,0,0,14272
"BIHAR","VAISHALI",277,745,0,0,0,1,1023
"CHHATTISGARH","BASTER",3760,88,9,0,54,52,3963
"CHHATTISGARH","BILASPUR",1063,8489,341,163,221,1,10278
"CHHATTISGARH","DANTEWADA",654,4,8,0,7,0,673
"CHHATTISGARH","DHAMTARI",3499,539,258,418,1048,57,5819
"CHHATTISGARH","DURG",6052,196,844,672,820,32,8616
"CHHATTISGARH","JANJGIR-CHAMPA",1077,11869,274,16,11,1,13248
"CHHATTISGARH","JASHPUR",5370,20872,15,5,11,101,26374
"CHHATTISGARH","KANKER",6528,56,421,113,270,108,7496
"CHHATTISGARH","KORBA",1711,5067,21,65,122,4,6990
"CHHATTISGARH","KORIA",5699,12520,127,0,59,121,18526
"CHHATTISGARH","KVARDHA",1259,235,102,76,3,0,1675
"CHHATTISGARH","MAHASAMUND",4441,232,191,67,303,6,5240
"CHHATTISGARH","RAIGARH",4644,11997,134,55,41,98,16969
"CHHATTISGARH","RAIPUR",12901,308,477,1273,806,87,15852
"CHHATTISGARH","RAJNANDGAON",5271,136,119,373,1028,531,7458
"CHHATTISGARH","SURGUJA",22555,31740,783,439,260,29,55806
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",562,10,0,0,0,0,572
"GOA","NORTH GOA",3522,198,25,0,0,3,3748
"GOA","SOUTH GOA",1191,167,9,1,0,0,1368
"GUJARAT","AHMEDABAD",12353,532,525,3,0,1,13414
"GUJARAT","AMRELI",80373,430,0,56,0,0,80859
"GUJARAT","ANAND",477,1405,119,0,0,0,2001
"GUJARAT","BANASKANTHA",13630,30947,5700,655,8,1,50941
"GUJARAT","BHARUCH",1219,3493,248,3,0,0,4963
"GUJARAT","BHAVNAGAR",57500,60465,70,0,0,0,118035
"GUJARAT","DAHOD",28556,5416,25,2,4,17,34020
"GUJARAT","DANG",977,553,5,0,0,0,1535
"GUJARAT","GANDHINAGAR",35,0,0,0,0,0,35
"GUJARAT","JAMNAGAR",330,82941,0,0,0,0,83271
"GUJARAT","JUNAGADH",123937,10116,41,7,2,9,134112
"GUJARAT","KACHCHH",13918,10141,5817,476,170,4,30526
"GUJARAT","KHEDA",12778,2961,49,8,6,0,15802
"GUJARAT","MEHSANA",5209,959,1323,331,1,0,7823
"GUJARAT","NARMADA",1212,1403,146,2,1,8,2772
"GUJARAT","NAVSARI",9861,2935,3,4,0,2,12805
"GUJARAT","PANCHMAHAL",39548,2992,1801,33,7,56,44437
"GUJARAT","PATAN",17,28,47,0,0,0,92
"GUJARAT","PORBANDAR",16902,5117,288,0,0,0,22307
"GUJARAT","RAJKOT",98757,4804,77,22,6,18,103684
"GUJARAT","SABARKANTHA",52594,25594,4650,698,301,650,84487
"GUJARAT","SURAT",154,19913,1067,4,11,1,21150
"GUJARAT","SURENDRANAGAR",31817,4300,770,208,14,6,37115
"GUJARAT","VADODARA",9226,8810,1859,161,30,19,20105
"GUJARAT","VALSAD",4902,3339,997,70,1,0,9309
"HARYANA","AMBALA",137,114,96,0,0,0,347
"HARYANA","BHIWANI",762,2017,250,15,11,0,3055
"HARYANA","FATEHABAD",31,36,0,0,0,0,67
"HARYANA","GURGAON",3795,1653,333,5,0,0,5786
"HARYANA","HISSAR",51,56,0,0,0,0,107
"HARYANA","JHAJJAR",595,865,259,26,9,0,1754
"HARYANA","KAITHAL",125,553,56,13,14,0,761
"HARYANA","KARNAL",236,1224,127,2,0,0,1589
"HARYANA","MAHENDRAGARH",111,397,99,8,0,0,615
"HARYANA","PANCHKULA",58,33,1,0,0,0,92
"HARYANA","PANIPAT",121,250,345,3,0,0,719
"HARYANA","REWARI",171,387,73,25,11,0,667
"HARYANA","ROHTAK",191,19,1,0,0,1,212
"HARYANA","SIRSA",196,370,164,32,3,0,765
"HARYANA","SONEPAT",335,743,495,80,7,1,1661
"HARYANA","YAMUNANAGAR",132,255,223,12,0,0,622
"HIMACHAL PRADESH","Bilaspur",21,13,1,0,0,0,35
"HIMACHAL PRADESH","Hamirpur",199,24,1,0,0,0,224
"HIMACHAL PRADESH","Kangra",170,31,7,46,2,0,256
"HIMACHAL PRADESH","Kullu",2,0,0,0,0,0,2
"HIMACHAL PRADESH","Mandi",7,3,0,0,0,0,10
"HIMACHAL PRADESH","Sirmaur",286,78,35,1,0,0,400
"HIMACHAL PRADESH","Solan",298,240,156,41,7,0,742
"HIMACHAL PRADESH","Una",142,65,17,3,0,0,227
"JAMMU & KASHMIR","ANANTNAG",2,0,0,0,0,0,2
"JAMMU & KASHMIR","BADGAM",1,0,0,0,0,0,1
"JAMMU & KASHMIR","BARAMULLA",25,3,1,0,0,0,29
"JAMMU & KASHMIR","JAMMU",160,638,552,13,1,0,1364
"JAMMU & KASHMIR","KATHUA",97,614,374,1,1,0,1087
"JAMMU & KASHMIR","RAJOURI",1,0,0,0,0,0,1
"JAMMU & KASHMIR","SRINAGAR",20,1,0,0,0,0,21
"JAMMU & KASHMIR","UDHAMPUR",13,0,0,0,0,0,13
"JHARKHAND","BOKARO",12366,1014,4,4,1,0,13389
"JHARKHAND","CHATRA",14242,1291,5,2,2,3,15545
"JHARKHAND","DEOGHAR",11840,1200,18,1,3,9,13071
"JHARKHAND","DHANBAD",6763,163,24,2,0,0,6952
"JHARKHAND","DUMKA",25007,1980,15,1,0,8,27011
"JHARKHAND","EAST SINGHBHUM",1606,144,4,0,0,0,1754
"JHARKHAND","GARHWA",17411,2295,38,33,124,2,19903
"JHARKHAND","GIRIDIH",19716,3910,567,97,2,2,24294
"JHARKHAND","GODDA",15255,2390,20,3,0,0,17668
"JHARKHAND","GUMLA",19862,3042,524,41,8,1,23478
"JHARKHAND","HAZARIBAGH",28090,11248,377,7,16,7,39745
"JHARKHAND","JAMTARA",7156,1268,12,0,0,2,8438
"JHARKHAND","KODERMA",3037,828,1,0,0,0,3866
"JHARKHAND","LATEHAR",11760,596,49,0,0,3,12408
"JHARKHAND","LOHARDAGA",10636,2908,4,0,4,4,13556
"JHARKHAND","PAKUR",460,24,3,2,0,1,490
"JHARKHAND","PALAMU",15565,4121,97,1,1,4,19789
"JHARKHAND","RANCHI",32776,6420,163,24,6,4,39393
"JHARKHAND","SAHEBGANJ",1494,189,1,0,0,0,1684
"JHARKHAND","SARAIKELA",2541,106,1,0,0,0,2648
"JHARKHAND","SIMDEGA",15853,535,7,1,3,3,16402
"JHARKHAND","WEST SINGHBHUM",1972,99,0,0,0,0,2071
"KARNATAKA","Bagalkote",5530,5783,305,8,0,5,11631
"KARNATAKA","Bangalore",456,248,22,2,0,0,728
"KARNATAKA","Bangalore Rural",5655,3381,271,8,0,2,9317
"KARNATAKA","Belgaum",47122,17576,1042,48,7,14,65809
"KARNATAKA","Bellary",795,2046,17,1,1,0,2860
"KARNATAKA","Bidar",8848,6746,332,13,0,4,15943
"KARNATAKA","Bijapur",32717,10239,127,7,3,18,43111
"KARNATAKA","Chamaraja Nagara",1868,5214,235,10,1,0,7328
"KARNATAKA","Chikmagalur",693,526,53,16,10,2,1300
"KARNATAKA","Chitradurga",831,1473,8,1,0,1,2314
"KARNATAKA","Dakshina Kannada",29703,6894,241,54,21,12,36925
"KARNATAKA","Davanagere",249,518,19,0,1,0,787
"KARNATAKA","Dharwar",343,120,0,0,0,0,463
"KARNATAKA","Gadag",1083,1096,5,0,5,12,2201
"KARNATAKA","Gulbarga",13806,5053,197,4,0,8,19068
"KARNATAKA","Hassan",577,1166,10,1,0,5,1759
"KARNATAKA","Haveri",161,102,0,0,0,0,263
"KARNATAKA","Kodagu",106,16,0,0,0,0,122
"KARNATAKA","Kolar",7261,3867,31,6,9,22,11196
"KARNATAKA","Koppal",818,1303,5,0,0,2,2128
"KARNATAKA","Mandya",3786,4585,127,1,1,1,8501
"KARNATAKA","Mysore",934,3592,61,0,0,1,4588
"KARNATAKA","Raichur",7306,2582,73,2,0,9,9972
"KARNATAKA","Shimoga",4955,2370,131,45,4,2,7507
"KARNATAKA","Tumkur",9213,4966,529,49,3,4,14764
"KARNATAKA","Udupi",25784,2456,232,114,13,13,28612
"KARNATAKA","Uttara Kannada",17374,1378,11,5,1,17,18786
"KERALA","ALAPPUZHA",4575,134,2,0,0,0,4711
"KERALA","ERANAKULAM",14073,3396,105,28,0,0,17602
"KERALA","IDDUKKI",4918,839,11,1,2,0,5771
"KERALA","KANNUR",13132,2077,4,0,0,5,15218
"KERALA","KASARAGODE",6666,140,5,0,0,0,6811
"KERALA","KOLLAM",5943,155,4,0,0,1,6103
"KERALA","KOTTAYAM",10330,471,6,0,3,1,10811
"KERALA","KOZHIKODE",12483,131,17,1,0,0,12632
"KERALA","MALAPPURAM",12153,266,2,0,1,4,12426
"KERALA","PALAKKAD",6546,2167,115,51,30,8,8917
"KERALA","PATHANAMTHITTA",6296,333,4,1,0,0,6634
"KERALA","THIRUVANANTHAPURAM",12984,152,17,2,2,1,13158
"KERALA","THRISSUR",42402,1949,89,15,11,9,44475
"KERALA","WAYANAD",638,49,0,0,0,0,687
"MADHYA PRADESH","BALAGHAT",3515,8396,466,342,57,5,12781
"MADHYA PRADESH","BARWANI",6092,7093,5267,1,2,0,18455
"MADHYA PRADESH","BETUL",23661,29284,1031,30,0,0,54006
"MADHYA PRADESH","BHIND",8670,5949,527,34,2,0,15182
"MADHYA PRADESH","BHOPAL",375,9609,216,11,0,0,10211
"MADHYA PRADESH","CHHATARPUR",16822,33246,3471,76,83,22,53720
"MADHYA PRADESH","CHHINDWARA",13370,59598,3089,175,1542,202,77976
"MADHYA PRADESH","DAMOH",4088,8777,290,99,15,0,13269
"MADHYA PRADESH","DATIA",7886,10956,974,95,80,1,19992
"MADHYA PRADESH","DEWAS",5885,27234,374,1,0,0,33494
"MADHYA PRADESH","DHAR",23114,13413,679,37,160,1,37404
"MADHYA PRADESH","DINDORI",442,14,0,0,0,0,456
"MADHYA PRADESH","GUNA",5091,18811,3324,11,102,2,27341
"MADHYA PRADESH","GWALIOR",4798,12249,595,11,257,1,17911
"MADHYA PRADESH","HARDA",2518,10270,276,0,3,0,13067
"MADHYA PRADESH","HOSHANGABAD",2602,18322,386,5,8,0,21323
"MADHYA PRADESH","INDORE",4808,5949,1696,240,14,0,12707
"MADHYA PRADESH","JABALPUR",1093,7549,1057,37,59,1,9796
"MADHYA PRADESH","JHABUA",21088,3847,82,12,0,2,25031
"MADHYA PRADESH","KATNI",2655,8958,255,99,25,2,11994
"MADHYA PRADESH","KHANDWA",29504,30387,2310,592,119,26,62938
"MADHYA PRADESH","KHARGONE",12828,35587,8565,251,197,2,57430
"MADHYA PRADESH","MANDLA",1475,1193,19,0,1,0,2688
"MADHYA PRADESH","MANDSAUR",22453,74732,391,7,324,2,97909
"MADHYA PRADESH","MORENA",5722,8096,838,148,3,1,14808
"MADHYA PRADESH","NARSINGHPUR",637,4897,5215,978,174,0,11901
"MADHYA PRADESH","NEEMUCH",12963,33563,643,1,366,0,47536
"MADHYA PRADESH","PANNA",2758,3902,33,0,50,29,6772
"MADHYA PRADESH","RAISEN",5568,5378,36,1,1,0,10984
"MADHYA PRADESH","RAJGARH",11335,54672,2148,2122,2,2,70281
"MADHYA PRADESH","RATLAM",20352,22576,1774,12,1,8,44723
"MADHYA PRADESH","REWA",3075,8468,198,21,4,1,11767
"MADHYA PRADESH","SAGAR",25020,18773,836,24,6,4,44663
"MADHYA PRADESH","SATNA",3312,14494,1090,153,85,0,19134
"MADHYA PRADESH","SEHORE",4717,23415,121,50,1,1,28305
"MADHYA PRADESH","SEONI",8640,13145,426,133,3,10,22357
"MADHYA PRADESH","SHAHDOL",2579,1238,201,48,113,0,4179
"MADHYA PRADESH","SHAJAPUR",11107,33379,8455,723,241,6,53911
"MADHYA PRADESH","SHEOPUR",1286,2826,54,10,0,0,4176
"MADHYA PRADESH","SHIVPURI",9852,30759,2439,304,15,40,43409
"MADHYA PRADESH","SIDHI",2333,9877,60,2,0,0,12272
"MADHYA PRADESH","TIKAMGARH",14320,41827,2902,41,0,1,59091
"MADHYA PRADESH","UJJAIN",20248,16066,2110,472,1975,0,40871
"MADHYA PRADESH","UMARIA",811,1438,128,3,1,1,2382
"MADHYA PRADESH","VIDISHA",12745,3225,129,2,2,0,16103
"MAHARASHTRA","AHMEDNAGAR",114253,36027,1686,273,274,11,152524
"MAHARASHTRA","AKOLA",12989,6892,457,18,3,7,20366
"MAHARASHTRA","AMRAVATI",51557,19677,1676,103,40,108,73161
"MAHARASHTRA","AURANGABAD",71227,13913,2627,238,15,271,88291
"MAHARASHTRA","BEED",22006,8213,661,12,1,21,30914
"MAHARASHTRA","BHANDARA",8821,3173,2967,562,138,316,15977
"MAHARASHTRA","BULDANA",52078,10425,1178,160,25,531,64397
"MAHARASHTRA","CHANDRAPUR",11818,1451,120,19,1,6,13415
"MAHARASHTRA","DHULE",48627,1691,363,64,16,45,50806
"MAHARASHTRA","GADCHIROLI",9198,1715,154,82,12,4,11165
"MAHARASHTRA","GONDIYA",7455,1183,195,21,6,5,8865
"MAHARASHTRA","HINGOLI",14495,5659,326,84,69,22,20655
"MAHARASHTRA","JALGAON",81894,25184,2247,105,22,16,109468
"MAHARASHTRA","JALNA",39897,8836,1441,132,13,42,50361
"MAHARASHTRA","KOLHAPUR",29123,9015,1242,305,171,1323,41179
"MAHARASHTRA","LATUR",14706,11370,1605,150,106,7,27944
"MAHARASHTRA","NAGPUR",61116,2179,152,30,95,6,63578
"MAHARASHTRA","NANDED",18316,8975,651,147,111,43,28243
"MAHARASHTRA","NANDURBAR",13779,3236,325,9,0,5,17354
"MAHARASHTRA","NASHIK",158972,8004,694,167,11,356,168204
"MAHARASHTRA","OSMANABAD",29680,8614,1988,919,893,608,42702
"MAHARASHTRA","PARBHANI",17830,7404,1396,569,299,47,27545
"MAHARASHTRA","PUNE",70766,39499,5196,584,220,405,116670
"MAHARASHTRA","RAIGHAR",4353,256,8,2,2,1,4622
"MAHARASHTRA","RATNAGIRI",2552,196,7,1,1,0,2757
"MAHARASHTRA","SANGLI",72926,14193,2226,123,25,98,89591
"MAHARASHTRA","SATARA",40348,29924,4309,793,92,17,75483
"MAHARASHTRA","SINDHUDURGA",4664,204,2,1,1,2,4874
"MAHARASHTRA","SOLAPUR",99346,28296,3002,444,136,137,131361
"MAHARASHTRA","THANE",4996,1136,11,3,0,2,6148
"MAHARASHTRA","WARDHA",41116,2805,47,6,3,1,43978
"MAHARASHTRA","WASHIM",14686,4312,389,37,9,10,19443
"MAHARASHTRA","YAVATMAL",22053,14267,179,9,3,6,36517
"MANIPUR","IMPHAL WEST",0,3,0,0,0,0,3
"MEGHALAYA","JAINTIA HILLS",11,0,0,0,0,0,11
"NAGALAND","DIMAPUR",161,112,0,0,0,0,273
"NAGALAND","MOKOKCHUNG",9,1,0,0,0,0,10
"ORISSA","ANGUL",26179,121,2,2,1,0,26305
"ORISSA","BALASORE",2922,93,0,0,0,0,3015
"ORISSA","BARGARH",18617,427,17,0,0,0,19061
"ORISSA","BHADRAK",330,7,3,0,0,0,340
"ORISSA","BOLANGIR",55314,2424,36,2,1,5,57782
"ORISSA","BOUDH",10509,24,4,2,0,1,10540
"ORISSA","CUTTACK",14207,195,7,1,3,1,14414
"ORISSA","DEOGARH",7478,50,13,0,3,0,7544
"ORISSA","DHENKANAL",11146,138,9,0,0,0,11293
"ORISSA","GAJAPATI",4581,40,3,0,0,0,4624
"ORISSA","GANJAM",31698,864,135,2,1,3,32703
"ORISSA","JAGATSINGHPUR",1080,43,4,0,0,0,1127
"ORISSA","JAJAPUR",2787,86,1,0,0,1,2875
"ORISSA","JHARSUGUDA",7022,35,1,0,0,2,7060
"ORISSA","KALAHANDI",17719,148,12,0,0,1,17880
"ORISSA","KANDHAMAL",8337,12,1,0,0,1,8351
"ORISSA","KENDRAPARA",294,32,1,0,0,0,327
"ORISSA","KEONJHAR",20805,90,5,0,0,1,20901
"ORISSA","KHURDA",14900,72,4,0,0,0,14976
"ORISSA","KORAPUT",5561,15,1,0,0,0,5577
"ORISSA","MALKANAGIRI",2065,21,2,1,0,0,2089
"ORISSA","MAYURBHANJA",13298,323,16,4,0,0,13641
"ORISSA","NAWARANGAPUR",11259,63,0,2,0,0,11324
"ORISSA","NAYAGARH",15380,120,17,0,0,0,15517
"ORISSA","NUAPADA",13543,77,4,1,2,0,13627
"ORISSA","PURI",1036,55,1,0,0,0,1092
"ORISSA","RAYAGADA",2038,52,26,5,0,0,2121
"ORISSA","SAMBALPUR",16521,46,5,0,0,0,16572
"ORISSA","SONEPUR",12010,68,11,1,0,2,12092
"ORISSA","SUNDARGARH",23511,86,4,2,1,5,23609
"PONDICHERRY","KARAIKAL",1,0,0,0,0,0,1
"PONDICHERRY","PONDICHERRY",11,28,28,10,0,0,77
"PUNJAB","BATHINDA",3,58,35,0,0,0,96
"PUNJAB","FATEHGARH SAHIB",0,68,1,0,0,0,69
"PUNJAB","GURDASPUR",13,102,0,0,0,0,115
"PUNJAB","HOSHIARPUR",93,196,192,34,7,0,522
"PUNJAB","LUDHIANA",0,92,0,0,0,0,92
"PUNJAB","MOGA",3,7,0,0,0,0,10
"PUNJAB","ROPAR",132,1440,147,29,0,1,1749
"PUNJAB","SANGRUR",46,231,1,0,0,0,278
"RAJASTHAN","AJMER",63669,8101,651,64,10,30,72525
"RAJASTHAN","ALWAR",25901,41898,6507,191,19,118,74634
"RAJASTHAN","BANSWARA",9466,1104,56,20,1,0,10647
"RAJASTHAN","BARAN",14847,6095,904,63,102,30,22041
"RAJASTHAN","BARMER",2828,12006,4444,1019,830,19,21146
"RAJASTHAN","BHARATPUR",935,4565,2485,217,3,2,8207
"RAJASTHAN","BHILWARA",93307,14011,1034,72,34,28,108486
"RAJASTHAN","BIKANER",67,2264,14,8,0,0,2353
"RAJASTHAN","BUNDI",12114,10350,901,64,7,20,23456
"RAJASTHAN","CHITTORGARH",78972,12048,781,57,22,15,91895
"RAJASTHAN","CHURU",483,4862,169,19,3,1,5537
"RAJASTHAN","DAUSA",14736,24029,2519,167,29,20,41500
"RAJASTHAN","DHOLPUR",2284,1631,116,0,0,0,4031
"RAJASTHAN","DUNGARPUR",16939,1013,76,11,1,4,18044
"RAJASTHAN","GANGANAGAR",125,19,21,0,0,0,165
"RAJASTHAN","HANUMANGARH",104,218,15,0,0,0,337
"RAJASTHAN","JAIPUR",47983,71708,1476,67,33,8,121275
"RAJASTHAN","JAISALMER",81,101,24,0,0,0,206
"RAJASTHAN","JALORE",19328,26529,4989,1060,482,80,52468
"RAJASTHAN","JHALAWAR",54704,8254,739,32,4,12,63745
"RAJASTHAN","JHUNJHUNU",5279,31108,456,22,6,1,36872
"RAJASTHAN","JODHPUR",5138,2005,201,28,15,6,7393
"RAJASTHAN","KAROLI",16301,12612,1401,70,22,13,30419
"RAJASTHAN","KOTA",11528,3065,209,48,38,2,14890
"RAJASTHAN","NAGAUR",11751,18807,1008,89,17,14,31686
"RAJASTHAN","PALI",36339,7642,882,225,80,63,45231
"RAJASTHAN","RAJSAMAND",44184,3377,253,41,18,5,47878
"RAJASTHAN","SAWAI MADHOPUR",12992,16845,2309,279,82,56,32563
"RAJASTHAN","SIKAR",11087,41410,314,33,7,1,52852
"RAJASTHAN","SIROHI",12368,5003,660,78,34,19,18162
"RAJASTHAN","TONK",36831,10375,1081,148,11,40,48486
"RAJASTHAN","UDAIPUR",57662,3684,935,67,7,13,62368
"TAMIL NADU","COIMBATORE",91964,13755,1401,276,20,25,107441
"TAMIL NADU","CUDDALORE",9936,1435,325,100,81,55,11932
"TAMIL NADU","DHARMAPURI",107001,16784,1412,71,19,107,125394
"TAMIL NADU","DINDIGUL",77733,17135,2258,158,29,14,97327
"TAMIL NADU","ERODE",96467,23447,3856,295,87,45,124197
"TAMIL NADU","KANCHEEPURAM",36764,9210,1698,365,32,34,48103
"TAMIL NADU","KANYAKUMARI",2384,660,125,27,4,0,3200
"TAMIL NADU","KARUR",35650,10388,1629,151,100,53,47971
"TAMIL NADU","MADURAI",44234,7403,1315,382,112,228,53674
"TAMIL NADU","NAGAPATTINAM",5655,0,9,6,6,0,5676
"TAMIL NADU","NAMAKKAL",54809,5777,272,0,4,2,60864
"TAMIL NADU","NILGIRIS",858,117,5,0,0,0,980
"TAMIL NADU","PERAMBALUR",40964,5740,624,102,70,25,47525
"TAMIL NADU","PUDUKKOTTAI",37085,5441,700,47,9,90,43372
"TAMIL NADU","RAMANATHAPURAM",7125,672,93,15,2,0,7907
"TAMIL NADU","SALEM",84771,13991,2673,248,36,7,101726
"TAMIL NADU","SIVAGANGA",14494,2779,1197,206,40,45,18761
"TAMIL NADU","THANJAVUR",2696,1561,472,83,24,2,4838
"TAMIL NADU","THENI",19224,6291,529,5,3,8,26060
"TAMIL NADU","THIRUVALLUR",10902,7393,2660,506,115,61,21637
"TAMIL NADU","THIRUVARUR",116,146,24,2,0,11,299
"TAMIL NADU","TIRUCHIRAPPALLI",67047,8625,1667,205,75,34,77653
"TAMIL NADU","TIRUNELVELI",72523,14025,2221,136,33,14,88952
"TAMIL NADU","TIRUVANNAMALAI",134233,31244,3427,364,70,133,169471
"TAMIL NADU","TUTICORIN DISTRICT",26991,4021,601,108,33,6,31760
"TAMIL NADU","VELLORE",101157,22328,3679,437,129,48,127778
"TAMIL NADU","VILLUPPURAM",126945,26498,2802,427,56,109,156837
"TAMIL NADU","VIRUDHUNAGAR",35536,8387,1064,139,30,10,45166
"TRIPURA","DHALAI",1,4,0,0,0,0,5
"TRIPURA","SOUTH TRIPURA",173,2,0,0,0,31,206
"TRIPURA","WEST TRIPURA",28,11,0,0,0,9,48
"UTTAR PRADESH","AGRA",601,1061,87,0,0,0,1749
"UTTAR PRADESH","ALIGARH",43,24,0,0,0,0,67
"UTTAR PRADESH","ALLAHABAD",2165,598,110,0,0,1,2874
"UTTAR PRADESH","AMBEDAKAR NAGAR",38,83,0,0,0,0,121
"UTTAR PRADESH","AZAMGARH",0,9,2,0,0,0,11
"UTTAR PRADESH","BAGHPAT",22,48,9,0,0,0,79
"UTTAR PRADESH","BAHARAICH",37,32,0,0,0,0,69
"UTTAR PRADESH","BALLIA",571,160,1,0,0,0,732
"UTTAR PRADESH","BALRAMPUR",110,12,0,0,0,0,122
"UTTAR PRADESH","BANDA",608,1995,364,49,15,1,3032
"UTTAR PRADESH","BARABANKI",234,204,24,2,0,2,466
"UTTAR PRADESH","BAREILLY",15,70,4,0,0,0,89
"UTTAR PRADESH","BASTI",0,43,1,0,0,0,44
"UTTAR PRADESH","CHANDAULI",221,200,10,0,0,0,431
