-----
{
 "description": "The table refers to District wise Distribution of Dugwells by Status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.6.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells by Status", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.6.csv"
}
-----
"State","District","In use","Not in use - Temporarily","Not in use - Salinity","Not in use - Dried up","Not in use - Destroyed","Not in use - Others","Total - Not in use","Grand total ( Use  + Not in use)"
"BIHAR","MUZAFFARPUR",20,49,13,22,4,0,88,108
"BIHAR","NALANDA",17982,718,418,881,615,116,2748,20730
"BIHAR","NAWADA",2770,649,1516,451,62,15,2693,5463
"BIHAR","PATNA",3375,509,119,747,193,28,1596,4971
"BIHAR","ROHTAS(SASARAM)",4780,863,107,414,340,135,1859,6639
"BIHAR","SARAN",1475,2817,1443,1193,1765,3288,10506,11981
"BIHAR","SHEKHPURA",551,31,4,30,2,1,68,619
"BIHAR","SIWAN",883,6099,1263,1718,1619,2690,13389,14272
"BIHAR","VAISHALI",907,90,0,26,0,0,116,1023
"CHHATTISGARH","BASTER",3229,144,5,16,9,560,734,3963
"CHHATTISGARH","BILASPUR",9882,105,17,26,13,235,396,10278
"CHHATTISGARH","DANTEWADA",529,6,3,2,0,133,144,673
"CHHATTISGARH","DHAMTARI",4678,315,50,73,30,673,1141,5819
"CHHATTISGARH","DURG",4791,1093,137,624,103,1868,3825,8616
"CHHATTISGARH","JANJGIR-CHAMPA",12536,257,24,32,23,376,712,13248
"CHHATTISGARH","JASHPUR",26117,201,12,9,12,23,257,26374
"CHHATTISGARH","KANKER",3580,754,21,51,45,3045,3916,7496
"CHHATTISGARH","KORBA",6891,79,15,1,2,2,99,6990
"CHHATTISGARH","KORIA",18260,231,5,2,27,1,266,18526
"CHHATTISGARH","KVARDHA",784,85,13,36,12,745,891,1675
"CHHATTISGARH","MAHASAMUND",3649,812,15,65,30,669,1591,5240
"CHHATTISGARH","RAIGARH",15387,636,12,390,35,509,1582,16969
"CHHATTISGARH","RAIPUR",11569,2355,85,205,74,1564,4283,15852
"CHHATTISGARH","RAJNANDGAON",4968,1334,140,112,53,851,2490,7458
"CHHATTISGARH","SURGUJA",55519,204,9,3,54,17,287,55806
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",572,0,0,0,0,0,0,572
"GOA","NORTH GOA",3679,60,2,1,5,1,69,3748
"GOA","SOUTH GOA",1354,7,4,2,0,1,14,1368
"GUJARAT","AHMEDABAD",2406,1395,1829,7591,69,124,11008,13414
"GUJARAT","AMRELI",31418,48606,225,30,0,580,49441,80859
"GUJARAT","ANAND",1558,1,29,89,195,129,443,2001
"GUJARAT","BANASKANTHA",42820,2551,486,4428,134,522,8121,50941
"GUJARAT","BHARUCH",3973,143,118,386,81,262,990,4963
"GUJARAT","BHAVNAGAR",102769,14196,571,409,4,86,15266,118035
"GUJARAT","DAHOD",31308,2152,22,39,5,494,2712,34020
"GUJARAT","DANG",1240,150,7,52,76,10,295,1535
"GUJARAT","GANDHINAGAR",0,0,3,32,0,0,35,35
"GUJARAT","JAMNAGAR",82941,169,95,66,0,0,330,83271
"GUJARAT","JUNAGADH",133604,264,104,105,2,33,508,134112
"GUJARAT","KACHCHH",22232,2599,1244,2308,1527,616,8294,30526
"GUJARAT","KHEDA",9187,5902,76,424,38,175,6615,15802
"GUJARAT","MEHSANA",2879,209,242,3338,1147,8,4944,7823
"GUJARAT","NARMADA",2410,164,28,94,31,45,362,2772
"GUJARAT","NAVSARI",12506,144,17,118,6,14,299,12805
"GUJARAT","PANCHMAHAL",37429,6199,356,396,20,37,7008,44437
"GUJARAT","PATAN",89,0,2,1,0,0,3,92
"GUJARAT","PORBANDAR",11663,9957,137,352,191,7,10644,22307
"GUJARAT","RAJKOT",49191,14930,6467,31962,959,175,54493,103684
"GUJARAT","SABARKANTHA",84131,207,14,110,4,21,356,84487
"GUJARAT","SURAT",21123,18,1,8,0,0,27,21150
"GUJARAT","SURENDRANAGAR",16726,7256,2758,9026,469,880,20389,37115
"GUJARAT","VADODARA",17826,650,265,965,206,193,2279,20105
"GUJARAT","VALSAD",8469,826,1,4,3,6,840,9309
"HARYANA","AMBALA",346,0,0,0,0,1,1,347
"HARYANA","BHIWANI",2931,35,16,70,2,1,124,3055
"HARYANA","FATEHABAD",67,0,0,0,0,0,0,67
"HARYANA","GURGAON",2049,158,1,3566,1,11,3737,5786
"HARYANA","HISSAR",104,0,2,1,0,0,3,107
"HARYANA","JHAJJAR",1454,72,10,197,0,21,300,1754
"HARYANA","KAITHAL",732,4,21,1,0,3,29,761
"HARYANA","KARNAL",1580,5,0,0,0,4,9,1589
"HARYANA","MAHENDRAGARH",603,6,0,0,0,6,12,615
"HARYANA","PANCHKULA",90,0,0,1,0,1,2,92
"HARYANA","PANIPAT",685,32,2,0,0,0,34,719
"HARYANA","REWARI",505,4,0,158,0,0,162,667
"HARYANA","ROHTAK",175,17,3,15,1,1,37,212
"HARYANA","SIRSA",756,2,1,6,0,0,9,765
"HARYANA","SONEPAT",1601,23,7,0,0,30,60,1661
"HARYANA","YAMUNANAGAR",598,23,0,0,0,1,24,622
"HIMACHAL PRADESH","Bilaspur",35,0,0,0,0,0,0,35
"HIMACHAL PRADESH","Hamirpur",221,1,0,0,0,2,3,224
"HIMACHAL PRADESH","Kangra",256,0,0,0,0,0,0,256
"HIMACHAL PRADESH","Kullu",2,0,0,0,0,0,0,2
"HIMACHAL PRADESH","Mandi",9,0,0,0,0,1,1,10
"HIMACHAL PRADESH","Sirmaur",394,3,0,0,1,2,6,400
"HIMACHAL PRADESH","Solan",742,0,0,0,0,0,0,742
"HIMACHAL PRADESH","Una",227,0,0,0,0,0,0,227
"JAMMU & KASHMIR","ANANTNAG",2,0,0,0,0,0,0,2
"JAMMU & KASHMIR","BADGAM",1,0,0,0,0,0,0,1
"JAMMU & KASHMIR","BARAMULLA",29,0,0,0,0,0,0,29
"JAMMU & KASHMIR","JAMMU",1313,13,33,3,0,2,51,1364
"JAMMU & KASHMIR","KATHUA",1083,2,2,0,0,0,4,1087
"JAMMU & KASHMIR","RAJOURI",1,0,0,0,0,0,0,1
"JAMMU & KASHMIR","SRINAGAR",21,0,0,0,0,0,0,21
"JAMMU & KASHMIR","UDHAMPUR",13,0,0,0,0,0,0,13
"JHARKHAND","BOKARO",13299,52,0,26,10,2,90,13389
"JHARKHAND","CHATRA",13945,1583,6,10,1,0,1600,15545
"JHARKHAND","DEOGHAR",12641,230,32,158,10,0,430,13071
"JHARKHAND","DHANBAD",5671,1133,3,131,13,1,1281,6952
"JHARKHAND","DUMKA",25810,953,3,214,20,11,1201,27011
"JHARKHAND","EAST SINGHBHUM",1290,303,0,151,10,0,464,1754
"JHARKHAND","GARHWA",18902,459,226,285,27,4,1001,19903
"JHARKHAND","GIRIDIH",22687,594,28,925,41,19,1607,24294
"JHARKHAND","GODDA",17015,307,18,194,117,17,653,17668
"JHARKHAND","GUMLA",22941,372,10,145,9,1,537,23478
"JHARKHAND","HAZARIBAGH",39363,140,12,215,13,2,382,39745
"JHARKHAND","JAMTARA",8156,208,4,68,2,0,282,8438
"JHARKHAND","KODERMA",3834,23,4,4,0,1,32,3866
"JHARKHAND","LATEHAR",11866,258,60,183,37,4,542,12408
"JHARKHAND","LOHARDAGA",12969,224,36,303,24,0,587,13556
"JHARKHAND","PAKUR",189,250,1,34,14,2,301,490
"JHARKHAND","PALAMU",19091,319,17,350,9,3,698,19789
"JHARKHAND","RANCHI",37610,1604,43,102,17,17,1783,39393
"JHARKHAND","SAHEBGANJ",1361,185,7,58,63,10,323,1684
"JHARKHAND","SARAIKELA",1608,634,15,323,37,31,1040,2648
"JHARKHAND","SIMDEGA",15039,1000,10,218,63,72,1363,16402
"JHARKHAND","WEST SINGHBHUM",1326,255,0,485,4,1,745,2071
"KARNATAKA","Bagalkote",11241,212,39,81,7,51,390,11631
"KARNATAKA","Bangalore",628,9,14,56,1,20,100,728
"KARNATAKA","Bangalore Rural",8641,132,87,324,73,60,676,9317
"KARNATAKA","Belgaum",64152,881,61,475,88,152,1657,65809
"KARNATAKA","Bellary",2437,45,53,320,0,5,423,2860
"KARNATAKA","Bidar",14744,827,267,22,60,23,1199,15943
"KARNATAKA","Bijapur",41476,1373,188,43,14,17,1635,43111
"KARNATAKA","Chamaraja Nagara",7235,63,14,8,4,4,93,7328
"KARNATAKA","Chikmagalur",1266,18,1,4,6,5,34,1300
"KARNATAKA","Chitradurga",2045,43,10,132,71,13,269,2314
"KARNATAKA","Dakshina Kannada",36389,457,5,61,0,13,536,36925
"KARNATAKA","Davanagere",747,21,0,16,0,3,40,787
"KARNATAKA","Dharwar",396,12,0,46,4,5,67,463
"KARNATAKA","Gadag",2092,33,5,61,7,3,109,2201
"KARNATAKA","Gulbarga",17689,738,142,336,105,58,1379,19068
"KARNATAKA","Hassan",1669,28,3,25,6,28,90,1759
"KARNATAKA","Haveri",171,11,17,56,6,2,92,263
"KARNATAKA","Kodagu",118,0,0,0,0,4,4,122
"KARNATAKA","Kolar",10405,287,12,391,20,81,791,11196
"KARNATAKA","Koppal",1687,53,9,283,74,22,441,2128
"KARNATAKA","Mandya",8334,95,7,36,18,11,167,8501
"KARNATAKA","Mysore",4501,53,15,11,4,4,87,4588
"KARNATAKA","Raichur",9755,155,6,47,3,6,217,9972
"KARNATAKA","Shimoga",7238,192,28,16,25,8,269,7507
"KARNATAKA","Tumkur",13585,128,9,919,49,74,1179,14764
"KARNATAKA","Udupi",28508,96,2,1,4,1,104,28612
"KARNATAKA","Uttara Kannada",18655,110,2,4,2,13,131,18786
"KERALA","ALAPPUZHA",4680,22,7,2,0,0,31,4711
"KERALA","ERANAKULAM",17299,130,160,10,3,0,303,17602
"KERALA","IDDUKKI",5676,61,34,0,0,0,95,5771
"KERALA","KANNUR",14976,157,37,34,11,3,242,15218
"KERALA","KASARAGODE",6562,225,19,5,0,0,249,6811
"KERALA","KOLLAM",5936,76,31,6,2,52,167,6103
"KERALA","KOTTAYAM",10680,98,21,10,2,0,131,10811
"KERALA","KOZHIKODE",12532,61,27,4,7,1,100,12632
"KERALA","MALAPPURAM",12129,248,34,10,5,0,297,12426
"KERALA","PALAKKAD",8854,55,5,1,1,1,63,8917
"KERALA","PATHANAMTHITTA",6572,37,13,0,12,0,62,6634
"KERALA","THIRUVANANTHAPURAM",12992,42,52,35,7,30,166,13158
"KERALA","THRISSUR",44367,53,41,12,2,0,108,44475
"KERALA","WAYANAD",674,11,0,0,2,0,13,687
"MADHYA PRADESH","BALAGHAT",12303,175,26,90,19,168,478,12781
"MADHYA PRADESH","BARWANI",13006,3738,329,1126,123,133,5449,18455
"MADHYA PRADESH","BETUL",36083,14476,357,1801,146,1143,17923,54006
"MADHYA PRADESH","BHIND",12016,1353,88,405,38,1282,3166,15182
"MADHYA PRADESH","BHOPAL",10008,107,22,46,12,16,203,10211
"MADHYA PRADESH","CHHATARPUR",53139,297,10,51,112,111,581,53720
"MADHYA PRADESH","CHHINDWARA",73006,4035,137,528,105,165,4970,77976
"MADHYA PRADESH","DAMOH",12293,472,90,199,28,187,976,13269
"MADHYA PRADESH","DATIA",18817,777,130,128,34,106,1175,19992
"MADHYA PRADESH","DEWAS",30440,2737,11,250,41,15,3054,33494
"MADHYA PRADESH","DHAR",15193,20212,358,1214,190,237,22211,37404
"MADHYA PRADESH","DINDORI",202,86,25,36,23,84,254,456
"MADHYA PRADESH","GUNA",27261,58,2,7,10,3,80,27341
"MADHYA PRADESH","GWALIOR",14705,894,287,853,238,934,3206,17911
"MADHYA PRADESH","HARDA",11331,1011,52,150,24,499,1736,13067
"MADHYA PRADESH","HOSHANGABAD",20050,674,60,131,26,382,1273,21323
"MADHYA PRADESH","INDORE",9327,2591,35,536,57,161,3380,12707
"MADHYA PRADESH","JABALPUR",9271,235,29,44,55,162,525,9796
"MADHYA PRADESH","JHABUA",5461,17523,249,1018,295,485,19570,25031
"MADHYA PRADESH","KATNI",11916,60,10,0,0,8,78,11994
"MADHYA PRADESH","KHANDWA",37847,18951,991,3503,1646,0,25091,62938
"MADHYA PRADESH","KHARGONE",45670,9108,533,1435,88,596,11760,57430
"MADHYA PRADESH","MANDLA",2154,318,8,110,14,84,534,2688
"MADHYA PRADESH","MANDSAUR",79266,17193,151,794,177,328,18643,97909
"MADHYA PRADESH","MORENA",14349,232,43,83,19,82,459,14808
"MADHYA PRADESH","NARSINGHPUR",11441,141,46,136,76,61,460,11901
"MADHYA PRADESH","NEEMUCH",35034,11682,76,415,157,172,12502,47536
"MADHYA PRADESH","PANNA",6692,67,4,1,2,6,80,6772
"MADHYA PRADESH","RAISEN",10403,526,9,29,5,12,581,10984
"MADHYA PRADESH","RAJGARH",62682,6140,99,655,183,522,7599,70281
"MADHYA PRADESH","RATLAM",25267,17112,459,1051,252,582,19456,44723
"MADHYA PRADESH","REWA",11728,19,4,7,2,7,39,11767
"MADHYA PRADESH","SAGAR",43482,699,132,111,58,181,1181,44663
"MADHYA PRADESH","SATNA",18090,754,42,141,20,87,1044,19134
"MADHYA PRADESH","SEHORE",24577,3141,140,296,105,46,3728,28305
"MADHYA PRADESH","SEONI",18411,2269,154,420,144,959,3946,22357
"MADHYA PRADESH","SHAHDOL",4170,9,0,0,0,0,9,4179
"MADHYA PRADESH","SHAJAPUR",44773,7567,104,659,306,502,9138,53911
"MADHYA PRADESH","SHEOPUR",3792,162,6,89,12,115,384,4176
"MADHYA PRADESH","SHIVPURI",40497,1192,139,982,276,323,2912,43409
"MADHYA PRADESH","SIDHI",12260,9,1,1,0,1,12,12272
"MADHYA PRADESH","TIKAMGARH",58574,403,10,5,92,7,517,59091
"MADHYA PRADESH","UJJAIN",21397,16342,96,1931,661,444,19474,40871
"MADHYA PRADESH","UMARIA",2343,16,1,14,1,7,39,2382
"MADHYA PRADESH","VIDISHA",15599,307,54,46,22,75,504,16103
"MAHARASHTRA","AHMEDNAGAR",143100,2439,575,5368,102,940,9424,152524
"MAHARASHTRA","AKOLA",18729,1092,56,273,23,193,1637,20366
"MAHARASHTRA","AMRAVATI",63791,7104,805,607,164,690,9370,73161
"MAHARASHTRA","AURANGABAD",78680,3372,852,4937,270,180,9611,88291
"MAHARASHTRA","BEED",28392,1332,927,205,30,28,2522,30914
"MAHARASHTRA","BHANDARA",14345,1009,65,180,32,346,1632,15977
"MAHARASHTRA","BULDANA",62354,760,89,1182,10,2,2043,64397
"MAHARASHTRA","CHANDRAPUR",12152,717,13,486,12,35,1263,13415
"MAHARASHTRA","DHULE",19089,3282,836,27246,119,234,31717,50806
"MAHARASHTRA","GADCHIROLI",9948,772,241,25,10,169,1217,11165
"MAHARASHTRA","GONDIYA",6931,1361,108,288,28,149,1934,8865
"MAHARASHTRA","HINGOLI",20023,545,56,24,3,4,632,20655
"MAHARASHTRA","JALGAON",90398,2964,679,14979,235,213,19070,109468
"MAHARASHTRA","JALNA",45730,1716,409,2283,126,97,4631,50361
"MAHARASHTRA","KOLHAPUR",37003,2411,226,1037,258,244,4176,41179
"MAHARASHTRA","LATUR",27943,1,0,0,0,0,1,27944
"MAHARASHTRA","NAGPUR",59407,2864,199,137,80,891,4171,63578
"MAHARASHTRA","NANDED",26239,1083,47,421,200,253,2004,28243
"MAHARASHTRA","NANDURBAR",11483,566,670,4412,25,198,5871,17354
"MAHARASHTRA","NASHIK",154261,6743,4244,2348,413,195,13943,168204
"MAHARASHTRA","OSMANABAD",39841,1878,209,666,75,33,2861,42702
"MAHARASHTRA","PARBHANI",23870,2281,376,851,57,110,3675,27545
"MAHARASHTRA","PUNE",108997,4436,1283,1345,88,521,7673,116670
"MAHARASHTRA","RAIGHAR",4598,12,1,6,1,4,24,4622
"MAHARASHTRA","RATNAGIRI",2731,14,10,0,1,1,26,2757
"MAHARASHTRA","SANGLI",72845,9833,1858,3880,759,416,16746,89591
"MAHARASHTRA","SATARA",75482,1,0,0,0,0,1,75483
"MAHARASHTRA","SINDHUDURGA",4868,4,1,0,1,0,6,4874
"MAHARASHTRA","SOLAPUR",119093,6708,1022,3977,175,386,12268,131361
"MAHARASHTRA","THANE",6060,55,1,5,3,24,88,6148
"MAHARASHTRA","WARDHA",35237,5618,131,1155,165,1672,8741,43978
"MAHARASHTRA","WASHIM",18538,399,94,266,78,68,905,19443
"MAHARASHTRA","YAVATMAL",34797,1343,41,195,24,117,1720,36517
"MANIPUR","IMPHAL WEST",3,0,0,0,0,0,0,3
"MEGHALAYA","JAINTIA HILLS",11,0,0,0,0,0,0,11
"NAGALAND","DIMAPUR",121,77,0,0,8,67,152,273
"NAGALAND","MOKOKCHUNG",4,6,0,0,0,0,6,10
"ORISSA","ANGUL",25216,972,7,27,39,44,1089,26305
"ORISSA","BALASORE",1016,561,14,694,648,82,1999,3015
"ORISSA","BARGARH",15433,2962,14,301,283,68,3628,19061
"ORISSA","BHADRAK",105,109,27,49,14,36,235,340
"ORISSA","BOLANGIR",46237,9139,145,582,1489,190,11545,57782
"ORISSA","BOUDH",8268,2073,150,24,10,15,2272,10540
"ORISSA","CUTTACK",11703,2263,3,272,80,93,2711,14414
"ORISSA","DEOGARH",6139,1334,0,14,41,16,1405,7544
"ORISSA","DHENKANAL",8567,2321,19,225,77,84,2726,11293
"ORISSA","GAJAPATI",1685,1360,68,837,409,265,2939,4624
"ORISSA","GANJAM",24771,5330,411,1038,503,650,7932,32703
"ORISSA","JAGATSINGHPUR",569,311,24,83,86,54,558,1127
"ORISSA","JAJAPUR",1915,628,50,177,65,40,960,2875
"ORISSA","JHARSUGUDA",5568,1319,24,102,34,13,1492,7060
"ORISSA","KALAHANDI",12822,4210,51,406,284,107,5058,17880
"ORISSA","KANDHAMAL",4498,2896,31,253,307,366,3853,8351
"ORISSA","KENDRAPARA",184,103,7,13,9,11,143,327
"ORISSA","KEONJHAR",17620,2247,23,288,441,282,3281,20901
"ORISSA","KHURDA",8656,4746,32,938,371,233,6320,14976
"ORISSA","KORAPUT",2865,1191,38,451,682,350,2712,5577
"ORISSA","MALKANAGIRI",583,590,71,375,418,52,1506,2089
"ORISSA","MAYURBHANJA",6881,3915,155,1337,808,545,6760,13641
"ORISSA","NAWARANGAPUR",8899,1184,118,578,397,148,2425,11324
"ORISSA","NAYAGARH",11062,3937,37,270,128,83,4455,15517
"ORISSA","NUAPADA",8515,4654,18,218,180,42,5112,13627
"ORISSA","PURI",347,296,138,105,82,124,745,1092
"ORISSA","RAYAGADA",816,798,32,182,151,142,1305,2121
"ORISSA","SAMBALPUR",14078,2089,12,68,159,166,2494,16572
"ORISSA","SONEPUR",11448,536,9,35,38,26,644,12092
"ORISSA","SUNDARGARH",17052,5277,109,225,473,473,6557,23609
"PONDICHERRY","KARAIKAL",1,0,0,0,0,0,0,1
"PONDICHERRY","PONDICHERRY",76,0,1,0,0,0,1,77
"PUNJAB","BATHINDA",96,0,0,0,0,0,0,96
"PUNJAB","FATEHGARH SAHIB",69,0,0,0,0,0,0,69
"PUNJAB","GURDASPUR",115,0,0,0,0,0,0,115
"PUNJAB","HOSHIARPUR",520,2,0,0,0,0,2,522
"PUNJAB","LUDHIANA",92,0,0,0,0,0,0,92
"PUNJAB","MOGA",10,0,0,0,0,0,0,10
"PUNJAB","ROPAR",1741,5,2,1,0,0,8,1749
"PUNJAB","SANGRUR",276,1,1,0,0,0,2,278
"RAJASTHAN","AJMER",42855,19189,1112,6501,952,1916,29670,72525
"RAJASTHAN","ALWAR",58984,3245,344,10569,577,915,15650,74634
"RAJASTHAN","BANSWARA",6049,3478,103,358,35,624,4598,10647
"RAJASTHAN","BARAN",19661,595,32,1714,19,20,2380,22041
"RAJASTHAN","BARMER",19341,1235,185,314,53,18,1805,21146
"RAJASTHAN","BHARATPUR",7736,130,10,209,12,110,471,8207
"RAJASTHAN","BHILWARA",62562,38023,1434,4859,410,1198,45924,108486
"RAJASTHAN","BIKANER",2303,34,5,11,0,0,50,2353
"RAJASTHAN","BUNDI",20274,2479,51,526,67,59,3182,23456
"RAJASTHAN","CHITTORGARH",56581,32274,164,2286,358,232,35314,91895
"RAJASTHAN","CHURU",5259,120,113,0,0,45,278,5537
"RAJASTHAN","DAUSA",35764,1010,447,3772,132,375,5736,41500
"RAJASTHAN","DHOLPUR",2823,198,1,705,44,260,1208,4031
"RAJASTHAN","DUNGARPUR",9729,7654,74,349,102,136,8315,18044
"RAJASTHAN","GANGANAGAR",42,123,0,0,0,0,123,165
"RAJASTHAN","HANUMANGARH",336,1,0,0,0,0,1,337
"RAJASTHAN","JAIPUR",96273,9929,1287,10893,869,2024,25002,121275
"RAJASTHAN","JAISALMER",146,53,1,0,4,2,60,206
"RAJASTHAN","JALORE",41832,5922,1687,2554,243,230,10636,52468
"RAJASTHAN","JHALAWAR",55767,6697,77,695,214,295,7978,63745
"RAJASTHAN","JHUNJHUNU",34843,969,23,799,126,112,2029,36872
"RAJASTHAN","JODHPUR",3889,964,203,2158,92,87,3504,7393
"RAJASTHAN","KAROLI",24546,1001,229,2878,1294,471,5873,30419
"RAJASTHAN","KOTA",11345,1720,38,1097,78,612,3545,14890
"RAJASTHAN","NAGAUR",27443,1128,267,2042,413,393,4243,31686
"RAJASTHAN","PALI",26387,12818,1987,2570,625,844,18844,45231
"RAJASTHAN","RAJSAMAND",12833,33896,58,880,70,141,35045,47878
"RAJASTHAN","SAWAI MADHOPUR",30925,1000,204,202,64,168,1638,32563
"RAJASTHAN","SIKAR",46795,1675,336,2057,280,1709,6057,52852
"RAJASTHAN","SIROHI",14194,3221,62,528,54,103,3968,18162
"RAJASTHAN","TONK",40920,3756,674,1969,371,796,7566,48486
"RAJASTHAN","UDAIPUR",26176,30107,145,3261,537,2142,36192,62368
"TAMIL NADU","COIMBATORE",78776,21927,854,3705,246,1933,28665,107441
"TAMIL NADU","CUDDALORE",10616,1075,109,56,1,75,1316,11932
"TAMIL NADU","DHARMAPURI",113148,11367,296,482,48,53,12246,125394
"TAMIL NADU","DINDIGUL",67256,23545,459,4037,1037,993,30071,97327
"TAMIL NADU","ERODE",75265,44189,562,3271,309,601,48932,124197
"TAMIL NADU","KANCHEEPURAM",48103,0,0,0,0,0,0,48103
"TAMIL NADU","KANYAKUMARI",3195,4,0,1,0,0,5,3200
"TAMIL NADU","KARUR",47735,219,6,9,0,2,236,47971
"TAMIL NADU","MADURAI",36083,11017,480,3504,1704,886,17591,53674
"TAMIL NADU","NAGAPATTINAM",4797,879,0,0,0,0,879,5676
"TAMIL NADU","NAMAKKAL",55125,5294,112,275,18,40,5739,60864
"TAMIL NADU","NILGIRIS",866,112,0,0,0,2,114,980
"TAMIL NADU","PERAMBALUR",34416,10401,394,789,189,1336,13109,47525
"TAMIL NADU","PUDUKKOTTAI",33573,3125,766,5171,257,480,9799,43372
"TAMIL NADU","RAMANATHAPURAM",7019,615,124,142,5,2,888,7907
"TAMIL NADU","SALEM",90849,9768,138,895,30,46,10877,101726
"TAMIL NADU","SIVAGANGA",14634,3011,254,663,36,163,4127,18761
"TAMIL NADU","THANJAVUR",3850,706,127,110,15,30,988,4838
"TAMIL NADU","THENI",25666,355,1,38,0,0,394,26060
"TAMIL NADU","THIRUVALLUR",16663,3778,187,589,79,341,4974,21637
"TAMIL NADU","THIRUVARUR",236,34,10,7,1,11,63,299
"TAMIL NADU","TIRUCHIRAPPALLI",56463,15979,1224,2627,449,911,21190,77653
