-----
{
 "description": "The table refers to District wise Shallow Tubewells in the command of Major/Medium Projects and Supplimentary Irrigation. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.14.csv", 
 "title": "Download CSV for Districtwise Shallow Tubewells in the command of Major/Medium Projects and Supplimentary Irrigation", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.14.csv"
}
-----
"State","District","Location of Tubewell (Nos) - Inside Command","Location of Tubewell (Nos) - Outside Command","Total","Supplementary Irrigation (Ha) - Kharif","Supplementary Irrigation (Ha) - Rabi","Supplementary Irrigation (Ha) - Perennial","Supplementary Irrigation (Ha) - Others","Total.1"
"MAHARASHTRA","WASHIM",0,131,131,0,0,0,0,0
"MAHARASHTRA","YAVATMAL",28,740,768,3,0,0,0,3
"MANIPUR","IMPHAL EAST",0,3,3,0,0,0,0,0
"MEGHALAYA","WEST GARO HILLS",0,75,75,0,0,0,0,0
"NAGALAND","DIMAPUR",0,2,2,0,0,0,0,0
"ORISSA","ANGUL",0,10,10,0,0,0,0,0
"ORISSA","BALASORE",11,13334,13345,7,1,0,0,8
"ORISSA","BARGARH",1,1460,1461,0,0,0,0,0
"ORISSA","BHADRAK",464,3438,3902,457,32,0,0,489
"ORISSA","BOLANGIR",0,48,48,0,0,0,0,0
"ORISSA","CUTTACK",96,4482,4578,5,1,24,1,31
"ORISSA","DEOGARH",0,1,1,0,0,0,0,0
"ORISSA","DHENKANAL",0,12,12,0,0,0,0,0
"ORISSA","GAJAPATI",0,141,141,0,0,0,0,0
"ORISSA","GANJAM",83,1876,1959,161,12,0,0,174
"ORISSA","JAGATSINGHPUR",10,3992,4002,6,2,0,0,8
"ORISSA","JAJAPUR",38,3107,3145,47,10,0,0,57
"ORISSA","JHARSUGUDA",0,10,10,0,0,0,0,0
"ORISSA","KALAHANDI",0,38,38,0,0,0,0,0
"ORISSA","KANDHAMAL",0,1,1,0,0,0,0,0
"ORISSA","KENDRAPARA",39,1214,1253,32,0,0,0,32
"ORISSA","KEONJHAR",0,785,785,0,0,0,0,0
"ORISSA","KHURDA",0,858,858,0,0,0,0,0
"ORISSA","KORAPUT",0,5,5,0,0,0,0,0
"ORISSA","MAYURBHANJA",3,1838,1841,4,0,0,0,4
