-----
{
 "description": "The table refers to Block wise Culturable Command Area and Potential Created through Surface Flow Schemes. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.9.csv", 
 "title": "Download CSV for Blockwise Culturable Command Area and Potential Created through Surface Flow Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.9.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others
ANDHRA PRADESH,ANANTHAPUR,YADIKI,243,162,81,0,0
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,768,768,0,0,0
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,1569,1568,399,0,0
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,1203,1174,745,0,0
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,1080,1079,1079,0,0
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,2693,0,2693,0,0
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,805,632,225,0,0
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,1095,1107,755,0,0
ANDHRA PRADESH,CHITTOOR,CHITTOOR,1259,966,654,31,0
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,1854,1761,1682,0,0
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,1508,1508,0,0,0
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,1523,1417,659,0,0
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,1011,753,488,0,0
ANDHRA PRADESH,CHITTOOR,GUDIPALA,1134,669,505,0,0
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,936,936,929,0,0
ANDHRA PRADESH,CHITTOOR,IRALA,1696,660,1342,0,0
ANDHRA PRADESH,CHITTOOR,K V P PURAM,2460,68,2453,0,0
ANDHRA PRADESH,CHITTOOR,KALAKADA,757,651,489,0,0
ANDHRA PRADESH,CHITTOOR,KALIKIRI,874,679,573,0,0
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,1146,1087,969,0,0
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,986,60,986,0,0
ANDHRA PRADESH,CHITTOOR,KUPPAM,1277,936,497,0,0
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,917,901,814,0,0
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,1438,1438,1357,0,0
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,1400,1013,537,0,0
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,2241,1201,1085,0,0
ANDHRA PRADESH,CHITTOOR,NAGARI,961,15,958,0,0
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,711,0,711,0,0
