-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to major/medium projects and  average pumping hours . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.11.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to major/medium projects and  Average Pumping Hours for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.11.csv"
}
-----
State,District,Block,On the Maj/Med,Outside Command,Total,Avg pumping hours (0-4),Avg pumping hours (4 - 8),Avg pumping hours (8-12),Avg pumping hours (12 -16),Avg pumping hours (16 - 20),Avg pumping hours (20 - 24),Total
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,119,468,587,244,313,28,1,1,0,587
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,0,121,121,77,41,2,0,0,1,121
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,0,187,187,122,54,6,3,2,0,187
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,0,506,506,37,432,32,5,0,0,506
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,0,514,514,20,128,200,15,35,116,514
ANDHRA PRADESH,ANANTHAPUR,RODDAM,1,663,664,89,359,187,19,10,0,664
ANDHRA PRADESH,ANANTHAPUR,ROLLA,0,92,92,86,5,1,0,0,0,92
ANDHRA PRADESH,ANANTHAPUR,SETTUR,0,99,99,8,82,9,0,0,0,99
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,72,471,543,251,203,87,0,2,0,543
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,1,347,348,137,156,53,1,1,0,348
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,0,378,378,2,354,22,0,0,0,378
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,29,745,774,339,411,21,3,0,0,774
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,0,80,80,70,9,1,0,0,0,80
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,1,215,216,27,176,13,0,0,0,216
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,4,128,132,18,113,1,0,0,0,132
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,0,83,83,6,63,13,1,0,0,83
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,0,41,41,11,27,3,0,0,0,41
ANDHRA PRADESH,ANANTHAPUR,YADIKI,0,526,526,199,225,87,14,1,0,526
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,66,603,669,10,523,126,9,1,0,669
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,0,276,276,117,159,0,0,0,0,276
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,3,71,74,53,16,5,0,0,0,74
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,0,59,59,22,28,8,1,0,0,59
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,4,409,413,199,144,25,45,0,0,413
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,0,95,95,1,66,26,1,1,0,95
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,0,148,148,78,57,13,0,0,0,148
ANDHRA PRADESH,CHITTOOR,CHITTOOR,0,27,27,20,3,4,0,0,0,27
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,0,156,156,99,50,7,0,0,0,156
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,0,95,95,51,44,0,0,0,0,95
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,0,77,77,57,20,0,0,0,0,77
ANDHRA PRADESH,CHITTOOR,GUDIPALA,0,72,72,8,57,7,0,0,0,72
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,0,34,34,32,2,0,0,0,0,34
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,0,51,51,17,32,2,0,0,0,51
ANDHRA PRADESH,CHITTOOR,IRALA,0,117,117,81,32,4,0,0,0,117
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,0,82,82,19,34,16,1,0,12,82
ANDHRA PRADESH,CHITTOOR,KALAKADA,0,190,190,103,81,6,0,0,0,190
ANDHRA PRADESH,CHITTOOR,KALIKIRI,0,199,199,3,91,102,3,0,0,199
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,0,156,156,5,102,36,9,4,0,156
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,0,108,108,4,19,74,11,0,0,108
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,0,35,35,3,28,4,0,0,0,35
ANDHRA PRADESH,CHITTOOR,KUPPAM,0,74,74,34,29,11,0,0,0,74
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,0,184,184,75,83,26,0,0,0,184
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,0,300,300,124,175,0,0,1,0,300
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,0,106,106,50,48,8,0,0,0,106
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,25,96,121,8,87,26,0,0,0,121
ANDHRA PRADESH,CHITTOOR,NAGARI,1,369,370,15,250,53,41,10,1,370
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,1,134,135,48,85,2,0,0,0,135
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,3,145,148,63,84,1,0,0,0,148
ANDHRA PRADESH,CHITTOOR,NINDRA,0,398,398,33,244,121,0,0,0,398
ANDHRA PRADESH,CHITTOOR,PAKALA,0,25,25,4,12,9,0,0,0,25
ANDHRA PRADESH,CHITTOOR,PALAMANERU,0,107,107,47,46,14,0,0,0,107
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,0,62,62,18,30,14,0,0,0,62
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,0,59,59,18,16,15,10,0,0,59
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,0,172,172,54,72,26,14,5,1,172
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,1,241,242,148,94,0,0,0,0,242
ANDHRA PRADESH,CHITTOOR,PENUMURU,0,97,97,13,77,7,0,0,0,97
ANDHRA PRADESH,CHITTOOR,PICHATURU,32,58,90,6,23,46,12,3,0,90
ANDHRA PRADESH,CHITTOOR,PILERU,0,26,26,23,3,0,0,0,0,26
ANDHRA PRADESH,CHITTOOR,PULICHERLA,4,200,204,99,84,19,2,0,0,204
ANDHRA PRADESH,CHITTOOR,PUNGANURU,0,197,197,95,86,16,0,0,0,197
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,0,129,129,68,50,11,0,0,0,129
ANDHRA PRADESH,CHITTOOR,PUTTURU,0,180,180,31,117,23,8,1,0,180
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,0,58,58,25,4,10,13,6,0,58
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,0,4,4,1,3,0,0,0,0,4
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,0,389,389,42,240,103,4,0,0,389
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,0,148,148,0,1,63,46,36,2,148
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,0,45,45,31,14,0,0,0,0,45
ANDHRA PRADESH,CHITTOOR,SODAM,0,27,27,13,14,0,0,0,0,27
ANDHRA PRADESH,CHITTOOR,SOMALA,0,59,59,16,43,0,0,0,0,59
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,0,256,256,102,80,36,38,0,0,256
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,0,209,209,37,155,16,1,0,0,209
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,0,11,11,0,11,0,0,0,0,11
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,0,579,579,20,368,175,2,0,14,579
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),1,359,360,65,114,163,9,9,0,360
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),0,23,23,12,11,0,0,0,0,23
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,0,291,291,10,131,123,27,0,0,291
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,0,364,364,142,170,23,1,3,25,364
ANDHRA PRADESH,CHITTOOR,VAYALPAD,15,86,101,15,51,20,13,2,0,101
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,0,63,63,62,1,0,0,0,0,63
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,0,84,84,13,44,17,4,4,2,84
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,0,135,135,9,78,33,14,1,0,135
ANDHRA PRADESH,CHITTOOR,YADAMARI,0,18,18,0,18,0,0,0,0,18
ANDHRA PRADESH,CHITTOOR,YERPEDU,3,982,985,377,326,147,133,1,1,985
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,0,39,39,2,35,2,0,0,0,39
ANDHRA PRADESH,CUDDAPAH,ATLUR,8,27,35,11,24,0,0,0,0,35
ANDHRA PRADESH,CUDDAPAH,B.KODUR,1,123,124,99,25,0,0,0,0,124
ANDHRA PRADESH,CUDDAPAH,BADVEL,19,64,83,63,5,15,0,0,0,83
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,0,33,33,4,26,3,0,0,0,33
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,0,393,393,292,101,0,0,0,0,393
ANDHRA PRADESH,CUDDAPAH,CHAPAD,226,682,908,102,532,202,62,10,0,908
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,0,11,11,3,8,0,0,0,0,11
ANDHRA PRADESH,CUDDAPAH,CHENNUR,86,137,223,15,82,126,0,0,0,223
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,2,20,22,2,4,15,1,0,0,22
ANDHRA PRADESH,CUDDAPAH,CHITVEL,0,762,762,228,498,36,0,0,0,762
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,1,0,1,0,1,0,0,0,0,1
ANDHRA PRADESH,CUDDAPAH,DUVVUR,0,178,178,2,174,1,1,0,0,178
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,0,18,18,11,7,0,0,0,0,18
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,2,155,157,21,80,54,2,0,0,157
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,1,953,954,19,237,535,163,0,0,954
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,274,201,475,29,313,70,38,25,0,475
ANDHRA PRADESH,CUDDAPAH,KODUR,1,62,63,1,47,15,0,0,0,63
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,0,1205,1205,408,793,4,0,0,0,1205
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,0,6,6,1,3,2,0,0,0,6
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,1,96,97,10,55,23,8,0,1,97
ANDHRA PRADESH,CUDDAPAH,NANDALUR,0,229,229,78,104,44,2,1,0,229
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,9,9,0,2,7,0,0,0,9
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,0,340,340,45,274,17,2,2,0,340
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,0,1278,1278,113,1048,116,1,0,0,1278
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,0,96,96,20,68,8,0,0,0,96
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,79,699,778,1,79,639,26,33,0,778
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,0,48,48,0,48,0,0,0,0,48
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,0,122,122,33,63,18,4,4,0,122
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,22,194,216,5,163,48,0,0,0,216
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,0,30,30,0,14,1,0,15,0,30
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,0,3,3,3,0,0,0,0,0,3
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,0,55,55,46,9,0,0,0,0,55
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,0,957,957,336,460,161,0,0,0,957
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,0,11,11,11,0,0,0,0,0,11
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,0,374,374,74,238,62,0,0,0,374
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,0,667,667,506,140,15,3,3,0,667
ANDHRA PRADESH,CUDDAPAH,THONDUR,0,29,29,29,0,0,0,0,0,29
ANDHRA PRADESH,CUDDAPAH,VALLUR,3,396,399,9,107,145,85,50,3,399
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,267,267,82,172,4,0,9,0,267
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,0,278,278,34,164,79,1,0,0,278
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,0,580,580,166,407,7,0,0,0,580
ANDHRA PRADESH,CUDDAPAH,VEMULA,0,114,114,1,41,71,1,0,0,114
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,0,28,28,3,25,0,0,0,0,28
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,0,153,153,5,57,88,3,0,0,153
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,4,27,31,0,23,8,0,0,0,31
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,103,510,613,1,0,79,231,293,9,613
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,551,2,553,4,375,167,5,2,0,553
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,106,0,106,0,56,50,0,0,0,106
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,422,70,492,4,51,434,3,0,0,492
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,23,1258,1281,146,868,259,6,1,1,1281
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,222,0,222,0,193,22,6,1,0,222
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,1084,219,1303,5,241,844,134,79,0,1303
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,136,0,136,2,125,9,0,0,0,136
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,0,614,614,9,602,2,0,1,0,614
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,2,155,157,44,107,5,0,1,0,157
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,0,32,32,0,0,2,18,7,5,32
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,30,24,54,0,12,35,2,5,0,54
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,28,111,139,5,94,28,1,11,0,139
ANDHRA PRADESH,EAST GODAVARI,KADIAM,714,1022,1736,4,1128,598,3,3,0,1736
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,0,51,51,0,51,0,0,0,0,51
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,30,22,52,2,48,2,0,0,0,52
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,452,287,739,0,693,46,0,0,0,739
ANDHRA PRADESH,EAST GODAVARI,KARAPA,19,0,19,5,7,0,2,5,0,19
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,456,255,711,0,15,106,365,225,0,711
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,36,324,360,1,325,34,0,0,0,360
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,119,113,232,74,102,28,0,28,0,232
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,75,0,75,2,43,29,1,0,0,75
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,15,1241,1256,106,582,392,173,3,0,1256
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,0,301,301,18,283,0,0,0,0,301
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,7,423,430,296,126,4,4,0,0,430
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,730,0,730,23,560,134,13,0,0,730
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,1,563,564,2,418,77,1,0,66,564
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,27,762,789,1,332,439,17,0,0,789
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,175,126,301,18,199,84,0,0,0,301
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,258,1,259,20,138,93,8,0,0,259
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,219,112,331,3,68,65,111,84,0,331
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,464,141,605,0,68,517,12,2,6,605
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,0,303,303,3,246,36,18,0,0,303
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,0,208,208,0,201,7,0,0,0,208
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,0,2,2,0,2,0,0,0,0,2
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,575,0,575,0,133,413,29,0,0,575
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,0,17,17,0,13,4,0,0,0,17
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,312,754,1066,94,626,232,11,103,0,1066
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,371,0,371,0,318,51,2,0,0,371
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,41,89,130,5,116,9,0,0,0,130
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,17,49,66,0,22,21,8,15,0,66
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,0,282,282,57,208,17,0,0,0,282
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,218,419,637,3,534,100,0,0,0,637
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,0,29,29,0,29,0,0,0,0,29
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,155,222,377,0,35,200,142,0,0,377
ANDHRA PRADESH,EAST GODAVARI,TUNI,117,340,457,46,397,14,0,0,0,457
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,27,15,42,0,0,2,12,28,0,42
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,394,617,1011,1,146,852,12,0,0,1011
ANDHRA PRADESH,GUNTUR,ACHAMPET,1,10,11,0,1,10,0,0,0,11
ANDHRA PRADESH,GUNTUR,AMARAVATHI,252,50,302,35,144,122,1,0,0,302
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,19,192,211,6,185,20,0,0,0,211
ANDHRA PRADESH,GUNTUR,BAPATLA,22,6,28,0,17,11,0,0,0,28
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,9,41,50,0,48,2,0,0,0,50
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,0,958,958,1,949,8,0,0,0,958
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,0,158,158,35,123,0,0,0,0,158
ANDHRA PRADESH,GUNTUR,CHEBROLE,31,0,31,19,12,0,0,0,0,31
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,58,41,99,0,92,7,0,0,0,99
ANDHRA PRADESH,GUNTUR,DACHEPALLE,31,14,45,0,45,0,0,0,0,45
ANDHRA PRADESH,GUNTUR,DUGGIRALA,1,1460,1461,412,638,369,1,3,38,1461
ANDHRA PRADESH,GUNTUR,DURGI,0,31,31,0,31,0,0,0,0,31
ANDHRA PRADESH,GUNTUR,EDLAPADU,0,32,32,26,5,1,0,0,0,32
ANDHRA PRADESH,GUNTUR,GUNTUR,1,29,30,9,21,0,0,0,0,30
ANDHRA PRADESH,GUNTUR,GURAZALA,9,54,63,0,63,0,0,0,0,63
ANDHRA PRADESH,GUNTUR,IPUR,0,14,14,11,3,0,0,0,0,14
ANDHRA PRADESH,GUNTUR,KAREMPUDI,2,64,66,5,58,3,0,0,0,66
