-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes(on River) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes(on River) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"HIMACHAL PRADESH","Kullu",11,0,11,655,0,655,217,0,217
"HIMACHAL PRADESH","Lahul & Spiti",0,0,0,0,0,0,0,0,0
"HIMACHAL PRADESH","Mandi",7,1,8,236,2,238,184,2,186
"HIMACHAL PRADESH","Shimla",3,1,4,24,16,40,18,11,29
"HIMACHAL PRADESH","Sirmaur",27,35,62,2816,763,3579,1730,671,2402
"HIMACHAL PRADESH","Solan",11,38,49,306,55,362,276,34,309
"HIMACHAL PRADESH","Una",21,0,21,1489,0,1489,989,0,989
"JAMMU & KASHMIR","ANANTNAG",1,0,1,12,0,12,12,0,12
"JAMMU & KASHMIR","BADGAM",25,27,52,2173,2156,4329,2163,2067,4230
"JAMMU & KASHMIR","BARAMULLA",52,26,78,3829,1753,5582,2639,1430,4069
"JAMMU & KASHMIR","DODA",0,0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","JAMMU",0,1,1,0,2,2,0,2,2
"JAMMU & KASHMIR","KATHUA",2,4,6,34,243,277,34,205,239
"JAMMU & KASHMIR","KUPWARA",0,0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","POONCH",0,0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","PULWAMA",26,4,30,2572,1256,3828,2251,1185,3436
"JAMMU & KASHMIR","RAJOURI",0,1,1,0,14,14,0,14,14
"JAMMU & KASHMIR","SRINAGAR",25,46,71,2108,369,2477,1954,369,2323
"JAMMU & KASHMIR","UDHAMPUR",1,0,1,8,0,8,4,0,4
"JHARKHAND","BOKARO",7,20,27,13,15,28,12,8,20
"JHARKHAND","CHATRA",9,28,37,78,35,114,77,29,106
"JHARKHAND","DEOGHAR",47,7,54,414,21,434,329,16,345
"JHARKHAND","DHANBAD",15,228,243,63,201,264,14,77,91
"JHARKHAND","DUMKA",28,104,132,179,142,321,140,102,242
"JHARKHAND","GARHWA",13,38,51,230,190,419,151,155,306
"JHARKHAND","GIRIDIH",41,49,90,246,76,322,187,59,246
"JHARKHAND","GODDA",1,1,2,2,3,5,0,3,3
"JHARKHAND","GUMLA",3,129,132,46,115,160,45,100,146
"JHARKHAND","HAZARIBAGH",28,63,91,622,156,779,387,127,515
"JHARKHAND","JAMTARA",25,141,166,111,268,379,89,208,297
"JHARKHAND","KODERMA",7,0,7,67,0,67,59,0,59
"JHARKHAND","LATEHAR",52,51,103,356,121,477,316,65,381
"JHARKHAND","LOHARDAGA",5,31,36,176,365,542,164,294,458
"JHARKHAND","PAKUR",56,3,59,5595,4,5600,392,2,394
"JHARKHAND","PALAMU",1,3,4,2,67,69,2,65,67
"JHARKHAND","RANCHI",13,165,178,187,98,285,134,86,220
"JHARKHAND","SAHEBGANJ",147,28,175,1150,253,1404,881,217,1098
"JHARKHAND","SARAIKELA",14,35,49,463,123,586,54,68,122
