-----
{
 "description": "This data provides details of Hon\u2019ble Members of the Tenth Lok Sabha from 20th June 1991 to 10th May 1996. It consists of name of members, constituency name, state name and party name.", 
 "file_name": "Members_of_Tenth_Lok_Sabha_From_20th_June_1991_to_10th_May_1996.xls", 
 "title": "Download XLS for Members of Tenth Lok Sabha from 20th June 1991 to 10th May 1996", 
 "url": "http://data.gov.in/sites/default/files/Members_of_Tenth_Lok_Sabha_From_20th_June_1991_to_10th_May_1996.xls"
}
-----
"Lok Sabha","Member Name","Gender","Constituency Name","State Name","Party Name"
"Tenth Lok Sabha","Shri Somjibhai Damor","Male","Dohad-ST                                                                                            ","Gujarat                                                     ","Congress (I)"
"Tenth Lok Sabha","Shri Anadi Charan Das","Male","Jajpur-SC                                                                                           ","Odisha                                                      ","Janata Dal"
"Tenth Lok Sabha","Shri Dwaraka Nath Das","Male","Karimganj-SC                                                                                        ","Assam                                                       ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri Jitendra Nath Das","Male","Jalpaiguri                                                                                          ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Tenth Lok Sabha","Shri Ram Sundar Das","Male","Hajipur-SC                                                                                          ","Bihar                                                       ","Janata Dal"
"Tenth Lok Sabha","Shri Amal Datta","Male","Diamond Harbour                                                                                     ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Tenth Lok Sabha","Shri Bandaru Dattatreya","Male","Secunderabad                                                                                        ","Andhra Pradesh                                              ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri Probin Deka","Male","Mangaldoi                                                                                           ","Assam                                                       ","Congress (I)"
"Tenth Lok Sabha","Shri Mohanbhai Delkar","Male","Dadra and Nagar Haveli-ST                                                                           ","Dadra and Nagar Haveli                                      ","Congress (I)"
"Tenth Lok Sabha","Shri N. Dennis","Male","Nagercoil                                                                                           ","Tamil Nadu                                                  ","Congress (I)"
"Tenth Lok Sabha","Shri Murli Deora","Male","Bombay South                                                                                        ","Maharashtra                                                 ","Congress (I)"
"Tenth Lok Sabha","Shri Anantrao Deshmukh","Male","Washim                                                                                              ","Maharashtra                                                 ","Congress (I)"
"Tenth Lok Sabha","Prof. Ashokrao Anandrao Deshmukh","Male","Parbhani                                                                                            ","Maharashtra                                                 ","Shiv Sena"
"Tenth Lok Sabha","Shri Chandubhai Shanabhai Deshmukh","Male","Broach                                                                                              ","Gujarat                                                     ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri Sontosh Mohan Dev","Male","Tripura West                                                                                        ","Tripura                                                     ","Congress (I)"
