-----
{
 "description": "This table contains data related to Production and Value of Minerals  covered under Mineral Conservation & Development Rules during 2007-08 to 2011-12", 
 "file_name": "MineralState5YearProdValF.xls", 
 "title": "Download XLS for Production and Value of  Minerals during 2007-08 to 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/MineralState5YearProdValF.xls"
}
-----
"Produaction and Value for MCDR Minerals during 2007-08 to 2011-12","","","","","","","","","","","",""
"BAUXITE","INDIA","TONNE",22624960.0,5683866.0,15460202.0,4703221.0,14124093.0,4887897.0,12722820.0,5122151.0,12877394.0,5520032.0
"CHROMITE","KARNATAKA","TONNE",9488.0,71131.0,4115.0,36475.0,6483.0,30856.0,8540.0,33223.0,9827.0,40336.0
"CHROMITE","MAHARASHTRA","TONNE","","","","",66.0,489.0,0.0,0.0,0.0,0.0
"CHROMITE","ORISSA","TONNE",4863196.0,21350560.0,4069364.0,22597152.0,3419031.0,10422275.0,4317159.0,25930985.0,3754293.0,26482785.0
"CHROMITE ","INDIA","TONNE",4872684.0,21421691.0,4073479.0,22633627.0,3425580.0,10453620.0,4325699.0,25964208.0,3764120.0,26523121.0
"COPPER CONCENTRATE","JHARKHAND","TONNE",1550.0,58947.0,11415.0,338694.0,13080.0,402092.0,12904.0,445678.0,13768.0,460321.0
"COPPER CONCENTRATE","MADHYA PRADESH","TONNE",81858.0,1873941.0,57575.0,1802506.0,64913.0,1926362.0,78778.0,2477950.0,75240.0,2959609.0
"COPPER CONCENTRATE","RAJASTHAN","TONNE",66779.0,1538380.0,68524.0,1949913.0,46584.0,1481008.0,45174.0,1809887.0,41450.0,2747208.0
"COPPER CONCENTRATE ","INDIA","TONNE",150187.0,3471268.0,137514.0,4091113.0,124577.0,3809462.0,136856.0,4733515.0,130458.0,6167138.0
"COPPER ORE","JHARKHAND","TONNE",46914.0,0.0,328168.0,0.0,387843.0,0.0,396841.0,0.0,395745.0,0.0
"COPPER ORE","MADHYA PRADESH","TONNE",2192665.0,0.0,2073524.0,0.0,1975938.0,0.0,2233523.0,0.0,2081959.0,0.0
"COPPER ORE","RAJASTHAN","TONNE",1002792.0,0.0,1050714.0,0.0,907388.0,0.0,971620.0,0.0,1000485.0,0.0
"COPPER ORE ","INDIA","TONNE",3242371.0,0.0,3452406.0,0.0,3271169.0,0.0,3601984.0,0.0,3478189.0,0.0
"GOLD ORE","JHARKHAND","TONNE",7345.0,0.0,4307.0,0.0,5066.0,0.0,4618.0,0.0,7754.0,0.0
"GOLD ORE","KARNATAKA","TONNE",673898.0,0.0,582908.0,0.0,512454.0,0.0,736904.0,0.0,484438.0,0.0
"GOLD ORE ","INDIA","TONNE",681243.0,0.0,587215.0,0.0,517520.0,0.0,741522.0,0.0,492192.0,0.0
"GOLD PRIMARY","JHARKHAND","KG",27.0,26498.0,18.0,21883.0,14.0,21251.0,14.0,28137.0,11.0,28532.0
"GOLD PRIMARY","KARNATAKA","KG",2942.0,2990884.0,2420.0,3130737.0,2070.0,3404563.0,2385.0,4317060.0,2181.0,5467505.0
"GOLD PRIMARY ","INDIA","KG",2969.0,3017382.0,2438.0,3152620.0,2084.0,3425814.0,2399.0,4345197.0,2192.0,5496037.0
"IRON CONCENTRATE","GOA","THT",526.0,448825.0,506.0,423337.0,571.0,392025.0,681.0,414708.0,389.0,267465.0
"IRON CONCENTRATE","KARNATAKA","THT","","","","","","","","",20.0,12000.0
"IRON CONCENTRATE ","INDIA","THT",526.0,448825.0,506.0,423337.0,571.0,392025.0,681.0,414708.0,409.0,279465.0
"IRON FINES","ANDHRA PRADESH","THT",3978.0,4228397.0,5237.0,8830088.0,2997.0,3416974.0,432.0,85712.0,451.0,118918.0
"IRON FINES","CHHATTISGARH","THT",17965.0,22868567.0,18925.0,26616650.0,15020.0,20654743.0,17253.0,35589366.0,18899.0,49199694.0
"IRON FINES","GOA","THT",24270.0,26432434.0,25164.0,38722217.0,29298.0,44308522.0,27264.0,61928932.0,26193.0,56345292.0
"IRON FINES","JHARKHAND","THT",10983.0,5126249.0,11471.0,4220411.0,12298.0,5475409.0,12677.0,7682960.0,10883.0,9374909.0
"IRON FINES","KARNATAKA","THT",27458.0,33558070.0,28310.0,32579314.0,26826.0,29797910.0,24909.0,52829553.0,8363.0,15288146.0
"IRON FINES","MADHYA PRADESH","THT",1954.0,441083.0,325.0,81720.0,941.0,313159.0,1528.0,666573.0,998.0,619037.0
"IRON FINES","MAHARASHTRA","THT",315.0,238689.0,119.0,98652.0,93.0,72730.0,479.0,557985.0,419.0,550106.0
"IRON FINES","ORISSA","THT",27947.0,19771437.0,30502.0,25506501.0,40247.0,33776334.0,44661.0,62840646.0,37974.0,68138764.0
"IRON FINES ","INDIA","THT",114870.0,112664926.0,120053.0,136655553.0,127720.0,137815781.0,129203.0,222181727.0,104180.0,199634866.0
"IRON LUMPS","ANDHRA PRADESH","THT",5190.0,7143396.0,4875.0,6381572.0,3249.0,4684328.0,1128.0,392500.0,1263.0,452954.0
"IRON LUMPS","CHHATTISGARH","THT",13032.0,24026423.0,11072.0,32447619.0,11191.0,23572505.0,12067.0,36122684.0,11556.0,47229745.0
"IRON LUMPS","GOA","THT",5730.0,4998163.0,5525.0,9463464.0,8267.0,11145773.0,7619.0,12568654.0,6790.0,12879951.0
"IRON LUMPS","JHARKHAND","THT",9769.0,5021835.0,9858.0,5026145.0,10249.0,5766639.0,9611.0,9224281.0,8059.0,9757217.0
"IRON LUMPS","KARNATAKA","THT",21532.0,23294928.0,18661.0,24726260.0,16337.0,19013755.0,14074.0,26268567.0,4806.0,14521206.0
"IRON LUMPS","MADHYA PRADESH","THT",302.0,34911.0,87.0,19612.0,117.0,46591.0,234.0,118743.0,104.0,100813.0
"IRON LUMPS","MAHARASHTRA","THT",347.0,250695.0,175.0,137433.0,190.0,149047.0,1046.0,774643.0,1051.0,752247.0
"IRON LUMPS","ORISSA","THT",41936.0,55905215.0,42125.0,70158749.0,40649.0,62031014.0,31467.0,88067035.0,29039.0,94033707.0
"IRON LUMPS","RAJASTHAN","THT",16.0,2954.0,23.0,4276.0,13.0,2594.0,27.0,8172.0,32.0,9196.0
"IRON LUMPS ","INDIA","THT",97854.0,120678520.0,92401.0,148365130.0,90262.0,126412246.0,77273.0,173545279.0,62700.0,179737036.0
"IRON ORE","ANDHRA PRADESH","THT",9168.0,11371792.0,10112.0,15211659.0,6246.0,8101303.0,1560.0,478212.0,1714.0,571872.0
"IRON ORE","CHHATTISGARH","THT",30997.0,46894990.0,29997.0,59064269.0,26211.0,44227248.0,29320.0,71712050.0,30455.0,96429439.0
"IRON ORE","GOA","THT",30526.0,31879422.0,31195.0,48609019.0,38136.0,55846319.0,35564.0,74912294.0,33372.0,69492708.0
"IRON ORE","JHARKHAND","THT",20752.0,10148084.0,21329.0,9246556.0,22547.0,11242048.0,22288.0,16907241.0,18942.0,19132126.0
"IRON ORE","KARNATAKA","THT",48990.0,56852999.0,46971.0,57305574.0,43163.0,48811665.0,38983.0,79098120.0,13189.0,29821352.0
"IRON ORE","MADHYA PRADESH","THT",2256.0,475995.0,412.0,101332.0,1058.0,359750.0,1762.0,785316.0,1102.0,719850.0
"IRON ORE","MAHARASHTRA","THT",662.0,489383.0,294.0,236085.0,283.0,221777.0,1525.0,1332628.0,1470.0,1302353.0
"IRON ORE","ORISSA","THT",69883.0,75676652.0,72627.0,95665250.0,80896.0,95807348.0,76128.0,150907681.0,67013.0,162172471.0
"IRON ORE","RAJASTHAN","THT",16.0,2954.0,23.0,4276.0,13.0,2594.0,27.0,8172.0,32.0,9196.0
"IRON ORE","INDIA","THT",213250.0,233792271.0,212960.0,285444020.0,218553.0,264620052.0,207157.0,396141714.0,167289.0,379651367.0
"LEAD & ZINC ORE","RAJASTHAN","TONNE",5783099.0,0.0,6680698.0,0.0,7101872.0,0.0,7539999.0,0.0,8041881.0,0.0
"LEAD & ZINC ORE ","INDIA","TONNE",5783099.0,0.0,6680698.0,0.0,7101872.0,0.0,7539999.0,0.0,8041881.0,0.0
"LEAD CONCENTRATE","RAJASTHAN","TONNE",125755.0,1443876.0,133768.0,1362744.0,133921.0,1765874.0,147625.0,2000435.0,161157.0,2464159.0
"LEAD CONCENTRATE ","INDIA","TONNE",125755.0,1443876.0,133768.0,1362744.0,133921.0,1765874.0,147625.0,2000435.0,161157.0,2464159.0
"MANGANESE ORE","ANDHRA PRADESH","TONNE",140963.0,170175.0,184552.0,307092.0,260628.0,332916.0,290785.0,526834.0,322087.0,535816.0
"MANGANESE ORE","GOA","TONNE",580.0,493.0,1170.0,2776.0,770.0,1047.0,440.0,1684.0,1550.0,2423.0
"MANGANESE ORE","GUJARAT","TONNE","","",0.0,0.0,55090.0,27270.0,245240.0,121639.0,0.0,0.0
"MANGANESE ORE","JHARKHAND","TONNE",12048.0,10079.0,16044.0,14025.0,39875.0,41472.0,44898.0,62094.0,18265.0,32766.0
"MANGANESE ORE","KARNATAKA","TONNE",351889.0,432648.0,332686.0,638173.0,301163.0,611165.0,413287.0,929734.0,136072.0,297422.0
"MANGANESE ORE","MADHYA PRADESH","TONNE",673999.0,4140929.0,726114.0,6234950.0,607148.0,4094882.0,716285.0,4226787.0,648283.0,4030020.0
"MANGANESE ORE","MAHARASHTRA","TONNE",848267.0,5151240.0,680629.0,7364783.0,613520.0,4618651.0,672828.0,4984603.0,649898.0,4347624.0
"MANGANESE ORE","ORISSA","TONNE",667780.0,2153715.0,839930.0,3163383.0,605313.0,2165165.0,655984.0,3805668.0,565662.0,2451830.0
"MANGANESE ORE","RAJASTHAN","TONNE",1454.0,1091.0,7900.0,11850.0,8443.0,12665.0,16638.0,24957.0,7483.0,14963.0
"MANGANESE ORE ","INDIA","TONNE",2696980.0,12060370.0,2789025.0,17737032.0,2491950.0,11905233.0,3056385.0,14684000.0,2349300.0,11712864.0
"SILVER","KARNATAKA","KG",294.0,5683.0,229.0,5216.0,230.0,5770.0,221.0,8627.0,200.0,11374.0
"SILVER","RAJASTHAN","KG",80403.0,1515760.0,105055.0,2142362.0,138550.0,3382924.0,148082.0,5430068.0,206942.0,11550277.0
"SILVER ","INDIA","KG",80697.0,1521443.0,105284.0,2147578.0,138780.0,3388694.0,148303.0,5438695.0,207142.0,11561651.0
"TIN CONCENTRATE","CHHATTISGARH","KG",63218.0,14578.0,59778.0,21267.0,59016.0,22895.0,60643.0,27799.0,48971.0,26742.0
"TIN CONCENTRATE ","INDIA","KG",63218.0,14578.0,59778.0,21267.0,59016.0,22895.0,60643.0,27799.0,48971.0,26742.0
"ZINC CONCENTRATE","RAJASTHAN","TONNE",1035828.0,9394204.0,1224077.0,9466647.0,1279880.0,13058419.0,1427231.0,17930226.0,1412291.0,19893051.0
"ZINC CONCENTRATE ","INDIA","TONNE",1035828.0,9394204.0,1224077.0,9466647.0,1279880.0,13058419.0,1427231.0,17930226.0,1412291.0,19893051.0
"AGATE","GUJARAT","TONNE",25.0,14.0,0.0,0.0,11.0,6.0,19.0,10.0,476.0,238.0
"AGATE ","INDIA","TONNE",25.0,14.0,0.0,0.0,11.0,6.0,19.0,10.0,476.0,238.0
"APATITE","ANDHRA PRADESH","TONNE",3853.0,7868.0,3902.0,8620.0,3882.0,9212.0,2585.0,6134.0,2917.0,6163.0
"APATITE","WEST BENGAL","TONNE",2838.0,14247.0,2513.0,4405.0,2110.0,3699.0,1261.0,2211.0,136.0,238.0
"APATITE ","INDIA","TONNE",6691.0,22115.0,6415.0,13025.0,5992.0,12911.0,3846.0,8345.0,3053.0,6401.0
"ASBESTOS","ANDHRA PRADESH","TONNE",269.0,10598.0,315.0,14521.0,243.0,12268.0,268.0,13341.0,280.0,12827.0
"ASBESTOS ","INDIA","TONNE",269.0,10598.0,315.0,14521.0,243.0,12268.0,268.0,13341.0,280.0,12827.0
"BALL CLAY","ANDHRA PRADESH","TONNE",241506.0,34639.0,262342.0,35221.0,202796.0,26700.0,259380.0,70384.0,252892.0,51277.0
"BALL CLAY","GUJARAT","TONNE",10392.0,662.0,11539.0,579.0,31053.0,1477.0,31140.0,2025.0,15523.0,1708.0
"BALL CLAY","RAJASTHAN","TONNE",535791.0,103158.0,698795.0,159328.0,676559.0,184938.0,776193.0,301368.0,1321734.0,578182.0
"BALL CLAY","TAMIL NADU","TONNE",8445.0,1909.0,25000.0,5650.0,22585.0,5059.0,20001.0,16461.0,4485.0,4498.0
"BALL CLAY ","INDIA","TONNE",796134.0,140368.0,997676.0,200778.0,932993.0,218174.0,1086714.0,390238.0,1594634.0,635665.0
"BARYTES","ANDHRA PRADESH","TONNE",1067894.0,565728.0,1679896.0,963372.0,2146460.0,2599224.0,2332701.0,2695846.0,1714749.0,1647156.0
"BARYTES","HIMACHAL PRADESH","TONNE",806.0,1209.0,582.0,873.0,107.0,161.0,0.0,0.0,0.0,0.0
"BARYTES","RAJASTHAN","TONNE",7590.0,3127.0,5670.0,2200.0,5985.0,2457.0,6105.0,2433.0,8055.0,4417.0
"BARYTES ","INDIA","TONNE",1076290.0,570064.0,1686148.0,966445.0,2152552.0,2601842.0,2338806.0,2698279.0,1722804.0,1651573.0
"CALCITE","RAJASTHAN","TONNE",86364.0,34844.0,67284.0,22729.0,49309.0,16980.0,38826.0,14104.0,51499.0,18342.0
"CALCITE ","INDIA","TONNE",86364.0,34844.0,67284.0,22729.0,49309.0,16980.0,38826.0,14104.0,51499.0,18342.0
"CHALK","GUJARAT","TONNE",194934.0,64323.0,203085.0,77251.0,185218.0,71087.0,177197.0,65799.0,176010.0,66612.0
"CHALK ","INDIA","TONNE",194934.0,64323.0,203085.0,77251.0,185218.0,71087.0,177197.0,65799.0,176010.0,66612.0
"CLAY (OTHERS)","ANDHRA PRADESH","TONNE",157853.0,18856.0,150265.0,10863.0,237220.0,26240.0,84875.0,8402.0,84127.0,6478.0
"CLAY (OTHERS)","CHHATTISGARH","TONNE",390.0,98.0,400.0,100.0,"","","","","",""
"CLAY (OTHERS)","GUJARAT","TONNE",364389.0,18383.0,369232.0,11000.0,420598.0,7040.0,203291.0,12775.0,238731.0,14569.0
"CLAY (OTHERS)","KARNATAKA","TONNE",45000.0,4500.0,"","",0.0,0.0,"","",0.0,0.0
"CLAY (OTHERS)","MADHYA PRADESH","TONNE",247126.0,31769.0,556030.0,42586.0,235027.0,20453.0,434722.0,48025.0,421653.0,30058.0
"CLAY (OTHERS)","RAJASTHAN","TONNE",4139.0,290.0,144669.0,15931.0,163428.0,17561.0,7864.0,1140.0,50.0,12.0
"CLAY (OTHERS)","WEST BENGAL","TONNE",96.0,8.0,187.0,19.0,0.0,0.0,0.0,0.0,"",""
"CLAY (OTHERS) ","INDIA","TONNE",818993.0,73904.0,1220783.0,80499.0,1056273.0,71294.0,730752.0,70342.0,744561.0,51117.0
"CORUNDUM","KARNATAKA","KG",10800.0,130.0,"","","","","","","",""
"CORUNDUM","MAHARASHTRA","KG",79120.0,192.0,21000.0,63.0,6600.0,20.0,"","","",""
"CORUNDUM ","INDIA","KG",89920.0,322.0,21000.0,63.0,6600.0,20.0,0.0,0.0,0.0,0.0
"DIAMOND","MADHYA PRADESH","CARATS",586.0,5701.0,536.0,4537.0,16891.0,116279.0,11222.0,106776.0,18489.0,198242.0
"DIAMOND ","INDIA","CARATS",586.0,5701.0,536.0,4537.0,16891.0,116279.0,11222.0,106776.0,18489.0,198242.0
"DIASPORE","MADHYA PRADESH","TONNE",11320.0,7324.0,10180.0,7410.0,11042.0,8540.0,11165.0,9251.0,12399.0,11660.0
"DIASPORE","UTTAR PRADESH","TONNE",9916.0,10544.0,14462.0,15974.0,14527.0,18882.0,14917.0,22752.0,11725.0,16859.0
"DIASPORE ","INDIA","TONNE",21236.0,17868.0,24642.0,23384.0,25569.0,27422.0,26082.0,32003.0,24124.0,28519.0
"DOLOMITE","ANDHRA PRADESH","TONNE",1400493.0,292702.0,1254886.0,277705.0,1577072.0,317824.0,1216373.0,363958.0,981800.0,282084.0
"DOLOMITE","CHHATTISGARH","TONNE",1295411.0,294381.0,1317858.0,361156.0,1286514.0,335580.0,1592838.0,363551.0,1628165.0,394952.0
"DOLOMITE","GUJARAT","TONNE",111233.0,14877.0,169447.0,22962.0,346234.0,50554.0,244218.0,45935.0,169235.0,23768.0
"DOLOMITE","JHARKHAND","TONNE",307826.0,237886.0,301341.0,271207.0,422019.0,379817.0,429866.0,386879.0,190769.0,171692.0
"DOLOMITE","KARNATAKA","TONNE",350926.0,48232.0,354015.0,52262.0,385041.0,55044.0,442941.0,71522.0,548694.0,90517.0
"DOLOMITE","MADHYA PRADESH","TONNE",192100.0,24233.0,199377.0,25986.0,277017.0,36190.0,279859.0,41788.0,360907.0,51785.0
"DOLOMITE","MAHARASHTRA","TONNE",67370.0,10755.0,94896.0,16849.0,76625.0,15566.0,64865.0,13867.0,127857.0,29095.0
"DOLOMITE","ORISSA","TONNE",1876181.0,496694.0,1616347.0,502265.0,1316371.0,450677.0,1358156.0,551985.0,1174594.0,437571.0
"DOLOMITE","RAJASTHAN","TONNE",214831.0,38429.0,147123.0,19807.0,224803.0,30966.0,210498.0,30553.0,234709.0,39848.0
"DOLOMITE","UTTARAKHAND","TONNE",35925.0,3018.0,53947.0,4532.0,63.0,6.0,96.0,9.0,87.0,8.0
"DOLOMITE ","INDIA","TONNE",5852296.0,1461207.0,5509237.0,1554731.0,5911759.0,1672224.0,5839710.0,1870047.0,5416817.0,1521320.0
"DUNITE","KARNATAKA","TONNE",33408.0,4297.0,32550.0,7486.0,37346.0,8830.0,1971.0,360.0,3846.0,513.0
"DUNITE","TAMIL NADU","TONNE",24581.0,10830.0,18385.0,15996.0,34296.0,10451.0,21745.0,6519.0,35377.0,24873.0
"DUNITE ","INDIA","TONNE",57989.0,15127.0,50935.0,23482.0,71642.0,19281.0,23716.0,6879.0,39223.0,25386.0
"FELSITE","KARNATAKA","TONNE",550.0,999.0,1238.0,1367.0,3049.0,2464.0,1670.0,2420.0,1018.0,1854.0
"FELSITE ","INDIA","TONNE",550.0,999.0,1238.0,1367.0,3049.0,2464.0,1670.0,2420.0,1018.0,1854.0
"FELSPAR","ANDHRA PRADESH","TONNE",364246.0,77055.0,309352.0,61164.0,214406.0,51429.0,208740.0,57878.0,196928.0,54018.0
"FELSPAR","JHARKHAND","TONNE",10893.0,2081.0,10815.0,1864.0,10778.0,1904.0,13315.0,2297.0,15648.0,2902.0
"FELSPAR","KARNATAKA","TONNE",0.0,0.0,573.0,120.0,3100.0,651.0,1034.0,285.0,0.0,0.0
"FELSPAR","MAHARASHTRA","TONNE","","",587.0,103.0,0.0,0.0,0.0,0.0,"",""
"FELSPAR","RAJASTHAN","TONNE",108276.0,17805.0,208131.0,32497.0,265212.0,43083.0,306126.0,89127.0,415170.0,143878.0
"FELSPAR","TAMIL NADU","TONNE",1629.0,788.0,3078.0,1065.0,451.0,117.0,14555.0,3768.0,27594.0,9551.0
"FELSPAR","WEST BENGAL","TONNE",3414.0,1792.0,1496.0,838.0,3050.0,1464.0,2702.0,1321.0,5031.0,1945.0
"FELSPAR ","INDIA","TONNE",488458.0,99521.0,534032.0,97651.0,496997.0,98648.0,546472.0,154676.0,660371.0,212294.0
"FIRECLAY","ANDHRA PRADESH","TONNE",31183.0,7867.0,40615.0,8699.0,24540.0,5516.0,26423.0,5871.0,29754.0,5713.0
"FIRECLAY","GUJARAT","TONNE",74651.0,4898.0,27275.0,1975.0,92868.0,9829.0,145961.0,12484.0,62295.0,5171.0
"FIRECLAY","JHARKHAND","TONNE",19451.0,3060.0,12711.0,1652.0,16145.0,1912.0,24305.0,3156.0,69143.0,11329.0
"FIRECLAY","KARNATAKA","TONNE",5550.0,555.0,7593.0,3555.0,5523.0,2949.0,15330.0,4431.0,7684.0,2256.0
"FIRECLAY","MADHYA PRADESH","TONNE",58285.0,5918.0,48278.0,3911.0,34704.0,3193.0,44519.0,4199.0,64158.0,7303.0
"FIRECLAY","MAHARASHTRA","TONNE",7235.0,543.0,6786.0,509.0,6744.0,641.0,3334.0,391.0,9512.0,1284.0
"FIRECLAY","ORISSA","TONNE",79062.0,21521.0,71865.0,18518.0,51312.0,16015.0,0.0,0.0,0.0,0.0
"FIRECLAY","RAJASTHAN","TONNE",167591.0,23735.0,191054.0,30920.0,247473.0,40580.0,507381.0,91472.0,396490.0,80505.0
"FIRECLAY","TAMIL NADU","TONNE",40711.0,6135.0,35920.0,7956.0,23260.0,4431.0,52620.0,9948.0,61641.0,11716.0
"FIRECLAY","WEST BENGAL","TONNE",61254.0,12622.0,53684.0,5721.0,46179.0,4614.0,36868.0,4716.0,59069.0,5377.0
"FIRECLAY ","INDIA","TONNE",544973.0,86854.0,495781.0,83416.0,548748.0,89680.0,856741.0,136668.0,759746.0,130654.0
"FLUORITE (GRADED)","GUJARAT","TONNE","","","","","","",52920.0,15876.0,1920.0,576.0
"FLUORITE (GRADED)","MAHARASHTRA","TONNE",3970.0,19629.0,3176.0,15626.0,4931.0,20473.0,6469.0,32456.0,2740.0,10645.0
"FLUORITE (GRADED)","RAJASTHAN","TONNE",0.0,0.0,0.0,0.0,64.0,141.0,565.0,1815.0,196.0,561.0
"FLUORITE (GRADED) ","INDIA","TONNE",3970.0,19629.0,3176.0,15626.0,4995.0,20614.0,59954.0,50147.0,4856.0,11782.0
"FLUORITE CONC.(A)","GUJARAT","TONNE",1775.0,21744.0,862.0,11827.0,1879.0,28369.0,0.0,0.0,0.0,0.0
"FLUORITE CONC.(A) ","INDIA","TONNE",1775.0,21744.0,862.0,11827.0,1879.0,28369.0,0.0,0.0,0.0,0.0
"FLUORITE CONC.(M)","GUJARAT","TONNE",2019.0,23810.0,5952.0,76888.0,6907.0,70486.0,0.0,0.0,0.0,0.0
"FLUORITE CONC.(M) ","INDIA","TONNE",2019.0,23810.0,5952.0,76888.0,6907.0,70486.0,0.0,0.0,0.0,0.0
"GARNET","ANDHRA PRADESH","TONNE",1950.0,166.0,74988.0,7981.0,124756.0,48255.0,153574.0,183821.0,62325.0,263256.0
"GARNET","ORISSA","TONNE",8533.0,13678.0,11455.0,22360.0,11080.0,36209.0,18474.0,65620.0,19889.0,84813.0
"GARNET","TAMIL NADU","TONNE",1265436.0,509844.0,1064798.0,535596.0,1444781.0,678913.0,1954289.0,1025423.0,1742434.0,1006851.0
"GARNET ","INDIA","TONNE",1275919.0,523688.0,1151241.0,565937.0,1580617.0,763377.0,2126337.0,1274864.0,1824648.0,1354920.0
"GRAPHITE","JHARKHAND","TONNE",14942.0,5622.0,14405.0,5267.0,26714.0,9518.0,45146.0,14995.0,71810.0,29251.0
"GRAPHITE","ORISSA","TONNE",105328.0,45285.0,42925.0,21828.0,46192.0,18636.0,20472.0,10394.0,18859.0,8497.0
"GRAPHITE","TAMIL NADU","TONNE",50543.0,24958.0,60437.0,19523.0,51719.0,25676.0,50079.0,24991.0,58305.0,28703.0
"GRAPHITE ","INDIA","TONNE",170813.0,75865.0,117767.0,46618.0,124625.0,53830.0,115697.0,50380.0,148974.0,66451.0
"GYPSUM","GUJARAT","TONNE",173.0,27.0,218.0,22.0,112.0,15.0,37.0,14.0,20.0,6.0
"GYPSUM","JAMMU & KASHMIR","TONNE",13000.0,7215.0,4505.0,1352.0,33197.0,9959.0,38143.0,11443.0,29505.0,8852.0
"GYPSUM","RAJASTHAN","TONNE",3383013.0,3383672.0,3871948.0,992091.0,3337013.0,994657.0,4879990.0,1463997.0,3159704.0,1306316.0
"GYPSUM ","INDIA","TONNE",3396186.0,3390914.0,3876671.0,993465.0,3370322.0,1004631.0,4918170.0,1475454.0,3189229.0,1315174.0
"IOLITE","ORISSA","KG","","",0.0,0.0,758.0,40862.0,4.0,40.0,0.0,0.0
"IOLITE ","INDIA","KG",0.0,0.0,0.0,0.0,758.0,40862.0,4.0,40.0,0.0,0.0
"JASPER","RAJASTHAN","TONNE",0.0,0.0,99.0,51.0,"","","","",0.0,0.0
"JASPER ","INDIA","TONNE",0.0,0.0,99.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
"KAOLIN (NATURAL)","ANDHRA PRADESH","TONNE",19446.0,1769.0,47678.0,4730.0,108395.0,9937.0,10431.0,1440.0,72371.0,11287.0
"KAOLIN (NATURAL)","CHHATTISGARH","TONNE",1706.0,233.0,"","","","","","",0.0,0.0
"KAOLIN (NATURAL)","GUJARAT","TONNE",459627.0,71953.0,937559.0,157900.0,1274099.0,165465.0,1222631.0,170395.0,1293036.0,203013.0
"KAOLIN (NATURAL)","JHARKHAND","TONNE",120892.0,37205.0,138230.0,36385.0,78395.0,36933.0,65911.0,33291.0,116709.0,30732.0
"KAOLIN (NATURAL)","KARNATAKA","TONNE",2150.0,578.0,2450.0,662.0,15950.0,5522.0,6500.0,1920.0,0.0,0.0
"KAOLIN (NATURAL)","KERALA","TONNE",429084.0,102467.0,564032.0,139889.0,690102.0,183458.0,695304.0,187703.0,633637.0,133767.0
"KAOLIN (NATURAL)","MADHYA PRADESH","TONNE",10670.0,975.0,8400.0,762.0,17350.0,1209.0,6106.0,484.0,6950.0,426.0
"KAOLIN (NATURAL)","ORISSA","TONNE",2166.0,396.0,2031.0,626.0,3170.0,1048.0,0.0,0.0,0.0,0.0
"KAOLIN (NATURAL)","RAJASTHAN","TONNE",238196.0,49050.0,202189.0,36027.0,436773.0,83958.0,559927.0,169143.0,463310.0,109239.0
"KAOLIN (NATURAL)","WEST BENGAL","TONNE",67366.0,27117.0,84818.0,33971.0,94143.0,37153.0,84638.0,33719.0,81206.0,31780.0
"KAOLIN (NATURAL) ","INDIA","TONNE",1351303.0,291743.0,1987387.0,410952.0,2718377.0,524683.0,2651448.0,598095.0,2667219.0,520244.0
"KAOLIN (PROCESSED)","GUJARAT","TONNE",31808.0,40471.0,31369.0,43217.0,32440.0,42479.0,29259.0,33782.0,25901.0,31905.0
