-----
{
 "description": "The table refers to District wise Construction of Shallow Tubewells over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.1.csv", 
 "title": "Download CSV for Districtwise Construction of Shallow Tubewells over the years", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.1.csv"
}
-----
"State","District","Upto 1993-94","During 1994-95","During 1995-96","During 1996-97","During 1997-98","During 1998-99","During 1999-00","During 2000-01","Total (1994-01)"
"UTTAR PRADESH","MIRZAPUR",4821,563,465,318,271,264,156,154,7012
"UTTAR PRADESH","MORADABAD",29801,18679,14073,13240,10688,8586,4184,2171,101422
"UTTAR PRADESH","MUZZAFARNAGAR",51329,13041,8521,6707,4208,3125,2129,2648,91708
"UTTAR PRADESH","PILIBHIT",34886,12527,9033,6894,4270,3116,1990,1204,73920
"UTTAR PRADESH","PRATAPGARH",46131,10714,9098,7870,6034,4670,3191,3039,90747
"UTTAR PRADESH","RAEBARELI",35300,7941,7098,5659,4068,3452,2317,2890,68725
"UTTAR PRADESH","RAMPUR",21444,13134,9826,9180,7496,6005,2872,1462,71419
"UTTAR PRADESH","SAHARANPUR",41621,11668,8389,7177,4099,3572,2020,1564,80110
"UTTAR PRADESH","SANT KABIR NAGAR",14326,5210,5145,4098,2998,2176,1298,980,36231
"UTTAR PRADESH","SANT RAVI DAS NAGAR",5566,709,365,168,132,110,57,77,7184
"UTTAR PRADESH","SHAHJAHANPUR",38499,13343,11110,10335,7963,6257,4193,3228,94928
"UTTAR PRADESH","SHRAWASTI",14536,4523,4045,4223,3806,3358,2448,3005,39944
"UTTAR PRADESH","SIDDHARTH NAGAR",18560,6514,6155,5179,3969,3244,1899,1486,47006
"UTTAR PRADESH","SITAPUR",39621,15589,14073,13017,10790,9407,7047,7448,116992
"UTTAR PRADESH","SONBHADRA",2792,600,525,418,242,195,93,50,4915
"UTTAR PRADESH","SULTANPUR",64453,16170,10904,8356,8128,4249,3721,3944,119925
"UTTAR PRADESH","UNNAO",28287,7102,6889,6688,6079,5416,4056,4182,68699
"UTTAR PRADESH","VARANASI",10715,1234,945,455,311,233,246,337,14476
"UTTARANCHAL","CHAMPAWAT",565,12,11,12,9,9,4,6,628
"UTTARANCHAL","DEHRA DUN",94,5,12,22,17,17,8,3,178
"UTTARANCHAL","HARIDWAR",13660,3958,3047,2255,1506,802,466,337,26031
"UTTARANCHAL","NAINITAL",304,63,106,38,24,15,8,1,559
"UTTARANCHAL","UDHAM SINGH NAGAR",19012,2253,1371,1012,394,327,216,118,24703
"WEST BENGAL","BANKURA",10286,4288,3361,3425,2813,2179,1169,562,28083
"WEST BENGAL","BIRBHUM",6706,1972,1943,1776,1657,1668,1213,526,17461
"WEST BENGAL","BURDWAN",22402,6810,6084,5257,4717,3458,2110,872,51710
"WEST BENGAL","COOCHBEHAR",8404,3009,3539,4442,5135,6201,5777,4699,41206
"WEST BENGAL","DAKSHIN DINAJPUR",7578,2928,3193,3239,2924,2555,1722,956,25095
"WEST BENGAL","DARJEELING",236,139,224,186,151,187,202,158,1483
"WEST BENGAL","HAORA",418,72,116,120,170,149,60,26,1131
"WEST BENGAL","HOOGHLY",11374,2051,1914,1653,1322,1195,866,460,20835
"WEST BENGAL","JALPAIGURI",2168,838,760,955,1101,1003,1114,551,8490
"WEST BENGAL","MALDA",18525,5418,4024,3239,2327,1799,1184,739,37255
"WEST BENGAL","MIDNAPORE",23901,8592,9066,9547,9292,9267,5804,2759,78228
"WEST BENGAL","MURSHIDABAD",37395,12099,8955,8187,6884,5669,3402,1376,83967
"WEST BENGAL","NADIA",55597,12775,8472,6611,4878,3601,1870,985,94789
"WEST BENGAL","NORTH 24 PARGANAS",37590,7960,5356,4708,3253,2315,1453,567,63202
"WEST BENGAL","PURULIA",0,0,0,2,0,0,0,0,2
"WEST BENGAL","SOUTH 24 PARGANAS",3003,1067,938,1010,1122,1346,726,240,9452
"WEST BENGAL","UTTAR DINAJPUR",10962,5475,5783,5600,5009,4178,2951,1320,41278
