-----
{
 "description": "The table refers to Block wise Construction of Shallow Tubewells over the years. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.1.csv", 
 "title": "Download CSV for Blockwise Construction of Shallow Tubewells over the years", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.1.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Upto 1993-94,During 1994-95,During 1995-96,During 1996-97,During 1997-98,During 1998-99,During 1999-00,During 2000-01,Total
ANDHRA PRADESH,ADILABAD,NERADIGONDA,106,91,8,13,40,8,1,3,270
ANDHRA PRADESH,ADILABAD,NIRMAL,185,28,24,25,31,48,60,55,456
ANDHRA PRADESH,ADILABAD,REBBANA,0,0,0,0,1,5,2,2,10
ANDHRA PRADESH,ADILABAD,SARANGAPUR,411,455,337,193,86,54,44,50,1630
ANDHRA PRADESH,ADILABAD,TALAMADUGU,169,26,53,15,3,6,3,4,279
ANDHRA PRADESH,ADILABAD,TAMSI,19,53,43,25,19,27,14,5,205
ANDHRA PRADESH,ADILABAD,TANDUR,0,2,1,0,0,5,2,7,17
ANDHRA PRADESH,ADILABAD,TANUR,30,58,85,99,88,101,100,35,596
ANDHRA PRADESH,ADILABAD,UTNUR,9,11,3,3,3,8,3,3,43
ANDHRA PRADESH,ADILABAD,VEMANPALLE,31,24,14,1,22,8,2,2,104
ANDHRA PRADESH,ADILABAD,WANKDI,0,1,0,0,0,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,AGALI,185,264,111,104,27,17,6,7,721
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,49,2,6,9,32,58,86,44,286
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,249,48,26,20,2,0,0,0,345
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,155,80,27,19,22,7,11,2,323
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,127,0,2,6,2,4,6,2,149
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,328,16,16,54,36,23,13,4,490
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,395,56,44,18,13,10,3,0,539
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,352,23,29,64,67,39,13,1,588
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,217,143,65,63,39,26,7,4,564
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,0,77,65,0,0,0,0,0,142
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,759,113,112,17,5,5,27,10,1048
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,98,165,115,97,80,54,46,36,691
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,278,26,79,105,18,11,12,0,529
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,284,132,136,256,233,226,121,97,1485
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,17,11,13,42,38,63,68,57,309
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,33,0,3,2,14,17,17,10,96
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,778,92,135,9,19,72,34,5,1144
ANDHRA PRADESH,ANANTHAPUR,GOOTY,313,2,10,4,18,24,21,21,413
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,210,3,31,72,49,14,5,0,384
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,183,11,18,18,15,29,13,13,300
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,337,125,15,43,36,33,9,0,598
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,220,39,39,42,45,38,26,2,451
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,14,10,58,69,170,136,89,17,563
ANDHRA PRADESH,ANANTHAPUR,KADIRI,0,1,26,43,17,170,9,0,266
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,324,9,4,1,6,19,14,48,425
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,286,0,9,19,12,16,4,4,350
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,130,29,29,89,35,78,69,27,486
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,491,68,82,99,103,36,49,55,983
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,117,47,50,38,39,51,48,12,402
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,89,28,28,46,60,101,24,33,409
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,3,1,0,4,32,28,20,15,103
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,594,12,18,82,96,116,33,15,966
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,53,25,16,22,29,184,80,69,478
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,89,30,16,12,18,109,16,32,322
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,271,0,7,51,8,26,3,2,368
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,18,34,11,17,11,31,53,91,266
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,14,15,18,51,61,63,87,71,380
ANDHRA PRADESH,ANANTHAPUR,NARPALA,213,26,11,9,20,67,28,16,390
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,30,3,17,47,49,47,45,52,290
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,469,14,35,17,58,62,14,18,687
ANDHRA PRADESH,ANANTHAPUR,PARIGI,479,41,35,12,1,1,0,0,569
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,1220,188,24,138,39,78,40,2,1729
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,460,24,43,79,50,20,34,4,714
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,27,14,59,198,59,46,14,26,443
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,1170,0,40,18,66,41,56,113,1504
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,44,39,24,11,29,66,75,50,338
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,10,11,31,78,106,47,39,5,327
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,533,2,4,36,27,11,0,0,613
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,334,48,47,119,64,95,31,6,744
ANDHRA PRADESH,ANANTHAPUR,RODDAM,854,37,49,63,42,27,16,2,1090
ANDHRA PRADESH,ANANTHAPUR,ROLLA,220,84,60,111,37,20,4,1,537
ANDHRA PRADESH,ANANTHAPUR,SETTUR,6,0,0,0,0,32,53,10,101
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,298,26,91,75,45,105,31,22,693
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,28,10,30,79,72,125,64,23,431
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,3,11,91,116,68,67,26,0,382
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,692,92,10,62,27,30,19,53,985
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,43,36,32,23,35,79,76,81,405
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,45,0,0,27,14,30,14,3,133
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,174,0,0,0,0,0,0,1,175
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,54,38,17,24,15,20,17,13,198
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,59,13,12,37,20,5,3,10,159
ANDHRA PRADESH,ANANTHAPUR,YADIKI,462,79,44,60,16,65,32,1,759
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,648,13,10,0,125,72,134,204,1206
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,147,1,7,0,40,20,9,19,243
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,99,26,21,32,48,70,66,20,382
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,3,7,2,0,11,24,44,8,99
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,66,54,0,0,0,0,0,0,120
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,70,1,2,2,2,2,3,32,114
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,5,23,39,78,157,209,214,35,760
ANDHRA PRADESH,CHITTOOR,CHITTOOR,64,0,0,0,0,0,0,0,64
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,3,3,24,29,14,17,3,3,96
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,84,21,33,4,3,2,0,0,147
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,27,5,10,7,6,28,16,5,104
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,4,0,0,0,0,0,0,0,4
ANDHRA PRADESH,CHITTOOR,GUDIPALA,0,0,0,0,0,5,9,8,22
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,3,1,41,0,0,0,1,15,61
ANDHRA PRADESH,CHITTOOR,K V P PURAM,37,9,54,103,106,151,140,36,636
ANDHRA PRADESH,CHITTOOR,KALAKADA,59,1,1,0,15,78,90,127,371
ANDHRA PRADESH,CHITTOOR,KALIKIRI,155,14,14,22,20,81,126,21,453
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,43,7,9,7,4,16,14,1,101
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,7,282,314,336,34,2,2,2,979
ANDHRA PRADESH,CHITTOOR,KUPPAM,21,1,0,0,0,0,0,0,22
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,26,0,0,1,5,138,1,7,178
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,287,165,57,107,46,83,3,8,756
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,106,0,0,0,0,0,2,1,109
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,497,21,8,3,0,8,1,0,538
ANDHRA PRADESH,CHITTOOR,NAGARI,183,7,35,43,119,50,108,30,575
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,112,17,34,67,79,86,35,5,435
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,103,2,50,10,4,7,3,4,183
ANDHRA PRADESH,CHITTOOR,NINDRA,69,34,93,170,111,324,61,8,870
ANDHRA PRADESH,CHITTOOR,PAKALA,190,103,14,3,0,1,0,0,311
ANDHRA PRADESH,CHITTOOR,PALAMANER,30,1,3,11,37,42,56,24,204
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,30,11,23,11,17,32,21,6,151
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,72,41,23,21,10,12,18,1,198
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,3,2,5,5,7,8,26,15,71
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,63,20,19,37,21,19,24,7,210
ANDHRA PRADESH,CHITTOOR,PENUMURU,78,1,11,3,2,5,14,2,116
ANDHRA PRADESH,CHITTOOR,PICHATUR,97,10,12,12,23,37,6,0,197
ANDHRA PRADESH,CHITTOOR,PILERU,17,0,33,3,9,6,0,0,68
ANDHRA PRADESH,CHITTOOR,PULICHERLA,1,9,5,21,5,8,8,16,73
ANDHRA PRADESH,CHITTOOR,PUNGANUR,145,34,38,14,2,10,32,10,285
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,58,42,79,78,152,176,213,127,925
ANDHRA PRADESH,CHITTOOR,PUTTUR,198,26,64,51,79,80,52,20,570
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,14,0,7,1,5,8,11,30,76
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,143,11,19,20,65,91,133,73,555
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,1,0,12,0,24,15,15,0,67
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,329,28,13,8,11,67,81,15,552
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,3,3,72,27,0,0,0,0,105
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,11,0,0,1,0,1,0,0,13
ANDHRA PRADESH,CHITTOOR,SODAM,1,2,3,10,6,10,28,24,84
ANDHRA PRADESH,CHITTOOR,SOMALA,56,2,0,0,0,0,1,3,62
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,142,53,49,67,30,16,18,26,401
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,122,92,49,25,14,9,20,7,338
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,451,26,21,42,16,32,39,39,666
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,317,41,69,101,53,54,64,24,723
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,13,0,0,0,1,7,2,1,24
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,280,4,4,11,18,94,173,48,632
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,264,8,52,8,2,13,14,12,373
ANDHRA PRADESH,CHITTOOR,VAYALPAD,57,32,3,3,3,5,1,0,104
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,107,13,9,77,133,161,78,68,646
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,10,0,24,15,30,16,9,15,119
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,148,0,0,0,2,199,137,0,486
ANDHRA PRADESH,CHITTOOR,YADAMARI,2,1,0,3,2,4,11,4,27
ANDHRA PRADESH,CHITTOOR,YERPEDU,712,72,127,72,83,196,268,74,1604
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,27,8,83,41,32,62,43,95,391
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,53,0,0,0,0,0,0,0,53
ANDHRA PRADESH,CUDDAPAH,ATLUR,25,5,6,11,11,6,6,4,74
ANDHRA PRADESH,CUDDAPAH,B KODUR,0,0,1,0,0,0,0,0,1
ANDHRA PRADESH,CUDDAPAH,BADVEL,48,0,2,4,8,16,8,0,86
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,8,0,0,0,0,3,5,4,20
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,10,7,16,92,104,131,48,41,449
ANDHRA PRADESH,CUDDAPAH,CHAPAD,694,50,58,95,101,91,51,25,1165
ANDHRA PRADESH,CUDDAPAH,CHENNUR,246,0,2,6,3,8,9,6,280
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,1,5,0,0,2,8,4,3,23
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,29,0,0,0,1,0,0,0,30
ANDHRA PRADESH,CUDDAPAH,CHITVEL,29,1,3,1,14,50,91,57,246
ANDHRA PRADESH,CUDDAPAH,DUVVUR,127,5,7,21,48,23,3,2,236
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,4,0,0,2,7,12,7,8,40
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,0,0,0,1,0,8,1,0,10
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,186,19,26,5,7,76,35,23,377
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,840,79,76,186,96,68,8,7,1360
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,253,39,110,42,61,54,43,23,625
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,778,46,95,142,108,136,46,30,1381
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,12,2,3,22,13,20,12,8,92
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,229,8,29,27,10,9,3,9,324
ANDHRA PRADESH,CUDDAPAH,NANDALUR,155,14,2,2,79,6,3,1,262
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,142,30,18,16,11,4,14,13,248
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,189,42,38,159,12,3,1,0,444
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,525,133,142,278,235,153,123,32,1621
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,90,1,3,9,19,46,86,25,279
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,787,53,39,38,42,62,17,5,1043
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,116,0,2,0,1,1,0,0,120
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,206,5,4,4,27,13,2,5,266
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,59,5,6,11,20,10,5,8,124
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,21,7,2,8,2,7,14,2,63
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,203,12,26,77,163,232,345,72,1130
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,27,1,0,0,2,7,1,0,38
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,704,21,15,10,15,16,1,3,785
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,636,26,21,17,10,21,23,45,799
ANDHRA PRADESH,CUDDAPAH,THANDUR,14,2,6,4,0,1,1,1,29
ANDHRA PRADESH,CUDDAPAH,VALLUR,238,31,44,77,58,36,11,3,498
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,69,133,23,64,26,16,17,93,441
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,108,27,60,41,145,129,27,14,551
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,547,35,57,90,76,78,20,23,926
ANDHRA PRADESH,CUDDAPAH,VEMULA,75,43,34,37,13,16,5,1,224
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,3,0,0,13,0,0,10,2,28
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,142,23,16,63,11,3,8,2,268
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,26,2,2,1,0,0,0,0,31
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,535,39,72,21,15,11,13,21,727
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,715,21,15,21,3,16,3,0,794
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,76,18,7,0,4,4,0,0,109
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,469,4,6,11,10,4,5,4,513
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,987,96,188,37,21,39,20,2,1390
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHI,89,3,6,67,38,11,2,14,230
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,520,324,246,124,85,31,17,4,1351
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,136,5,0,0,0,2,0,0,143
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,80,48,52,20,4,9,0,0,213
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,0,0,0,2,0,0,0,3,5
ANDHRA PRADESH,EAST GODAVARI,I POLAVARAM,61,1,0,0,0,0,0,0,62
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,47,6,20,5,19,2,0,40,139
ANDHRA PRADESH,EAST GODAVARI,KADIAM,1000,373,75,85,155,75,21,14,1798
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,50,0,0,0,0,0,0,0,50
ANDHRA PRADESH,EAST GODAVARI,KAKINADA (RURAL),56,0,0,0,0,0,0,0,56
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,716,2,12,7,1,1,6,1,746
ANDHRA PRADESH,EAST GODAVARI,KARAPA,20,0,0,0,0,4,0,0,24
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,605,24,28,13,7,2,1,3,683
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,246,7,99,19,4,6,2,3,386
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,232,9,5,3,0,0,0,2,251
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLI,65,0,0,0,0,0,0,0,65
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,863,158,143,135,165,71,21,7,1563
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,478,105,443,171,80,427,264,68,2036
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,395,12,16,8,8,8,0,0,447
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,645,28,22,3,6,0,0,0,704
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,187,3,5,268,1,1,1,1,467
ANDHRA PRADESH,EAST GODAVARI,P GANNAVARAM,380,221,58,53,44,24,6,2,788
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,379,13,3,7,0,0,0,0,402
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,257,3,0,0,0,0,0,0,260
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,281,18,13,8,11,5,6,1,343
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,527,1,11,2,2,0,0,2,545
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,276,11,11,12,6,3,2,2,323
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),183,3,2,0,0,1,3,0,192
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,44,0,2,16,12,8,0,0,82
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,573,5,2,9,4,8,18,5,624
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,19,8,3,0,0,7,1,0,38
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,1023,23,50,64,35,22,2,0,1219
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,373,0,0,0,0,0,0,0,373
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,141,0,0,0,0,1,22,4,168
ANDHRA PRADESH,EAST GODAVARI,SAKHINETIPALLE,0,0,5,58,33,12,2,0,110
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,39,0,10,3,3,4,2,0,61
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,240,18,3,1,4,3,18,10,297
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,579,11,57,20,13,12,7,8,707
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,26,1,0,0,0,0,0,0,27
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,250,5,18,14,27,22,27,18,381
ANDHRA PRADESH,EAST GODAVARI,TUNI,390,51,10,18,10,9,11,4,503
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,12,8,7,6,4,5,0,0,42
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,859,71,25,38,12,30,19,1,1055
ANDHRA PRADESH,GUNTUR,ACHAMPETA,11,0,1,3,19,34,7,21,96
ANDHRA PRADESH,GUNTUR,AMARAVATHI,246,9,3,5,4,5,1,7,280
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,188,32,61,20,18,5,3,0,327
ANDHRA PRADESH,GUNTUR,BAPATLA,12,9,1,0,1,4,0,0,27
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,55,27,21,14,4,1,0,0,122
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,998,18,11,15,4,0,1,1,1048
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,777,48,38,289,467,1,0,1,1621
ANDHRA PRADESH,GUNTUR,CHEBROLE,21,0,0,0,0,0,0,7,28
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,53,0,0,0,0,0,0,0,53
ANDHRA PRADESH,GUNTUR,DACHEPALLE,0,3,18,38,12,8,14,0,93
ANDHRA PRADESH,GUNTUR,DUGGIRALA,1373,161,35,30,14,24,20,23,1680
ANDHRA PRADESH,GUNTUR,EDLAPADU,30,2,0,5,0,0,0,0,37
ANDHRA PRADESH,GUNTUR,GUNTUR,6,4,1,9,2,3,4,7,36
ANDHRA PRADESH,GUNTUR,GURAZALA,38,33,0,0,0,0,0,0,71
ANDHRA PRADESH,GUNTUR,IPURU,25,6,21,1,0,0,0,0,53
ANDHRA PRADESH,GUNTUR,KAREMPUDI,24,13,24,33,42,84,68,10,298
ANDHRA PRADESH,GUNTUR,KARLAPALEM,31,9,0,0,0,0,0,0,40
ANDHRA PRADESH,GUNTUR,KOLLIPARA,1102,119,94,70,83,104,85,80,1737
ANDHRA PRADESH,GUNTUR,KOLLUR,2597,11,19,14,0,0,1,0,2642
ANDHRA PRADESH,GUNTUR,KROSURU,4,0,0,1,3,6,2,4,20
ANDHRA PRADESH,GUNTUR,MACHAVARAM,1,9,28,40,37,32,45,2,194
ANDHRA PRADESH,GUNTUR,MACHERLA,14,9,7,5,11,5,4,2,57
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,596,238,19,8,11,6,11,10,899
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,1,0,0,0,1,0,1,0,3
ANDHRA PRADESH,GUNTUR,NADENDLA,1,0,3,0,0,0,0,0,4
ANDHRA PRADESH,GUNTUR,NAGARAM,35,0,1,0,0,0,0,0,36
ANDHRA PRADESH,GUNTUR,NAKARIKALLU,11,0,5,12,25,13,16,0,82
