-----
{
 "description": "The table refers to District wise Dugwells in the command of Major/Medium Projects and Supplimentary Irrigation. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.14.csv", 
 "title": "Download CSV for Districtwise Dugwells in the command of Major/Medium Projects and Supplimentary Irrigation", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.14.csv"
}
-----
"State","District","Location of Dugwell (Nos) - Inside Command","Location of Dugwell (Nos) - Outside Command","Total","Supplementary Irrigation (Ha) - Kharif","Supplementary Irrigation (Ha) - Rabi","Supplementary Irrigation (Ha) - Perennial","Supplementary Irrigation (Ha) - Others","Total.1"
"ANDHRA PRADESH","RANGAREDDY",16,30024,30040,9,2,0,0,12
"ANDHRA PRADESH","SRIKAKULAM",4138,32251,36389,162,260,1,0,423
"ANDHRA PRADESH","VISAKHAPATNAM",372,25983,26355,260,31,124,0,415
"ANDHRA PRADESH","VIZIANAGARAM",276,35520,35796,64,81,0,0,146
"ANDHRA PRADESH","WARANGAL",1931,158775,160706,1840,450,215,2,2506
"ANDHRA PRADESH","WEST GODAVARI",211,10203,10414,285,317,105,0,707
"ARUNACHAL PRADESH","CHANGLANG",0,1,1,0,0,0,0,0
"ARUNACHAL PRADESH","EAST SIANG",0,1,1,0,0,0,0,0
"ARUNACHAL PRADESH","PAPUMPARE",0,2,2,0,0,0,0,0
"ASSAM","BARPETA",2,21,23,0,0,0,0,0
"ASSAM","CACHAR",0,1,1,0,0,0,0,0
"ASSAM","DHUBRI",0,14,14,0,0,0,0,0
"ASSAM","GOALPARA",2,18,20,0,0,0,0,0
"ASSAM","JORHAT",0,10,10,0,0,0,0,0
"ASSAM","KOKRAJHAR",3,1,4,3,2,0,0,5
"ASSAM","LAKHIMPUR",0,58,58,0,0,0,0,0
"ASSAM","MORIGAON",1,17,18,0,0,0,0,0
"ASSAM","NAGOAN",1,1,2,0,1,0,0,1
"ASSAM","SIBSAGAR",0,3,3,0,0,0,0,0
"ASSAM","SONITPUR",0,1,1,0,0,0,0,0
"BIHAR","AURANGABAD",2808,3395,6203,1774,835,72,132,2813
"BIHAR","BANKA",1088,6759,7847,149,142,11,0,302
"BIHAR","BHAGALPUR",122,4766,4888,34,33,0,0,67
"BIHAR","BHOJPUR",1542,1055,2597,357,247,19,7,630
"BIHAR","BUXAR",436,353,789,85,75,10,13,182
"BIHAR","EAST CHAMPARAN",0,22,22,0,0,0,0,0
"BIHAR","GAYA",713,17169,17882,728,540,73,30,1371
"BIHAR","GOPAALGANJ",831,3749,4580,0,0,0,0,0
"BIHAR","JAMUI",96,8599,8695,32,45,0,0,77
"BIHAR","JEHANABAD",565,1972,2537,85,28,1,5,119
"BIHAR","KAIMUR (BHABUA)",2673,5923,8596,1945,1477,212,108,3743
"BIHAR","KATIHAR",0,15,15,0,0,0,0,0
"BIHAR","LAKHISARAI",166,969,1135,48,6,1,0,55
"BIHAR","MADHEPURA",0,4,4,0,0,0,0,0
"BIHAR","MADHUBANI",30,91,121,46,35,0,0,81
"BIHAR","MUNGER",57,3403,3460,0,0,0,0,0
"BIHAR","MUZAFFARPUR",10,98,108,0,0,0,0,0
"BIHAR","NALANDA",3,20727,20730,6,7,0,2,15
"BIHAR","NAWADA",373,5090,5463,4,5,0,0,8
"BIHAR","PATNA",422,4549,4971,62,80,0,25,167
"BIHAR","ROHTAS(SASARAM)",2485,4154,6639,846,702,12,5,1565
"BIHAR","SARAN",170,11811,11981,1,1,0,0,2
"BIHAR","SHEKHPURA",0,619,619,0,0,0,0,0
"BIHAR","SIWAN",8559,5713,14272,2,5,0,0,7
"BIHAR","VAISHALI",186,837,1023,5,0,63,0,68
"CHHATTISGARH","BASTER",1141,2822,3963,0,12,0,0,12
"CHHATTISGARH","BILASPUR",765,9513,10278,215,93,7,0,315
"CHHATTISGARH","DANTEWADA",212,461,673,0,0,0,0,0
"CHHATTISGARH","DHAMTARI",1490,4329,5819,1021,20,0,0,1041
"CHHATTISGARH","DURG",1752,6864,8616,402,38,0,3,443
"CHHATTISGARH","JANJGIR-CHAMPA",518,12730,13248,13,29,0,0,42
"CHHATTISGARH","JASHPUR",111,26263,26374,2,9,0,0,10
"CHHATTISGARH","KANKER",2471,5025,7496,6,0,0,0,6
"CHHATTISGARH","KORBA",118,6872,6990,3,85,0,0,89
"CHHATTISGARH","KORIA",433,18093,18526,0,0,0,0,1
"CHHATTISGARH","KVARDHA",879,796,1675,47,21,7,4,78
"CHHATTISGARH","MAHASAMUND",1098,4142,5240,101,2,0,0,104
"CHHATTISGARH","RAIGARH",161,16808,16969,14,1,0,0,15
"CHHATTISGARH","RAIPUR",2374,13478,15852,479,76,0,1,555
"CHHATTISGARH","RAJNANDGAON",1752,5706,7458,90,3,0,0,93
"CHHATTISGARH","SURGUJA",239,55567,55806,0,16,0,0,16
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",22,550,572,0,0,0,0,0
"GOA","NORTH GOA",303,3445,3748,1,1,74,11,87
"GOA","SOUTH GOA",83,1285,1368,0,0,4,0,5
"GUJARAT","AHMEDABAD",268,13146,13414,2,0,0,0,2
"GUJARAT","AMRELI",2861,77998,80859,0,0,0,0,0
"GUJARAT","ANAND",576,1425,2001,1269,1,7,2,1278
"GUJARAT","BANASKANTHA",43,50898,50941,21,3,0,0,24
"GUJARAT","BHARUCH",35,4928,4963,0,25,2,0,28
"GUJARAT","BHAVNAGAR",379,117656,118035,0,126,7,1,134
"GUJARAT","DAHOD",1032,32988,34020,0,4,0,0,4
"GUJARAT","DANG",2,1533,1535,0,0,0,0,0
"GUJARAT","GANDHINAGAR",0,35,35,0,0,0,0,0
"GUJARAT","JAMNAGAR",0,83271,83271,0,0,0,0,0
"GUJARAT","JUNAGADH",2129,131983,134112,17,2,0,6,25
"GUJARAT","KACHCHH",1593,28933,30526,1894,673,199,241,3008
"GUJARAT","KHEDA",2884,12918,15802,0,0,0,0,0
"GUJARAT","MEHSANA",60,7763,7823,0,0,0,0,0
"GUJARAT","NARMADA",26,2746,2772,0,0,0,0,0
"GUJARAT","NAVSARI",24,12781,12805,1,3,14,0,18
"GUJARAT","PANCHMAHAL",2924,41513,44437,10,0,0,2,12
"GUJARAT","PATAN",0,92,92,0,0,0,0,0
"GUJARAT","PORBANDAR",65,22242,22307,0,0,0,0,0
"GUJARAT","RAJKOT",1326,102358,103684,73,62,15,5,156
"GUJARAT","SABARKANTHA",1766,82721,84487,176,526,5,0,708
"GUJARAT","SURAT",12486,8664,21150,435,0,8,0,443
"GUJARAT","SURENDRANAGAR",198,36917,37115,68,7,0,0,74
"GUJARAT","VADODARA",330,19775,20105,24,11,25,0,60
"GUJARAT","VALSAD",87,9222,9309,2,0,0,0,2
"HARYANA","AMBALA",140,207,347,0,0,0,0,0
"HARYANA","BHIWANI",593,2462,3055,441,781,33,0,1255
"HARYANA","FATEHABAD",35,32,67,109,103,0,0,212
"HARYANA","GURGAON",3195,2591,5786,35,120,0,0,155
"HARYANA","HISSAR",105,2,107,186,189,0,0,375
"HARYANA","JHAJJAR",380,1374,1754,120,404,0,0,524
"HARYANA","KAITHAL",256,505,761,511,518,0,0,1029
"HARYANA","KARNAL",135,1454,1589,134,149,0,0,283
"HARYANA","MAHENDRAGARH",6,609,615,0,0,0,0,0
"HARYANA","PANCHKULA",31,61,92,0,0,0,0,0
"HARYANA","PANIPAT",12,707,719,250,248,0,0,498
"HARYANA","REWARI",401,266,667,268,1177,0,0,1445
"HARYANA","ROHTAK",210,2,212,454,453,0,0,907
"HARYANA","SIRSA",603,162,765,1469,1499,46,0,3013
"HARYANA","SONEPAT",1335,326,1661,2327,2307,0,0,4634
"HARYANA","YAMUNANAGAR",3,619,622,0,0,0,0,0
"HIMACHAL PRADESH","Bilaspur",0,35,35,0,0,0,0,0
"HIMACHAL PRADESH","Hamirpur",0,224,224,0,0,0,0,0
"HIMACHAL PRADESH","Kangra",0,256,256,3,0,0,0,3
"HIMACHAL PRADESH","Kullu",0,2,2,0,0,0,0,0
"HIMACHAL PRADESH","Mandi",0,10,10,0,0,0,0,0
"HIMACHAL PRADESH","Sirmaur",69,331,400,61,60,4,0,125
"HIMACHAL PRADESH","Solan",0,742,742,0,0,0,0,0
"HIMACHAL PRADESH","Una",1,226,227,22,23,0,0,45
"JAMMU & KASHMIR","ANANTNAG",0,2,2,0,0,0,0,0
"JAMMU & KASHMIR","BADGAM",0,1,1,0,0,0,0,0
"JAMMU & KASHMIR","BARAMULLA",0,29,29,0,0,0,0,0
"JAMMU & KASHMIR","JAMMU",268,1096,1364,408,401,4,4,817
"JAMMU & KASHMIR","KATHUA",240,847,1087,292,294,0,0,586
"JAMMU & KASHMIR","RAJOURI",1,0,1,6,5,0,0,11
"JAMMU & KASHMIR","SRINAGAR",1,20,21,1,1,0,0,2
"JAMMU & KASHMIR","UDHAMPUR",0,13,13,0,0,0,0,0
"JHARKHAND","BOKARO",26,13363,13389,1,0,0,0,1
"JHARKHAND","CHATRA",21,15524,15545,2,18,3,1,24
"JHARKHAND","DEOGHAR",20,13051,13071,0,0,0,0,0
"JHARKHAND","DHANBAD",16,6936,6952,0,0,0,0,0
"JHARKHAND","DUMKA",270,26741,27011,4,28,0,0,32
"JHARKHAND","EAST SINGHBHUM",8,1746,1754,0,1,0,0,1
"JHARKHAND","GARHWA",272,19631,19903,34,60,1,0,94
"JHARKHAND","GIRIDIH",325,23969,24294,40,44,0,2,86
"JHARKHAND","GODDA",604,17064,17668,96,364,2,23,485
"JHARKHAND","GUMLA",238,23240,23478,26,16,0,0,42
"JHARKHAND","HAZARIBAGH",40,39705,39745,1,0,0,0,2
"JHARKHAND","JAMTARA",21,8417,8438,4,1,0,0,5
"JHARKHAND","KODERMA",18,3848,3866,2,1,0,0,3
"JHARKHAND","LATEHAR",29,12379,12408,1,1,0,0,2
"JHARKHAND","LOHARDAGA",178,13378,13556,25,13,1,0,40
"JHARKHAND","PAKUR",6,484,490,0,1,0,0,1
"JHARKHAND","PALAMU",589,19200,19789,278,208,98,51,635
"JHARKHAND","RANCHI",732,38661,39393,20,45,49,14,128
"JHARKHAND","SAHEBGANJ",8,1676,1684,0,1,0,0,1
"JHARKHAND","SARAIKELA",90,2558,2648,1,0,0,0,1
"JHARKHAND","SIMDEGA",290,16112,16402,3,18,0,0,21
"JHARKHAND","WEST SINGHBHUM",67,2004,2071,12,4,0,0,16
"KARNATAKA","Bagalkote",4356,7275,11631,5384,1584,459,36,7463
"KARNATAKA","Bangalore",56,672,728,54,44,32,18,148
"KARNATAKA","Bangalore Rural",20,9297,9317,9,1,0,0,10
"KARNATAKA","Belgaum",12216,53593,65809,9567,3709,935,230,14440
"KARNATAKA","Bellary",209,2651,2860,568,0,132,263,963
"KARNATAKA","Bidar",361,15582,15943,281,277,121,46,725
"KARNATAKA","Bijapur",902,42209,43111,49,29,731,0,810
"KARNATAKA","Chamaraja Nagara",36,7292,7328,27,20,4,0,52
"KARNATAKA","Chikmagalur",82,1218,1300,0,0,110,0,111
"KARNATAKA","Chitradurga",208,2106,2314,104,10,129,105,348
"KARNATAKA","Dakshina Kannada",16,36909,36925,1,12,9,1,23
"KARNATAKA","Davanagere",62,725,787,59,1,47,52,159
"KARNATAKA","Dharwar",124,339,463,0,0,0,0,0
"KARNATAKA","Gadag",161,2040,2201,0,0,111,0,111
"KARNATAKA","Gulbarga",249,18819,19068,207,101,6,16,330
"KARNATAKA","Hassan",275,1484,1759,148,10,111,6,275
"KARNATAKA","Haveri",3,260,263,0,0,1,0,1
"KARNATAKA","Kodagu",0,122,122,0,0,0,0,0
"KARNATAKA","Kolar",44,11152,11196,16,3,2,3,24
"KARNATAKA","Koppal",0,2128,2128,0,0,0,0,0
"KARNATAKA","Mandya",4155,4346,8501,2135,620,1587,447,4789
"KARNATAKA","Mysore",319,4269,4588,341,31,69,61,504
"KARNATAKA","Raichur",159,9813,9972,278,146,17,74,515
"KARNATAKA","Shimoga",531,6976,7507,219,0,119,166,504
"KARNATAKA","Tumkur",441,14323,14764,50,0,15,3,68
"KARNATAKA","Udupi",56,28556,28612,3,2,0,0,6
"KARNATAKA","Uttara Kannada",18,18768,18786,0,0,5,4,9
"KERALA","ALAPPUZHA",301,4410,4711,28,24,31,17,100
"KERALA","ERANAKULAM",712,16890,17602,39,37,52,54,182
"KERALA","IDDUKKI",1,5770,5771,3,0,0,0,3
"KERALA","KANNUR",3,15215,15218,1,0,0,0,1
"KERALA","KASARAGODE",0,6811,6811,0,0,0,0,0
"KERALA","KOLLAM",48,6055,6103,4,2,3,13,21
"KERALA","KOTTAYAM",335,10476,10811,0,0,0,0,0
"KERALA","KOZHIKODE",5,12627,12632,0,1,1,0,2
"KERALA","MALAPPURAM",24,12402,12426,1,0,0,0,1
"KERALA","PALAKKAD",448,8469,8917,109,149,87,6,350
"KERALA","PATHANAMTHITTA",392,6242,6634,1,1,77,20,98
"KERALA","THIRUVANANTHAPURAM",129,13029,13158,3,1,6,8,18
"KERALA","THRISSUR",860,43615,44475,39,68,38,81,227
"KERALA","WAYANAD",0,687,687,0,0,0,0,0
"MADHYA PRADESH","BALAGHAT",3760,9021,12781,1223,331,0,3,1557
"MADHYA PRADESH","BARWANI",90,18365,18455,3,7,0,0,10
"MADHYA PRADESH","BETUL",5292,48714,54006,177,2645,34,0,2856
"MADHYA PRADESH","BHIND",1745,13437,15182,252,5537,13,2,5804
"MADHYA PRADESH","BHOPAL",0,10211,10211,0,382,1,17,400
"MADHYA PRADESH","CHHATARPUR",2833,50887,53720,0,108873,0,6,108879
"MADHYA PRADESH","CHHINDWARA",3809,74167,77976,255,3683,3,0,3941
"MADHYA PRADESH","DAMOH",2440,10829,13269,1,731,0,0,732
"MADHYA PRADESH","DATIA",1264,18728,19992,24,222,0,0,246
"MADHYA PRADESH","DEWAS",1362,32132,33494,8,141,0,0,149
"MADHYA PRADESH","DHAR",1422,35982,37404,1,56,0,0,57
"MADHYA PRADESH","DINDORI",9,447,456,1,1,0,0,2
"MADHYA PRADESH","GUNA",4835,22506,27341,4,4273,1,0,4279
"MADHYA PRADESH","GWALIOR",2823,15088,17911,317,2655,0,34,3006
"MADHYA PRADESH","HARDA",1455,11612,13067,1,2,0,0,3
"MADHYA PRADESH","HOSHANGABAD",2064,19259,21323,0,97,0,0,97
"MADHYA PRADESH","INDORE",233,12474,12707,10,435,0,0,445
"MADHYA PRADESH","JABALPUR",42,9754,9796,2,5,0,0,7
"MADHYA PRADESH","JHABUA",585,24446,25031,88,99,0,0,187
"MADHYA PRADESH","KATNI",1796,10198,11994,0,339,0,0,339
"MADHYA PRADESH","KHANDWA",2645,60293,62938,1004,687,72,2,1766
"MADHYA PRADESH","KHARGONE",832,56598,57430,1085,205,2,0,1291
"MADHYA PRADESH","MANDLA",337,2351,2688,2,12,18,0,33
"MADHYA PRADESH","MANDSAUR",451,97458,97909,2,49,0,4,54
"MADHYA PRADESH","MORENA",1970,12838,14808,2,3891,0,5,3898
"MADHYA PRADESH","NARSINGHPUR",252,11649,11901,0,1725,0,0,1725
"MADHYA PRADESH","NEEMUCH",1166,46370,47536,0,23,0,0,23
"MADHYA PRADESH","PANNA",1124,5648,6772,1,617,0,0,618
"MADHYA PRADESH","RAISEN",930,10054,10984,0,10,0,0,10
"MADHYA PRADESH","RAJGARH",2123,68158,70281,1,1083,13,0,1097
"MADHYA PRADESH","RATLAM",3719,41004,44723,80,1372,1,4,1457
"MADHYA PRADESH","REWA",405,11362,11767,0,204,1,9,214
"MADHYA PRADESH","SAGAR",507,44156,44663,0,675,1,0,676
"MADHYA PRADESH","SATNA",25,19109,19134,0,96,0,0,96
"MADHYA PRADESH","SEHORE",3245,25060,28305,1,6765,24,0,6790
"MADHYA PRADESH","SEONI",1424,20933,22357,118,928,0,1,1046
"MADHYA PRADESH","SHAHDOL",372,3807,4179,0,372,0,0,372
"MADHYA PRADESH","SHAJAPUR",5704,48207,53911,0,1893,151,0,2044
"MADHYA PRADESH","SHEOPUR",292,3884,4176,0,2,0,0,2
"MADHYA PRADESH","SHIVPURI",9268,34141,43409,0,2673,0,3,2676
"MADHYA PRADESH","SIDHI",319,11953,12272,2,28,0,31,61
"MADHYA PRADESH","TIKAMGARH",6003,53088,59091,537,1707,0,4,2248
"MADHYA PRADESH","UJJAIN",574,40297,40871,0,540,0,0,540
"MADHYA PRADESH","UMARIA",131,2251,2382,0,129,0,0,129
"MADHYA PRADESH","VIDISHA",619,15484,16103,0,2,0,0,2
"MAHARASHTRA","AHMEDNAGAR",22870,129654,152524,6492,8976,4993,381,20842
"MAHARASHTRA","AKOLA",3053,17313,20366,91,194,10,0,295
"MAHARASHTRA","AMRAVATI",7356,65805,73161,17,19,9,27,72
"MAHARASHTRA","AURANGABAD",8295,79996,88291,8494,1331,5,4,9834
"MAHARASHTRA","BEED",3920,26994,30914,31,5,0,22,57
"MAHARASHTRA","BHANDARA",1852,14125,15977,996,50,0,42,1088
"MAHARASHTRA","BULDANA",2569,61828,64397,91,60,10,11,172
"MAHARASHTRA","CHANDRAPUR",251,13164,13415,0,0,0,0,0
"MAHARASHTRA","DHULE",2429,48377,50806,1,0,0,0,1
"MAHARASHTRA","GADCHIROLI",309,10856,11165,2,0,0,0,2
"MAHARASHTRA","GONDIYA",576,8289,8865,255,12,10,0,278
"MAHARASHTRA","HINGOLI",2140,18515,20655,0,559,0,0,559
"MAHARASHTRA","JALGAON",3286,106182,109468,4,4,2,7,16
"MAHARASHTRA","JALNA",3156,47205,50361,1996,134,2,3,2135
"MAHARASHTRA","KOLHAPUR",22317,18862,41179,2078,1683,3055,261,7078
"MAHARASHTRA","LATUR",1361,26583,27944,15,108,26,5,154
"MAHARASHTRA","NAGPUR",4471,59107,63578,8,9,8,7,32
"MAHARASHTRA","NANDED",8060,20183,28243,0,12,0,1,13
"MAHARASHTRA","NANDURBAR",760,16594,17354,919,768,3,234,1924
"MAHARASHTRA","NASHIK",13624,154580,168204,35,7,10,9,61
"MAHARASHTRA","OSMANABAD",2537,40165,42702,2,2,1,0,7
"MAHARASHTRA","PARBHANI",7013,20532,27545,1,0,0,0,1
"MAHARASHTRA","PUNE",45644,71026,116670,6297,24763,12914,2105,46078
"MAHARASHTRA","RAIGHAR",61,4561,4622,1,3,8,0,12
"MAHARASHTRA","RATNAGIRI",14,2743,2757,0,0,2,0,2
"MAHARASHTRA","SANGLI",6833,82758,89591,2,2,3,0,6
"MAHARASHTRA","SATARA",64,75419,75483,197,201,5,0,403
"MAHARASHTRA","SINDHUDURGA",58,4816,4874,1,5,0,1,7
"MAHARASHTRA","SOLAPUR",36248,95113,131361,215,2124,317,12,2669
"MAHARASHTRA","THANE",561,5587,6148,0,0,0,0,0
"MAHARASHTRA","WARDHA",849,43129,43978,7,15,6,2,30
"MAHARASHTRA","WASHIM",1116,18327,19443,2,206,0,1,209
"MAHARASHTRA","YAVATMAL",2906,33611,36517,89,4,4,9,106
"MANIPUR","IMPHAL WEST",0,3,3,0,0,0,0,0
"MEGHALAYA","JAINTIA HILLS",0,11,11,0,0,0,0,0
"NAGALAND","DIMAPUR",0,273,273,0,0,0,0,0
"NAGALAND","MOKOKCHUNG",0,10,10,0,0,0,0,0
"ORISSA","ANGUL",2,26303,26305,0,0,0,0,0
"ORISSA","BALASORE",0,3015,3015,0,0,0,0,0
"ORISSA","BARGARH",74,18987,19061,10,5,0,0,15
"ORISSA","BHADRAK",15,325,340,8,1,0,0,8
"ORISSA","BOLANGIR",53,57729,57782,9,1,0,0,10
"ORISSA","BOUDH",64,10476,10540,2,1,0,0,3
"ORISSA","CUTTACK",17,14397,14414,2,1,0,0,3
"ORISSA","DEOGARH",122,7422,7544,14,6,0,0,19
"ORISSA","DHENKANAL",0,11293,11293,0,0,0,0,0
"ORISSA","GAJAPATI",0,4624,4624,0,0,0,0,0
"ORISSA","GANJAM",1020,31683,32703,252,32,1,0,285
"ORISSA","JAGATSINGHPUR",1,1126,1127,0,0,0,0,0
"ORISSA","JAJAPUR",6,2869,2875,0,0,0,0,0
"ORISSA","JHARSUGUDA",0,7060,7060,0,0,0,0,0
"ORISSA","KALAHANDI",3,17877,17880,0,0,0,0,0
"ORISSA","KANDHAMAL",19,8332,8351,0,0,0,0,0
"ORISSA","KENDRAPARA",1,326,327,0,0,0,0,0
"ORISSA","KEONJHAR",175,20726,20901,12,2,0,0,15
"ORISSA","KHURDA",0,14976,14976,0,0,0,0,0
"ORISSA","KORAPUT",17,5560,5577,1,1,0,0,2
"ORISSA","MALKANAGIRI",20,2069,2089,2,1,0,1,4
"ORISSA","MAYURBHANJA",13,13628,13641,9,1,1,0,10
"ORISSA","NAWARANGAPUR",19,11305,11324,1,0,0,0,2
"ORISSA","NAYAGARH",213,15304,15517,44,5,0,0,49
"ORISSA","NUAPADA",57,13570,13627,8,6,0,0,14
"ORISSA","PURI",1,1091,1092,0,0,0,0,0
"ORISSA","RAYAGADA",60,2061,2121,9,0,0,0,9
"ORISSA","SAMBALPUR",81,16491,16572,22,3,0,0,25
"ORISSA","SONEPUR",439,11653,12092,54,42,0,0,96
"ORISSA","SUNDARGARH",33,23576,23609,4,2,0,0,6
"PONDICHERRY","KARAIKAL",0,1,1,0,0,0,0,0
"PONDICHERRY","PONDICHERRY",0,77,77,0,0,0,0,0
"PUNJAB","BATHINDA",96,0,96,114,126,0,0,240
"PUNJAB","FATEHGARH SAHIB",0,69,69,0,0,0,0,0
"PUNJAB","GURDASPUR",16,99,115,11,11,0,0,21
"PUNJAB","HOSHIARPUR",93,429,522,46,46,1,0,93
"PUNJAB","LUDHIANA",0,92,92,0,0,0,0,0
"PUNJAB","MOGA",0,10,10,0,0,0,0,0
"PUNJAB","ROPAR",47,1702,1749,10,10,0,0,19
"PUNJAB","SANGRUR",4,274,278,1,1,0,4,6
"RAJASTHAN","AJMER",356,72169,72525,30,2,0,3,35
"RAJASTHAN","ALWAR",174,74460,74634,2110,167,0,21,2298
"RAJASTHAN","BANSWARA",2196,8451,10647,0,299,0,0,300
"RAJASTHAN","BARAN",54,21987,22041,0,30,0,0,30
"RAJASTHAN","BARMER",62,21084,21146,0,2,6,25,32
"RAJASTHAN","BHARATPUR",63,8144,8207,0,0,0,0,0
"RAJASTHAN","BHILWARA",3169,105317,108486,851,903,0,5,1760
"RAJASTHAN","BIKANER",4,2349,2353,0,0,0,0,0
"RAJASTHAN","BUNDI",2973,20483,23456,89,940,21,2,1052
"RAJASTHAN","CHITTORGARH",3149,88746,91895,8,473,16,7,503
"RAJASTHAN","CHURU",12,5525,5537,2,129,0,0,131
"RAJASTHAN","DAUSA",28,41472,41500,1,0,0,5,6
"RAJASTHAN","DHOLPUR",1400,2631,4031,0,43,0,0,43
"RAJASTHAN","DUNGARPUR",1193,16851,18044,0,35,0,0,35
"RAJASTHAN","GANGANAGAR",112,53,165,0,0,0,0,0
"RAJASTHAN","HANUMANGARH",188,149,337,0,0,0,0,0
"RAJASTHAN","JAIPUR",168,121107,121275,141,18,0,29,187
"RAJASTHAN","JAISALMER",0,206,206,0,0,0,0,0
"RAJASTHAN","JALORE",489,51979,52468,16,23,0,3,42
"RAJASTHAN","JHALAWAR",282,63463,63745,0,5,0,3,8
"RAJASTHAN","JHUNJHUNU",41,36831,36872,0,0,0,19,19
"RAJASTHAN","JODHPUR",8,7385,7393,0,0,0,0,0
"RAJASTHAN","KAROLI",821,29598,30419,466,10,0,4,480
"RAJASTHAN","KOTA",2951,11939,14890,0,0,0,0,0
"RAJASTHAN","NAGAUR",79,31607,31686,14,7,0,2,23
"RAJASTHAN","PALI",1269,43962,45231,20,16,3,4,43
"RAJASTHAN","RAJSAMAND",3312,44566,47878,6,11,0,0,16
"RAJASTHAN","SAWAI MADHOPUR",1944,30619,32563,3,456,0,6,465
"RAJASTHAN","SIKAR",55,52797,52852,23,93,0,3,118
"RAJASTHAN","SIROHI",858,17304,18162,6,64,12,3,85
"RAJASTHAN","TONK",2027,46459,48486,4,175,0,0,179
"RAJASTHAN","UDAIPUR",3430,58938,62368,0,0,0,0,0
"TAMIL NADU","COIMBATORE",9839,97602,107441,3607,1354,6850,306,12116
"TAMIL NADU","CUDDALORE",12,11920,11932,10,0,0,2,12
"TAMIL NADU","DHARMAPURI",1090,124304,125394,687,58,22,5,772
"TAMIL NADU","DINDIGUL",434,96893,97327,103,244,83,12,442
"TAMIL NADU","ERODE",12536,111661,124197,7185,1711,612,651,10159
"TAMIL NADU","KANCHEEPURAM",1816,46287,48103,795,678,80,13,1566
"TAMIL NADU","KANYAKUMARI",117,3083,3200,0,0,75,0,75
"TAMIL NADU","KARUR",82,47889,47971,60,3,3,10,76
"TAMIL NADU","MADURAI",608,53066,53674,120,228,296,12,657
"TAMIL NADU","NAGAPATTINAM",16,5660,5676,0,19,1,0,21
"TAMIL NADU","NAMAKKAL",604,60260,60864,492,4,8,0,503
"TAMIL NADU","NILGIRIS",31,949,980,0,2,80,0,83
"TAMIL NADU","PERAMBALUR",87,47438,47525,40,8,1,1,50
"TAMIL NADU","PUDUKKOTTAI",52,43320,43372,19,4,1,0,24
"TAMIL NADU","RAMANATHAPURAM",0,7907,7907,0,0,0,0,0
"TAMIL NADU","SALEM",92,101634,101726,30,2,6,0,38
"TAMIL NADU","SIVAGANGA",277,18484,18761,6,211,7,0,225
"TAMIL NADU","THANJAVUR",1216,3622,4838,353,271,42,60,726
"TAMIL NADU","THENI",625,25435,26060,70,205,111,3,389
"TAMIL NADU","THIRUVALLUR",667,20970,21637,568,94,10,12,684
"TAMIL NADU","THIRUVARUR",89,210,299,63,12,3,0,78
"TAMIL NADU","TIRUCHIRAPPALLI",415,77238,77653,28,233,10,0,271
"TAMIL NADU","TIRUNELVELI",2128,86824,88952,151,840,126,218,1335
