"Capital","",-12.58,"...",-12.58,1.3,"...",1.3,1.3,"...",1.3,0.9,"...",0.9
"Railways","",23013.44,"...",23013.44,24000.0,"...",24000.0,24265.0,"...",24265.0,26000.0,"...",26000.0
"Revenue","","...","...","...","...","...","...","...","...","...","...","...","..."
"Capital","",23013.44,"...",23013.44,24000.0,"...",24000.0,24265.0,"...",24265.0,26000.0,"...",26000.0
"II. STATE PLANS TOTAL (A+B)","",100128.79,"...",100128.79,124249.0,"...",124249.0,107147.12,"...",107147.12,129930.0,"...",129930.0
"Revenue","",90071.51,"...",90071.51,113170.0,"...",113170.0,96068.12,"...",96068.12,118873.0,"...",118873.0
"Capital","",10057.28,"...",10057.28,11079.0,"...",11079.0,11079.0,"...",11079.0,11057.0,"...",11057.0
"A. STATE PLANS (a+b+c+d+e+f)","",98591.62,"...",98591.62,122549.0,"...",122549.0,105566.54,"...",105566.54,128150.0,"...",128150.0
"Revenue","",88596.26,"...",88596.26,111549.0,"...",111549.0,94566.54,"...",94566.54,117150.0,"...",117150.0
"Capital","",9995.36,"...",9995.36,11000.0,"...",11000.0,11000.0,"...",11000.0,11000.0,"...",11000.0
"a. Agriculture and Cooperation","",7844.09,"...",7844.09,9217.0,"...",9217.0,8400.0,"...",8400.0,9954.0,"...",9954.0
"Revenue","",7844.09,"...",7844.09,9217.0,"...",9217.0,8400.0,"...",8400.0,9954.0,"...",9954.0
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"b. Economic Affairs (Centralised Provisions)","",80075.79,"...",80075.79,99543.0,"...",99543.0,85543.0,"...",85543.0,102957.0,"...",102957.0
"Revenue","",70080.43,"...",70080.43,88543.0,"...",88543.0,74543.0,"...",74543.0,91957.0,"...",91957.0
"Capital","",9995.36,"...",9995.36,11000.0,"...",11000.0,11000.0,"...",11000.0,11000.0,"...",11000.0
"c. Panchayati Raj","",3917.0,"...",3917.0,5050.0,"...",5050.0,3734.0,"...",3734.0,6500.0,"...",6500.0
"Revenue","",3917.0,"...",3917.0,5050.0,"...",5050.0,3734.0,"...",3734.0,6500.0,"...",6500.0
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"d. Road Transport and Highways","",2198.55,"...",2198.55,2267.0,"...",2267.0,2267.0,"...",2267.0,2267.0,"...",2267.0
"Revenue","",2198.55,"...",2198.55,2267.0,"...",2267.0,2267.0,"...",2267.0,2267.0,"...",2267.0
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"e. Statistics and Programme Implementation","",2507.68,"...",2507.68,3955.0,"...",3955.0,3950.0,"...",3950.0,3955.0,"...",3955.0
"Revenue","",2507.68,"...",2507.68,3955.0,"...",3955.0,3950.0,"...",3950.0,3955.0,"...",3955.0
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"f. Tribal Affairs","",2048.51,"...",2048.51,2517.0,"...",2517.0,1672.54,"...",1672.54,2517.0,"...",2517.0
"Revenue","",2048.51,"...",2048.51,2517.0,"...",2517.0,1672.54,"...",1672.54,2517.0,"...",2517.0
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"B. DONER (g+h)","",1537.17,"...",1537.17,1700.0,"...",1700.0,1580.58,"...",1580.58,1780.0,"...",1780.0
"Revenue","",1475.25,"...",1475.25,1621.0,"...",1621.0,1501.58,"...",1501.58,1723.0,"...",1723.0
"Capital","",61.92,"...",61.92,79.0,"...",79.0,79.0,"...",79.0,57.0,"...",57.0
"g. Grants from Central Pool of Resources for North Eastern Region and Sikkim","",798.99,"...",798.99,879.0,"...",879.0,775.0,"...",775.0,948.0,"...",948.0
"Revenue","",798.99,"...",798.99,879.0,"...",879.0,775.0,"...",775.0,948.0,"...",948.0
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"h. North Eastern Region","",738.18,"...",738.18,821.0,"...",821.0,805.58,"...",805.58,832.0,"...",832.0
"Revenue","",676.26,"...",676.26,742.0,"...",742.0,726.58,"...",726.58,775.0,"...",775.0
"Capital","",61.92,"...",61.92,79.0,"...",79.0,79.0,"...",79.0,57.0,"...",57.0
"","","","","","","","","","","","","",""
"III. UNION TERRITORIES (A + B)","",3887.11,4423.16,8310.27,5749.0,4292.92,10041.92,4855.3,4580.1,9435.4,6324.0,4840.22,11164.22
"Revenue","",2388.9,4421.4,6810.3,3814.91,4388.51,8203.42,3533.02,4664.33,8197.35,4348.77,4909.7,9258.47
"Capital","",1498.21,1.76,1499.97,1934.09,-95.59,1838.5,1322.28,4062.6,5384.88,1975.23,-69.48,1905.75
"A. UNION TERRITORIES WITH LEGISLATURE (1 + 2)","",920.48,640.0,1560.48,1720.0,586.0,2306.0,1478.74,589.5,2068.24,1826.9,587.0,2413.9
"Revenue","",920.48,568.0,1488.48,1720.0,514.0,2234.0,1478.74,517.5,1996.24,1826.9,515.0,2341.9
"Capital","","...",72.0,72.0,"...",72.0,72.0,"...",72.0,72.0,"...",72.0,72.0
"(1) National Capital Territory of Delhi","",648.62,"...",648.62,1100.0,1.0,1101.0,900.0,4.5,904.5,1143.7,2.0,1145.7
"Revenue","",648.62,"...",648.62,1100.0,1.0,1101.0,900.0,4.5,904.5,1143.7,2.0,1145.7
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"(2) Puducherry","",271.86,640.0,911.86,620.0,585.0,1205.0,578.74,585.0,1163.74,683.2,585.0,1268.2
"Revenue","",271.86,568.0,839.86,620.0,513.0,1133.0,578.74,513.0,1091.74,683.2,513.0,1196.2
"Capital","","...",72.0,72.0,"...",72.0,72.0,"...",72.0,72.0,"...",72.0,72.0
"","","","","","","","","","","","","",""
"B. UNION TERRITORIES WITHOUT LEGISLATURE (3 + 4 + 5 + 6 + 7)","",2966.63,3783.16,6749.79,4029.0,3706.92,7735.92,3376.56,3990.6,7367.16,4497.1,4253.22,8750.32
"Revenue","",1468.42,3853.4,5321.82,2094.91,3874.51,5969.42,2054.28,4146.83,6201.11,2521.87,4394.7,6916.57
"Capital","",1498.21,-70.24,1427.97,1934.09,-167.59,1766.5,1322.28,-156.23,1166.05,1975.23,-141.48,1833.75
"(3) Andaman and Nicobar Islands","",1290.87,1240.83,2531.7,1706.04,1276.61,2982.65,1507.67,1241.34,2749.01,1867.1,1325.6,3192.7
"Revenue","",848.36,1218.62,2066.98,985.64,1263.26,2248.9,1050.28,1227.99,2278.27,1216.6,1311.88,2528.48
"Capital","",442.51,22.21,464.72,720.4,13.35,733.75,457.39,13.35,470.74,650.5,13.72,664.22
"(4) Chandigarh","",632.77,1819.97,2452.74,742.18,1804.78,2546.96,624.95,2071.89,2696.84,881.0,2193.32,3074.32
"Revenue","",169.97,1921.87,2091.84,382.13,1993.24,2375.37,328.11,2248.99,2577.1,412.65,2349.5,2762.15
"Capital","",462.8,-101.9,360.9,360.05,-188.46,171.59,296.84,-177.1,119.74,468.35,-156.18,312.17
"(5) Dadra and Nagar Haveli","",333.5,103.23,436.73,610.0,106.56,716.56,567.02,108.66,675.68,674.7,122.28,796.98
"Revenue","",182.32,98.1,280.42,361.42,102.98,464.4,337.42,105.08,442.5,430.7,119.47,550.17
"Capital","",151.18,5.13,156.31,248.58,3.58,252.16,229.6,3.58,233.18,244.0,2.81,246.81
"(6) Daman and Diu","",326.46,130.01,456.47,570.0,113.2,683.2,426.75,116.0,542.75,631.8,126.91,758.71
"Revenue","",149.88,129.34,279.22,220.23,112.53,332.76,202.61,115.33,317.94,265.67,126.24,391.91
"Capital","",176.58,0.67,177.25,349.77,0.67,350.44,224.14,0.67,224.81,366.13,0.67,366.8
"(7) Lakshadweep","",383.03,489.12,872.15,400.78,405.77,806.55,250.17,452.71,702.88,442.5,485.11,927.61
"Revenue","",117.89,485.47,603.36,145.49,402.5,547.99,135.86,449.44,585.3,196.25,487.61,683.86
"Capital","",265.14,3.65,268.79,255.29,3.27,258.56,114.31,3.27,117.58,246.25,-2.5,243.75
"IV. Total Central Assistance for States and UTs (II + III)","",104015.9,4423.16,108439.06,129998.0,4292.92,134290.92,112002.42,4580.1,116582.52,136254.0,4840.22,141094.22
"Revenue","",92460.41,4421.4,96881.81,116984.91,4388.51,121373.42,99601.14,4664.33,104265.47,123221.77,4909.7,128131.47
"Capital","",11555.49,1.76,11557.25,13013.09,-95.59,12917.5,12401.28,-84.23,12317.05,13032.23,-69.48,12962.75
"Grand Total","",412375.28,891989.7,1304364.98,521025.0,969900.29,1490925.29,429187.04,1001638.2,1430825.24,555322.0,1109975.32,1665297.32
"Revenue","",333736.57,812048.76,1145785.33,420513.4,865595.85,1286109.25,343372.71,919699.43,1263072.14,443260.43,992908.3,1436168.73
"Capital","",78638.71,79940.94,158579.65,100511.6,104304.44,204816.04,85814.33,81938.77,167753.1,112061.57,117067.02,229128.59
