-----
{
 "description": "The table refers to District wise Distribution of Surface Flow Schemes according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.7.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.7.csv"
}
-----
"State","District","Government Funds","Farmer's saving","Loan & Saving","Subsidy & Bank loan","Subsidy only","Others","Total"
"MAHARASHTRA","SOLAPUR",20,4,6,6,8,3,47
"MAHARASHTRA","THANE",56,1,4,112,6,0,179
"MAHARASHTRA","WARDHA",145,16,19,52,53,33,318
"MAHARASHTRA","WASHIM",1548,293,356,125,1021,78,3421
"MAHARASHTRA","YAVATMAL",27,3,3,44,11,6,94
"MANIPUR","BISHNUPUR",0,0,0,0,21,0,21
"MANIPUR","CHANDEL",0,0,0,0,22,0,22
"MANIPUR","CHURACHANDPUR",0,0,0,1,79,0,80
"MANIPUR","IMPHAL EAST",0,11,0,0,17,0,28
"MANIPUR","IMPHAL WEST",0,17,0,0,20,0,37
"MANIPUR","SENAPATI",0,0,0,0,26,0,26
"MANIPUR","TAMENGLONG",0,0,0,0,39,0,39
"MANIPUR","THOUBAL",0,0,0,1,22,0,23
"MANIPUR","UKHRUL",0,0,0,0,36,0,36
"MEGHALAYA","EAST GARO HILLS",4,10,0,0,180,0,194
"MEGHALAYA","EAST KHASI HILLS",38,4072,3,0,40,0,4153
"MEGHALAYA","JAINTIA HILLS",88,1251,3,1,92,16,1451
"MEGHALAYA","RI BHOI",156,4589,2,0,2,1,4750
"MEGHALAYA","SOUTH GARO HILLS",0,0,0,0,96,0,96
"MEGHALAYA","WEST GARO HILLS",272,182,0,0,4,32,490
"MEGHALAYA","WEST KHASI HILLS",76,1105,2,0,96,1,1280
"MIZORAM","AIZAWL",77,1091,1,0,1,43,1213
"MIZORAM","CHAMPHAI",445,1938,2,262,20,0,2667
"MIZORAM","KOLASIB",185,207,0,39,0,0,431
"MIZORAM","LAWNGTLAI",1,599,2,0,209,144,955
"MIZORAM","LUNGLEI",50,615,0,0,16,0,681
"MIZORAM","MAMIT",33,218,4,8,23,1,287
"MIZORAM","SAIHA",18,44,3,117,237,0,419
"MIZORAM","SERCHHIP",23,1026,0,0,0,0,1049
"NAGALAND","DIMAPUR",34,403,1,4,272,289,1003
"NAGALAND","KOHIMA",9,1350,3,29,1241,162,2794
"NAGALAND","MOKOKCHUNG",1,354,7,5,813,1,1181
"NAGALAND","MON",1,377,1,3,673,0,1055
"NAGALAND","PHEK",19,3443,4,5,113,102,3686
"NAGALAND","TUENSANG",907,3448,19,1,1213,2,5590
"NAGALAND","WOKHA",132,1221,59,6,130,3,1551
"NAGALAND","ZUNHEBOTO",91,1367,141,222,1154,111,3086
"ORISSA","ANGUL",356,98,27,75,25,14,595
"ORISSA","BALASORE",103,1,3,20,1,1,129
"ORISSA","BARGARH",1933,930,20,33,29,28,2973
"ORISSA","BHADRAK",127,55,4,44,2,0,232
"ORISSA","BOLANGIR",1753,166,12,132,15,7,2085
"ORISSA","BOUDH",209,25,13,75,3,1,326
"ORISSA","CUTTACK",233,96,1,48,82,8,468
"ORISSA","DEOGARH",176,9,16,90,13,2,306
"ORISSA","DHENKANAL",603,368,39,67,91,39,1207
"ORISSA","GAJAPATI",1012,46,37,184,14,20,1313
"ORISSA","GANJAM",3868,155,103,344,101,15,4586
"ORISSA","JAGATSINGHPUR",6,1,0,0,0,0,7
"ORISSA","JAJAPUR",143,46,2,20,7,0,218
"ORISSA","JHARSUGUDA",431,43,6,29,22,4,535
"ORISSA","KALAHANDI",816,85,9,80,23,14,1027
"ORISSA","KANDHAMAL",543,5,2,30,19,1,600
"ORISSA","KENDRAPARA",1,3,0,0,3,0,7
"ORISSA","KEONJHAR",529,41,12,109,35,11,737
"ORISSA","KHURDA",418,42,28,49,20,9,566
"ORISSA","KORAPUT",1069,400,26,69,55,8,1627
"ORISSA","MALKANAGIRI",165,80,33,114,182,0,574
"ORISSA","MAYURBHANJA",520,100,11,173,144,6,954
"ORISSA","NAWARANGAPUR",143,27,4,4,7,0,185
"ORISSA","NAYAGARH",263,10,19,180,40,11,523
"ORISSA","NUAPADA",677,44,9,105,9,4,848
"ORISSA","PURI",32,16,4,28,557,108,745
"ORISSA","RAYAGADA",2350,912,28,58,32,31,3411
"ORISSA","SAMBALPUR",633,28,16,85,73,8,843
"ORISSA","SONEPUR",240,5,13,170,2,0,430
"ORISSA","SUNDARGARH",184,32,4,19,7,0,246
"PONDICHERRY","KARAIKAL",16397,342,52,0,0,0,16791
"PONDICHERRY","PONDICHERRY",22,2739,1,0,0,0,2762
"PONDICHERRY","YANAM",0,0,2,587,0,0,589
"PUNJAB","GURDASPUR",7,18,1,0,0,0,26
"PUNJAB","HOSHIARPUR",25,13,0,2,0,0,40
"PUNJAB","MOGA",0,0,20,0,0,0,20
"PUNJAB","PATIALA",0,34,0,0,0,0,34
"PUNJAB","ROPAR",1581,261,15,2,0,7,1866
"RAJASTHAN","AJMER",667,256,4,4,15,5,951
"RAJASTHAN","ALWAR",0,0,0,4,0,1,5
"RAJASTHAN","BANSWARA",65,34,9,0,4,31,143
"RAJASTHAN","BARAN",78,34,0,0,1,3,116
"RAJASTHAN","BHARATPUR",4,0,0,0,0,0,4
"RAJASTHAN","BHILWARA",426,43,2,2,5,13,491
"RAJASTHAN","BUNDI",81,0,2,0,1,0,84
"RAJASTHAN","CHITTORGARH",59,22,2,0,2,2,87
"RAJASTHAN","DAUSA",6,3,0,0,0,0,9
"RAJASTHAN","DHOLPUR",40,14,2,0,18,1,75
"RAJASTHAN","DUNGARPUR",35,3,0,0,0,2,40
"RAJASTHAN","JAIPUR",15,2,0,0,0,1,18
"RAJASTHAN","JAISALMER",0,0,0,0,0,1,1
"RAJASTHAN","JALORE",10,0,0,0,0,0,10
"RAJASTHAN","JHALAWAR",31,1,0,4,0,1,37
"RAJASTHAN","JHUNJHUNU",0,0,0,0,0,4,4
"RAJASTHAN","KAROLI",46,83,12,0,19,20,180
"RAJASTHAN","KOTA",15,4,0,0,6,7,32
"RAJASTHAN","NAGAUR",4,1,0,0,0,0,5
"RAJASTHAN","PALI",36,3,0,0,1,2,42
"RAJASTHAN","RAJSAMAND",65,4,0,0,4,2,75
"RAJASTHAN","SAWAI MADHOPUR",22,40,1,5,3,1,72
"RAJASTHAN","SIROHI",25,2,0,1,0,3,31
"RAJASTHAN","TONK",188,220,4,2,5,21,440
"RAJASTHAN","UDAIPUR",87,32,0,6,1,27,153
"SIKKIM","EAST",433,0,3,0,0,0,436
"SIKKIM","NORTH",83,0,0,0,0,0,83
"SIKKIM","SOUTH",277,0,0,0,0,0,277
"SIKKIM","WEST",280,0,0,0,0,0,280
"TAMIL NADU","COIMBATORE",189,138,1,0,0,0,328
"TAMIL NADU","CUDDALORE",821,74,6,2,0,5,908
"TAMIL NADU","DHARMAPURI",2426,67,20,5,35,46,2599
"TAMIL NADU","DINDIGUL",3043,212,76,31,30,165,3557
"TAMIL NADU","ERODE",689,3,3,0,0,151,846
"TAMIL NADU","KANCHEEPURAM",2162,372,8,4,7,25,2578
"TAMIL NADU","KANYAKUMARI",2986,183,125,7,0,0,3301
"TAMIL NADU","KARUR",788,175,20,7,2,80,1072
"TAMIL NADU","MADURAI",692,9,23,235,1548,12,2519
"TAMIL NADU","NAGAPATTINAM",1,0,0,0,0,0,1
"TAMIL NADU","NAMAKKAL",522,29,3,0,2,1,557
"TAMIL NADU","NILGIRIS",341,174,4,0,0,1,520
"TAMIL NADU","PERAMBALUR",1060,12,28,11,8,20,1139
"TAMIL NADU","PUDUKKOTTAI",4493,55,87,23,128,117,4903
"TAMIL NADU","RAMANATHAPURAM",1559,6,33,76,3,17,1694
"TAMIL NADU","SALEM",0,0,0,0,0,355,355
"TAMIL NADU","SIVAGANGA",4196,15,0,30,41,3,4285
"TAMIL NADU","THANJAVUR",223,56,17,6,0,7,309
"TAMIL NADU","THENI",226,73,0,0,0,0,299
"TAMIL NADU","THIRUVALLUR",1596,542,10,10,42,22,2222
"TAMIL NADU","THIRUVARUR",18,0,0,0,0,1,19
"TAMIL NADU","TIRUCHIRAPPALLI",927,54,6,14,17,3,1021
"TAMIL NADU","TIRUNELVELI",2134,119,20,45,65,74,2457
"TAMIL NADU","TIRUVANNAMALAI",2882,1,19,16,41,174,3133
