-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells by Status. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.6.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells by Status", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.6.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,In use,Not in use - Temporarily,Not in use - Salinity,Not in use - Dried up,Not in use - Destroyed,Not in use - Others,Total - Not in Use,Grand Total (Use + Not in Use)
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,315,8,0,0,0,0,8,323
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,123,26,0,0,0,0,26,149
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,489,0,0,1,0,0,1,490
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,539,0,0,0,0,0,0,539
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,579,1,0,8,0,0,9,588
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,562,0,0,2,0,0,2,564
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,142,0,0,0,0,0,0,142
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,1045,0,0,3,0,0,3,1048
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,691,0,0,0,0,0,0,691
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,514,1,0,14,0,0,15,529
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,1159,107,0,217,1,1,326,1485
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,309,0,0,0,0,0,0,309
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,95,1,0,0,0,0,1,96
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,1103,31,3,7,0,0,41,1144
ANDHRA PRADESH,ANANTHAPUR,GOOTY,403,6,2,1,1,0,10,413
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,384,0,0,0,0,0,0,384
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,290,10,0,0,0,0,10,300
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,594,4,0,0,0,0,4,598
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,449,1,1,0,0,0,2,451
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,562,1,0,0,0,0,1,563
ANDHRA PRADESH,ANANTHAPUR,KADIRI,166,64,1,35,0,0,100,266
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,413,6,0,6,0,0,12,425
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,349,0,0,1,0,0,1,350
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,450,10,4,18,1,3,36,486
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,975,5,2,0,1,0,8,983
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,396,3,0,3,0,0,6,402
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,401,3,0,5,0,0,8,409
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,103,0,0,0,0,0,0,103
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,894,1,0,71,0,0,72,966
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,478,0,0,0,0,0,0,478
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,307,14,0,1,0,0,15,322
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,368,0,0,0,0,0,0,368
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,262,2,0,2,0,0,4,266
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,380,0,0,0,0,0,0,380
ANDHRA PRADESH,ANANTHAPUR,NARPALA,374,8,2,6,0,0,16,390
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,290,0,0,0,0,0,0,290
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,682,5,0,0,0,0,5,687
ANDHRA PRADESH,ANANTHAPUR,PARIGI,533,22,13,0,0,1,36,569
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,1729,0,0,0,0,0,0,1729
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,713,1,0,0,0,0,1,714
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,440,2,1,0,0,0,3,443
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,1501,0,3,0,0,0,3,1504
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,335,3,0,0,0,0,3,338
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,327,0,0,0,0,0,0,327
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,592,15,0,6,0,0,21,613
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,725,0,1,18,0,0,19,744
ANDHRA PRADESH,ANANTHAPUR,RODDAM,1076,3,0,11,0,0,14,1090
ANDHRA PRADESH,ANANTHAPUR,ROLLA,531,1,0,2,3,0,6,537
ANDHRA PRADESH,ANANTHAPUR,SETTUR,101,0,0,0,0,0,0,101
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,655,26,7,5,0,0,38,693
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,430,1,0,0,0,0,1,431
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,382,0,0,0,0,0,0,382
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,976,4,2,0,0,3,9,985
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,405,0,0,0,0,0,0,405
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,124,9,0,0,0,0,9,133
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,157,0,18,0,0,0,18,175
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,182,11,0,2,0,3,16,198
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,151,4,1,3,0,0,8,159
ANDHRA PRADESH,ANANTHAPUR,YADIKI,758,0,0,1,0,0,1,759
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,1205,0,0,1,0,0,1,1206
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,152,91,0,0,0,0,91,243
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,380,2,0,0,0,0,2,382
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,96,3,0,0,0,0,3,99
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,120,0,0,0,0,0,0,120
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,103,4,5,2,0,0,11,114
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,529,228,1,0,2,0,231,760
ANDHRA PRADESH,CHITTOOR,CHITTOOR,52,12,0,0,0,0,12,64
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,95,0,0,1,0,0,1,96
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,142,5,0,0,0,0,5,147
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,102,0,0,2,0,0,2,104
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,4,0,0,0,0,0,0,4
ANDHRA PRADESH,CHITTOOR,GUDIPALA,22,0,0,0,0,0,0,22
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,61,0,0,0,0,0,0,61
ANDHRA PRADESH,CHITTOOR,K V P PURAM,635,0,0,1,0,0,1,636
ANDHRA PRADESH,CHITTOOR,KALAKADA,370,0,0,1,0,0,1,371
ANDHRA PRADESH,CHITTOOR,KALIKIRI,452,1,0,0,0,0,1,453
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,98,3,0,0,0,0,3,101
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,979,0,0,0,0,0,0,979
ANDHRA PRADESH,CHITTOOR,KUPPAM,22,0,0,0,0,0,0,22
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,177,0,0,1,0,0,1,178
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,748,8,0,0,0,0,8,756
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,108,0,0,1,0,0,1,109
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,535,0,1,2,0,0,3,538
ANDHRA PRADESH,CHITTOOR,NAGARI,575,0,0,0,0,0,0,575
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,433,0,0,2,0,0,2,435
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,181,1,0,1,0,0,2,183
ANDHRA PRADESH,CHITTOOR,NINDRA,841,18,10,0,0,1,29,870
ANDHRA PRADESH,CHITTOOR,PAKALA,311,0,0,0,0,0,0,311
ANDHRA PRADESH,CHITTOOR,PALAMANER,204,0,0,0,0,0,0,204
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,150,1,0,0,0,0,1,151
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,198,0,0,0,0,0,0,198
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,69,1,1,0,0,0,2,71
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,108,83,6,7,4,2,102,210
ANDHRA PRADESH,CHITTOOR,PENUMURU,116,0,0,0,0,0,0,116
ANDHRA PRADESH,CHITTOOR,PICHATUR,197,0,0,0,0,0,0,197
ANDHRA PRADESH,CHITTOOR,PILERU,68,0,0,0,0,0,0,68
ANDHRA PRADESH,CHITTOOR,PULICHERLA,73,0,0,0,0,0,0,73
ANDHRA PRADESH,CHITTOOR,PUNGANUR,284,0,0,1,0,0,1,285
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,924,0,0,1,0,0,1,925
ANDHRA PRADESH,CHITTOOR,PUTTUR,558,10,0,2,0,0,12,570
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,76,0,0,0,0,0,0,76
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,555,0,0,0,0,0,0,555
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,66,0,0,1,0,0,1,67
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,527,25,0,0,0,0,25,552
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,1,0,2,102,0,0,104,105
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,13,0,0,0,0,0,0,13
ANDHRA PRADESH,CHITTOOR,SODAM,84,0,0,0,0,0,0,84
ANDHRA PRADESH,CHITTOOR,SOMALA,62,0,0,0,0,0,0,62
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,397,1,0,3,0,0,4,401
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,338,0,0,0,0,0,0,338
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,661,1,0,4,0,0,5,666
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,720,0,0,0,3,0,3,723
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,24,0,0,0,0,0,0,24
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,632,0,0,0,0,0,0,632
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,368,3,1,1,0,0,5,373
ANDHRA PRADESH,CHITTOOR,VAYALPAD,102,1,1,0,0,0,2,104
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,646,0,0,0,0,0,0,646
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,119,0,0,0,0,0,0,119
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,486,0,0,0,0,0,0,486
ANDHRA PRADESH,CHITTOOR,YADAMARI,27,0,0,0,0,0,0,27
ANDHRA PRADESH,CHITTOOR,YERPEDU,1568,21,3,12,0,0,36,1604
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,386,4,0,1,0,0,5,391
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,50,3,0,0,0,0,3,53
ANDHRA PRADESH,CUDDAPAH,ATLUR,74,0,0,0,0,0,0,74
ANDHRA PRADESH,CUDDAPAH,B KODUR,1,0,0,0,0,0,0,1
ANDHRA PRADESH,CUDDAPAH,BADVEL,65,2,13,6,0,0,21,86
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,20,0,0,0,0,0,0,20
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,448,0,0,1,0,0,1,449
ANDHRA PRADESH,CUDDAPAH,CHAPAD,1122,7,1,23,0,12,43,1165
ANDHRA PRADESH,CUDDAPAH,CHENNUR,278,2,0,0,0,0,2,280
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,23,0,0,0,0,0,0,23
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,30,0,0,0,0,0,0,30
ANDHRA PRADESH,CUDDAPAH,CHITVEL,243,0,0,3,0,0,3,246
ANDHRA PRADESH,CUDDAPAH,DUVVUR,236,0,0,0,0,0,0,236
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,39,0,0,0,0,1,1,40
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,10,0,0,0,0,0,0,10
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,373,1,2,0,0,1,4,377
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,1359,0,0,0,1,0,1,1360
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,619,5,0,0,1,0,6,625
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,1381,0,0,0,0,0,0,1381
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,72,20,0,0,0,0,20,92
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,316,5,0,1,1,1,8,324
ANDHRA PRADESH,CUDDAPAH,NANDALUR,259,2,0,1,0,0,3,262
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,239,9,0,0,0,0,9,248
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,429,15,0,0,0,0,15,444
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,1551,14,26,30,0,0,70,1621
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,276,0,0,1,0,2,3,279
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,1036,3,0,4,0,0,7,1043
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,97,17,2,1,0,3,23,120
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,234,29,0,3,0,0,32,266
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,124,0,0,0,0,0,0,124
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,62,0,0,1,0,0,1,63
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,1121,1,0,5,3,0,9,1130
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,38,0,0,0,0,0,0,38
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,785,0,0,0,0,0,0,785
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,799,0,0,0,0,0,0,799
ANDHRA PRADESH,CUDDAPAH,THANDUR,29,0,0,0,0,0,0,29
ANDHRA PRADESH,CUDDAPAH,VALLUR,497,0,0,1,0,0,1,498
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,441,0,0,0,0,0,0,441
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,496,42,0,12,1,0,55,551
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,925,1,0,0,0,0,1,926
ANDHRA PRADESH,CUDDAPAH,VEMULA,223,0,0,1,0,0,1,224
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,25,3,0,0,0,0,3,28
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,268,0,0,0,0,0,0,268
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,31,0,0,0,0,0,0,31
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,727,0,0,0,0,0,0,727
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,794,0,0,0,0,0,0,794
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,106,0,0,0,1,2,3,109
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,513,0,0,0,0,0,0,513
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,1385,1,0,3,1,0,5,1390
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHI,230,0,0,0,0,0,0,230
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,1351,0,0,0,0,0,0,1351
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,143,0,0,0,0,0,0,143
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,208,1,4,0,0,0,5,213
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,5,0,0,0,0,0,0,5
ANDHRA PRADESH,EAST GODAVARI,I POLAVARAM,24,38,0,0,0,0,38,62
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,139,0,0,0,0,0,0,139
ANDHRA PRADESH,EAST GODAVARI,KADIAM,1794,4,0,0,0,0,4,1798
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,50,0,0,0,0,0,0,50
ANDHRA PRADESH,EAST GODAVARI,KAKINADA (RURAL),38,0,0,0,0,18,18,56
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,730,10,0,0,0,6,16,746
ANDHRA PRADESH,EAST GODAVARI,KARAPA,24,0,0,0,0,0,0,24
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,683,0,0,0,0,0,0,683
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,386,0,0,0,0,0,0,386
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,246,5,0,0,0,0,5,251
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLI,58,0,0,0,0,7,7,65
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,1563,0,0,0,0,0,0,1563
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,2035,0,0,0,0,1,1,2036
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,433,0,2,0,0,12,14,447
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,704,0,0,0,0,0,0,704
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,467,0,0,0,0,0,0,467
ANDHRA PRADESH,EAST GODAVARI,P GANNAVARAM,788,0,0,0,0,0,0,788
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,346,22,0,4,15,15,56,402
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,257,0,0,0,0,3,3,260
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,339,1,0,0,0,3,4,343
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,397,49,1,0,0,98,148,545
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,323,0,0,0,0,0,0,323
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),192,0,0,0,0,0,0,192
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,82,0,0,0,0,0,0,82
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,616,3,0,0,0,5,8,624
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,38,0,0,0,0,0,0,38
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,1219,0,0,0,0,0,0,1219
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,367,0,6,0,0,0,6,373
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,165,3,0,0,0,0,3,168
ANDHRA PRADESH,EAST GODAVARI,SAKHINETIPALLE,110,0,0,0,0,0,0,110
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,56,0,0,0,0,5,5,61
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,291,2,1,3,0,0,6,297
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,702,2,0,0,0,3,5,707
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,27,0,0,0,0,0,0,27
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,365,4,2,9,0,1,16,381
ANDHRA PRADESH,EAST GODAVARI,TUNI,490,13,0,0,0,0,13,503
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,42,0,0,0,0,0,0,42
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,1044,7,0,3,1,0,11,1055
ANDHRA PRADESH,GUNTUR,ACHAMPETA,96,0,0,0,0,0,0,96
ANDHRA PRADESH,GUNTUR,AMARAVATHI,279,0,0,1,0,0,1,280
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,325,2,0,0,0,0,2,327
ANDHRA PRADESH,GUNTUR,BAPATLA,27,0,0,0,0,0,0,27
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,121,1,0,0,0,0,1,122
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,1048,0,0,0,0,0,0,1048
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,1621,0,0,0,0,0,0,1621
ANDHRA PRADESH,GUNTUR,CHEBROLE,28,0,0,0,0,0,0,28
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,53,0,0,0,0,0,0,53
ANDHRA PRADESH,GUNTUR,DACHEPALLE,84,9,0,0,0,0,9,93
ANDHRA PRADESH,GUNTUR,DUGGIRALA,1679,0,1,0,0,0,1,1680
ANDHRA PRADESH,GUNTUR,EDLAPADU,36,0,0,0,0,1,1,37
ANDHRA PRADESH,GUNTUR,GUNTUR,36,0,0,0,0,0,0,36
ANDHRA PRADESH,GUNTUR,GURAZALA,71,0,0,0,0,0,0,71
ANDHRA PRADESH,GUNTUR,IPURU,48,5,0,0,0,0,5,53
ANDHRA PRADESH,GUNTUR,KAREMPUDI,298,0,0,0,0,0,0,298
ANDHRA PRADESH,GUNTUR,KARLAPALEM,40,0,0,0,0,0,0,40
ANDHRA PRADESH,GUNTUR,KOLLIPARA,1732,5,0,0,0,0,5,1737
ANDHRA PRADESH,GUNTUR,KOLLUR,2640,2,0,0,0,0,2,2642
ANDHRA PRADESH,GUNTUR,KROSURU,20,0,0,0,0,0,0,20
ANDHRA PRADESH,GUNTUR,MACHAVARAM,192,2,0,0,0,0,2,194
ANDHRA PRADESH,GUNTUR,MACHERLA,57,0,0,0,0,0,0,57
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,897,0,0,0,0,2,2,899
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,3,0,0,0,0,0,0,3
ANDHRA PRADESH,GUNTUR,NADENDLA,4,0,0,0,0,0,0,4
ANDHRA PRADESH,GUNTUR,NAGARAM,36,0,0,0,0,0,0,36
ANDHRA PRADESH,GUNTUR,NAKARIKALLU,82,0,0,0,0,0,0,82
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,3,0,0,0,0,0,0,3
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,5,0,0,0,0,0,0,5
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,85,0,0,0,0,1,1,86
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,87,2,1,0,0,0,3,90
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,59,0,0,0,0,0,0,59
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,2,0,0,0,0,0,0,2
ANDHRA PRADESH,GUNTUR,PONNUR,1008,4,0,1,0,8,13,1021
ANDHRA PRADESH,GUNTUR,PRATHIPADU,18,10,0,0,0,0,10,28
ANDHRA PRADESH,GUNTUR,RAJUPALEM,18,0,0,0,5,2,7,25
ANDHRA PRADESH,GUNTUR,RENTACRINTALA,32,0,0,0,0,0,0,32
ANDHRA PRADESH,GUNTUR,REPALLE,92,1,0,0,0,0,1,93
