-----
{
 "description": "This data provides details of Hon\u2019ble Members of the Third Lok Sabha from 2nd April 1962 to 3rd March 1967. It consists of name of members, constituency name, state name and party name.", 
 "file_name": "Members_of_Third_Lok_Sabha_From_2nd_April_1962_to_3rd_March_1967.xls", 
 "title": "Download XLS for Members of Third Lok Sabha from 2nd April 1962 to 3rd March 1967", 
 "url": "http://data.gov.in/sites/default/files/Members_of_Third_Lok_Sabha_From_2nd_April_1962_to_3rd_March_1967.xls"
}
-----
"Lok Sabha","Member Name","Gender","Constituency Name","State Name","Party Name"
"Third Lok Sabha","Shri Shivajirao Shankarrao Deshmukh","Male","Parbhani                                                                                            ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Smt. Vimla Deshmukh","Female","Amravati                                                                                            ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Shri Govind Hari Deshpande","Male","Nashik                                                                                              ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Shri Surendra Kumar Dey","Male","Nagaur                                                                                              ","Rajasthan                                                   ","Congress"
"Third Lok Sabha","Shri B.K. Dhaon","Male","Lucknow                                                                                             ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri R. Dharmalingam","Male","Tiruvannamalai                                                                                      ","Madras                                                      ","Dravida Munnetra Kazhagam"
"Third Lok Sabha","Shri Uchharamgrai Navalshanker Dhebar","Male","Rajkot                                                                                              ","Gujarat                                                     ","Congress"
"Third Lok Sabha","Chaudhary Digambar Singh","Male","Mathura                                                                                             ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri Bhaskar Narayan Dighe","Male","Kolaba                                                                                              ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Shri Dinesh Singh","Male","Salone                                                                                              ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri Gopi Nath Dixit","Male","Etawah                                                                                              ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri R. Kashinatha Dorai","Male","Aruppukottai                                                                                        ","Madras                                                      ","Congress"
"Third Lok Sabha","Shri Mulchand Dube","Male","Farrukhabad                                                                                         ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri Rajaram Girdharilal Dubey","Male","Bijapur North                                                                                       ","Mysore                                                      ","Congress"
"Third Lok Sabha","Shri Birendra Chandra Dutta","Male","Tripura West                                                                                        ","Tripura                                                     ","Communist Party"
"Third Lok Sabha","Shri Mannoolal Dwivedi","Male","Hamirpur                                                                                            ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri Surendranath Dwivedy","Male","Kendrapara                                                                                          ","Odisha                                                      ","Praja Socialist Party (PSP)"
"Third Lok Sabha","Shri L. Elayaperumal","Male","Tirukoilur-SC                                                                                       ","Madras                                                      ","Congress"
"Third Lok Sabha","Shri Mohammed Elias","Male","Howrah                                                                                              ","West Bengal                                                 ","Communist Party"
"Third Lok Sabha","Shri D. Ering","Male","NA","N.E.F.A.                                                    ","Congress"
"Third Lok Sabha","Shri Motilal Kundanmal Firodia","Male","Ahmednagar                                                                                          ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Shri Fatesinghrao Pratapsinghrao Gaekwad","Male","Baroda                                                                                              ","Gujarat                                                     ","Congress"
"Third Lok Sabha","Shri Vishwanath Singh Gahmari","Male","Ghazipur                                                                                            ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Dr. Pundalik D. Gaitonde","Male","NA","Goa, Daman and Diu                                          ","Congress"
"Third Lok Sabha","Shri Ganapati Ram","Male","Machhlishahr                                                                                        ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri Vithal Balkrishna Gandhi","Male","Bombay Central South                                                                                ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Smt. Ganga Devi","Female","Mohanlalganj-SC                                                                                     ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri Gauri Shanker Kakkar","Male","Fatehpur                                                                                            ","Uttar Pradesh                                               ","Independent"
"Third Lok Sabha","Rajmata of Jaipur Gayatri Devi","Female","Jaipur                                                                                              ","Rajasthan                                                   ","Swatantra Party"
"Third Lok Sabha","Shri Atulya Ghosh","Male","Asansol                                                                                             ","West Bengal                                                 ","Congress"
"Third Lok Sabha","Shri Nalini Ranjan Ghosh","Male","Jalpaiguri                                                                                          ","West Bengal                                                 ","Congress"
"Third Lok Sabha","Shri Prashant Kumar Ghosh","Male","Ranchi East-ST                                                                                      ","Bihar                                                       ","Swatantra Party"
"Third Lok Sabha","Shri Gokaran Prasad","Male","Misrikh-SC                                                                                          ","Uttar Pradesh                                               ","Jan Sangh"
"Third Lok Sabha","Shri Abdul Ghani Goni","Male","NA","Jammu and Kashmir                                           ","National Conference (Congress)"
"Third Lok Sabha","Shri Ayillath Kuttieri Gopalan","Male","Kasaragod                                                                                           ","Kerala                                                      ","Communist Party"
"Third Lok Sabha","Shri R. Muthu Goundar","Male","Tiruppattur                                                                                         ","Madras                                                      ","Dravida Munnetra Kazhagam"
"Third Lok Sabha","Shri H.K.V. Gowdha","Male","Bangalore                                                                                           ","Mysore                                                      ","Congress"
"Third Lok Sabha","Shri Arun Chandra Guha","Male","Barasat                                                                                             ","West Bengal                                                 ","Congress"
"Third Lok Sabha","Sardar Dhanna Singh Gulshan","Male","Bhatinda-SC                                                                                         ","Punjab                                                      ","Akali Dal"
"Third Lok Sabha","Shri Badshah Gupta","Male","Mainpuri                                                                                            ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri Indrajit Gupta","Male","Calcutta South West                                                                                 ","West Bengal                                                 ","Communist Party"
"Third Lok Sabha","Shri Kashi Ram Gupta","Male","Alwar                                                                                               ","Rajasthan                                                   ","Independent"
"Third Lok Sabha","Shri Priya Gupta","Male","Katihar                                                                                             ","Bihar                                                       ","Praja Socialist Party (PSP)"
"Third Lok Sabha","Shri Ram Ratan Gupta","Male","Gonda                                                                                               ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri Shiv Charan Gupta","Male","Delhi Sadar                                                                                         ","Delhi                                                       ","Congress"
"Third Lok Sabha","Shri Ramchandra Matand Hajarnavis","Male","Bhandara                                                                                            ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Shri Subodh Chandra Hansda","Male","Jhargram-ST                                                                                         ","West Bengal                                                 ","Congress"
"Third Lok Sabha","Shri K. Hanumanthaiya","Male","Bangalore City                                                                                      ","Mysore                                                      ","Congress"
"Third Lok Sabha","Shri Mohammad Mohibbul Haq","Male","Akola                                                                                               ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Shri Ansar Harvani","Male","Bisauli                                                                                             ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri J.N. Hazarika","Male","Dibrugarh                                                                                           ","Assam                                                       ","Congress"
"Third Lok Sabha","Shri Harish Chandra Heda","Male","Nizamabad                                                                                           ","Andhra Pradesh                                              ","Congress"
"Third Lok Sabha","Shri Hem Barua","Male","Gauhati                                                                                             ","Assam                                                       ","Praja Socialist Party (PSP)"
"Third Lok Sabha","Shri Hem Raj","Male","Kangra                                                                                              ","Punjab                                                      ","Congress"
"Third Lok Sabha","Maulana Mohammad Hifzur Rahman","Male","Amroha                                                                                              ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri Prabhu Dayal Himatsingka","Male","Godda                                                                                               ","Bihar                                                       ","Congress"
"Third Lok Sabha","Shri Humayun Kabir","Male","Basirhat                                                                                            ","West Bengal                                                 ","Congress"
"Third Lok Sabha","Shri Ezhu Kudikkal Imbichibava","Male","Ponnani                                                                                             ","Kerala                                                      ","Communist Party"
"Third Lok Sabha","Sardar Iqbal Singh","Male","Ferozepur                                                                                           ","Punjab                                                      ","Congress"
"Third Lok Sabha","Shri Madhavrao Laxmanrao Jadhav","Male","Malegaon-ST                                                                                         ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Shri Tulshidas Subhanrao Jadhav","Male","Nanded                                                                                              ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Shri Jagjivan Ram","Male","Sasaram-SC                                                                                          ","Bihar                                                       ","Congress"
"Third Lok Sabha","Shri Ajit Prasad Jain","Male","Tumkur                                                                                              ","Mysore                                                      ","Congress"
"Third Lok Sabha","Shri Jaipal Singh","Male","Ranchi West-ST                                                                                      ","Bihar                                                       ","Jharkhand Party"
"Third Lok Sabha","Shri S.C. Jamir","Male","Naga Hills Tuensang Area                                                                            ","Nagaland                                                    ","Congress"
