-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"HARYANA","KAITHAL",793,27787,28580,4198,169069,173266,4187,166961,171149
"HARYANA","KARNAL",522,31818,32340,5374,263327,268701,5087,247552,252639
"HARYANA","KURUKSHETRA",375,25322,25697,3494,212010,215504,3448,211163,214612
"HARYANA","MAHENDRAGARH",90,13747,13837,461,81730,82191,442,80325,80767
"HARYANA","PANCHKULA",12,1692,1704,100,8126,8226,95,7746,7841
"HARYANA","PANIPAT",62,14496,14558,459,81580,82039,401,80768,81169
"HARYANA","REWARI",169,15786,15955,1029,67714,68743,961,63767,64728
"HARYANA","ROHTAK",130,8734,8864,476,27733,28209,454,24690,25144
"HARYANA","SIRSA",189,22548,22737,1483,147669,149152,1422,139500,140921
"HARYANA","SONEPAT",111,31282,31393,461,106980,107442,437,105141,105578
"HARYANA","YAMUNANAGAR",96,17300,17396,1089,110929,112018,1064,109058,110122
"HIMACHAL PRADESH","Bilaspur",0,45,45,0,147,147,0,147,147
"HIMACHAL PRADESH","Hamirpur",0,43,43,0,37,37,0,37,37
"HIMACHAL PRADESH","Kangra",3,674,677,25,2445,2471,25,2428,2454
"HIMACHAL PRADESH","Mandi",10,37,47,496,243,740,174,139,313
"HIMACHAL PRADESH","Sirmaur",2,148,150,80,393,473,74,368,442
"HIMACHAL PRADESH","Solan",18,199,217,590,930,1520,397,814,1211
"HIMACHAL PRADESH","Una",43,1363,1406,1194,2563,3757,1003,2305,3308
"JAMMU & KASHMIR","ANANTNAG",1,0,1,9,0,9,9,0,9
"JAMMU & KASHMIR","JAMMU",24,1235,1259,47,3838,3885,47,3812,3859
"JAMMU & KASHMIR","KATHUA",0,74,74,0,1609,1609,0,1526,1526
"JAMMU & KASHMIR","KUPWARA",1,0,1,4,0,4,4,0,4
"JAMMU & KASHMIR","UDHAMPUR",1,2,3,12,18,30,12,18,30
"JHARKHAND","CHATRA",0,100,100,0,166,166,0,153,153
"JHARKHAND","DHANBAD",0,0,0,0,0,0,0,0,0
"JHARKHAND","DUMKA",0,5,5,0,8,8,0,6,6
"JHARKHAND","GARHWA",1,14,15,16,54,70,5,48,53
"JHARKHAND","GIRIDIH",0,264,264,0,819,819,0,674,674
"JHARKHAND","GODDA",0,184,184,0,653,653,0,537,537
"JHARKHAND","HAZARIBAGH",2,0,2,25,0,25,25,0,25
"JHARKHAND","KODERMA",2,206,208,8,774,781,6,565,570
"JHARKHAND","LATEHAR",3,0,3,4,0,4,2,0,2
"JHARKHAND","PAKUR",0,1,1,0,4,4,0,4,4
"JHARKHAND","PALAMU",0,114,114,0,362,362,0,301,301
"JHARKHAND","SAHEBGANJ",9,173,182,30,567,597,7,225,233
"JHARKHAND","WEST SINGHBHUM",0,0,0,0,0,0,0,0,0
"KARNATAKA","Bagalkote",125,18220,18345,575,59671,60247,564,50647,51211
"KARNATAKA","Bangalore",22,12734,12756,30,21828,21858,21,18900,18921
"KARNATAKA","Bangalore Rural",41,38396,38437,73,51829,51902,66,46912,46978
"KARNATAKA","Belgaum",253,31535,31788,625,72884,73510,604,58766,59371
"KARNATAKA","Bellary",85,17273,17358,195,59754,59948,194,56186,56380
"KARNATAKA","Bidar",5,7161,7166,7,12278,12286,6,10255,10262
"KARNATAKA","Bijapur",215,8546,8761,858,19690,20547,854,17457,18311
"KARNATAKA","Chamaraja Nagara",3,14473,14476,6,22011,22017,6,20888,20894
"KARNATAKA","Chikmagalur",13,20125,20138,30,22960,22990,30,22054,22084
"KARNATAKA","Chitradurga",15,39476,39491,29,73526,73555,24,65126,65150
"KARNATAKA","Dakshina Kannada",16,6430,6446,29,12509,12538,28,11688,11716
"KARNATAKA","Davanagere",188,32075,32263,382,70853,71236,355,61685,62041
"KARNATAKA","Dharwar",169,5583,5752,507,14656,15164,493,10729,11222
"KARNATAKA","Gadag",3,6344,6347,25,19830,19855,23,16421,16444
"KARNATAKA","Gulbarga",11,5805,5816,27,10175,10202,23,8116,8139
"KARNATAKA","Hassan",1170,32083,33253,1512,35211,36723,1173,30371,31544
"KARNATAKA","Haveri",84,18680,18764,196,48608,48804,166,40561,40727
"KARNATAKA","Kodagu",2,84,86,3,92,95,2,75,77
"KARNATAKA","Kolar",359,52503,52862,353,96746,97099,201,74371,74572
"KARNATAKA","Koppal",1,16033,16034,2,47760,47762,2,43293,43295
"KARNATAKA","Mandya",13,15368,15381,19,19836,19855,19,18287,18306
"KARNATAKA","Mysore",1,16477,16478,1,31661,31662,1,24465,24465
"KARNATAKA","Raichur",0,4472,4472,0,12488,12488,0,10382,10382
"KARNATAKA","Shimoga",41,9436,9477,113,19793,19906,96,17510,17605
"KARNATAKA","Tumkur",49,77014,77063,63,107022,107085,50,89429,89479
"KARNATAKA","Udupi",2,375,377,3,523,526,3,497,500
"KARNATAKA","Uttara Kannada",2,1554,1556,3,3485,3488,3,3089,3093
"KERALA","ALAPPUZHA",0,1216,1216,0,905,905,0,741,741
"KERALA","ERANAKULAM",0,355,355,0,441,441,0,402,402
"KERALA","IDDUKKI",44,230,274,158,542,699,129,495,624
"KERALA","KANNUR",0,117,117,0,233,233,0,229,229
"KERALA","KASARAGODE",7,291,298,36,456,493,33,384,418
"KERALA","KOLLAM",13,63,76,46,153,199,41,139,180
"KERALA","KOTTAYAM",4,121,125,7,246,253,7,241,248
"KERALA","KOZHIKODE",3,73,76,36,144,181,35,137,172
"KERALA","MALAPPURAM",0,361,361,0,470,470,0,365,365
"KERALA","PALAKKAD",5,631,636,41,1050,1091,41,1030,1072
"KERALA","PATHANAMTHITTA",10,113,123,18,133,151,17,117,135
"KERALA","THIRUVANANTHAPURAM",1,52,53,0,111,112,0,101,101
"KERALA","THRISSUR",11,812,823,192,708,900,179,668,847
"MADHYA PRADESH","BALAGHAT",0,16,16,0,30,30,0,29,29
"MADHYA PRADESH","BARWANI",0,1175,1175,0,3465,3465,0,2623,2623
"MADHYA PRADESH","BETUL",1,1464,1465,1,3802,3803,1,2629,2630
"MADHYA PRADESH","BHIND",15,1304,1319,229,12332,12561,182,8503,8685
"MADHYA PRADESH","BHOPAL",0,2003,2003,0,7155,7155,0,4293,4293
"MADHYA PRADESH","CHHATARPUR",1,191,192,3,584,587,3,562,565
"MADHYA PRADESH","CHHINDWARA",2,1484,1486,4,6216,6220,4,4239,4242
