-----
{
 "description": "This table gives the Production of Selected Industries in India since 1950-51. It gives details regarding production in various Industries by categories such as Mining Industries, Metallurgical Industries, Mechanical Engineering Industries and Electrical Engineering Industries.", 
 "file_name": "tab130.xls", 
 "title": "Download XLS for Production of Selected Industries(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab130.xls"
}
-----
"1.30 : PRODUCTION OF SELECTED INDUSTRIES","","","","","","","","","","","","","",""
"Industry","Unit","1950-51","1960-61","1970-71","1980-81","1990-91","2000-01","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12a"
"7. Finished steel","-do-",1.0,2.4,4.6,6.8,13.5,32.3,46.6,52.5,56.1,57.16,60.62,68.6,73.4
"8. Steel castings","Th tonnes","na",35.0,62.0,71.0,262.0,352.4,449.5,612.0,567.0,1592.0,1486.0,598.0,770.0
"9. Aluminium","-do-",4.0,18.5,168.8,199.0,451.1,620.4,831.7,1061.2,1042.7,934.5,1045.1,790.4,963.2
"10. Copper and copper products*","-do-","na","na","na","na","na","na",764.1,797.5,889.6,853.8,705.4,670.6,684.6
"III. MECHANICAL ENGINEERING INDUSTRIES","","","","","","","","","","","","","",""
"11. Machine tools","     Rs.   Million",3.0,8.0,430.0,1692.0,7731.0,12263.0,14456.0,17311.0,17645.0,13956.0,15018.0,18400.0,23640.0
"12. Textile machinery","-do-","na","na","na","na","na",125296.0,17115.0,24101.0,27447.0,16890.0,15742.0,24572.0,29785.0
"13. Commercial vehicles b","Thousand",8.6,28.2,41.2,71.7,145.5,152.0,391.1,520.0,545.1,416.5,566.6,752.6,910.2
"14. Cars, jeeps & land rovers (passanger cars)","-do-",7.9,26.6,46.7,49.4,220.8,632.2,1047.5,1238.7,1422.0,1516.8,1910.5,2452.8,2513.2
"15. Motor cycles*","-do-","na",0.9,97.0,447.2,1842.8,3756.1,6201.2,7112.2,6503.5,6802.0,8444.9,10527.1,12006.9
"16. Pumps (Power driven pumps)","-do-",35.0,105.0,259.0,431.0,19.0,481.9,1726.1,1954.7,2089.3,2140.3,2891.7,3139.1,3014.4
"17. Engines Inc. combustion & Diesel engines*","-do-",5.5,43.2,65.0,173.9,158.4,306.0,855.4,986.2,1120.8,1136.1,1250.5,1484.3,1565.2
"18. Tractors (complete)","-do-","na","na","na",71.0,142.2,284.4,236.4,300.5,295.0,293.6,373.7,465.4,548.7
"IV. ELECTRICAL ENGINEERING INDUSTRIES","","","","","","","","","","","","","",""
"19. Transformers (small)*","Th Numbers","na","na","na","na","na","na",3542.5,5713.8,5288.9,4408.9,6956.6,7482.0,6517.1
"20. Electric motors (phase 1)*","Million","na","na","na","na","na","na",3.1,3.3,3.1,2.8,2.8,3.0,2.8
"21. Electric motors (Exc.phase 1)*","Million hp","na","na","na","na","na",5.2,7.4,9.1,10.0,11.6,14.7,14.5,15.4
"22. Computers*","Rs.  Million","na","na","na","na","na",7914.6,29360.0,30374.2,33872.9,29931.1,29636.5,28180.7,29912.0
"","","","","","","","","","","","","","Contd…",""
"1.30 : PRODUCTION OF SELECTED INDUSTRIES","","","","","","","","","","","","","",""
"Industry","Unit","1950-51","1960-61","1970-71","1980-81","1990-91","2000-01","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12a"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
"23. Aluminium conductors","Th tonnes",1.7,23.7,64.2,86.0,67.6,30.9,28.9,24.6,35.0,75.6,112.6,97.9,98.3
"V. CHEMICAL AND ALLIED INDUSTRIES","","","","","","","","","","","","","",""
"24. Urea*","Th MT","na","na","na","na","na","na",20099.0,20308.0,19857.0,19922.0,21112.0,21880.0,21984.0
"25. Di Ammonium Phosphate (DAP)*","-do-","na","na","na","na","na","na",4628.0,4852.0,4212.0,2993.0,4247.0,3537.0,3962.0
"26. Soda ash","-do-",46.0,147.0,449.0,563.0,1385.0,1631.0,2298.0,2078.0,2006.0,1989.0,2051.0,2298.0,2427.0
"27. Caustic Soda","-do-",12.0,99.0,371.0,578.0,992.0,1642.0,1883.0,1914.0,2051.0,2050.0,2103.0,2168.0,2211.0
"28. Corrugated &other paper*","`Rs.crore","na","na","na","na","na","na",270.0,261.0,214.0,223.0,226.0,269.0,259.0
"29. Craft paper*","Th tonnes","na","na","na","na","na","na",899.0,977.0,1014.0,1060.0,1184.0,1260.0,1263.0
"30. Writing & printing paper*","Th tonnes","na","na","na","na","na","na",1974.0,2066.0,2144.0,2288.0,2387.0,2577.0,2867.0
"31. Automobile tyres (truck/bus)*","Million","na",1.5,3.8,8.0,20.1,29.3,11.8,12.1,12.8,12.0,13.8,13.5,13.5
"32. Car/cab tyres*","-do-","na","na","na","na","na","na",10.2,11.8,13.9,14.0,15.9,20.0,19.5
"33. Cement","Million tonnes",2.7,8.0,14.3,18.6,48.8,99.2,140.5,154.7,167.6,181.4,200.7,209.7,223.5
"34. Antibiotics & its preparations*","Rs.  crore","na","na","na","na","na","na",921.4,1066.8,1435.6,1366.6,1260.6,1143.6,1098.5
"35. Vitamins*","-do-","na","na","na","na","na","na",33.2,32.3,39.1,43.0,57.6,65.6,55.6
"36. Petroleum refinery productsf","Million tonnes",0.2,5.7,17.1,24.1,48.6,95.6,119.8,135.3,144.9,150.5,179.8,190.3,196.7
"VI. TEXTILE INDUSTRIES","","","","","","","","","","","","","",""
"37. Cloth","","","","","","","","","","","","","",""
"(a) Cotton cloth","Million sq. metres",4215.0,6738.0,7602.0,8368.0,15431.0,19718.0,23873.0,26238.0,27196.0,26898.0,28914.0,31718.0,30570.0
"(i) Mill sector","-do-",3401.0,4649.0,4055.0,3434.0,1859.0,1106.0,1192.0,1305.0,1249.0,1259.0,1465.0,1604.0,1724.0
"(ii) Decentralised sector","-do-",814.0,2089.0,3547.0,4934.0,13572.0,18612.0,22681.0,24933.0,25947.0,25639.0,27449.0,30114.0,28846.0
"(b) Mixed / blended cloth","-do-","na","na",170.0,1270.0,2380.0,6351.0,6298.0,6882.0,6888.0,6766.0,7767.0,8278.0,8468.0
"(i) Mill sector","-do-","na","na",107.0,730.0,698.0,332.0,252.0,330.0,422.0,426.0,482.0,526.0,521.0
"(ii) Decentralised sector","-do-","na","na",63.0,540.0,1682.0,6019.0,6046.0,6552.0,6466.0,6340.0,7285.0,7752.0,7947.0
"(c) Man-made fibre fabrics","-do-","300c","550c",951.0,1350.0,5126.0,14164.0,19406.0,20269.0,21941.0,21302.0,23652.0,22563.0,21415.0
"(i) Mill sector","-do-","13c","3c",2.0,4.0,41.0,232.0,212.0,111.0,110.0,111.0,69.0,75.0,68.0
"(ii) Decentralised sector","-do-","287c","547c",949.0,1346.0,5085.0,13932.0,19194.0,20158.0,21831.0,21191.0,23583.0,22488.0,21347.0
"","","","","","","","","","","","","","Contd.",""
"1.30 : PRODUCTION OF SELECTED INDUSTRIES","","","","","","","","","","","","","",""
"Industry","Unit","1950-51","1960-61","1970-71","1980-81","1990-91","2000-01","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12a"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
"38. Spun yarn (by cotton textile mills)","","","","","","","","","","","","","",""
"(i) Cotton","Million kg.","533c","788c",929.0,1067.0,1510.0,2267.0,2521.0,2824.0,2948.0,2896.0,3079.0,3490.0,3126.0
"(ii) Mixed / blended","-do-","na","na",22.0,144.0,207.0,646.0,588.0,635.0,677.0,655.0,707.0,797.0,789.0
"(iii) 100% non-cotton","-do-","11c","15c",65.0,87.0,107.0,247.0,349.0,354.0,378.0,361.0,407.0,426.0,457.0
"39. Filament yarn:","Th tonnes","","","","","","","","","","","","",""
"(a) Cellulosic","-do-","…","21c",38.0,43.0,51.0,55.0,53.0,54.0,51.0,42.0,43.0,41.0,42.0
"(i) Viscose","-do-","…","19c",36.0,41.0,51.0,55.0,53.0,54.0,51.0,42.0,43.0,41.0,42.0
"(b) Synthetic","-do-","na","na",10.0,32.0,227.0,865.0,1113.0,1303.0,1448.0,1360.0,1465.0,1496.0,1408.0
"(i) Polyster","-do-","na","na",1.0,11.0,187.0,839.0,1076.0,1271.0,1420.0,1332.0,1435.0,1463.0,1380.0
"(ii) Nylon","-do-","na","na",9.0,21.0,40.0,26.0,37.0,32.0,28.0,28.0,30.0,33.0,28.0
"40. Staple fibre:","","","","","","","","","","","","","",""
"(a) Cellulosic","-do-","na","22c",62.0,83.0,160.0,236.0,229.0,247.0,280.0,233.0,302.0,305.0,323.0
"(i) Viscose","-do-","na","22c",62.0,83.0,160.0,236.0,229.0,247.0,280.0,233.0,302.0,305.0,323.0
"(b) Synthetic","-do-","na","na",5.0,32.0,177.0,666.0,736.0,889.0,961.0,830.0,963.0,976.0,907.0
"(i) Polyester","-do-","na","na",5.0,22.0,135.0,566.0,628.0,792.0,880.0,750.0,873.0,896.0,829.0
"(ii) Acrelic","-do-","na","na","na",10.0,42.0,100.0,108.0,97.0,81.0,80.0,90.0,80.0,78.0
"VII. FOOD INDUSTRIES","","","","","","","","","","","","","",""
"41. Sugar ( including sugar cubes)d","Th tonnes","1134e","3029e",3740.0,5148.0,12047.0,18510.0,19321.0,28199.0,26300.0,14677.0,18802.0,24350.0,274300.0
"42. Tea","-do-",277.0,318.0,423.0,568.0,705.0,827.0,893.0,949.0,948.0,968.0,991.0,967.0,972.0
"43. Coffee","-do-",21.0,54.0,71.0,139.0,170.0,313.0,262.0,254.0,265.0,267.0,278.0,283.0,311.0
"44. Vanaspati/Edible hydrogenated oil*g","-do-",155.0,355.0,558.0,753.0,850.0,1445.0,1193.0,1285.0,1380.0,1532.0,1122.0,827.0,1235.0
"VIII. ELECTRICITY GENERATED (utilities)","Billion KWH",5.0,17.0,56.0,111.0,264.0,499.0,617.0,662.0,704.4,723.8,771.5,811.1,876.89
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Sources :"," 1 Department of Coal.","","","","3 Ministry of Mines","","","","","","","","",""
"","2 & 36 Ministry of Petroleum & Natural Gas.","","","","37-40 Ministry of Textiles","","","","","","","","",""
"","4 to 8 Ministry of Steel","","","","41 Directorate of Sugar.","","","","","","","","",""
"","9-35,42-44,& VIII Central Statistics Office {( based on total production of sample units only covered under Index of Industrial Production series ( base 2004-05=100)}","","","","","","","","","","","","",""
"na Not available."," Th = thousand","","","","","","","","","","","","",""
"","a Provisional","","","","","","","d Relates to October-September","","","","","",""
"","b Includes buses, trucks and tempos, 3 & 4 wheelers upto 2001-01 but excludes","","","","","","","e Relates to November-October.","","","","","",""
"","utility/multi purpose vehicles and three wheelers from 2004-05 onwards.","","","","","","","f Excluding LPG Production from natural gas","","","","","",""
"","c calendar year","","","","","","","g Relates to edible hydrogenated oil from 2004-05 onwards","","","","","",""
"","* new items/change in specifications hence data prior to 2005-06 may not be comparable.","","","","","","","","","","","","",""
