-----
{
 "description": "The table refers to block wise distribution of surface lift schemes by status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.6_1.csv", 
 "title": "Download CSV for Blockwise Distribution of surface lift schemes by its status for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.6_1.csv"
}
-----
"State","District","Block","Schemes in use","Schemes not in use - Temporary","Schemes not in use - Abandoned (Salinity)","Schemes not in use - Dried up","Schemes not in use - Sinking","Schemes not in use - Others","Total - Schemes not in use","Grand total"
"ANDHRA PRADESH","KARIMNAGAR","MALHARRAO MANDAL",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","KARIMNAGAR","MANTHANI",5,1,0,0,0,2,3,8
"ANDHRA PRADESH","KARIMNAGAR","MANTHANI",67,0,0,0,0,0,0,67
"ANDHRA PRADESH","KARIMNAGAR","MUSTABAD",53,1,0,0,0,0,1,54
"ANDHRA PRADESH","KARIMNAGAR","ODELA",12,0,0,0,0,0,0,12
"ANDHRA PRADESH","KARIMNAGAR","RAIKAL",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","KARIMNAGAR","SRIRAMPUR",141,0,0,0,0,0,0,141
"ANDHRA PRADESH","KARIMNAGAR","THIMMAPUR",5,0,0,0,0,0,0,5
"ANDHRA PRADESH","KARIMNAGAR","VELGATOOR",44,0,0,0,0,0,0,44
"ANDHRA PRADESH","KHAMMAM","ASWAPURAM",82,0,0,0,0,0,0,82
"ANDHRA PRADESH","KHAMMAM","ASWARAOPETA",31,0,0,0,0,0,0,31
"ANDHRA PRADESH","KHAMMAM","BAYYARAM",110,37,0,0,0,0,37,147
"ANDHRA PRADESH","KHAMMAM","BHADRACHALAM",100,0,0,0,0,0,0,100
"ANDHRA PRADESH","KHAMMAM","BONAKAL",32,1,0,0,0,0,1,33
"ANDHRA PRADESH","KHAMMAM","BURGAMPADU",140,0,0,0,0,0,0,140
"ANDHRA PRADESH","KHAMMAM","CHANDRUGONDA",36,0,0,0,0,0,0,36
"ANDHRA PRADESH","KHAMMAM","CHERLA",96,0,0,0,0,0,0,96
"ANDHRA PRADESH","KHAMMAM","CHINTHAKANI",25,0,0,0,0,0,0,25
"ANDHRA PRADESH","KHAMMAM","CHINTUR",152,0,0,0,0,0,0,152
"ANDHRA PRADESH","KHAMMAM","DUMMUGUDEM",42,0,0,0,0,0,0,42
"ANDHRA PRADESH","KHAMMAM","ENKURU",48,0,0,0,0,0,0,48
"ANDHRA PRADESH","KHAMMAM","GARLA",217,0,0,0,0,0,0,217
"ANDHRA PRADESH","KHAMMAM","GUNDALA",11,0,0,0,0,0,0,11
"ANDHRA PRADESH","KHAMMAM","JULURPAD",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","KHAMMAM","KALLURU",23,1,0,0,0,0,1,24
"ANDHRA PRADESH","KHAMMAM","KHAMMAM (RURAL)",195,0,0,0,0,0,0,195
"ANDHRA PRADESH","KHAMMAM","KHAMMAM (URBAN)",55,2,0,0,0,0,2,57
"ANDHRA PRADESH","KHAMMAM","KOTHAGUDEM",149,12,0,0,0,0,12,161
"ANDHRA PRADESH","KHAMMAM","KUKUNOOR",130,1,0,0,0,0,1,131
"ANDHRA PRADESH","KHAMMAM","KUNAVARAM",623,0,0,0,0,0,0,623
"ANDHRA PRADESH","KHAMMAM","MADHIRA",265,1,0,0,0,0,1,266
"ANDHRA PRADESH","KHAMMAM","MANUGUR",40,0,0,0,0,0,0,40
"ANDHRA PRADESH","KHAMMAM","MUDIGONDA",3,1,0,0,0,0,1,4
"ANDHRA PRADESH","KHAMMAM","MULAKALAPALLE",184,0,0,0,0,0,0,184
"ANDHRA PRADESH","KHAMMAM","NELAKONDAPALLE",3,0,0,0,0,0,0,3
"ANDHRA PRADESH","KHAMMAM","PALWANCHA",234,7,0,0,0,1,8,242
"ANDHRA PRADESH","KHAMMAM","PENUBALLI",21,0,0,0,0,0,0,21
"ANDHRA PRADESH","KHAMMAM","PINAPAKA",11,0,0,0,0,0,0,11
"ANDHRA PRADESH","KHAMMAM","SATHUPALLE",36,2,0,0,0,0,2,38
"ANDHRA PRADESH","KHAMMAM","SINGARENI",1,0,0,1,0,0,1,2
"ANDHRA PRADESH","KHAMMAM","TEKULAPALLE",124,0,0,0,0,0,0,124
"ANDHRA PRADESH","KHAMMAM","THALLADA",169,0,0,0,0,0,0,169
"ANDHRA PRADESH","KHAMMAM","THIRUMALAYAPALEM",3,0,0,0,0,0,0,3
"ANDHRA PRADESH","KHAMMAM","VARARAMACHANDRAPURAM",412,0,0,0,0,0,0,412
"ANDHRA PRADESH","KHAMMAM","VELAIRPAD",134,0,0,0,0,0,0,134
"ANDHRA PRADESH","KHAMMAM","VEMSOOR",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","KHAMMAM","VENKATAPURAM",351,0,0,0,0,0,0,351
"ANDHRA PRADESH","KHAMMAM","WAZEED",74,0,0,0,0,0,0,74
"ANDHRA PRADESH","KHAMMAM","WYRA",78,0,0,0,0,0,0,78
"ANDHRA PRADESH","KHAMMAM","YERRUPALEM",48,0,0,0,0,0,0,48
"ANDHRA PRADESH","KRISHNA","AGIRIPALLE",1,1,0,0,0,0,1,2
"ANDHRA PRADESH","KRISHNA","BAPULAPADU",13,0,0,0,0,0,0,13
"ANDHRA PRADESH","KRISHNA","CHANDARLAPADU",5,0,0,0,0,0,0,5
"ANDHRA PRADESH","KRISHNA","CHATRAI",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","KRISHNA","GAMPALAGUDEM",3,0,0,0,0,0,0,3
"ANDHRA PRADESH","KRISHNA","GANNAVARAM",3,0,0,0,0,0,0,3
"ANDHRA PRADESH","KRISHNA","IBRAHIMPATNAM",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","KRISHNA","JAGGAYYAPETA",3,0,0,0,0,0,0,3
"ANDHRA PRADESH","KRISHNA","KAIKALUR",10,0,0,0,0,0,0,10
"ANDHRA PRADESH","KRISHNA","KALIDINDI",5,1,0,0,0,0,1,6
"ANDHRA PRADESH","KRISHNA","KANCHIKACHERLA",3,0,0,0,0,0,0,3
"ANDHRA PRADESH","KRISHNA","MANDAVALLI",4,0,0,0,0,0,0,4
"ANDHRA PRADESH","KRISHNA","MUDINEPALLE",7,0,14,0,0,0,14,21
"ANDHRA PRADESH","KRISHNA","MUSUNURU",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","KRISHNA","NAGAYALANKA",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","KRISHNA","NANDIGAMA",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","KRISHNA","NANDIVADA",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","KRISHNA","PAMARRU",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","KRISHNA","PEDANA",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","KRISHNA","PENAMALURU",4,0,0,0,0,0,0,4
"ANDHRA PRADESH","KRISHNA","REDDIGUDEM",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","KRISHNA","TIRUVURU",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","KRISHNA","UNGUTURU",3,0,0,0,0,0,0,3
"ANDHRA PRADESH","KRISHNA","VATSAVAI",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","KRISHNA","VEERULLAPADU",3,0,0,0,0,0,0,3
"ANDHRA PRADESH","KRISHNA","VIJAYAWADA (URBAN)",0,0,0,0,0,1,1,1
"ANDHRA PRADESH","KRISHNA","VISSANNAPET",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","KURNOOL","ADONI",59,0,0,0,0,0,0,59
"ANDHRA PRADESH","KURNOOL","BANAGANAPALLE",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","KURNOOL","BANDI ATMAKUR",142,0,0,0,0,0,0,142
"ANDHRA PRADESH","KURNOOL","C.BELAGAL",153,0,0,0,0,0,0,153
"ANDHRA PRADESH","KURNOOL","DORNIPADU",11,0,0,0,0,0,0,11
"ANDHRA PRADESH","KURNOOL","GOSPADU",48,0,0,0,0,0,0,48
"ANDHRA PRADESH","KURNOOL","HALAHARVI",44,0,0,0,0,0,0,44
"ANDHRA PRADESH","KURNOOL","HOLAGUNDA",50,0,0,0,0,1,1,51
"ANDHRA PRADESH","KURNOOL","KOILKUNTLA",247,9,0,0,0,0,9,256
"ANDHRA PRADESH","KURNOOL","KOSIGI",65,0,0,0,0,0,0,65
"ANDHRA PRADESH","KURNOOL","KOTHAPALLE",16,0,0,0,0,0,0,16
"ANDHRA PRADESH","KURNOOL","KOWTHALAM",68,0,0,0,0,0,0,68
"ANDHRA PRADESH","KURNOOL","MAHANANDI",8,0,0,0,0,0,0,8
"ANDHRA PRADESH","KURNOOL","MANTRALAYAM",94,0,0,0,0,0,0,94
"ANDHRA PRADESH","KURNOOL","NANDAVARAM",194,8,0,0,0,0,8,202
"ANDHRA PRADESH","KURNOOL","NANDYAL",80,0,0,0,0,0,0,80
"ANDHRA PRADESH","KURNOOL","PANYAM",44,0,0,0,0,0,0,44
"ANDHRA PRADESH","KURNOOL","UYYALAWADA",241,0,0,0,0,0,0,241
"ANDHRA PRADESH","MAHABOOB NAGAR","AIZA",94,0,0,0,0,0,0,94
"ANDHRA PRADESH","MAHABOOB NAGAR","ALAMPUR",7,0,0,0,0,0,0,7
"ANDHRA PRADESH","MAHABOOB NAGAR","ATMAKUR",169,33,0,0,0,1,34,203
"ANDHRA PRADESH","MAHABOOB NAGAR","GADWAL",126,1,0,0,0,0,1,127
"ANDHRA PRADESH","MAHABOOB NAGAR","ITIKYAL",5,0,0,0,0,0,0,5
"ANDHRA PRADESH","MAHABOOB NAGAR","MAGANOOR",58,0,0,0,0,0,0,58
"ANDHRA PRADESH","MAHABOOB NAGAR","MAKTHAL",9,0,0,0,0,0,0,9
"ANDHRA PRADESH","MAHABOOB NAGAR","MANOPADU",184,0,0,1,0,0,1,185
