-----
{
 "description": "The table refers to District wise Surface Lift Schemes in the command of Major/Medium Projects and Supplimentary Irrigation. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.14.csv", 
 "title": "Download CSV for Districtwise Surface Lift Schemes in the command of Major/Medium Projects and Supplimentary Irrigation", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.14.csv"
}
-----
"State","District","Location of  Schemes (Nos) - Inside Command","Location of Schemes (Nos) - Outside Command","Total","Supplementary Irrigation (Ha) - Kharif","Supplementary Irrigation (Ha) - Rabi","Supplementary Irrigation (Ha) - Perennial","Supplementary Irrigation (Ha) - Others","Total.1"
"KERALA","KOLLAM",1,34,35,0,0,0,0,1
"KERALA","KOTTAYAM",7,974,981,0,0,0,0,0
"KERALA","KOZHIKODE",1,578,579,0,0,0,0,0
"KERALA","MALAPPURAM",9,2611,2620,5,0,0,0,5
"KERALA","PALAKKAD",254,2000,2254,14,242,13,1,270
"KERALA","PATHANAMTHITTA",4,182,186,0,0,0,0,0
"KERALA","THIRUVANANTHAPURAM",0,42,42,0,0,0,0,0
"KERALA","THRISSUR",46,2959,3005,1,25,0,127,153
"KERALA","WAYANAD",0,1013,1013,0,0,0,0,0
"MADHYA PRADESH","BALAGHAT",89,795,884,2567,66,0,0,2632
"MADHYA PRADESH","BARWANI",27,3486,3513,64,271,0,0,335
"MADHYA PRADESH","BETUL",612,5925,6537,2,151,7,0,160
"MADHYA PRADESH","BHIND",74,216,290,235,3278,0,0,3512
"MADHYA PRADESH","BHOPAL",0,2345,2345,110,1528,0,0,1638
"MADHYA PRADESH","CHHATARPUR",728,3023,3751,0,12211,0,0,12211
"MADHYA PRADESH","CHHINDWARA",92,584,676,0,0,0,0,0
"MADHYA PRADESH","DAMOH",637,9660,10297,0,2320,0,0,2320
"MADHYA PRADESH","DATIA",1,533,534,0,0,0,0,0
"MADHYA PRADESH","DEWAS",113,2151,2264,0,0,0,0,0
"MADHYA PRADESH","DHAR",130,4941,5071,34,186,0,0,221
"MADHYA PRADESH","DINDORI",1,206,207,0,58,0,0,58
"MADHYA PRADESH","GUNA",1644,11218,12862,0,703,0,0,703
"MADHYA PRADESH","GWALIOR",205,817,1022,83,236,0,0,319
"MADHYA PRADESH","HARDA",1326,2859,4185,0,0,0,0,0
"MADHYA PRADESH","HOSHANGABAD",1792,6459,8251,3,32,0,0,34
"MADHYA PRADESH","INDORE",419,1653,2072,0,0,0,0,0
"MADHYA PRADESH","JABALPUR",20,4432,4452,3,131,0,0,134
"MADHYA PRADESH","JHABUA",233,2957,3190,81,13,0,0,95
"MADHYA PRADESH","KATNI",379,6065,6444,0,289,0,0,289
"MADHYA PRADESH","KHANDWA",234,3895,4129,51,8,0,0,60
"MADHYA PRADESH","KHARGONE",261,7344,7605,1214,10,0,0,1224
"MADHYA PRADESH","MANDLA",78,841,919,0,4,0,0,4
"MADHYA PRADESH","MANDSAUR",2,2314,2316,0,0,0,0,0
"MADHYA PRADESH","MORENA",13,207,220,0,56,0,0,56
"MADHYA PRADESH","NARSINGHPUR",41,2272,2313,0,237,0,0,237
"MADHYA PRADESH","NEEMUCH",28,246,274,0,0,0,0,0
"MADHYA PRADESH","PANNA",3988,6790,10778,40,432,0,0,472
"MADHYA PRADESH","RAISEN",583,9199,9782,0,15,0,0,15
"MADHYA PRADESH","RAJGARH",39,3114,3153,0,49,0,0,49
"MADHYA PRADESH","RATLAM",584,1206,1790,2,283,0,0,285
"MADHYA PRADESH","REWA",299,4982,5281,0,86,0,2,88
"MADHYA PRADESH","SAGAR",189,22682,22871,0,518,0,0,518
"MADHYA PRADESH","SATNA",13,3649,3662,0,75,0,0,75
"MADHYA PRADESH","SEHORE",170,1817,1987,0,332,0,0,332
"MADHYA PRADESH","SEONI",170,1097,1267,1,164,0,0,165
"MADHYA PRADESH","SHAHDOL",395,3205,3600,0,1279,0,0,1279
"MADHYA PRADESH","SHAJAPUR",165,2618,2783,0,47,9,0,56
"MADHYA PRADESH","SHEOPUR",897,783,1680,0,0,0,0,0
"MADHYA PRADESH","SHIVPURI",480,3162,3642,0,716,0,0,716
"MADHYA PRADESH","SIDHI",97,2949,3046,0,4,0,0,4
"MADHYA PRADESH","TIKAMGARH",494,984,1478,0,0,0,0,0
"MADHYA PRADESH","UJJAIN",265,3185,3450,0,386,0,0,386
"MADHYA PRADESH","UMARIA",190,2348,2538,0,1015,0,0,1015
"MADHYA PRADESH","VIDISHA",796,15935,16731,0,0,0,0,0
"MAHARASHTRA","AHMEDNAGAR",461,2170,2631,69,90,51,18,227
"MAHARASHTRA","AKOLA",359,467,826,148,416,8,0,573
"MAHARASHTRA","AMRAVATI",58,356,414,1,4,0,0,5
"MAHARASHTRA","AURANGABAD",14,0,14,0,0,0,0,0
"MAHARASHTRA","BEED",367,311,678,0,0,0,0,0
"MAHARASHTRA","BHANDARA",63,215,278,10,0,0,0,10
"MAHARASHTRA","BULDANA",12,570,582,0,0,0,0,0
"MAHARASHTRA","CHANDRAPUR",60,764,824,0,2,0,0,2
"MAHARASHTRA","DHULE",0,268,268,0,0,0,0,0
"MAHARASHTRA","GADCHIROLI",10,113,123,0,0,0,0,0
"MAHARASHTRA","GONDIYA",101,136,237,5,0,0,0,5
"MAHARASHTRA","HINGOLI",439,1506,1945,0,0,0,0,0
"MAHARASHTRA","JALGAON",0,61,61,0,0,0,0,0
"MAHARASHTRA","JALNA",14,0,14,0,0,0,0,0
"MAHARASHTRA","KOLHAPUR",16509,5833,22342,4384,4523,11870,690,21467
"MAHARASHTRA","LATUR",1736,2059,3795,22,321,735,0,1077
"MAHARASHTRA","NAGPUR",57,429,486,9,106,11,0,127
"MAHARASHTRA","NANDED",1527,6368,7895,88,107,164,0,358
"MAHARASHTRA","NANDURBAR",0,887,887,0,0,0,0,0
"MAHARASHTRA","NASHIK",156,2478,2634,0,0,0,0,0
"MAHARASHTRA","OSMANABAD",1428,1677,3105,0,0,0,0,0
"MAHARASHTRA","PARBHANI",356,1565,1921,0,68,0,0,68
"MAHARASHTRA","PUNE",97,7,104,0,0,0,0,0
"MAHARASHTRA","RAIGHAR",32,1039,1071,1,0,14,0,15
"MAHARASHTRA","RATNAGIRI",6,261,267,0,4,0,0,4
"MAHARASHTRA","SANGLI",2535,4959,7494,100,98,145,0,343
"MAHARASHTRA","SATARA",1588,4872,6460,756,495,974,0,2225
"MAHARASHTRA","SINDHUDURGA",7,2703,2710,0,0,0,0,0
"MAHARASHTRA","SOLAPUR",7997,13133,21130,194,511,393,0,1098
"MAHARASHTRA","THANE",90,1081,1171,0,0,0,0,0
"MAHARASHTRA","WARDHA",40,248,288,51,549,93,4,697
"MAHARASHTRA","WASHIM",326,1201,1527,3,106,0,0,109
"MAHARASHTRA","YAVATMAL",730,4990,5720,1,2,0,1,4
"MANIPUR","IMPHAL EAST",0,7,7,0,0,0,0,0
"MANIPUR","IMPHAL WEST",0,18,18,0,0,0,0,0
"MANIPUR","THOUBAL",0,19,19,0,0,0,0,0
"MEGHALAYA","EAST GARO HILLS",0,2,2,0,0,0,0,0
"MEGHALAYA","JAINTIA HILLS",0,4,4,0,0,0,0,0
"MEGHALAYA","WEST GARO HILLS",0,5,5,0,0,0,0,0
"MIZORAM","CHAMPHAI",0,17,17,0,0,0,0,0
"MIZORAM","KOLASIB",1,26,27,0,0,0,0,0
"MIZORAM","MAMIT",0,2,2,0,0,0,0,0
"MIZORAM","SERCHHIP",2,168,170,0,0,0,0,0
"NAGALAND","DIMAPUR",0,38,38,0,0,0,0,0
"ORISSA","ANGUL",0,583,583,0,0,0,0,0
"ORISSA","BALASORE",1,398,399,3,1,0,0,4
"ORISSA","BARGARH",8,1178,1186,31,3,1,0,34
"ORISSA","BHADRAK",5,817,822,4,1,0,0,6
"ORISSA","BOLANGIR",3,1618,1621,21,7,0,0,28
"ORISSA","BOUDH",0,158,158,0,0,0,0,0
"ORISSA","CUTTACK",7,2760,2767,3,2,0,0,5
"ORISSA","DEOGARH",0,719,719,0,0,0,0,0
"ORISSA","DHENKANAL",0,472,472,0,0,0,0,0
"ORISSA","GAJAPATI",0,217,217,0,0,0,0,0
"ORISSA","GANJAM",37,1637,1674,202,6,0,0,208
"ORISSA","JAGATSINGHPUR",0,98,98,0,0,0,0,0
"ORISSA","JAJAPUR",0,885,885,0,0,0,0,0
"ORISSA","JHARSUGUDA",0,575,575,0,0,0,0,0
"ORISSA","KALAHANDI",0,460,460,0,0,0,0,0
"ORISSA","KANDHAMAL",0,171,171,0,0,0,0,0
"ORISSA","KENDRAPARA",1,2144,2145,0,2,0,0,2
"ORISSA","KEONJHAR",0,1528,1528,0,0,0,0,0
"ORISSA","KHURDA",0,529,529,0,0,0,0,0
"ORISSA","KORAPUT",1,2003,2004,0,0,0,0,0
"ORISSA","MALKANAGIRI",31,131,162,36,26,0,0,62
"ORISSA","MAYURBHANJA",7,2223,2230,4,1,0,0,4
"ORISSA","NAWARANGAPUR",40,2151,2191,14,1,0,0,15
"ORISSA","NAYAGARH",0,224,224,0,0,0,0,0
"ORISSA","NUAPADA",1,202,203,2,0,0,0,2
"ORISSA","PURI",14,5238,5252,1,9,0,3,13
"ORISSA","RAYAGADA",7,522,529,76,0,0,0,77
"ORISSA","SAMBALPUR",8,1416,1424,18,1,0,0,18
"ORISSA","SONEPUR",18,288,306,30,10,0,0,39
"ORISSA","SUNDARGARH",2,1308,1310,0,15,0,0,15
"PONDICHERRY","KARAIKAL",0,6,6,0,0,0,0,0
"PONDICHERRY","PONDICHERRY",0,1,1,0,0,0,0,0
"PUNJAB","AMRITSER",0,21,21,0,0,0,0,0
"PUNJAB","FATEHGARH SAHIB",0,37,37,0,0,0,0,0
"PUNJAB","GURDASPUR",2,19,21,2,2,0,0,3
"PUNJAB","HOSHIARPUR",0,5,5,0,0,0,0,0
"PUNJAB","MOGA",11,9,20,6,6,0,0,12
"PUNJAB","PATIALA",41,707,748,5,5,0,0,10
"PUNJAB","ROPAR",1,586,587,0,0,0,0,0
"PUNJAB","SANGRUR",0,2,2,0,0,0,0,0
"RAJASTHAN","AJMER",0,6,6,0,0,0,0,0
"RAJASTHAN","BANSWARA",236,678,914,0,17,0,1,18
"RAJASTHAN","BARAN",21,174,195,0,0,0,0,0
"RAJASTHAN","BHILWARA",1,83,84,0,0,0,0,0
"RAJASTHAN","BUNDI",1,50,51,0,0,0,0,0
"RAJASTHAN","CHITTORGARH",4,58,62,0,0,0,0,0
"RAJASTHAN","DAUSA",0,1,1,0,0,0,0,0
"RAJASTHAN","DUNGARPUR",2,176,178,0,0,0,0,0
"RAJASTHAN","JAIPUR",0,232,232,0,0,0,0,0
"RAJASTHAN","JHALAWAR",0,46,46,0,0,0,0,0
"RAJASTHAN","KOTA",12,281,293,0,0,0,0,0
"RAJASTHAN","PALI",2,6,8,0,0,0,0,0
"RAJASTHAN","RAJSAMAND",1,66,67,0,0,0,0,0
"RAJASTHAN","SAWAI MADHOPUR",0,4,4,0,0,0,0,0
"RAJASTHAN","SIROHI",0,3,3,0,0,0,0,0
"RAJASTHAN","TONK",1,34,35,0,0,0,0,0
"RAJASTHAN","UDAIPUR",2,43,45,0,0,0,0,0
"TAMIL NADU","COIMBATORE",68,1101,1169,8,0,55,3,66
"TAMIL NADU","CUDDALORE",0,57,57,0,0,0,0,0
"TAMIL NADU","DHARMAPURI",6,1083,1089,1,0,0,0,1
"TAMIL NADU","DINDIGUL",0,24,24,0,0,0,0,0
"TAMIL NADU","ERODE",137,2340,2477,200,16,28,0,244
"TAMIL NADU","KANCHEEPURAM",0,33,33,0,0,0,0,0
"TAMIL NADU","KARUR",2,514,516,0,0,0,0,0
"TAMIL NADU","MADURAI",0,104,104,0,0,0,0,0
"TAMIL NADU","NAGAPATTINAM",0,8,8,0,0,0,0,0
"TAMIL NADU","NAMAKKAL",16,1900,1916,0,9,0,0,9
"TAMIL NADU","NILGIRIS",8,510,518,0,2,1,0,3
"TAMIL NADU","PERAMBALUR",0,236,236,0,0,0,0,0
"TAMIL NADU","SALEM",64,6,70,57,0,0,0,57
"TAMIL NADU","SIVAGANGA",0,12,12,0,0,0,0,0
"TAMIL NADU","THANJAVUR",1,190,191,0,0,1,0,1
"TAMIL NADU","THENI",0,309,309,0,0,0,0,0
"TAMIL NADU","THIRUVALLUR",30,87,117,332,25,1,0,358
"TAMIL NADU","THIRUVARUR",1,15,16,0,121,0,0,121
"TAMIL NADU","TIRUCHIRAPPALLI",0,624,624,0,0,0,0,0
"TAMIL NADU","TIRUNELVELI",0,11,11,0,0,0,0,0
"TAMIL NADU","TIRUVANNAMALAI",0,38,38,0,0,0,0,0
"TAMIL NADU","TUTICORIN DISTRICT",0,3,3,0,0,0,0,0
"TAMIL NADU","VELLORE",0,185,185,0,0,0,0,0
"TAMIL NADU","VILLUPPURAM",0,363,363,0,0,0,0,0
"TRIPURA","DHALAI",4,93,97,12,3,0,0,15
"TRIPURA","NORTH TRIPURA",9,138,147,36,62,7,2,107
"TRIPURA","SOUTH TRIPURA",51,531,582,707,1077,63,198,2044
"TRIPURA","WEST TRIPURA",73,268,341,107,1113,2,5,1228
"UTTAR PRADESH","ALIGARH",18,7,25,0,0,0,0,0
"UTTAR PRADESH","ALLAHABAD",59,157,216,32,109,9,0,150
"UTTAR PRADESH","BAHARAICH",3,0,3,0,0,0,0,0
"UTTAR PRADESH","BALRAMPUR",3,33,36,0,0,0,0,0
