-----
{
 "description": "Data provides list of blocks awarded with Nirmal Gram Puraskar (NGP) upto 2011.", 
 "file_name": "List_of_Blocks_Awarded_with_NGP_Upto_2011.xls", 
 "title": "Download XLS for List of Blocks Awarded With Nirmal Gram Puraskar Upto 2011", 
 "url": "http://data.gov.in/sites/default/files/List_of_Blocks_Awarded_with_NGP_Upto_2011.xls"
}
-----
"State Name","District Name","Block Name","Awarded Year"
"KERALA","THIRUVANANTHAPURAM","THIRUVANANTHAPURAM RURAL",2007.0
"KERALA","THIRUVANANTHAPURAM","VAMANAPURAM",2008.0
"KERALA","THRISSUR","ANTHIKKAD",2008.0
"KERALA","THRISSUR","CHALAKUDY",2008.0
"KERALA","THRISSUR","CHAVAKKAD",2008.0
"KERALA","THRISSUR","CHERPU",2007.0
"KERALA","THRISSUR","CHOWANNUR",2008.0
"KERALA","THRISSUR","IRINJALAKUDA",2008.0
"KERALA","THRISSUR","KODAKARA",2008.0
"KERALA","THRISSUR","KODUNGALLOOR",2007.0
"KERALA","THRISSUR","MALA",2008.0
"KERALA","THRISSUR","MATHILAKAM",2008.0
"KERALA","THRISSUR","MULLASSERY",2007.0
"KERALA","THRISSUR","OLLUKKARA",2008.0
"KERALA","THRISSUR","PAZHAYANNUR",2008.0
"KERALA","THRISSUR","PUZHAKKAL",2008.0
"KERALA","THRISSUR","THALIKKULAM",2008.0
"KERALA","THRISSUR","VELLANGALLOOR",2007.0
"KERALA","THRISSUR","WADAKKANCHERY",2008.0
"KERALA","WAYANAD","KALPETTA",2008.0
"KERALA","WAYANAD","MANANTHAVADY",2008.0
"KERALA","WAYANAD","SULTHANBETHERI",2008.0
"MAHARASHTRA","KOLHAPUR","AJRA",2009.0
"MAHARASHTRA","KOLHAPUR","BAVDA",2008.0
"MAHARASHTRA","KOLHAPUR","KAGAL",2008.0
"MAHARASHTRA","KOLHAPUR","PANHALA",2009.0
"MAHARASHTRA","KOLHAPUR","RADHANAGARI",2009.0
"MAHARASHTRA","RATNAGIRI","LANJA",2009.0
"MAHARASHTRA","SANGLI","PALUS",2009.0
"MAHARASHTRA","SATARA","JAOLI",2011.0
"MAHARASHTRA","SATARA","KHANDALA",2009.0
"MAHARASHTRA","SATARA","MAHABALESHWAR",2006.0
"MAHARASHTRA","SATARA","WAI",2011.0
"TAMIL NADU","KANNIYAKUMARI","KILLIYUR",2008.0
"TAMIL NADU","KANNIYAKUMARI","MELPURAM",2005.0
"TAMIL NADU","KANNIYAKUMARI","MUNCHIRA",2008.0
"TAMIL NADU","KANNIYAKUMARI","THAKKALAY",2008.0
"TAMIL NADU","KANNIYAKUMARI","THIRUVATTARU",2008.0
"TAMIL NADU","TIRUCHIRAPPALLI","THATHAIYANGARPETTAI",2008.0
"WEST BENGAL","BARDHAMAN","AUSGRAM-I",2006.0
"WEST BENGAL","BARDHAMAN","GALSI -I",2008.0
"WEST BENGAL","BARDHAMAN","RAINA-I",2006.0
"WEST BENGAL","BARDHAMAN","RAINA-II",2006.0
"WEST BENGAL","COOCHBEHAR","MATHA BHANGA-II",2009.0
"WEST BENGAL","HOOGHLY","ARAMBAGH",2008.0
"WEST BENGAL","HOOGHLY","GOGHAT-II",2008.0
"WEST BENGAL","HOWRAH","AMTA-II",2008.0
"WEST BENGAL","HOWRAH","BAGNAN-I",2007.0
"WEST BENGAL","HOWRAH","BAGNAN-II",2007.0
"WEST BENGAL","HOWRAH","BALLY-JAGACHA",2006.0
"WEST BENGAL","HOWRAH","DOMJUR",2008.0
"WEST BENGAL","HOWRAH","JAGATBALLAVPUR",2008.0
"WEST BENGAL","HOWRAH","PANCHLA",2008.0
"WEST BENGAL","HOWRAH","SHYAMPUR-I",2008.0
"WEST BENGAL","HOWRAH","SHYAMPUR-II",2008.0
"WEST BENGAL","HOWRAH","UDAYNARAYANPUR",2009.0
"WEST BENGAL","HOWRAH","ULUBERIA-I",2008.0
"WEST BENGAL","HOWRAH","ULUBERIA-II",2007.0
"WEST BENGAL","MEDINIPUR EAST","CONTAI-II(DESHPRAN)",2009.0
"WEST BENGAL","MEDINIPUR EAST","KHEJURI-I",2006.0
"WEST BENGAL","MEDINIPUR EAST","KHEJURI-II",2007.0
"WEST BENGAL","MEDINIPUR EAST","MAHISADAL",2006.0
"WEST BENGAL","MEDINIPUR EAST","MOYNA",2008.0
"WEST BENGAL","MEDINIPUR EAST","NANDAKUMAR",2006.0
"WEST BENGAL","MEDINIPUR EAST","NANDIGRAM-II",2005.0
"WEST BENGAL","MEDINIPUR EAST","NANDIGRAM-III(CHANDIPUR)",2009.0
"WEST BENGAL","MEDINIPUR EAST","SAHID MATANGINI",2007.0
"WEST BENGAL","MEDINIPUR EAST","SUTAHATA-I(SUTAHATA)",2007.0
"WEST BENGAL","MEDINIPUR EAST","SUTAHATA-II(HALDIA)",2006.0
"WEST BENGAL","MEDINIPUR WEST","MOHANPUR",2008.0
"WEST BENGAL","NADIA","HARINGHATA",2007.0
"WEST BENGAL","NADIA","KRISHNAGAR-II",2008.0
"WEST BENGAL","NORTH 24 PARAGANAS","BARASAT-I",2008.0
"WEST BENGAL","NORTH 24 PARAGANAS","BARRACKPUR-I",2008.0
"WEST BENGAL","SOUTH 24 PARAGANAS","BUDGE BUDGE-I",2008.0
"WEST BENGAL","SOUTH 24 PARAGANAS","KAKDWIP",2008.0
