-----
{
 "description": "The table refers to district wise surface lift schemes in the command of major/minor projects and average pumping hours. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.11.csv", 
 "title": "Download CSV for Districtwise surface lift Schemes in the command of major/medium projects and Average pumping hours for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.11.csv"
}
-----
"State","District","Location of Schemes - On the Maj/Med","Location of schemes - Outside command","Avg pumping hours (0-4)","Avg pumping hours (4-8)","Avg pumping hours (8-12)","Avg pumping hours (12-16)","Avg pumping hours (16-20)","Avg pumping hours (20-24)","Total"
"ORISSA","JAGATSINGHPUR",10,147,85,65,5,0,2,0,157
"ORISSA","JAJPUR",40,642,222,397,62,1,0,0,682
"ORISSA","JHARSUGUDA",1,409,330,64,13,1,2,0,410
"ORISSA","KALAHANDI",22,431,229,203,20,1,0,0,453
"ORISSA","KENDRAPARA",212,1753,1107,790,67,1,0,0,1965
"ORISSA","KEONJHAR",0,627,306,277,23,11,10,0,627
"ORISSA","KHURDA",3,238,133,101,7,0,0,0,241
"ORISSA","KORAPUT",64,1104,1034,114,7,12,1,0,1168
"ORISSA","MALKANGIRI",1,30,17,14,0,0,0,0,31
"ORISSA","MAYURBHANJ",7,545,209,212,81,25,25,0,552
"ORISSA","NAYAGARH",5,189,82,81,31,0,0,0,194
"ORISSA","NOWRANGPUR",22,1299,1208,109,3,1,0,0,1321
"ORISSA","NUAPADA",7,193,114,49,23,8,5,1,200
"ORISSA","PHULBANI",0,237,190,39,6,0,2,0,237
"ORISSA","PURI",836,2973,3236,485,68,11,6,3,3809
"ORISSA","RAYAGADA",4,329,76,175,38,42,2,0,333
"ORISSA","SAMBALPUR",23,715,530,165,18,2,23,0,738
"ORISSA","SONEPUR",100,145,30,160,34,10,10,1,245
"ORISSA","SUNDARGARH",9,919,639,247,36,4,1,1,928
"PUNJAB","AMRITSAR",28,267,11,122,59,79,0,24,295
"PUNJAB","FARIDKOT",30,0,0,30,0,0,0,0,30
"PUNJAB","GURDASPUR",3,7,4,2,4,0,0,0,10
"PUNJAB","HOSHIARPUR",1,0,0,1,0,0,0,0,1
"PUNJAB","JALANDHAR",0,5,0,5,0,0,0,0,5
"PUNJAB","KAPURTHALA",0,45,0,44,1,0,0,0,45
"PUNJAB","PATIALA",22,175,8,60,129,0,0,0,197
"PUNJAB","ROPAR",0,115,8,26,63,12,6,0,115
"PUNJAB","SANGRUR",49,17,0,3,63,0,0,0,66
"RAJASTHAN","AJMER",0,1,0,1,0,0,0,0,1
"RAJASTHAN","BARAN",0,76,7,52,10,1,6,0,76
"RAJASTHAN","BHILWARA",0,32,0,13,5,2,10,2,32
"RAJASTHAN","BUNDI",0,2,2,0,0,0,0,0,2
"RAJASTHAN","CHITTORGARH",0,35,3,10,11,1,4,6,35
"RAJASTHAN","CHURU",0,2,1,0,1,0,0,0,2
"RAJASTHAN","DHOLPUR",0,1,0,0,1,0,0,0,1
"RAJASTHAN","DUNGARPUR",1,73,12,31,22,5,3,1,74
"RAJASTHAN","JHALAWAR",0,38,12,14,6,0,3,3,38
"RAJASTHAN","KOTA",0,6,2,2,1,0,0,1,6
"RAJASTHAN","NAGAUR",0,2,2,0,0,0,0,0,2
"RAJASTHAN","RAJSAMAND",0,1,0,0,1,0,0,0,1
"RAJASTHAN","SIROHI",0,2,0,0,1,1,0,0,2
"RAJASTHAN","TONK",0,2,0,1,1,0,0,0,2
"RAJASTHAN","UDAIPUR",0,15,8,5,2,0,0,0,15
"TAMIL NADU","COIMBATORE",3,478,215,240,25,1,0,0,481
"TAMIL NADU","CUDDALORE",227,465,489,134,25,2,42,0,692
"TAMIL NADU","DHARMAPURI",0,10,10,0,0,0,0,0,10
"TAMIL NADU","DINDIGUL",1,1490,28,1463,0,0,0,0,1491
"TAMIL NADU","ERODE",2587,2000,1552,2864,137,16,14,4,4587
"TAMIL NADU","KANCHIPURAM",30,3,30,3,0,0,0,0,33
"TAMIL NADU","KARUR",10,7,7,1,0,5,3,1,17
"TAMIL NADU","NAGAPATTINAM",5,1,0,0,5,1,0,0,6
"TAMIL NADU","NAMAKKAL",0,3293,3085,160,4,44,0,0,3293
"TAMIL NADU","PERAMBALUR",2,371,328,44,1,0,0,0,373
"TAMIL NADU","PUDUKOTTAI",3,6,6,0,2,0,0,1,9
"TAMIL NADU","RAMNATHAPURAM",0,12,12,0,0,0,0,0,12
"TAMIL NADU","SALEM",0,70,67,3,0,0,0,0,70
"TAMIL NADU","SIVAGANGA",16,26,34,7,1,0,0,0,42
"TAMIL NADU","THANJAVUR",4,1,2,2,1,0,0,0,5
"TAMIL NADU","THENI",1,68,58,11,0,0,0,0,69
"TAMIL NADU","TIRUVALLUR",3,106,80,24,2,3,0,0,109
"TAMIL NADU","TIRUVARUR",15,4,1,7,5,0,2,4,19
"TAMIL NADU","TRICHIRAPPALLI",0,20,9,11,0,0,0,0,20
"TAMIL NADU","VILLUPURAM",15,224,232,7,0,0,0,0,239
"TRIPURA","DHALAI",0,109,76,29,4,0,0,0,109
"TRIPURA","NORTH",1,145,51,92,3,0,0,0,146
"TRIPURA","SOUTH",4,397,146,175,64,12,4,0,401
"TRIPURA","WEST",0,173,22,114,35,2,0,0,173
"UTTAR PRADESH","AGRA",8,38,3,43,0,0,0,0,46
"UTTAR PRADESH","ALLAHABAD",145,277,287,125,8,1,0,1,422
"UTTAR PRADESH","ALMORA",0,99,0,34,51,3,6,5,99
"UTTAR PRADESH","AZAMGARH",2,44,16,2,28,0,0,0,46
"UTTAR PRADESH","BALLIA",114,94,18,18,73,22,25,52,208
"UTTAR PRADESH","BANDA",120,384,119,252,33,68,31,1,504
"UTTAR PRADESH","BIJNOR",0,1,0,1,0,0,0,0,1
"UTTAR PRADESH","DEHRADUN",66,220,205,24,5,0,0,52,286
"UTTAR PRADESH","DEORIA",3,0,0,3,0,0,0,0,3
"UTTAR PRADESH","ETAWAH",0,18,1,17,0,0,0,0,18
"UTTAR PRADESH","FARUKHABAD",0,17,0,0,17,0,0,0,17
"UTTAR PRADESH","FATEHPUR",0,22,1,21,0,0,0,0,22
"UTTAR PRADESH","GONDA",82,274,230,120,2,1,0,3,356
"UTTAR PRADESH","HAMIRPUR",0,7,0,7,0,0,0,0,7
"UTTAR PRADESH","JALAUN",137,200,46,189,102,0,0,0,337
"UTTAR PRADESH","JAUNPUR",2,24,13,12,1,0,0,0,26
"UTTAR PRADESH","JHANSI",92,67,44,22,93,0,0,0,159
"UTTAR PRADESH","KANPUR DEHAT",109,64,48,116,4,1,4,0,173
"UTTAR PRADESH","KUSHI NAGAR",0,1,0,1,0,0,0,0,1
"UTTAR PRADESH","LALITPUR",0,1,0,0,1,0,0,0,1
"UTTAR PRADESH","LUCKNOW",0,1,0,1,0,0,0,0,1
"UTTAR PRADESH","MAHRAJGANJ",10,2,0,2,4,6,0,0,12
"UTTAR PRADESH","MIRZAPUR",87,294,179,192,9,1,0,0,381
"UTTAR PRADESH","NAINITAL",19,6,21,4,0,0,0,0,25
"UTTAR PRADESH","PAURI GARHWAL",6,61,10,54,3,0,0,0,67
"UTTAR PRADESH","RAEBARELY",0,1,1,0,0,0,0,0,1
"UTTAR PRADESH","SANT RAVIDAS NAGAR",34,6,7,29,3,1,0,0,40
"UTTAR PRADESH","TEHRI GARHWAL",5,30,13,16,1,5,0,0,35
"UTTAR PRADESH","UDHAMSINGH NAGAR",5,56,11,30,12,5,3,0,61
"UTTAR PRADESH","UTTARKASHI",1,28,13,9,3,0,4,0,29
"UTTAR PRADESH","VARANASI",59,23,18,40,10,0,4,10,82
"WEST BENGAL","BANKURA",528,2490,1073,826,1052,49,18,0,3018
"WEST BENGAL","BIRBHUM",10229,7117,7461,5899,3843,128,15,0,17346
"WEST BENGAL","BURDWAN",2643,3953,1942,3028,1230,299,97,0,6596
"WEST BENGAL","COOCHBEHAR",21,2416,335,603,1416,8,75,0,2437
"WEST BENGAL","DAKSHIN DINAJPUR",64,1669,576,661,309,149,38,0,1733
"WEST BENGAL","DARJEELING",5,58,0,19,43,0,1,0,63
"WEST BENGAL","HOOGLY",565,3814,1204,2005,826,289,55,0,4379
"WEST BENGAL","HOWRAH",609,8055,1902,4041,2112,554,55,0,8664
"WEST BENGAL","JALPAIGURI",29,602,116,284,165,56,10,0,631
"WEST BENGAL","MALDA",27,1762,452,773,362,151,51,0,1789
"WEST BENGAL","MIDNAPORE",676,14368,6762,2985,4563,434,300,0,15044
"WEST BENGAL","MURSHIDABAD",311,2841,911,1117,853,208,63,0,3152
"WEST BENGAL","NADIA",2,299,2,26,96,150,27,0,301
"WEST BENGAL","NORTH 24 PARGANAS",124,1036,293,366,435,59,7,0,1160
"WEST BENGAL","PURULIA",25,415,112,138,186,4,0,0,440
"WEST BENGAL","SOUTH 24 PARGANAS",1115,15485,8809,6239,1176,334,42,0,16600
"WEST BENGAL","UTTAR DINAJPUR",18,274,60,74,129,24,5,0,292
"ANDAMAN & NICOBARS","ANDAMAN",1,1170,1169,1,0,0,1,0,1171
"ANDAMAN & NICOBARS","NICOBARS",0,39,39,0,0,0,0,0,39
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",0,54,18,21,14,1,0,0,54
"PONDICHERRY","KARAIKAL",0,6,0,6,0,0,0,0,6
"PONDICHERRY","YANAM",0,400,0,366,34,0,0,0,400
