-----
{
 "description": "The table refers to Block wise Culturable Command Area and Potential Created through Surface Lift Schemes. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.12.csv", 
 "title": "Download CSV for Blockwise Culturable Command Area and Potential Created through Surface Lift Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.12.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others,Total - Irrigation potential created
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,35,35,35,0,0,70
ANDHRA PRADESH,CUDDAPAH,ATLUR,245,196,194,0,0,391
ANDHRA PRADESH,CUDDAPAH,BADVEL,288,126,162,0,0,288
ANDHRA PRADESH,CUDDAPAH,CHAPAD,1012,1012,0,0,0,1012
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,202,202,121,0,0,324
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,543,543,254,0,0,797
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,227,227,73,0,0,300
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,234,234,63,0,0,297
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,16,9,9,0,2,20
ANDHRA PRADESH,CUDDAPAH,VALLUR,827,694,402,0,0,1096
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,101,101,0,0,0,101
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,305,249,163,0,0,412
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,49,53,49,4,0,105
ANDHRA PRADESH,EAST GODAVARI,KADIAM,135,246,0,51,0,298
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,40,40,40,0,0,81
ANDHRA PRADESH,EAST GODAVARI,KAKINADA (RURAL),31,31,31,0,0,61
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,74,34,39,0,0,74
ANDHRA PRADESH,EAST GODAVARI,KARAPA,372,372,372,0,0,745
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,384,384,0,0,0,384
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,121,121,81,0,0,202
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),1131,929,484,445,0,1858
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,62,62,20,0,0,82
ANDHRA PRADESH,EAST GODAVARI,Y RAMAVARAM,1,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,ACHAMPETA,778,822,95,0,0,917
ANDHRA PRADESH,GUNTUR,AMARAVATHI,851,951,0,0,0,951
ANDHRA PRADESH,GUNTUR,BAPATLA,2261,2261,0,0,0,2261
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,47,48,19,0,0,67
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,4,4,0,0,0,4
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,1,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,CHEBROLE,347,413,0,0,0,413
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,191,192,0,0,0,192
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,581,905,97,0,0,1002
ANDHRA PRADESH,GUNTUR,DACHEPALLE,172,172,113,0,0,285
ANDHRA PRADESH,GUNTUR,EDLAPADU,250,265,0,0,0,265
ANDHRA PRADESH,GUNTUR,GUNTUR,180,180,0,0,0,180
ANDHRA PRADESH,GUNTUR,IPURU,166,85,81,81,0,247
ANDHRA PRADESH,GUNTUR,KAKUMANU,829,829,0,0,0,829
ANDHRA PRADESH,GUNTUR,KARLAPALEM,869,869,0,0,0,869
ANDHRA PRADESH,GUNTUR,KOLLUR,63,63,0,0,0,63
ANDHRA PRADESH,GUNTUR,KROSURU,1181,1188,119,0,0,1306
ANDHRA PRADESH,GUNTUR,MACHAVARAM,62,62,18,0,0,80
ANDHRA PRADESH,GUNTUR,MACHERLA,85,85,0,0,0,85
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,738,576,162,0,0,738
ANDHRA PRADESH,GUNTUR,MUPPALLA,69,86,0,0,0,86
ANDHRA PRADESH,GUNTUR,NADENDLA,767,767,0,0,0,767
ANDHRA PRADESH,GUNTUR,NAGARAM,541,541,0,0,0,541
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,635,635,0,0,0,635
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,484,431,96,0,0,527
ANDHRA PRADESH,GUNTUR,NUZENDLA,1111,1112,0,0,0,1112
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,162,162,0,0,0,162
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,309,309,0,0,0,309
ANDHRA PRADESH,GUNTUR,PEDANANDIPADU,763,763,0,0,0,763
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,93,93,0,0,0,93
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,271,267,0,4,0,271
ANDHRA PRADESH,GUNTUR,PONNUR,219,208,0,12,0,220
ANDHRA PRADESH,GUNTUR,RAJUPALEM,122,120,0,3,0,123
ANDHRA PRADESH,GUNTUR,REPALLE,216,222,0,0,0,222
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,713,716,0,0,0,716
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,379,379,0,0,0,379
ANDHRA PRADESH,GUNTUR,TADIKONDA,56,56,0,0,0,56
ANDHRA PRADESH,GUNTUR,THADEPALLE,1069,1069,102,1,0,1172
ANDHRA PRADESH,GUNTUR,VATTICHERUKURU,567,567,0,0,0,567
ANDHRA PRADESH,GUNTUR,VEMURU,194,194,7,0,0,200
ANDHRA PRADESH,GUNTUR,VINUKONDA,797,745,0,52,0,797
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,57,57,57,0,0,114
ANDHRA PRADESH,KARIMNAGAR,ELEGADE,77,77,77,0,0,154
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,47,47,47,0,0,94
ANDHRA PRADESH,KARIMNAGAR,JULAPALLE,45,45,45,0,0,90
ANDHRA PRADESH,KARIMNAGAR,KAMANPUR,176,109,141,0,0,250
ANDHRA PRADESH,KARIMNAGAR,MALHARRAO,214,214,109,0,0,324
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,824,824,478,0,0,1301
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MANTHANI,159,159,101,0,0,261
ANDHRA PRADESH,KARIMNAGAR,ODELA,39,40,33,0,0,72
ANDHRA PRADESH,KARIMNAGAR,SRIRAMPUR,52,52,52,0,0,103
ANDHRA PRADESH,KARIMNAGAR,SULTANABAD,54,54,29,0,0,84
ANDHRA PRADESH,KARIMNAGAR,THIMMAPUR,225,223,223,8,0,453
ANDHRA PRADESH,KARIMNAGAR,VELGATOOR,89,88,88,0,0,176
ANDHRA PRADESH,KARIMNAGAR,YELLA REDDI PETA,21,21,10,0,0,32
ANDHRA PRADESH,KHAMMAM,ASWAPURAM,275,260,50,0,0,310
ANDHRA PRADESH,KHAMMAM,ASWARAOPETA,182,175,13,0,0,188
ANDHRA PRADESH,KHAMMAM,BAYYARAM,241,241,0,0,0,241
ANDHRA PRADESH,KHAMMAM,BHADRACHALAM,207,121,98,0,0,219
ANDHRA PRADESH,KHAMMAM,BONAKAL,513,465,70,0,0,535
ANDHRA PRADESH,KHAMMAM,BURGAMPADU,401,390,124,0,0,514
ANDHRA PRADESH,KHAMMAM,CHANDRUGONDA,1,1,1,0,0,2
ANDHRA PRADESH,KHAMMAM,CHERLA,350,350,61,0,0,411
ANDHRA PRADESH,KHAMMAM,CHINTHAKANI,131,131,0,0,0,131
ANDHRA PRADESH,KHAMMAM,CHINTUR,274,263,106,0,0,369
ANDHRA PRADESH,KHAMMAM,DUMMUGUDEM,186,168,107,0,0,275
ANDHRA PRADESH,KHAMMAM,ENKURU,146,146,29,0,0,174
ANDHRA PRADESH,KHAMMAM,GARLA,178,164,42,0,0,206
ANDHRA PRADESH,KHAMMAM,GUNDALA,12,12,0,0,0,12
ANDHRA PRADESH,KHAMMAM,KALLURU,488,488,0,0,0,488
ANDHRA PRADESH,KHAMMAM,KHAMMAM RURAL,672,621,168,0,0,790
ANDHRA PRADESH,KHAMMAM,KHAMMAM URBAN,359,359,23,0,0,382
ANDHRA PRADESH,KHAMMAM,KONIJERLA,216,216,0,0,0,216
ANDHRA PRADESH,KHAMMAM,KOTHAGUDEM,497,483,73,0,0,557
ANDHRA PRADESH,KHAMMAM,KUKUNOOR,971,596,473,0,0,1068
ANDHRA PRADESH,KHAMMAM,KUNAVARAM,346,151,291,0,0,442
ANDHRA PRADESH,KHAMMAM,KUSUMANCHI,26,26,0,0,0,26
ANDHRA PRADESH,KHAMMAM,MADHIRA,756,869,17,0,0,886
ANDHRA PRADESH,KHAMMAM,MUDIGONDA,318,318,26,0,0,344
ANDHRA PRADESH,KHAMMAM,MULAKALAPALLE,253,159,94,0,0,253
ANDHRA PRADESH,KHAMMAM,NELAKONDAPALLE,151,151,0,0,0,151
ANDHRA PRADESH,KHAMMAM,PALAWANCHA,447,432,93,0,0,525
ANDHRA PRADESH,KHAMMAM,PENUBALLI,671,671,30,0,0,700
ANDHRA PRADESH,KHAMMAM,SATHUPALLE,153,153,71,0,0,223
ANDHRA PRADESH,KHAMMAM,SINGARENI,10,10,0,0,0,10
ANDHRA PRADESH,KHAMMAM,TEKULAPALLE,244,246,17,0,0,263
ANDHRA PRADESH,KHAMMAM,THALLADA,647,634,73,0,0,707
ANDHRA PRADESH,KHAMMAM,THIRUMALAYAPALEM,29,29,0,0,0,29
ANDHRA PRADESH,KHAMMAM,VARARAMACHANDRAPURAM,204,204,204,0,0,408
ANDHRA PRADESH,KHAMMAM,VELAIRPAD,133,101,43,0,0,144
ANDHRA PRADESH,KHAMMAM,VEMSOOR,238,96,151,0,0,247
ANDHRA PRADESH,KHAMMAM,VENKATAPURAM,341,246,225,0,0,471
ANDHRA PRADESH,KHAMMAM,WAZEED,192,192,6,0,0,198
ANDHRA PRADESH,KHAMMAM,WYRA,699,691,8,0,0,699
ANDHRA PRADESH,KHAMMAM,YELLANDU,35,35,0,0,0,35
ANDHRA PRADESH,KHAMMAM,YERRUPALEM,107,107,0,0,0,107
ANDHRA PRADESH,KRISHNA,AGIRIPALLE,428,469,0,0,0,469
ANDHRA PRADESH,KRISHNA,BAPULAPADU,741,984,207,0,0,1191
ANDHRA PRADESH,KRISHNA,CHANDARLAPADU,2815,2793,0,4,18,2815
ANDHRA PRADESH,KRISHNA,CHATRAI,48,69,36,0,0,105
ANDHRA PRADESH,KRISHNA,G KONDURU,1,1,0,0,0,1
ANDHRA PRADESH,KRISHNA,GAMPALAGUDEM,416,618,0,0,0,618
ANDHRA PRADESH,KRISHNA,GANNAVARAM,904,1187,724,0,0,1912
ANDHRA PRADESH,KRISHNA,IBRAHIMPATNAM,1317,1592,0,93,0,1685
ANDHRA PRADESH,KRISHNA,JAGGAYYAPETA,861,725,215,0,0,940
ANDHRA PRADESH,KRISHNA,KAIKALUR,163,191,19,0,63,274
ANDHRA PRADESH,KRISHNA,KALIDINDI,368,368,0,0,0,368
ANDHRA PRADESH,KRISHNA,KANCHIKA CHERLA,887,896,0,0,0,896
ANDHRA PRADESH,KRISHNA,MUSUNURU,45,45,0,0,0,45
ANDHRA PRADESH,KRISHNA,NAGAYALANKA,486,0,486,0,0,486
ANDHRA PRADESH,KRISHNA,NANDIGAMA,1515,1414,0,0,101,1515
ANDHRA PRADESH,KRISHNA,NANDIVADA,76,76,76,0,0,152
ANDHRA PRADESH,KRISHNA,PEDANA,1,1,0,0,0,1
ANDHRA PRADESH,KRISHNA,PEDAPARUPUDI,147,73,73,0,0,147
ANDHRA PRADESH,KRISHNA,PENAMALURU,101,163,42,0,96,301
ANDHRA PRADESH,KRISHNA,PENUGANCHIPROLU,1,1,0,0,0,1
ANDHRA PRADESH,KRISHNA,REDDIGUDEM,38,73,0,0,0,73
ANDHRA PRADESH,KRISHNA,TIRUVURU,54,54,8,0,0,62
ANDHRA PRADESH,KRISHNA,UNGUTURU,206,206,55,0,0,261
ANDHRA PRADESH,KRISHNA,VATSAVAI,178,178,0,0,0,178
ANDHRA PRADESH,KRISHNA,VEERULLAPADU,593,801,0,0,0,801
ANDHRA PRADESH,KRISHNA,VISSANNAPET,423,626,0,0,0,626
ANDHRA PRADESH,KURNOOL,ADONI,157,129,66,0,0,195
ANDHRA PRADESH,KURNOOL,BANAGANAPALLE,1,142,61,0,0,203
ANDHRA PRADESH,KURNOOL,BANDI ATMAKUR,582,582,405,0,0,988
ANDHRA PRADESH,KURNOOL,C.BELAGAL,2181,2181,2178,0,0,4358
ANDHRA PRADESH,KURNOOL,DORNIPADU,50,49,0,0,0,50
ANDHRA PRADESH,KURNOOL,GOSPADU,121,121,13,0,0,134
ANDHRA PRADESH,KURNOOL,HALAHARVI,278,277,167,0,0,444
ANDHRA PRADESH,KURNOOL,HOLAGUNDA,150,149,96,0,0,245
ANDHRA PRADESH,KURNOOL,KOILKUNTLA,957,897,344,4,0,1245
ANDHRA PRADESH,KURNOOL,KOTHAPALLE,20,20,0,0,0,20
ANDHRA PRADESH,KURNOOL,KOWTHALAM,254,106,209,0,0,315
ANDHRA PRADESH,KURNOOL,MAHANANDI,12,12,0,0,0,12
ANDHRA PRADESH,KURNOOL,MANTRALAYAM,441,408,398,36,0,842
ANDHRA PRADESH,KURNOOL,NANDAVARAM,1275,1427,984,0,0,2411
ANDHRA PRADESH,KURNOOL,NANDYAL,292,257,64,0,0,321
ANDHRA PRADESH,KURNOOL,PANYAM,86,86,42,0,0,128
ANDHRA PRADESH,KURNOOL,UYYALAWADA,696,688,146,0,0,834
ANDHRA PRADESH,MAHABOOBNAGAR,AIZA,153,153,86,0,0,239
ANDHRA PRADESH,MAHABOOBNAGAR,ATMAKUR,1339,1285,1230,0,0,2516
ANDHRA PRADESH,MAHABOOBNAGAR,GADWAL,473,462,391,0,0,854
ANDHRA PRADESH,MAHABOOBNAGAR,ITIKYAL,39,20,20,0,0,40
ANDHRA PRADESH,MAHABOOBNAGAR,MAGANOOR,1414,1002,821,0,0,1823
ANDHRA PRADESH,MAHABOOBNAGAR,MAKTHAL,12,12,5,0,0,16
ANDHRA PRADESH,MAHABOOBNAGAR,MANOPADU,703,618,112,48,0,778
ANDHRA PRADESH,MAHABOOBNAGAR,UTKOOR,26,26,22,0,0,47
ANDHRA PRADESH,MAHABOOBNAGAR,VEEPANGANDLA,688,688,405,0,0,1093
ANDHRA PRADESH,MAHABOOBNAGAR,WADDEPALLE,678,667,473,2,0,1141
ANDHRA PRADESH,MEDAK,ANDOLE,103,45,36,51,0,132
ANDHRA PRADESH,MEDAK,KOWDIPALLE,120,114,64,0,0,177
ANDHRA PRADESH,MEDAK,KULCHARAM,253,258,156,0,0,414
ANDHRA PRADESH,MEDAK,MANOOR,34,31,11,0,0,43
ANDHRA PRADESH,MEDAK,PAPANNAPET,306,306,39,0,0,345
ANDHRA PRADESH,MEDAK,PULKAL,257,72,35,162,4,274
ANDHRA PRADESH,MEDAK,SADASIVPET,430,367,94,0,0,460
ANDHRA PRADESH,MEDAK,SHANKARAMPET (A),146,144,121,0,0,265
ANDHRA PRADESH,NALGONDA,ANUMULA,609,543,366,0,0,909
ANDHRA PRADESH,NALGONDA,CHILKUR,536,536,536,0,0,1072
ANDHRA PRADESH,NALGONDA,DAMERACHERLA,898,910,588,183,110,1792
ANDHRA PRADESH,NALGONDA,GARIDE PALLE,1357,1214,792,4,2,2011
ANDHRA PRADESH,NALGONDA,HUZURNAGAR,737,697,662,30,0,1390
ANDHRA PRADESH,NALGONDA,KETHEPALLE,24,24,24,0,0,49
ANDHRA PRADESH,NALGONDA,KODAD,2250,2054,1282,196,0,3532
ANDHRA PRADESH,NALGONDA,MATTAMPALLE,451,441,326,0,1,767
ANDHRA PRADESH,NALGONDA,MELLACHERVU,224,207,90,3,0,299
ANDHRA PRADESH,NALGONDA,MIRYALAGUDA,1489,1492,1327,0,0,2819
ANDHRA PRADESH,NALGONDA,MOTHEY,1,1,0,0,0,1
ANDHRA PRADESH,NALGONDA,MUNAGALA,850,850,202,0,0,1053
ANDHRA PRADESH,NALGONDA,NADIGUDEM,880,869,612,11,0,1491
ANDHRA PRADESH,NALGONDA,NERED CHERLA,494,355,223,12,59,648
ANDHRA PRADESH,NALGONDA,NIDAMANUR,159,334,213,0,0,547
ANDHRA PRADESH,NALGONDA,PEDDAVURA,467,433,404,50,2,888
ANDHRA PRADESH,NALGONDA,PENPAHAD,53,35,44,0,0,79
ANDHRA PRADESH,NALGONDA,RAMANNAPETA,8,8,8,0,0,16
ANDHRA PRADESH,NALGONDA,THRIPURARAM,647,575,392,0,0,967
ANDHRA PRADESH,NALGONDA,VEMULAPALLE,872,488,480,0,0,968
ANDHRA PRADESH,NELLORE,ALLUR,342,22,320,0,0,342
ANDHRA PRADESH,NELLORE,ANANTHASAGARAM,114,95,19,0,0,114
ANDHRA PRADESH,NELLORE,ATMAKUR,326,286,50,0,0,336
ANDHRA PRADESH,NELLORE,BALAYAPALLE,574,13,114,1,455,584
ANDHRA PRADESH,NELLORE,BUTCHIREDDIPALEM,463,412,352,0,0,765
ANDHRA PRADESH,NELLORE,CHEJERLA,332,0,320,11,0,332
ANDHRA PRADESH,NELLORE,CHILLAKUR,58,41,47,0,0,88
ANDHRA PRADESH,NELLORE,CHITTAMUR,10,0,10,0,0,10
ANDHRA PRADESH,NELLORE,DAGADARTHI,276,0,276,0,0,276
ANDHRA PRADESH,NELLORE,DAKKILI,322,224,0,0,98,322
ANDHRA PRADESH,NELLORE,DUTTALUR,92,22,85,0,0,107
ANDHRA PRADESH,NELLORE,GUDUR,85,41,51,0,0,93
ANDHRA PRADESH,NELLORE,KALIGIRI,21,21,21,0,0,43
ANDHRA PRADESH,NELLORE,KALUVOYA,130,0,127,4,0,131
ANDHRA PRADESH,NELLORE,KAVALI,55,14,42,0,0,55
ANDHRA PRADESH,NELLORE,KONDAPURAM,257,36,253,0,0,289
ANDHRA PRADESH,NELLORE,MANUBOLU,14,0,14,0,0,14
ANDHRA PRADESH,NELLORE,MARRIPADU,147,148,32,0,0,180
ANDHRA PRADESH,NELLORE,NELLORE,400,0,397,0,3,401
ANDHRA PRADESH,NELLORE,PODLAKUR,1282,85,1266,4,10,1365
ANDHRA PRADESH,NELLORE,RAPUR,93,10,37,0,45,93
ANDHRA PRADESH,NELLORE,SANGAM,702,0,702,0,0,702
ANDHRA PRADESH,NELLORE,SULLURPETA,55,19,41,0,0,60
ANDHRA PRADESH,NELLORE,SYDAPURAM,234,101,120,40,3,264
ANDHRA PRADESH,NELLORE,TADA,316,22,294,0,0,316
ANDHRA PRADESH,NELLORE,VARIKUNTAPADU,216,21,201,0,0,222
ANDHRA PRADESH,NELLORE,VENKATACHALAM,318,42,312,1,0,356
ANDHRA PRADESH,NELLORE,VENKATAGIRI,110,17,90,0,18,126
ANDHRA PRADESH,NELLORE,VIDAVALUR,55,17,37,0,0,55
ANDHRA PRADESH,NELLORE,VINJAMUR,114,57,94,0,0,151
ANDHRA PRADESH,NIZAMABAD,BANSWADA,487,489,436,3,0,928
ANDHRA PRADESH,NIZAMABAD,BICHKUNDA,185,183,89,7,1,281
ANDHRA PRADESH,NIZAMABAD,BIRKOOR,618,589,506,1,0,1096
ANDHRA PRADESH,NIZAMABAD,BODHAN,130,130,92,0,0,222
ANDHRA PRADESH,NIZAMABAD,JUKKAL,34,34,34,0,0,67
ANDHRA PRADESH,NIZAMABAD,KOTGIRI,263,262,195,0,2,459
ANDHRA PRADESH,NIZAMABAD,LINGAMPET,97,96,41,1,9,148
ANDHRA PRADESH,NIZAMABAD,MADNUR,8,8,0,0,0,8
ANDHRA PRADESH,NIZAMABAD,MORTAD,167,167,149,0,0,316
ANDHRA PRADESH,NIZAMABAD,NAGA REDDIPET,229,197,183,30,0,411
ANDHRA PRADESH,NIZAMABAD,NIZAM SAGAR,756,788,750,6,0,1543
ANDHRA PRADESH,NIZAMABAD,PITLAM,710,575,360,0,0,935
ANDHRA PRADESH,NIZAMABAD,YELLAREDDY,190,192,176,0,0,368
ANDHRA PRADESH,PRAKASAM,ADDANKI,853,675,178,37,0,890
ANDHRA PRADESH,PRAKASAM,ARDHAVEEDU,20,14,3,6,0,23
ANDHRA PRADESH,PRAKASAM,BALLIKURUVA,405,314,90,0,0,405
ANDHRA PRADESH,PRAKASAM,CHADRASEKARAPURAM,212,200,148,5,0,353
ANDHRA PRADESH,PRAKASAM,CHIMAKURTHI,47,51,8,22,1,82
ANDHRA PRADESH,PRAKASAM,CHINAGANJAM,1795,1795,0,0,0,1795
ANDHRA PRADESH,PRAKASAM,CHIRALA,1551,1546,0,5,0,1551
ANDHRA PRADESH,PRAKASAM,INKOLLU,128,10,118,0,0,128
ANDHRA PRADESH,PRAKASAM,JANAKAVARAMPANGULURU,563,239,324,0,0,563
ANDHRA PRADESH,PRAKASAM,KANDUKUR,375,114,375,0,0,489
ANDHRA PRADESH,PRAKASAM,KANIGIRI,152,152,0,0,0,152
ANDHRA PRADESH,PRAKASAM,KARAMCHEDU,7468,7468,0,0,0,7468
ANDHRA PRADESH,PRAKASAM,KONAKANAMITLA,28,26,26,0,0,51
ANDHRA PRADESH,PRAKASAM,KONDAPI,439,411,369,468,26,1275
ANDHRA PRADESH,PRAKASAM,KORISAPADU,410,40,370,0,0,410
ANDHRA PRADESH,PRAKASAM,KOTHAPATNAM,154,45,154,0,0,198
ANDHRA PRADESH,PRAKASAM,KURICHEDU,202,202,0,0,0,202
ANDHRA PRADESH,PRAKASAM,LINGASAMUDRAM,189,126,62,0,0,189
ANDHRA PRADESH,PRAKASAM,MADDIPADU,2597,2501,96,0,0,2597
ANDHRA PRADESH,PRAKASAM,MARKAPUR,101,101,0,0,0,101
ANDHRA PRADESH,PRAKASAM,MARTUR,379,284,125,0,0,408
ANDHRA PRADESH,PRAKASAM,MUNDLAMURU,480,480,0,0,0,480
ANDHRA PRADESH,PRAKASAM,NAGULUPPALAPADU,4902,4887,7,15,0,4909
ANDHRA PRADESH,PRAKASAM,ONGOLE,1044,1,1043,0,0,1044
ANDHRA PRADESH,PRAKASAM,PAMUR,87,13,51,23,0,87
ANDHRA PRADESH,PRAKASAM,PARCHUR,7694,7696,0,0,0,7696
ANDHRA PRADESH,PRAKASAM,PEDACHERLOPALLE,790,96,761,0,0,857
ANDHRA PRADESH,PRAKASAM,PODILI,22,18,20,0,0,37
ANDHRA PRADESH,PRAKASAM,PONNALURU,548,121,456,0,0,577
ANDHRA PRADESH,PRAKASAM,SANTHAMAGULURU,155,155,0,0,0,155
ANDHRA PRADESH,PRAKASAM,SANTHANUTHLAPADU,679,641,57,0,0,698
ANDHRA PRADESH,PRAKASAM,SINGARAYAKONDA,182,0,182,0,0,182
ANDHRA PRADESH,PRAKASAM,TANGUTUR,1230,59,1219,4,79,1361
ANDHRA PRADESH,PRAKASAM,THALLUR,32,26,8,0,0,34
ANDHRA PRADESH,PRAKASAM,TRIPURANTHAKAM,38,38,0,0,0,38
ANDHRA PRADESH,PRAKASAM,ULAVAPADU,1,1,0,0,0,1
ANDHRA PRADESH,PRAKASAM,VETAPALEM,2,24,67,0,0,91
ANDHRA PRADESH,PRAKASAM,VOLETIVARIPALEM,65,0,65,0,0,65
ANDHRA PRADESH,PRAKASAM,YEDDANAPUDI,864,864,856,0,0,1721
ANDHRA PRADESH,PRAKASAM,ZARUGUMILLI,796,177,672,73,0,922
ANDHRA PRADESH,RANGAREDDY,BASHEERABAD,3,173,106,0,0,279
ANDHRA PRADESH,RANGAREDDY,GHATKESAR,316,204,131,92,0,426
ANDHRA PRADESH,RANGAREDDY,MARPALLE,44,24,21,1,0,46
ANDHRA PRADESH,RANGAREDDY,TANDUR,27,24,23,0,0,47
ANDHRA PRADESH,RANGAREDDY,UPPAL,120,1,1,119,0,121
ANDHRA PRADESH,SRIKAKULAM,BHAMINI,1,106,0,0,0,106
ANDHRA PRADESH,SRIKAKULAM,ETCHERLA,192,192,0,0,0,192
ANDHRA PRADESH,SRIKAKULAM,GARA,1,1,0,0,0,1
ANDHRA PRADESH,SRIKAKULAM,KOTHURU,38,34,4,0,0,38
ANDHRA PRADESH,SRIKAKULAM,L.N.PETA,81,81,0,0,0,81
ANDHRA PRADESH,SRIKAKULAM,MANDASA,34,35,0,0,0,35
ANDHRA PRADESH,SRIKAKULAM,MEILAPUTTI,1,1,0,0,0,1
ANDHRA PRADESH,SRIKAKULAM,PALAKONDA,81,81,0,0,0,81
ANDHRA PRADESH,SRIKAKULAM,PATHAPATNAM,1,1,0,0,0,1
ANDHRA PRADESH,SRIKAKULAM,REGIDIAMADALAVALASA,6,1,0,5,0,6
ANDHRA PRADESH,SRIKAKULAM,SARAVAKOTA,121,121,0,0,0,121
