-----
{
 "description": "The table refers to block wise culturable command area and irrigation potential created through surace lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.13.csv", 
 "title": "Download CSV for Blockwise Culturable command area and potential created through surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.13.csv"
}
-----
-----
{
 "description": "The table refers to block wise culturable command area and irrigation potential created through surace lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.13.csv", 
 "title": "Download CSV for Blockwise Culturable command area and potential created through surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.13.csv"
}
-----
"State","District","Block","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total"
"ANDHRA PRADESH","ADILABAD","KUNTALA",333,305,99,0,0,404
"ANDHRA PRADESH","ADILABAD","LAHESRA",9,9,0,0,0,9
"ANDHRA PRADESH","ADILABAD","LUXETTIPET",170,158,127,0,0,285
"ANDHRA PRADESH","ADILABAD","MANCHERIAL",23,23,0,0,0,23
"ANDHRA PRADESH","ADILABAD","MUDHOLE",1182,1182,320,0,0,1502
"ANDHRA PRADESH","ADILABAD","NARNOOR",2,0,2,0,0,2
"ANDHRA PRADESH","ADILABAD","NERADIGONDA",142,136,111,0,0,247
"ANDHRA PRADESH","ADILABAD","NIRMAL",205,194,72,0,0,266
"ANDHRA PRADESH","ADILABAD","SARANGAPUR",76,75,8,0,0,83
"ANDHRA PRADESH","ADILABAD","TALAMADUGU",130,39,91,0,0,130
"ANDHRA PRADESH","ADILABAD","TAMSI",140,40,104,0,0,144
"ANDHRA PRADESH","ADILABAD","TIRYANI",83,61,24,0,0,85
"ANDHRA PRADESH","ANANTHAPUR","TANAKAL",36,20,20,0,0,40
"ANDHRA PRADESH","CHITTOOR","BUCHINAIDU KHANDRIGA",119,15,103,0,0,118
"ANDHRA PRADESH","CHITTOOR","RENIGUNTA",36,10,27,0,0,37
"ANDHRA PRADESH","CHITTOOR","THOTTAMBEDA",32,12,30,0,0,42
"ANDHRA PRADESH","CUDDAPAH","ATLUR",182,182,182,0,0,364
"ANDHRA PRADESH","CUDDAPAH","BADVEL",307,145,162,0,0,307
"ANDHRA PRADESH","CUDDAPAH","DUVVUR",5,5,5,0,0,10
"ANDHRA PRADESH","CUDDAPAH","KHAJIPET",365,396,149,0,0,545
"ANDHRA PRADESH","CUDDAPAH","PEDDAMUDIUM",34,34,0,0,0,34
"ANDHRA PRADESH","CUDDAPAH","RAMAPURAM",4,4,4,0,0,8
"ANDHRA PRADESH","CUDDAPAH","VALLUR",665,665,646,0,0,1311
"ANDHRA PRADESH","CUDDAPAH","VONTIMITTA",89,194,194,0,0,388
"ANDHRA PRADESH","EAST GODAVARI","ADDATEEGALA",101,101,0,0,0,101
"ANDHRA PRADESH","EAST GODAVARI","ATREYAPURAM",23,4,10,9,0,23
"ANDHRA PRADESH","EAST GODAVARI","JAGGAMPETA",32,25,14,0,0,39
"ANDHRA PRADESH","EAST GODAVARI","KADIAM",1348,809,405,134,0,1348
"ANDHRA PRADESH","EAST GODAVARI","KAJULURU",41,41,39,0,0,80
"ANDHRA PRADESH","EAST GODAVARI","KAPILESWARAPURAM",64,35,38,0,0,73
"ANDHRA PRADESH","EAST GODAVARI","KARAPA",469,469,469,0,0,938
"ANDHRA PRADESH","EAST GODAVARI","KIRLAMPUDI",384,384,0,0,0,384
"ANDHRA PRADESH","EAST GODAVARI","PAMARRU",24,12,12,0,0,24
"ANDHRA PRADESH","EAST GODAVARI","PEDAPUDI",101,101,0,0,0,101
"ANDHRA PRADESH","EAST GODAVARI","PRATHIPADU",15,15,0,0,0,15
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY RURAL",929,799,799,0,0,1598
"ANDHRA PRADESH","EAST GODAVARI","RAJAVOMMANGI",267,267,0,0,0,267
"ANDHRA PRADESH","EAST GODAVARI","RANGAMPETA",53,53,0,0,0,53
"ANDHRA PRADESH","EAST GODAVARI","SAMALKOTA",448,448,448,0,0,896
"ANDHRA PRADESH","EAST GODAVARI","THALLAREVU",62,62,20,0,0,82
"ANDHRA PRADESH","EAST GODAVARI","Y. RAMAVARAM",83,83,2,0,0,85
"ANDHRA PRADESH","GUNTUR","ACHAMPET",207,181,134,0,0,315
"ANDHRA PRADESH","GUNTUR","AMARAVATHI",753,720,195,0,0,915
"ANDHRA PRADESH","GUNTUR","BAPATLA",2259,2245,79,0,0,2324
"ANDHRA PRADESH","GUNTUR","BELLAMKONDA",29,28,3,0,0,31
"ANDHRA PRADESH","GUNTUR","BOLLAPALLE",96,96,0,0,0,96
"ANDHRA PRADESH","GUNTUR","CHEBROLE",911,911,0,0,0,911
"ANDHRA PRADESH","GUNTUR","CHERUKUPALLE",57,57,0,0,0,57
"ANDHRA PRADESH","GUNTUR","CHILAKALURIPET",579,579,0,0,0,579
"ANDHRA PRADESH","GUNTUR","DACHEPALLE",183,183,183,0,0,366
"ANDHRA PRADESH","GUNTUR","EDLAPADU",87,87,0,0,0,87
"ANDHRA PRADESH","GUNTUR","GUNTUR",180,180,0,0,0,180
"ANDHRA PRADESH","GUNTUR","GURAZALA",37,37,37,0,0,74
"ANDHRA PRADESH","GUNTUR","IPUR",85,85,0,0,0,85
"ANDHRA PRADESH","GUNTUR","KAKUMANU",7,7,0,0,0,7
"ANDHRA PRADESH","GUNTUR","KARLAPALEM",605,605,478,0,0,1083
"ANDHRA PRADESH","GUNTUR","KOLLUR",25,25,0,0,0,25
"ANDHRA PRADESH","GUNTUR","KROSURU",949,968,105,0,0,1073
"ANDHRA PRADESH","GUNTUR","MACHERLA",73,85,0,0,0,85
"ANDHRA PRADESH","GUNTUR","MANGALAGIRI",1735,1735,0,0,0,1735
"ANDHRA PRADESH","GUNTUR","MUPPALLA",45,45,0,0,0,45
"ANDHRA PRADESH","GUNTUR","NADENDLA",206,206,8,0,0,214
"ANDHRA PRADESH","GUNTUR","NAGARAM",1046,1046,32,0,0,1078
"ANDHRA PRADESH","GUNTUR","NARASARAOPET",121,121,61,0,0,182
"ANDHRA PRADESH","GUNTUR","NIZAMPATNAM",543,543,20,0,0,563
"ANDHRA PRADESH","GUNTUR","NUZENDLA",312,260,42,10,0,312
"ANDHRA PRADESH","GUNTUR","PEDAKAKANI",474,474,0,0,0,474
"ANDHRA PRADESH","GUNTUR","PEDAKURAPADU",81,81,0,0,0,81
"ANDHRA PRADESH","GUNTUR","PEDANANDIPADU",648,648,0,0,0,648
"ANDHRA PRADESH","GUNTUR","PHIRANGIPURAM",260,260,0,0,0,260
"ANDHRA PRADESH","GUNTUR","PITTALAVANIPALEM",263,259,198,4,0,461
"ANDHRA PRADESH","GUNTUR","PONNUR",251,251,0,0,0,251
"ANDHRA PRADESH","GUNTUR","RAJUPALEM",108,109,0,3,0,112
"ANDHRA PRADESH","GUNTUR","REPALLE",227,227,0,0,0,227
"ANDHRA PRADESH","GUNTUR","SATTENAPALLE",625,625,0,0,0,625
"ANDHRA PRADESH","GUNTUR","SAV'PURAM KANUM'PUDI",323,350,0,0,0,350
"ANDHRA PRADESH","GUNTUR","TADEPALLE",1094,1012,84,1,0,1097
"ANDHRA PRADESH","GUNTUR","TADIKONDA",132,132,0,0,0,132
"ANDHRA PRADESH","GUNTUR","TENALI",13,13,0,0,0,13
"ANDHRA PRADESH","GUNTUR","THULLUR",953,953,0,0,0,953
"ANDHRA PRADESH","GUNTUR","VATTICHERUKURU",567,567,0,0,0,567
"ANDHRA PRADESH","GUNTUR","VEMURU",7,7,0,0,0,7
"ANDHRA PRADESH","GUNTUR","VINUKONDA",716,716,0,0,0,716
"ANDHRA PRADESH","KARIMNAGAR","CHIGURUMAMIDI",57,57,57,0,0,114
"ANDHRA PRADESH","KARIMNAGAR","GAMBHIRAOPET",58,52,58,0,0,110
"ANDHRA PRADESH","KARIMNAGAR","KATARAM",324,324,182,0,0,506
"ANDHRA PRADESH","KARIMNAGAR","MALHARRAO MANDAL",202,202,101,0,0,303
"ANDHRA PRADESH","KARIMNAGAR","MANTHANI",729,877,453,0,0,1330
"ANDHRA PRADESH","KARIMNAGAR","MANTHANI",168,176,106,0,0,282
"ANDHRA PRADESH","KARIMNAGAR","MUSTABAD",190,189,188,0,0,377
"ANDHRA PRADESH","KARIMNAGAR","ODELA",50,50,50,0,0,100
"ANDHRA PRADESH","KARIMNAGAR","RAIKAL",223,223,223,0,0,446
"ANDHRA PRADESH","KARIMNAGAR","SRIRAMPUR",393,393,393,0,0,786
"ANDHRA PRADESH","KARIMNAGAR","THIMMAPUR",160,160,160,6,0,326
"ANDHRA PRADESH","KARIMNAGAR","VELGATOOR",66,59,57,0,0,116
"ANDHRA PRADESH","KHAMMAM","ASWAPURAM",766,371,395,0,0,766
"ANDHRA PRADESH","KHAMMAM","ASWARAOPETA",53,0,53,0,0,53
"ANDHRA PRADESH","KHAMMAM","BAYYARAM",440,450,157,0,0,607
"ANDHRA PRADESH","KHAMMAM","BHADRACHALAM",156,0,156,0,0,156
"ANDHRA PRADESH","KHAMMAM","BONAKAL",724,723,1,0,0,724
"ANDHRA PRADESH","KHAMMAM","BURGAMPADU",218,165,72,0,0,237
"ANDHRA PRADESH","KHAMMAM","CHANDRUGONDA",70,70,0,0,0,70
"ANDHRA PRADESH","KHAMMAM","CHERLA",451,254,337,0,0,591
"ANDHRA PRADESH","KHAMMAM","CHINTHAKANI",61,61,0,0,0,61
"ANDHRA PRADESH","KHAMMAM","CHINTUR",176,40,141,0,0,181
"ANDHRA PRADESH","KHAMMAM","DUMMUGUDEM",1163,484,679,0,0,1163
"ANDHRA PRADESH","KHAMMAM","ENKURU",68,52,0,0,17,69
"ANDHRA PRADESH","KHAMMAM","GARLA",429,364,56,9,0,429
"ANDHRA PRADESH","KHAMMAM","GUNDALA",19,19,0,0,0,19
"ANDHRA PRADESH","KHAMMAM","JULURPAD",3,3,0,0,0,3
"ANDHRA PRADESH","KHAMMAM","KALLURU",80,76,35,0,0,111
"ANDHRA PRADESH","KHAMMAM","KHAMMAM (RURAL)",464,438,178,0,0,616
"ANDHRA PRADESH","KHAMMAM","KHAMMAM (URBAN)",142,138,20,0,0,158
"ANDHRA PRADESH","KHAMMAM","KOTHAGUDEM",349,342,89,0,0,431
"ANDHRA PRADESH","KHAMMAM","KUKUNOOR",802,36,767,0,0,803
"ANDHRA PRADESH","KHAMMAM","KUNAVARAM",3257,0,3268,0,0,3268
"ANDHRA PRADESH","KHAMMAM","MADHIRA",994,978,247,31,4,1260
"ANDHRA PRADESH","KHAMMAM","MANUGUR",318,0,318,0,0,318
"ANDHRA PRADESH","KHAMMAM","MUDIGONDA",146,101,45,0,0,146
"ANDHRA PRADESH","KHAMMAM","MULAKALAPALLE",223,114,109,0,0,223
"ANDHRA PRADESH","KHAMMAM","NELAKONDAPALLE",29,21,4,4,0,29
"ANDHRA PRADESH","KHAMMAM","PALWANCHA",1084,1096,238,0,10,1344
"ANDHRA PRADESH","KHAMMAM","PENUBALLI",116,69,47,0,0,116
"ANDHRA PRADESH","KHAMMAM","PINAPAKA",38,38,0,0,0,38
"ANDHRA PRADESH","KHAMMAM","SATHUPALLE",174,158,49,2,0,209
"ANDHRA PRADESH","KHAMMAM","SINGARENI",13,13,0,0,0,13
"ANDHRA PRADESH","KHAMMAM","TEKULAPALLE",192,170,21,0,0,191
"ANDHRA PRADESH","KHAMMAM","THALLADA",777,836,235,0,0,1071
"ANDHRA PRADESH","KHAMMAM","THIRUMALAYAPALEM",47,38,16,0,0,54
"ANDHRA PRADESH","KHAMMAM","VARARAMACHANDRAPURAM",1172,0,1188,0,0,1188
"ANDHRA PRADESH","KHAMMAM","VELAIRPAD",2087,202,1885,0,0,2087
"ANDHRA PRADESH","KHAMMAM","VEMSOOR",190,121,81,0,0,202
"ANDHRA PRADESH","KHAMMAM","VENKATAPURAM",1236,265,1105,0,0,1370
"ANDHRA PRADESH","KHAMMAM","WAZEED",196,73,142,0,0,215
"ANDHRA PRADESH","KHAMMAM","WYRA",457,454,39,0,0,493
"ANDHRA PRADESH","KHAMMAM","YERRUPALEM",41,41,21,0,0,62
"ANDHRA PRADESH","KRISHNA","AGIRIPALLE",89,89,0,0,0,89
"ANDHRA PRADESH","KRISHNA","BAPULAPADU",955,955,34,0,0,989
"ANDHRA PRADESH","KRISHNA","CHANDARLAPADU",2737,2737,0,0,0,2737
"ANDHRA PRADESH","KRISHNA","CHATRAI",24,24,0,0,0,24
"ANDHRA PRADESH","KRISHNA","GAMPALAGUDEM",409,510,0,0,0,510
"ANDHRA PRADESH","KRISHNA","GANNAVARAM",476,476,85,0,0,561
"ANDHRA PRADESH","KRISHNA","IBRAHIMPATNAM",770,770,0,0,0,770
"ANDHRA PRADESH","KRISHNA","JAGGAYYAPETA",177,46,93,0,50,189
"ANDHRA PRADESH","KRISHNA","KAIKALUR",139,139,139,0,0,278
"ANDHRA PRADESH","KRISHNA","KALIDINDI",897,897,897,0,0,1794
"ANDHRA PRADESH","KRISHNA","KANCHIKACHERLA",400,400,0,0,0,400
"ANDHRA PRADESH","KRISHNA","MANDAVALLI",92,0,92,0,0,92
"ANDHRA PRADESH","KRISHNA","MUDINEPALLE",73,73,73,0,0,146
"ANDHRA PRADESH","KRISHNA","MUSUNURU",20,20,0,0,0,20
"ANDHRA PRADESH","KRISHNA","NAGAYALANKA",486,486,0,0,0,486
"ANDHRA PRADESH","KRISHNA","NANDIGAMA",585,718,0,0,0,718
"ANDHRA PRADESH","KRISHNA","NANDIVADA",145,130,130,0,0,260
"ANDHRA PRADESH","KRISHNA","PAMARRU",27,27,0,0,0,27
"ANDHRA PRADESH","KRISHNA","PEDANA",340,340,340,0,0,680
"ANDHRA PRADESH","KRISHNA","PENAMALURU",111,88,0,0,91,179
"ANDHRA PRADESH","KRISHNA","REDDIGUDEM",119,119,0,0,0,119
"ANDHRA PRADESH","KRISHNA","TIRUVURU",44,44,0,0,0,44
"ANDHRA PRADESH","KRISHNA","UNGUTURU",191,191,0,0,0,191
"ANDHRA PRADESH","KRISHNA","VATSAVAI",177,177,0,0,0,177
"ANDHRA PRADESH","KRISHNA","VEERULLAPADU",174,134,94,0,1,229
"ANDHRA PRADESH","KRISHNA","VIJAYAWADA (URBAN)",61,61,0,0,0,61
"ANDHRA PRADESH","KRISHNA","VISSANNAPET",19,19,0,0,0,19
"ANDHRA PRADESH","KURNOOL","ADONI",82,67,57,4,0,128
"ANDHRA PRADESH","KURNOOL","BANAGANAPALLE",199,142,61,0,0,203
"ANDHRA PRADESH","KURNOOL","BANDI ATMAKUR",432,431,261,0,0,692
"ANDHRA PRADESH","KURNOOL","C.BELAGAL",1716,1716,1716,0,0,3432
"ANDHRA PRADESH","KURNOOL","DORNIPADU",28,26,1,2,0,29
"ANDHRA PRADESH","KURNOOL","GOSPADU",43,42,0,1,0,43
"ANDHRA PRADESH","KURNOOL","HALAHARVI",259,159,172,0,0,331
"ANDHRA PRADESH","KURNOOL","HOLAGUNDA",107,105,56,0,0,161
"ANDHRA PRADESH","KURNOOL","KOILKUNTLA",820,764,301,7,0,1072
"ANDHRA PRADESH","KURNOOL","KOSIGI",277,276,194,0,9,479
"ANDHRA PRADESH","KURNOOL","KOTHAPALLE",21,21,10,0,0,31
"ANDHRA PRADESH","KURNOOL","KOWTHALAM",787,129,775,2,0,906
"ANDHRA PRADESH","KURNOOL","MAHANANDI",12,12,0,0,0,12
"ANDHRA PRADESH","KURNOOL","MANTRALAYAM",231,231,222,0,0,453
"ANDHRA PRADESH","KURNOOL","NANDAVARAM",1194,1194,785,0,0,1979
"ANDHRA PRADESH","KURNOOL","NANDYAL",154,148,6,0,0,154
"ANDHRA PRADESH","KURNOOL","PANYAM",51,51,0,0,0,51
"ANDHRA PRADESH","KURNOOL","UYYALAWADA",358,345,16,6,4,371
"ANDHRA PRADESH","MAHABOOB NAGAR","AIZA",194,255,219,0,0,474
"ANDHRA PRADESH","MAHABOOB NAGAR","ALAMPUR",225,214,11,0,0,225
"ANDHRA PRADESH","MAHABOOB NAGAR","ATMAKUR",425,419,348,6,0,773
"ANDHRA PRADESH","MAHABOOB NAGAR","GADWAL",1199,1128,367,9,0,1504
"ANDHRA PRADESH","MAHABOOB NAGAR","ITIKYAL",23,13,10,0,0,23
"ANDHRA PRADESH","MAHABOOB NAGAR","MAGANOOR",1615,1273,759,0,0,2032
"ANDHRA PRADESH","MAHABOOB NAGAR","MAKTHAL",995,566,970,0,0,1536
"ANDHRA PRADESH","MAHABOOB NAGAR","MANOPADU",1393,766,628,0,0,1394
"ANDHRA PRADESH","MAHABOOB NAGAR","PEBBAIR",47,47,47,0,0,94
"ANDHRA PRADESH","MAHABOOB NAGAR","VEEPANGANDLA",283,283,40,0,0,323
"ANDHRA PRADESH","MAHABOOB NAGAR","WADDEPALLE",447,453,334,4,0,791
"ANDHRA PRADESH","MEDAK","ANDOLE",23,16,8,0,0,24
"ANDHRA PRADESH","MEDAK","PAPANNAPET",279,287,0,0,0,287
"ANDHRA PRADESH","MEDAK","SHANKARAMPET[A]",209,203,112,0,0,315
"ANDHRA PRADESH","NALGONDA","ANUMULA",609,543,366,0,0,909
"ANDHRA PRADESH","NALGONDA","CHILKUR",396,400,400,0,0,800
"ANDHRA PRADESH","NALGONDA","DAMERACHERLA",68,67,39,0,0,106
"ANDHRA PRADESH","NALGONDA","DEVARAKONDA",8,8,8,0,0,16
"ANDHRA PRADESH","NALGONDA","GARIDE PALLE",590,569,468,0,0,1037
"ANDHRA PRADESH","NALGONDA","HUZURNAGAR",667,621,561,38,0,1220
"ANDHRA PRADESH","NALGONDA","KETHE PALLE",20,20,20,0,0,40
"ANDHRA PRADESH","NALGONDA","KODAD",499,484,303,7,17,811
"ANDHRA PRADESH","NALGONDA","MATTAM PALLE",292,270,262,0,0,532
"ANDHRA PRADESH","NALGONDA","MELLA CHERVU",284,21,282,0,0,303
"ANDHRA PRADESH","NALGONDA","MIRYALAGUDA",912,907,698,2,0,1607
"ANDHRA PRADESH","NALGONDA","MOTHEY",30,30,30,0,0,60
"ANDHRA PRADESH","NALGONDA","MUNAGALA",349,1053,809,0,0,1862
"ANDHRA PRADESH","NALGONDA","NEREDCHERLA",1584,1207,672,0,0,1879
"ANDHRA PRADESH","NALGONDA","NIDAMANOOR",560,540,490,0,0,1030
"ANDHRA PRADESH","NALGONDA","PEDDAVOORA",472,438,395,0,0,833
"ANDHRA PRADESH","NALGONDA","PENPAHAD",658,468,474,0,0,942
"ANDHRA PRADESH","NALGONDA","THRIPURARAM",1190,1188,1187,2,0,2377
"ANDHRA PRADESH","NALGONDA","VEMULA PALLE",1668,1183,815,0,0,1998
"ANDHRA PRADESH","NELLORE","ALLUR",379,291,293,0,0,584
"ANDHRA PRADESH","NELLORE","ANANTHASAGARAM",124,24,116,0,0,140
"ANDHRA PRADESH","NELLORE","ANUMASAMUDRAMPETA",69,0,69,0,0,69
"ANDHRA PRADESH","NELLORE","ATMAKUR",573,474,170,2,0,646
"ANDHRA PRADESH","NELLORE","BALAYAPALLE",546,25,93,454,0,572
"ANDHRA PRADESH","NELLORE","BUT'PALEM (VAVVERU)",434,434,412,0,0,846
"ANDHRA PRADESH","NELLORE","CHEJERLA",347,218,217,19,0,454
"ANDHRA PRADESH","NELLORE","CHILLAKUR",156,5,154,0,0,159
"ANDHRA PRADESH","NELLORE","DAGADARTHI",276,0,276,0,0,276
"ANDHRA PRADESH","NELLORE","DAKKILI",379,197,223,83,7,510
"ANDHRA PRADESH","NELLORE","DUTTALUR",70,16,67,0,0,83
"ANDHRA PRADESH","NELLORE","GUDUR",87,0,87,0,0,87
"ANDHRA PRADESH","NELLORE","KALIGIRI",21,10,11,0,0,21
"ANDHRA PRADESH","NELLORE","KALUVOYA",132,83,123,1,0,207
"ANDHRA PRADESH","NELLORE","KAVALI",74,0,74,0,0,74
"ANDHRA PRADESH","NELLORE","KODAVALUR",85,85,85,0,0,170
"ANDHRA PRADESH","NELLORE","KONDAPURAM",208,19,225,2,0,246
"ANDHRA PRADESH","NELLORE","KOTA",33,0,33,0,0,33
"ANDHRA PRADESH","NELLORE","MANUBOLU",14,0,14,0,0,14
"ANDHRA PRADESH","NELLORE","MARRIPADU",280,186,163,0,0,349
"ANDHRA PRADESH","NELLORE","NELLORE",595,35,569,1,0,605
"ANDHRA PRADESH","NELLORE","PODALAKUR",830,5,681,77,73,836
"ANDHRA PRADESH","NELLORE","RAPUR",43,16,35,0,0,51
"ANDHRA PRADESH","NELLORE","SANGAM",691,277,563,0,0,840
"ANDHRA PRADESH","NELLORE","SULLURPETA",44,0,44,0,0,44
"ANDHRA PRADESH","NELLORE","SYDAPURAM",161,79,86,42,2,209
"ANDHRA PRADESH","NELLORE","TADA",454,0,454,0,0,454
"ANDHRA PRADESH","NELLORE","VARIKUNTAPADU",17,0,17,0,0,17
"ANDHRA PRADESH","NELLORE","VENKATACHALAM",334,74,205,76,0,355
"ANDHRA PRADESH","NELLORE","VENKATAGIRI",199,69,182,12,0,263
"ANDHRA PRADESH","NELLORE","VIDAVULUR",117,117,97,0,0,214
"ANDHRA PRADESH","NELLORE","VINJAMUR",131,51,112,0,0,163
"ANDHRA PRADESH","NIZAMABAD","BANSWADA",646,651,602,0,0,1253
"ANDHRA PRADESH","NIZAMABAD","BICHKUNDA",185,164,45,21,1,231
"ANDHRA PRADESH","NIZAMABAD","BIRKOOR",238,247,125,13,0,385
"ANDHRA PRADESH","NIZAMABAD","BODHAN",306,306,95,0,0,401
"ANDHRA PRADESH","NIZAMABAD","JUKKAL",25,23,14,0,0,37
"ANDHRA PRADESH","NIZAMABAD","KOTGIRI",272,276,164,0,0,440
"ANDHRA PRADESH","NIZAMABAD","LINGAMPET",185,175,101,1,0,277
"ANDHRA PRADESH","NIZAMABAD","MORTAD",226,225,91,0,0,316
"ANDHRA PRADESH","NIZAMABAD","NAGAREDDIPET",287,292,279,0,0,571
"ANDHRA PRADESH","NIZAMABAD","NIZAMSAGAR",624,624,521,0,0,1145
"ANDHRA PRADESH","NIZAMABAD","PITLAM",267,306,242,0,1,549
"ANDHRA PRADESH","NIZAMABAD","YELLAREDDY",3992,4139,2691,0,0,6830
"ANDHRA PRADESH","PRAKASAM","ADDANKI",562,559,202,0,0,761
"ANDHRA PRADESH","PRAKASAM","ARDHAVEEDU",19,7,14,5,0,26
"ANDHRA PRADESH","PRAKASAM","BALLIKURAVA",85,85,14,0,0,99
"ANDHRA PRADESH","PRAKASAM","C.SEKHARA PURAM",213,206,153,5,0,364
"ANDHRA PRADESH","PRAKASAM","CHIMAKURTHI",83,83,0,0,0,83
"ANDHRA PRADESH","PRAKASAM","CHINAGANJAM",269,269,0,0,0,269
"ANDHRA PRADESH","PRAKASAM","CHIRALA",102,102,0,0,0,102
"ANDHRA PRADESH","PRAKASAM","DONAKONDA",44,15,36,0,0,51
"ANDHRA PRADESH","PRAKASAM","INKOLLU",268,268,0,0,0,268
"ANDHRA PRADESH","PRAKASAM","JANAKAVARAMPANGULURU",207,88,119,0,0,207
"ANDHRA PRADESH","PRAKASAM","KANDUKUR",287,0,287,0,0,287
"ANDHRA PRADESH","PRAKASAM","KANIGIRI",269,225,44,0,0,269
"ANDHRA PRADESH","PRAKASAM","KARAMCHEDU",4836,4836,0,0,0,4836
"ANDHRA PRADESH","PRAKASAM","KONAKANAMITLA",29,27,27,0,0,54
"ANDHRA PRADESH","PRAKASAM","KONDAPI",537,537,0,0,0,537
"ANDHRA PRADESH","PRAKASAM","KORISAPADU",50,50,0,0,0,50
"ANDHRA PRADESH","PRAKASAM","KOTHA PATNAM",109,0,109,0,0,109
"ANDHRA PRADESH","PRAKASAM","KURICHEDU",202,202,0,0,0,202
"ANDHRA PRADESH","PRAKASAM","LINGASAMUDRAM",47,47,47,0,0,94
"ANDHRA PRADESH","PRAKASAM","MADDIPADU",2322,1920,75,341,0,2336
"ANDHRA PRADESH","PRAKASAM","MARKAPUR",81,81,40,0,0,121
"ANDHRA PRADESH","PRAKASAM","MARTUR",44,44,0,0,0,44
"ANDHRA PRADESH","PRAKASAM","MUNDLAMURU",601,601,0,0,0,601
"ANDHRA PRADESH","PRAKASAM","NAGULUPPALA PADU",4349,4332,7,16,0,4355
"ANDHRA PRADESH","PRAKASAM","ONGOLE",749,0,749,0,0,749
"ANDHRA PRADESH","PRAKASAM","PAMUR",131,13,95,23,0,131
"ANDHRA PRADESH","PRAKASAM","PARCHUR",11450,11418,32,0,0,11450
"ANDHRA PRADESH","PRAKASAM","PEDACHERLO PALLE",297,295,162,0,0,457
"ANDHRA PRADESH","PRAKASAM","PODILI",304,304,34,0,0,338
"ANDHRA PRADESH","PRAKASAM","PONNALUR",285,138,146,0,0,284
"ANDHRA PRADESH","PRAKASAM","SANTHAMAGULURU",274,274,0,0,0,274
"ANDHRA PRADESH","PRAKASAM","SANTHANUTHALA PADU",331,280,60,0,0,340
"ANDHRA PRADESH","PRAKASAM","SINGARAYA KONDA",94,0,94,0,0,94
"ANDHRA PRADESH","PRAKASAM","TANGUTUR",377,0,383,4,0,387
"ANDHRA PRADESH","PRAKASAM","THALLUR",30,30,7,0,0,37
"ANDHRA PRADESH","PRAKASAM","TRIPURANTHAKAM",28,23,13,5,0,41
