-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.7.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.7.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Farmer's saving,Loan & Savings,Subsidy & Bank loan,Others,Total
ANDHRA PRADESH,VIZIANAGARAM,MERAKAMUDIDAM,2,0,0,0,2
ANDHRA PRADESH,VIZIANAGARAM,NELLIMARLA,0,0,0,1,1
ANDHRA PRADESH,VIZIANAGARAM,PUSAPATIREGA,16,0,0,0,16
ANDHRA PRADESH,VIZIANAGARAM,SALUR,3,0,1,0,4
ANDHRA PRADESH,VIZIANAGARAM,SEETHANAGARAM,149,0,5,1,155
ANDHRA PRADESH,WARANGAL,BHUPALPALLE,0,0,1,0,1
ANDHRA PRADESH,WARANGAL,CHENNARAOPET,3,0,0,0,3
ANDHRA PRADESH,WARANGAL,DORNAKAL,1,0,0,25,26
ANDHRA PRADESH,WARANGAL,ETURNAGARAM,32,0,0,0,32
ANDHRA PRADESH,WARANGAL,GOVINDARAOPET,2,0,9,0,11
ANDHRA PRADESH,WARANGAL,GUDUR,2,0,13,10,25
ANDHRA PRADESH,WARANGAL,KOTHAGUDEM,54,0,9,8,71
ANDHRA PRADESH,WARANGAL,KURAVI,0,0,0,4,4
ANDHRA PRADESH,WARANGAL,MANGAPET,17,0,0,0,17
ANDHRA PRADESH,WARANGAL,TADVAI,0,0,0,24,24
ANDHRA PRADESH,WEST GODAVARI,BUTTAYAGUDEM,0,0,1,11,12
ANDHRA PRADESH,WEST GODAVARI,CHAGALLU,68,0,0,2,70
ANDHRA PRADESH,WEST GODAVARI,DENDULURU,0,0,0,2,2
ANDHRA PRADESH,WEST GODAVARI,DEVARAPALLE,0,18,0,0,18
ANDHRA PRADESH,WEST GODAVARI,KOVVUR,0,0,0,1,1
ANDHRA PRADESH,WEST GODAVARI,NIDADAVOLE,0,0,0,2,2
ANDHRA PRADESH,WEST GODAVARI,PEDAPADU,1,1,5,0,7
ANDHRA PRADESH,WEST GODAVARI,PENTAPADU,1,0,0,0,1
ANDHRA PRADESH,WEST GODAVARI,POLAVARAM,21,0,1,2,24
ANDHRA PRADESH,WEST GODAVARI,TADEPALLIGUDEM,0,0,0,1,1
ANDHRA PRADESH,WEST GODAVARI,THALLAPUDI,95,0,0,6,101
ARUNACHAL PRADESH,DIBANG VALLEY,ROING-DAMBUK,3,0,6,0,9
ARUNACHAL PRADESH,LOHIT,NAMSAI-CHOWKHAM,0,0,0,2,2
ARUNACHAL PRADESH,LOHIT,TEZU-SUNPURA,0,0,1,3,4
ARUNACHAL PRADESH,TIRAP,NIAUSA,1,0,0,0,1
ARUNACHAL PRADESH,UPPER SUBANSIRI,DAPORIJO,0,0,1,0,1
ARUNACHAL PRADESH,UPPER SUBANSIRI,NACHO,0,0,1,0,1
ARUNACHAL PRADESH,WEST KAMENG,KALAKTANG,1,0,0,0,1
ARUNACHAL PRADESH,WEST KAMENG,THRIZINO,0,0,0,1,1
ARUNACHAL PRADESH,WEST SIANG,BASAR,1,0,0,0,1
ASSAM,BARPETA,BARPETA,3,0,1,1,5
ASSAM,BARPETA,CHAK-CHAKA,1,0,0,2,3
ASSAM,BARPETA,CHENGA,0,0,0,1,1
ASSAM,BARPETA,GOBARDHANA,9,0,0,1,10
ASSAM,BARPETA,JALAH,1,0,0,0,1
ASSAM,BARPETA,RUPSI -PT,2,0,5,0,7
ASSAM,BONGAIGAON,BAITAMARI,139,1,8,13,161
ASSAM,BONGAIGAON,DANGTOLA,0,0,0,5,5
ASSAM,BONGAIGAON,MANIKPUR,0,0,0,3,3
ASSAM,BONGAIGAON,SRIJANGRAM,0,0,0,1,1
ASSAM,BONGAIGAON,TAPALARI,3,3,5,12,23
ASSAM,CACHAR,BARJALENGA,0,0,0,12,12
ASSAM,CACHAR,BAR-KHOLA,0,0,0,10,10
ASSAM,CACHAR,BASKANDI,0,0,0,2,2
ASSAM,CACHAR,BINNAPANDI PT.,0,0,1,6,7
ASSAM,CACHAR,KALAIN,1,0,0,22,23
ASSAM,CACHAR,KATIGORAH,0,0,0,8,8
ASSAM,CACHAR,LAKHIPUR,0,0,4,9,13
ASSAM,CACHAR,NARSINGPUR,0,0,0,19,19
ASSAM,CACHAR,PALANGHAT,0,0,2,1,3
ASSAM,CACHAR,RAJA BAZAR,0,0,0,27,27
ASSAM,CACHAR,SAL-CHAPRA,0,0,1,8,9
ASSAM,CACHAR,SILCHAR,0,0,0,81,81
ASSAM,CACHAR,SONAI,18,0,7,3,28
ASSAM,CACHAR,TAPANG,0,0,0,4,4
ASSAM,CACHAR,UDARBAND,0,0,0,30,30
ASSAM,DARRANG,DOLGAON-SIALMARI,0,0,1,0,1
ASSAM,DARRANG,KALAIGAON,0,0,3,1,4
ASSAM,DARRANG,KHIRABARI,1,0,0,0,1
ASSAM,DARRANG,PACHIM-MANGALDAI,0,0,2,0,2
ASSAM,DHEMAJI,MACH KHOWA,0,0,0,2,2
ASSAM,DHEMAJI,MSTD BLOCK,0,0,0,4,4
ASSAM,DHEMAJI,SISSIBOR GAON,1,0,1,0,2
ASSAM,DHUBRI,BILASHI PARA,0,0,4,0,4
ASSAM,DHUBRI,CHAPAR-SALKOCHS,0,0,2,14,16
ASSAM,DHUBRI,DEBITOLA,2,0,1,0,3
ASSAM,DHUBRI,GOLOKGANJ,0,0,0,1,1
ASSAM,DHUBRI,JAMADARHAT,0,1,0,0,1
ASSAM,DHUBRI,MANKACHAR,0,0,0,3,3
ASSAM,DHUBRI,SOUTH SALMARA,0,0,0,1,1
ASSAM,DIBRUGARH,BARBARUA,0,0,1,0,1
ASSAM,DIBRUGARH,KHOWANG,1,0,1,0,2
ASSAM,GOALPARA,BALIJAN,1,0,0,0,1
ASSAM,GOALPARA,JALESWAR,0,0,2,2,4
ASSAM,GOALPARA,KRISHNAI,0,0,0,1,1
ASSAM,GOALPARA,KUSHDHAWA,1,0,2,2,5
ASSAM,GOALPARA,LAKHIPUR,2,4,0,0,6
ASSAM,GOALPARA,MATIA,0,0,0,2,2
ASSAM,GOLAGHAT,GOLAGHAT CENTRAL,0,0,0,1,1
ASSAM,GOLAGHAT,GOLAGHAT EAST,29,0,2,0,31
ASSAM,GOLAGHAT,GOLAGHAT SOUTH,0,0,6,2,8
ASSAM,HAILAKANDI,HAILAKANDI,0,0,0,5,5
ASSAM,HAILAKANDI,LALA,2,0,0,8,10
ASSAM,HAILAKANDI,SOUTH HAILAKANDI,1,0,0,0,1
ASSAM,JORHAT,JORHAT NORTH WEST,1,1,4,3,9
ASSAM,JORHAT,KALIAPANI,0,0,0,3,3
ASSAM,JORHAT,MAJULI,0,0,7,0,7
ASSAM,JORHAT,UJANI MAJULI,1,0,0,3,4
ASSAM,KAMRUP,BONGAON,0,0,1,0,1
ASSAM,KAMRUP,CHAMARIA,0,0,3,0,3
ASSAM,KAMRUP,CHANDRAPUR,0,0,0,3,3
ASSAM,KAMRUP,CHHAYGAON,0,0,6,2,8
ASSAM,KAMRUP,DIMORIA,0,0,1,15,16
ASSAM,KAMRUP,GAROI MARI,0,0,32,0,32
ASSAM,KAMRUP,GORESWAR,0,0,1,0,1
ASSAM,KAMRUP,HAJO,2,1,11,4,18
ASSAM,KAMRUP,RANGIA,1,0,0,14,15
ASSAM,KAMRUP,SUALKUCHI,8,4,0,1,13
ASSAM,KARBIANGLONG,BOKAJAN,0,0,2,0,2
ASSAM,KARBIANGLONG,HOWRAGHAT,0,0,0,3,3
ASSAM,KARBIANGLONG,LONGSOMEPI,2,0,0,0,2
ASSAM,KARBIANGLONG,LUMBATANG,0,0,0,1,1
ASSAM,KARBIANGLONG,NILIP,0,0,2,0,2
ASSAM,KARBIANGLONG,RONGKHAG,0,0,0,12,12
ASSAM,KARIMGANJ,BADARPUR,1,1,2,4,8
ASSAM,KARIMGANJ,DULLV  CHERRA,0,0,1,3,4
ASSAM,KARIMGANJ,NORTH KARIMGANJ,0,0,0,1,1
ASSAM,KARIMGANJ,PATHERKANDI,1,0,0,0,1
ASSAM,KARIMGANJ,SOUTH KARIMGANJ,0,0,0,5,5
ASSAM,KOKRAJHAR,DOTOMA,9,3,12,40,64
ASSAM,KOKRAJHAR,GOSSAIGAON,3,0,3,3,9
ASSAM,KOKRAJHAR,KACHUGAON,0,0,0,1,1
ASSAM,KOKRAJHAR,KOKRAJHAR,1,0,5,3,9
ASSAM,LAKHIMPUR,BIHPURIA,0,0,1,1,2
ASSAM,LAKHIMPUR,DHAKUAKHANA,0,0,12,1,13
ASSAM,LAKHIMPUR,NOWBOICHA,0,0,0,1,1
ASSAM,MORIGAON,BHUR- BANDHA,0,0,0,3,3
ASSAM,MORIGAON,LAHORIGHAT,0,0,0,3,3
ASSAM,MORIGAON,MAYONG,2,9,2,20,33
ASSAM,NAGOAN,BAJIAGAON,1,0,11,0,12
ASSAM,NAGOAN,BARHAMPUR,14,0,2,0,16
ASSAM,NAGOAN,BATADRAWA,2,0,0,1,3
ASSAM,NAGOAN,BINNAKANDI,4,0,0,3,7
ASSAM,NAGOAN,DALONG GHAT,0,0,0,15,15
ASSAM,NAGOAN,JOGIJAN,8,1,1,0,10
ASSAM,NAGOAN,JURIA,3,0,1,1,5
ASSAM,NAGOAN,KALIABOR,2,0,0,0,2
ASSAM,NAGOAN,KATHITOLI,204,2,61,13,280
ASSAM,NAGOAN,KHAGARIJAN,0,0,0,1,1
ASSAM,NAGOAN,LIMDING DEV,45,1,2,0,48
ASSAM,NAGOAN,RAHA,1,0,3,0,4
ASSAM,NAGOAN,RUPAHI,0,0,1,1,2
ASSAM,NAGOAN,UDALI,25,4,4,0,33
ASSAM,NALBARI,BARKHETRI,0,0,0,1,1
ASSAM,NALBARI,BASKA,0,0,0,2,2
ASSAM,NALBARI,MADHUPUR,0,0,0,1,1
ASSAM,NALBARI,NAGRIJULI,0,2,1,0,3
ASSAM,NALBARI,PACHIM NALBARI,0,0,5,1,6
ASSAM,NALBARI,PUB-NALBARI,0,0,0,3,3
ASSAM,NALBARI,TAMULPUR,9,4,21,3,37
ASSAM,NALBARI,TIHU,0,0,0,3,3
ASSAM,NC HILLS,DIYANG VELLEY,0,0,6,2,8
ASSAM,SIBSAGAR,DEMOW,0,0,5,0,5
ASSAM,SIBSAGAR,GOURISAGAR,0,0,0,3,3
ASSAM,SIBSAGAR,NAZIRA,0,0,0,8,8
ASSAM,SIBSAGAR,SIBSAGAR,0,0,4,9,13
ASSAM,SIBSAGAR,SONARI,0,0,0,3,3
ASSAM,SONITPUR,BAGHMARA,59,17,8,16,100
ASSAM,SONITPUR,BIHAGURI,0,0,0,1,1
ASSAM,SONITPUR,BISHWANATH,0,0,0,1,1
ASSAM,SONITPUR,CHATIA,0,0,1,1,2
ASSAM,SONITPUR,DHEKIAJULI,0,0,1,1,2
ASSAM,SONITPUR,GABHARU,0,0,0,3,3
ASSAM,SONITPUR,PUB-CHAIDUAR,0,0,0,18,18
ASSAM,TINSUKIA,KAKAPATHAR,0,1,11,7,19
ASSAM,TINSUKIA,MARGHERITA,13,0,0,0,13
ASSAM,TINSUKIA,SADIYA,5,2,66,3,76
ASSAM,TINSUKIA,SAIKHOWA,0,0,0,8,8
BIHAR,AURANGABAD,AURANGABAD,5,2,1,0,8
BIHAR,AURANGABAD,BARUN,34,1,6,3,44
BIHAR,AURANGABAD,DAUDNAGAR,0,0,0,1,1
BIHAR,AURANGABAD,DEO,16,6,4,10,36
BIHAR,AURANGABAD,GOH,2,0,2,0,4
BIHAR,AURANGABAD,MADANPUR,3,0,0,1,4
BIHAR,AURANGABAD,OBRA,0,0,1,0,1
BIHAR,AURANGABAD,RAFIGANAJ,0,0,0,1,1
BIHAR,BANKA,BANKA,0,0,1,0,1
BIHAR,BANKA,BELHAR,0,0,9,7,16
BIHAR,BANKA,BOUNSI,0,0,2,1,3
BIHAR,BANKA,CHANAN,100,0,29,5,134
BIHAR,BANKA,DHORAIYA,2,0,0,0,2
BIHAR,BANKA,KATORIYA,46,9,143,91,289
BIHAR,BEGUSARAI,BACHHAWARA,111,1,2,0,114
BIHAR,BEGUSARAI,BAKHRI,0,0,0,1,1
BIHAR,BEGUSARAI,BEGUSARAI,11,0,7,1,19
BIHAR,BEGUSARAI,BHAGWANPUR,0,0,1,6,7
BIHAR,BEGUSARAI,BIRPUR,0,0,0,4,4
BIHAR,BEGUSARAI,CH.BARIYARPUR,2,0,0,7,9
BIHAR,BEGUSARAI,DANDARI,0,0,2,0,2
BIHAR,BEGUSARAI,GADHPURA,0,0,0,2,2
BIHAR,BEGUSARAI,KHODAWANDPUR,4,1,0,1,6
BIHAR,BEGUSARAI,MANSOORCHAK,0,0,1,2,3
BIHAR,BEGUSARAI,NAWAKOTHI,0,0,0,3,3
BIHAR,BEGUSARAI,S.KAMAL,72,9,6,2,89
BIHAR,BHAGALPUR,GOURADIH,0,0,3,0,3
BIHAR,BHAGALPUR,KHARIK,0,0,0,3,3
BIHAR,BHAGALPUR,SANHAULA,5,0,8,32,45
BIHAR,BHAGALPUR,SHAHKUND,1,0,5,1,7
BIHAR,BHAGALPUR,SULTANGANJ,3,1,0,1,5
BIHAR,BHOJPUR,JAGDISHPUR,0,0,6,0,6
BIHAR,BHOJPUR,SAHAR,0,0,1,6,7
BIHAR,BHOJPUR,SHAHPUR,0,0,0,1,1
BIHAR,BUXAR,BRAHMPUR,0,0,1,0,1
BIHAR,BUXAR,BUXAR,0,0,0,2,2
BIHAR,BUXAR,DUMRAON,0,2,0,0,2
BIHAR,DARBHANGA,BAHERI,3,0,0,1,4
BIHAR,DARBHANGA,BIRAUL,0,0,3,1,4
BIHAR,DARBHANGA,DARBHANGA,0,10,2,23,35
BIHAR,DARBHANGA,GAURA BAURAM,0,0,1,0,1
BIHAR,DARBHANGA,KEOTI RUNWAY,6,0,20,2,28
BIHAR,DARBHANGA,KUSESHWAR ASTHAN,2,0,0,0,2
BIHAR,DARBHANGA,MANIGACHHI,71,22,14,9,116
BIHAR,DARBHANGA,SINGHWARA,0,0,2,0,2
BIHAR,DARBHANGA,TARDIH,67,12,1,31,111
BIHAR,EAST CHAMPARAN,ADAPUR,4,1,0,0,5
BIHAR,EAST CHAMPARAN,AREARAJ,3,0,1,6,10
BIHAR,EAST CHAMPARAN,BANKATWA,0,0,2,0,2
BIHAR,EAST CHAMPARAN,CHAURADANO,45,1,0,1,47
BIHAR,EAST CHAMPARAN,GHORASAHAN,0,0,2,0,2
BIHAR,EAST CHAMPARAN,HARSIDHI,1,1,0,4,6
BIHAR,EAST CHAMPARAN,KALYANPUR,2,0,5,0,7
BIHAR,EAST CHAMPARAN,KESARIA,0,0,0,2,2
BIHAR,EAST CHAMPARAN,MOTIHARI,12,0,0,0,12
BIHAR,EAST CHAMPARAN,PAKRIDYAL,0,0,3,3,6
BIHAR,EAST CHAMPARAN,RAMGARHWA,1,0,0,3,4
BIHAR,EAST CHAMPARAN,RAXAUL,0,0,9,2,11
BIHAR,EAST CHAMPARAN,TETARIA,0,0,2,0,2
BIHAR,EAST CHAMPARAN,TURKAULIA,0,0,1,1,2
BIHAR,GAYA,ATRI,0,0,0,3,3
BIHAR,GAYA,DOBHI,6,1,8,0,15
BIHAR,GAYA,DUMARIYA,36,0,0,6,42
BIHAR,GAYA,FATEHPUR,7,0,0,2,9
BIHAR,GAYA,GURARU,0,0,0,2,2
BIHAR,GAYA,MOHANPUR,3,0,0,0,3
BIHAR,GAYA,TEKARI,2,0,0,0,2
BIHAR,GOPAALGANJ,BAIKUNTHPUR,4,3,2,18,27
BIHAR,GOPAALGANJ,BHOREY,0,0,1,0,1
BIHAR,GOPAALGANJ,BIJAIPUR,0,0,1,0,1
BIHAR,GOPAALGANJ,HATHUA,2,2,4,1,9
BIHAR,GOPAALGANJ,PANCHDEWRI,0,0,0,2,2
BIHAR,GOPAALGANJ,UCHKAGAON,0,0,0,2,2
BIHAR,JAMUI,BARHAT,4,4,2,0,10
BIHAR,JAMUI,CHAKAI,9,3,37,4,53
BIHAR,JAMUI,GHIDHOR,0,0,1,1,2
BIHAR,JAMUI,JHAJHA,26,0,7,5,38
BIHAR,JAMUI,KHAIRA,3,0,1,0,4
BIHAR,JAMUI,LAXMIPUR,0,0,3,2,5
BIHAR,JAMUI,SONO,16,0,20,5,41
BIHAR,JEHANABAD,JEHANABAD,23,0,0,0,23
BIHAR,JEHANABAD,MAKHDUMPUR,0,0,0,2,2
BIHAR,KAIMUR (BHABUA),ADHAURA,10,3,16,22,51
BIHAR,KAIMUR (BHABUA),BHABUA,7,0,9,5,21
BIHAR,KAIMUR (BHABUA),BHAGWANPUR,3,0,2,1,6
BIHAR,KAIMUR (BHABUA),CHAINPUR,9,3,12,9,33
BIHAR,KAIMUR (BHABUA),CHAND,5,0,1,0,6
BIHAR,KAIMUR (BHABUA),DURGAWATI,2,0,2,1,5
BIHAR,KAIMUR (BHABUA),KUDRA,5,1,3,5,14
BIHAR,KAIMUR (BHABUA),MOHANIA,0,1,0,0,1
BIHAR,KAIMUR (BHABUA),NUAON,6,0,1,0,7
BIHAR,KAIMUR (BHABUA),RAMGARH,27,3,2,0,32
BIHAR,KATIHAR,BARARI,6,0,0,0,6
BIHAR,KATIHAR,HASANGANJ,0,0,1,0,1
BIHAR,KATIHAR,KADWA,0,7,3,0,10
BIHAR,KATIHAR,KORHA,12,0,1,0,13
BIHAR,KATIHAR,MANSAHI,0,0,0,2,2
BIHAR,KHAGARIA,ALAULI,0,0,0,1,1
BIHAR,KHAGARIA,CHAUTHAM,4,0,0,0,4
BIHAR,KHAGARIA,KHAGARIA,9,22,3,0,34
BIHAR,KHAGARIA,MANSI,7,7,6,0,20
BIHAR,KHAGARIA,PARBATTA,0,3,0,0,3
BIHAR,KISHANGANJ,BAHADURGANJ,2,0,0,2,4
BIHAR,KISHANGANJ,POTHIA,2,0,3,2,7
BIHAR,LAKHISARAI,LAKHISARAI,10,6,0,0,16
BIHAR,LAKHISARAI,SURYAGARAH,4,0,2,5,11
BIHAR,MADHEPURA,MADHEPURA,0,0,1,1,2
BIHAR,MADHEPURA,SINGHESHWAR,1,0,2,3,6
BIHAR,MADHEPURA,UDAKISHUNGANJ,0,0,0,2,2
BIHAR,MADHUBANI,BABUBARHI,0,10,15,0,25
BIHAR,MADHUBANI,JAYNAGAR,17,3,1,3,24
BIHAR,MADHUBANI,JHANJHARPUR,0,1,30,5,36
BIHAR,MADHUBANI,LADANIA,0,0,0,3,3
BIHAR,MADHUBANI,MADHWAPUR,0,0,26,11,37
BIHAR,MADHUBANI,RAJNAGAR,0,1,0,5,6
BIHAR,MADHUBANI,ROHIKA,0,0,0,2,2
BIHAR,MUNGER,BARIYARPUR,0,0,3,0,3
BIHAR,MUNGER,HAWALI KHAGARHPUR,11,0,1,4,16
BIHAR,MUNGER,SADAR MUNGER,0,0,1,0,1
BIHAR,MUZAFFARPUR,AURAI,0,0,2,0,2
BIHAR,MUZAFFARPUR,BANDRA,0,0,0,2,2
BIHAR,MUZAFFARPUR,GAIGHAT,2,2,0,0,4
BIHAR,MUZAFFARPUR,KANTI,0,0,1,0,1
BIHAR,MUZAFFARPUR,KATRA,4,0,1,30,35
BIHAR,MUZAFFARPUR,KURHANI,0,0,0,3,3
BIHAR,MUZAFFARPUR,MORAUL,2,0,0,0,2
BIHAR,MUZAFFARPUR,MOTIPUR,0,0,3,1,4
BIHAR,MUZAFFARPUR,PAROO,0,0,1,1,2
BIHAR,MUZAFFARPUR,SAHEBGANJ,0,0,0,1,1
BIHAR,MUZAFFARPUR,SARAIYA,0,0,0,7,7
BIHAR,NALANDA,ASTHAWAN,2,0,2,6,10
BIHAR,NALANDA,BEN,0,0,2,2,4
BIHAR,NALANDA,BIHARSHARIF,0,0,3,1,4
BIHAR,NALANDA,GIRIYAK,4,1,1,0,6
BIHAR,NALANDA,HARNAUT,0,0,0,5,5
BIHAR,NALANDA,HILSA,9,0,0,2,11
BIHAR,NALANDA,KARAIPARSURAI,0,0,0,5,5
BIHAR,NALANDA,RAJGIR,13,3,7,15,38
BIHAR,NALANDA,SARMERA,0,0,1,0,1
BIHAR,NAWADA,AKBARPUR,0,1,0,1,2
BIHAR,NAWADA,KAWAKOLE,0,0,1,0,1
BIHAR,NAWADA,NARDIGUNJ,0,0,3,0,3
BIHAR,NAWADA,NAWADA,16,1,9,0,26
BIHAR,NAWADA,RAJAULI,0,0,1,0,1
BIHAR,NAWADA,ROH,1,0,2,3,6
BIHAR,NAWADA,SIRDALA,0,0,2,0,2
BIHAR,PATNA,BIHTA,5,0,0,0,5
BIHAR,PATNA,FATUHA,4,0,0,0,4
BIHAR,PATNA,MASAURHI,57,0,1,8,66
BIHAR,PATNA,PALIGANJ,2,0,0,0,2
BIHAR,PATNA,PHULWARI,15,0,0,0,15
BIHAR,PATNA,PUNPUN,0,0,0,1,1
BIHAR,PATNA,SAMPATCHAK,5,0,0,8,13
BIHAR,PURNIA,BAISA,0,0,0,1,1
BIHAR,PURNIA,KRITYANAND NAGAR,3,0,0,0,3
BIHAR,ROHTAS(SASARAM),AKHORIGOLA,0,0,3,0,3
BIHAR,ROHTAS(SASARAM),DEHRI,3,0,0,0,3
BIHAR,ROHTAS(SASARAM),KOCHAS,0,0,0,3,3
BIHAR,ROHTAS(SASARAM),SASARAM,5,0,4,0,9
BIHAR,ROHTAS(SASARAM),SHEOSAGAR,0,0,0,7,7
BIHAR,SAHARSA,KAHARA,15,0,0,0,15
BIHAR,SAHARSA,NAUHATTA,4,0,0,0,4
BIHAR,SAMASTIPUR,BIBHUTIPUR,0,0,0,11,11
BIHAR,SAMASTIPUR,DALSINGHSARAI,0,0,1,9,10
BIHAR,SAMASTIPUR,KALYANPUR,0,0,5,5,10
BIHAR,SAMASTIPUR,KHANPUR,0,0,0,6,6
BIHAR,SAMASTIPUR,MOHIUDDIN NAGAR,1,0,0,1,2
BIHAR,SAMASTIPUR,MORWA,0,1,0,6,7
BIHAR,SAMASTIPUR,ROSERA,0,0,1,4,5
BIHAR,SAMASTIPUR,SAMASTIPUR,0,0,0,4,4
BIHAR,SAMASTIPUR,SARAIRANJAN,0,0,0,2,2
BIHAR,SAMASTIPUR,SHIVAJINAGAR,1,0,0,4,5
BIHAR,SAMASTIPUR,SINGHIA,0,0,0,2,2
BIHAR,SAMASTIPUR,TAJPUR,0,0,2,5,7
BIHAR,SAMASTIPUR,UJIYARPUR,0,0,0,2,2
BIHAR,SAMASTIPUR,VIDHYAPATINAGAR,2,0,0,3,5
BIHAR,SARAN,DARIYAPUR,5,1,1,1,8
BIHAR,SARAN,JALAPUR,4,0,0,1,5
BIHAR,SARAN,MAKER,1,40,0,0,41
BIHAR,SARAN,REVILGANJ,6,0,0,15,21
BIHAR,SARAN,TRAIYA,4,0,0,1,5
BIHAR,SHEKHPURA,ARIYARI,5,0,0,7,12
BIHAR,SHEKHPURA,GHAT KUSUMBHA,0,0,0,2,2
BIHAR,SHEKHPURA,SHEKHPURA,4,0,0,0,4
BIHAR,SHEOHAR,PIPRAHARI,0,0,0,1,1
BIHAR,SITAMARHI,BAJPATTI,0,1,1,8,10
BIHAR,SITAMARHI,BATHNAHA,5,0,0,8,13
BIHAR,SITAMARHI,DUMRA,0,0,0,2,2
BIHAR,SITAMARHI,MEJARGANJ,3,0,0,0,3
BIHAR,SITAMARHI,RIGA,0,0,0,4,4
BIHAR,SITAMARHI,SONWARSA,5,0,0,2,7
BIHAR,SIWAN,ANDER,3,0,2,4,9
BIHAR,SIWAN,BARHARIA,0,0,0,3,3
BIHAR,SIWAN,DARAULI,0,0,2,8,10
BIHAR,SIWAN,GOREAKOTHI,6,0,13,0,19
BIHAR,SIWAN,GUTHANI,1,0,0,27,28
BIHAR,SIWAN,HASANPURA,4,0,3,1,8
BIHAR,SIWAN,HUSSAINGANJ,0,0,4,0,4
BIHAR,SIWAN,JIRADEI,2,7,15,17,41
BIHAR,SIWAN,MAHARAJGANJ,1,0,1,25,27
BIHAR,SIWAN,MAIRWA,0,0,2,0,2
BIHAR,SIWAN,NAUTAN,0,0,13,3,16
BIHAR,SIWAN,RAGHUNATHPUR,1,0,21,0,22
BIHAR,SIWAN,SISWAN,0,0,0,7,7
BIHAR,SIWAN,SIWAN,0,0,6,0,6
BIHAR,SUPAUL,BASANTPUR,0,0,2,0,2
BIHAR,VAISHALI,GORAUL,0,0,0,1,1
BIHAR,VAISHALI,MAHNAR,10,0,0,0,10
BIHAR,VAISHALI,MAHUA,0,0,1,1,2
BIHAR,VAISHALI,PATEPUR,0,0,2,0,2
BIHAR,WEST CHAMPARAN,LAURIA,5,0,0,2,7
BIHAR,WEST CHAMPARAN,MAJHAULIA,0,0,1,0,1
BIHAR,WEST CHAMPARAN,SIKTA,28,0,1,0,29
CHHATTISGARH,BASTER,JAGDALPUR,410,92,261,699,1462
CHHATTISGARH,BASTER,KESHKAL,0,9,0,87,96
CHHATTISGARH,BASTER,KONDAGAON,267,12,36,207,522
CHHATTISGARH,BASTER,NARAYANPUR,2,0,0,177,179
CHHATTISGARH,BILASPUR,BELHA,16,0,5,0,21
CHHATTISGARH,BILASPUR,BILASPUR,32,0,1,0,33
CHHATTISGARH,BILASPUR,KOTA,35,5,8,2,50
CHHATTISGARH,BILASPUR,LORMI,102,2,3,1,108
CHHATTISGARH,BILASPUR,MASTURI,48,1,10,1,60
CHHATTISGARH,BILASPUR,MUNGELI,24,3,0,0,27
CHHATTISGARH,BILASPUR,PENDRA-ROAD,43,1,5,2,51
CHHATTISGARH,BILASPUR,TAKHATPUR,29,0,3,1,33
CHHATTISGARH,DANTEWADA,BEEJAPUR,3,7,0,6,16
CHHATTISGARH,DANTEWADA,BHOPALPATNAM,0,0,2,24,26
CHHATTISGARH,DANTEWADA,DANTEVADA,1,1,0,10,12
CHHATTISGARH,DANTEWADA,KONTA,3,4,16,267,290
CHHATTISGARH,DHAMTARI,DHAMTARI,11,1,13,150,175
CHHATTISGARH,DHAMTARI,KURUD,15,0,0,255,270
CHHATTISGARH,DHAMTARI,NAGARI,22,9,5,239,275
CHHATTISGARH,DURG,BALOD,1,1,0,3,5
CHHATTISGARH,DURG,BEMETARA,36,7,2,168,213
CHHATTISGARH,DURG,BERLA,85,11,0,3,99
CHHATTISGARH,DURG,DHMADHA,96,21,1,51,169
CHHATTISGARH,DURG,DONDILOHAR,51,10,1,205,267
CHHATTISGARH,DURG,DURG,266,13,10,131,420
CHHATTISGARH,DURG,GUNDERDEHI,1,5,5,159,170
CHHATTISGARH,DURG,NAVAGARH,8,2,0,0,10
CHHATTISGARH,DURG,PATAN,519,45,37,52,653
CHHATTISGARH,JANJGIR-CHAMPA,CHAMPA,219,0,1,15,235
CHHATTISGARH,JANJGIR-CHAMPA,DABHARA,68,0,0,4,72
CHHATTISGARH,JANJGIR-CHAMPA,JAIJAIPUR,286,31,1,17,335
CHHATTISGARH,JANJGIR-CHAMPA,JANJGIR,281,2,0,32,315
CHHATTISGARH,JANJGIR-CHAMPA,MALKHARODA,218,2,0,8,228
CHHATTISGARH,JANJGIR-CHAMPA,NAVAGARH,552,0,60,12,624
CHHATTISGARH,JANJGIR-CHAMPA,PAMGARH,534,0,2,3,539
CHHATTISGARH,JANJGIR-CHAMPA,SAKTI,351,0,2,1,354
CHHATTISGARH,JASHPUR,BAGICHA,26,3,0,1,30
CHHATTISGARH,JASHPUR,JASHPUR,108,0,11,1,120
CHHATTISGARH,JASHPUR,KUNKURI,19,0,1,0,20
CHHATTISGARH,JASHPUR,PATHALGAON,345,0,1,7,353
