-----
{
 "description": "The table refers to District wise Culturable Command Area and Potential Created through Surface Lift Schemes. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.12.csv", 
 "title": "Download CSV for Districtwise Culturable Command Area and Potential Created through Surface Lift Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.12.csv"
}
-----
"State","District","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total - Irrigation potential created"
"JHARKHAND","DHANBAD",1125,884,536,21,2,1442
"JHARKHAND","DUMKA",2259,1846,797,76,61,2779
"JHARKHAND","GARHWA",592,362,326,6,5,700
"JHARKHAND","GIRIDIH",1125,760,536,37,3,1337
"JHARKHAND","GODDA",26,20,15,7,4,47
"JHARKHAND","GUMLA",325,212,139,6,3,360
"JHARKHAND","HAZARIBAGH",1118,661,501,48,40,1250
"JHARKHAND","JAMTARA",4126,2021,2484,116,131,4752
"JHARKHAND","KODERMA",99,73,35,0,0,108
"JHARKHAND","LATEHAR",4202,3661,1937,500,71,6169
"JHARKHAND","LOHARDAGA",636,463,420,31,15,929
"JHARKHAND","PAKUR",867,6459,6156,19,18,12652
"JHARKHAND","PALAMU",194,178,40,1,6,225
"JHARKHAND","RANCHI",621,461,293,52,10,815
"JHARKHAND","SAHEBGANJ",6026,2559,4259,233,91,7143
"JHARKHAND","SARAIKELA",1001,723,477,172,100,1471
"JHARKHAND","SIMDEGA",733,630,585,20,0,1236
"JHARKHAND","WEST SINGHBHUM",1049,1385,788,55,33,2261
"KARNATAKA","Bagalkote",40147,18409,4002,22031,4669,49111
"KARNATAKA","Bangalore",991,551,112,100,326,1089
"KARNATAKA","Bangalore Rural",1526,1194,5,183,285,1667
"KARNATAKA","Belgaum",57235,32034,8910,22013,1892,64849
"KARNATAKA","Bellary",52784,53273,537,12,99,53921
"KARNATAKA","Bidar",4439,3406,508,639,27,4580
"KARNATAKA","Bijapur",18916,8229,3375,9778,827,22209
"KARNATAKA","Chamaraja Nagara",1009,864,0,145,0,1009
"KARNATAKA","Chikmagalur",12918,3540,4,3941,5512,12997
"KARNATAKA","Chitradurga",2310,2226,8,51,49,2334
"KARNATAKA","Dakshina Kannada",4754,3549,82,1157,36,4824
"KARNATAKA","Davanagere",12400,9594,1787,751,4631,16764
"KARNATAKA","Dharwar",2165,1710,975,10,60,2754
"KARNATAKA","Gadag",5738,5043,1683,8,733,7467
