-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes by Status. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.6.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes by Status", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.6.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,In use,Not in use - Temporarily,Not in use - Salinity,Not in use - Dried up,Not in use - Destroyed,Not in use - Others,Total - Not in use,Grand total ( Use  + Not in use)
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,7,2,0,0,0,82,84,91
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,3,0,0,0,0,0,0,3
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,1,11,0,6,0,0,17,18
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,7,33,0,1,0,2,36,43
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,0,13,0,0,0,0,13,13
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,3,16,0,6,0,0,22,25
ANDHRA PRADESH,ANANTHAPUR,RODDAM,7,65,0,3,0,1,69,76
ANDHRA PRADESH,ANANTHAPUR,ROLLA,5,19,0,0,0,0,19,24
ANDHRA PRADESH,ANANTHAPUR,SETTUR,11,0,0,0,0,2,2,13
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,15,10,0,34,0,0,44,59
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,45,5,0,0,0,0,5,50
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,0,0,0,58,0,0,58,58
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,3,4,0,9,7,0,20,23
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,5,58,0,0,0,5,63,68
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,37,55,0,1,0,0,56,93
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,40,31,0,14,1,0,46,86
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,7,18,0,2,0,0,20,27
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,2,0,0,0,0,0,0,2
ANDHRA PRADESH,ANANTHAPUR,YADIKI,2,20,0,11,0,0,31,33
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,4,0,0,6,0,1,7,11
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,4,166,0,0,0,0,166,170
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,151,13,0,0,0,0,13,164
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,37,39,0,3,1,0,43,80
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,82,0,0,0,0,0,0,82
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,6,6,21,0,0,0,27,33
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,2,176,1,0,0,0,177,179
ANDHRA PRADESH,CHITTOOR,CHITTOOR,63,2,0,1,0,0,3,66
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,115,122,0,13,0,0,135,250
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,0,114,0,0,0,0,114,114
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,186,0,0,0,0,0,0,186
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,172,0,5,0,0,0,5,177
ANDHRA PRADESH,CHITTOOR,GUDIPALA,6,41,0,0,0,0,41,47
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,0,112,0,0,0,0,112,112
ANDHRA PRADESH,CHITTOOR,IRALA,76,34,0,1,0,0,35,111
ANDHRA PRADESH,CHITTOOR,K V P PURAM,92,6,0,0,1,0,7,99
ANDHRA PRADESH,CHITTOOR,KALAKADA,0,115,0,0,0,0,115,115
ANDHRA PRADESH,CHITTOOR,KALIKIRI,1,152,0,0,0,0,152,153
