-----
{
 "description": "The table refers to Block wise Culturable Command Area and Potential Created through Shallow Tubewells. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.12.csv", 
 "title": "Download CSV for Blockwise Culturable Command Area and Potential Created through Shallow Tubewells", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.12.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others,Total
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,518,310,208,0,0,518
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,104,87,63,11,0,161
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,1976,1146,720,806,1,2672
ANDHRA PRADESH,ANANTHAPUR,GOOTY,868,573,459,43,0,1074
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,536,334,204,1,0,539
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,375,272,211,84,0,567
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,1071,1033,660,3,0,1696
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,951,884,591,5,0,1481
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,1137,853,425,343,1,1622
ANDHRA PRADESH,ANANTHAPUR,KADIRI,510,317,195,0,0,512
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,753,623,463,27,0,1113
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,813,535,454,0,0,989
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,817,482,330,28,11,852
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,2049,1772,1540,12,0,3323
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,369,210,200,88,0,498
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,665,535,404,77,0,1015
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,245,213,154,0,0,367
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,1479,1087,512,199,0,1799
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,739,505,473,86,6,1070
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,380,386,224,2,0,613
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,614,494,485,0,0,979
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,395,378,212,52,0,642
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,427,363,267,0,0,631
ANDHRA PRADESH,ANANTHAPUR,NARPALA,751,506,287,221,3,1017
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,438,200,198,180,0,578
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,1372,1032,724,322,0,2079
ANDHRA PRADESH,ANANTHAPUR,PARIGI,1017,764,532,168,2,1466
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,3923,1892,1089,2056,0,5036
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,1335,1237,625,162,73,2096
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,684,585,279,11,0,875
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,4639,1531,1579,3063,0,6173
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,337,234,209,55,0,499
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,540,504,383,9,1,897
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,891,689,493,108,0,1290
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,1576,1491,1015,0,7,2513
ANDHRA PRADESH,ANANTHAPUR,RODDAM,2573,2236,1534,273,0,4043
ANDHRA PRADESH,ANANTHAPUR,ROLLA,772,655,639,128,0,1422
ANDHRA PRADESH,ANANTHAPUR,SETTUR,172,165,134,0,0,299
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,1061,644,369,342,0,1355
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,625,382,181,86,13,662
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,655,417,294,95,0,806
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,1744,1127,989,622,0,2737
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,628,628,298,2,0,928
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,331,227,223,0,0,451
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,240,215,105,0,0,320
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,318,278,222,12,0,511
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,336,378,34,0,0,411
ANDHRA PRADESH,ANANTHAPUR,YADIKI,1939,1127,710,767,0,2604
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,3390,1804,1597,1573,0,4974
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,174,159,64,1,4,228
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,432,310,208,85,2,605
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,143,139,29,0,0,168
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,258,106,146,5,0,258
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,127,109,54,0,0,163
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,1264,1219,1107,1,0,2327
ANDHRA PRADESH,CHITTOOR,CHITTOOR,89,56,16,18,0,89
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,127,122,90,0,0,212
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,194,161,117,0,0,277
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,110,102,71,0,0,173
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,7,4,3,0,0,7
ANDHRA PRADESH,CHITTOOR,GUDIPALA,59,32,29,0,0,62
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,56,54,33,0,0,87
ANDHRA PRADESH,CHITTOOR,K V P PURAM,922,240,861,11,0,1112
ANDHRA PRADESH,CHITTOOR,KALAKADA,446,370,294,0,0,664
ANDHRA PRADESH,CHITTOOR,KALIKIRI,450,298,261,0,0,558
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,180,169,172,0,0,341
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,1086,906,713,0,0,1619
ANDHRA PRADESH,CHITTOOR,KUPPAM,38,24,19,0,0,43
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,149,139,67,0,0,206
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,744,628,522,1,0,1151
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,117,74,66,0,0,141
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,657,514,520,39,0,1073
ANDHRA PRADESH,CHITTOOR,NAGARI,933,405,528,0,0,933
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,509,186,248,116,12,562
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,179,159,123,0,0,282
ANDHRA PRADESH,CHITTOOR,NINDRA,983,550,641,0,0,1191
ANDHRA PRADESH,CHITTOOR,PAKALA,473,482,364,78,0,924
ANDHRA PRADESH,CHITTOOR,PALAMANER,188,169,133,0,0,302
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,163,125,120,0,0,246
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,240,173,114,1,0,288
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,68,64,65,0,0,129
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,212,116,94,2,0,212
ANDHRA PRADESH,CHITTOOR,PENUMURU,108,91,56,0,0,147
ANDHRA PRADESH,CHITTOOR,PICHATUR,328,131,171,26,0,328
ANDHRA PRADESH,CHITTOOR,PILERU,72,71,48,0,0,120
ANDHRA PRADESH,CHITTOOR,PULICHERLA,112,112,112,0,0,224
ANDHRA PRADESH,CHITTOOR,PUNGANUR,281,259,146,0,0,405
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,1002,748,515,18,16,1296
ANDHRA PRADESH,CHITTOOR,PUTTUR,648,459,326,91,0,876
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,142,136,57,0,0,192
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,826,825,826,0,0,1651
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,113,54,58,0,0,113
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,671,452,554,0,0,1006
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,113,112,119,0,0,231
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,23,18,8,0,0,26
ANDHRA PRADESH,CHITTOOR,SODAM,79,63,61,0,0,125
ANDHRA PRADESH,CHITTOOR,SOMALA,82,65,69,1,0,135
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,699,168,688,1,0,857
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,501,293,263,4,1,560
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,967,908,958,1,0,1868
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,1388,1202,1140,2,0,2343
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,40,30,26,0,0,56
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,1116,988,996,0,0,1984
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,597,540,244,4,0,788
ANDHRA PRADESH,CHITTOOR,VAYALPAD,124,70,63,1,0,134
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,803,486,508,0,0,994
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,102,68,42,0,0,111
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,1001,157,171,691,2,1021
ANDHRA PRADESH,CHITTOOR,YADAMARI,36,22,14,0,0,36
ANDHRA PRADESH,CHITTOOR,YERPEDU,2177,1427,1640,105,0,3172
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,450,331,362,1,0,694
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,170,153,124,1,2,280
ANDHRA PRADESH,CUDDAPAH,ATLUR,232,205,222,0,0,427
ANDHRA PRADESH,CUDDAPAH,B KODUR,2,2,2,0,0,5
ANDHRA PRADESH,CUDDAPAH,BADVEL,234,189,140,0,0,329
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,115,92,53,0,2,147
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,733,614,570,232,0,1416
ANDHRA PRADESH,CUDDAPAH,CHAPAD,3633,3630,1802,0,0,5432
ANDHRA PRADESH,CUDDAPAH,CHENNUR,767,766,221,0,0,987
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,27,24,12,0,0,36
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,131,58,121,0,0,180
ANDHRA PRADESH,CUDDAPAH,CHITVEL,461,258,203,0,0,461
ANDHRA PRADESH,CUDDAPAH,DUVVUR,426,455,392,0,0,847
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,94,92,65,0,0,157
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,19,19,19,0,0,38
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,1140,1086,555,46,0,1687
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,2929,2917,2772,0,0,5689
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,1506,1472,1052,0,0,2523
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,2252,2251,1414,0,0,3665
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,111,95,66,10,0,171
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,725,725,59,0,0,784
ANDHRA PRADESH,CUDDAPAH,NANDALUR,372,345,200,0,0,545
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,573,571,270,0,0,841
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,459,311,65,83,0,459
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,4965,4721,3387,220,0,8328
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,972,752,568,78,11,1410
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,2604,2600,1602,0,0,4202
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,270,268,268,2,0,538
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,364,334,312,49,0,695
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,681,681,202,0,0,883
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,66,62,56,3,0,121
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,3655,3501,2976,37,0,6514
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,49,32,27,0,0,59
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,1956,1956,1956,0,0,3911
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,675,639,597,1,19,1256
ANDHRA PRADESH,CUDDAPAH,THANDUR,30,30,19,0,0,48
ANDHRA PRADESH,CUDDAPAH,VALLUR,1000,953,657,0,0,1609
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,1497,1496,1301,107,0,2903
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,1881,1846,1120,3,0,2969
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,2670,2210,1548,253,0,4011
ANDHRA PRADESH,CUDDAPAH,VEMULA,548,451,306,88,30,874
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,28,18,17,0,3,39
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,767,738,533,0,0,1271
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,51,45,37,6,0,88
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,1436,1,1,1435,0,1437
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,1871,175,1056,735,50,2015
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,140,0,0,136,4,140
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,781,0,0,781,0,781
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,2421,9,20,2420,580,3028
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHI,423,423,423,0,0,847
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,3377,594,1845,993,2,3434
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,232,232,232,0,0,463
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,392,341,40,0,28,409
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,47,47,5,0,0,52
ANDHRA PRADESH,EAST GODAVARI,I POLAVARAM,64,39,0,26,0,65
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,432,428,0,4,0,432
ANDHRA PRADESH,EAST GODAVARI,KADIAM,3439,1476,1911,1573,8,4967
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,125,125,125,0,0,250
ANDHRA PRADESH,EAST GODAVARI,KAKINADA (RURAL),155,86,124,2,0,212
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,3189,1281,1857,396,0,3533
ANDHRA PRADESH,EAST GODAVARI,KARAPA,108,108,108,0,0,216
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,2259,1224,534,1060,0,2818
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,712,473,111,188,0,771
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,466,466,0,0,0,466
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLI,70,7,63,0,0,70
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,2965,563,829,2140,0,3532
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,821,1,0,820,0,821
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,707,0,7,624,81,713
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,2638,1589,1643,7,19,3258
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,959,126,758,87,0,971
ANDHRA PRADESH,EAST GODAVARI,P GANNAVARAM,1790,0,0,1790,0,1790
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,1173,1108,1076,0,0,2184
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,479,481,478,0,0,958
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,987,566,49,423,11,1050
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,1859,1795,401,60,5,2260
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,862,885,12,0,0,897
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),642,608,596,51,0,1255
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,506,487,336,24,0,847
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,1831,1720,1715,0,0,3435
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,96,93,96,3,0,193
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,2766,2011,1142,522,0,3675
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,1447,1440,1440,0,0,2879
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,366,137,139,255,25,555
ANDHRA PRADESH,EAST GODAVARI,SAKHINETIPALLE,71,0,0,53,18,71
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,329,278,148,42,9,477
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,646,442,163,200,4,808
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,2127,959,1246,659,322,3186
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,85,18,0,0,70,88
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,1437,1426,590,83,0,2100
ANDHRA PRADESH,EAST GODAVARI,TUNI,832,561,280,181,7,1030
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,102,0,0,102,0,102
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,3737,1768,1212,1747,41,4768
ANDHRA PRADESH,GUNTUR,ACHAMPETA,145,128,23,0,1,152
ANDHRA PRADESH,GUNTUR,AMARAVATHI,396,399,9,0,0,409
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,400,335,0,213,0,548
ANDHRA PRADESH,GUNTUR,BAPATLA,57,57,4,0,0,60
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,163,147,19,0,0,166
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,1417,1369,722,1,0,2092
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,1681,1681,0,0,0,1681
ANDHRA PRADESH,GUNTUR,CHEBROLE,12,2,2,10,0,15
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,110,114,0,2,0,116
ANDHRA PRADESH,GUNTUR,DACHEPALLE,136,136,61,0,0,197
ANDHRA PRADESH,GUNTUR,DUGGIRALA,1833,855,3,981,19,1858
ANDHRA PRADESH,GUNTUR,EDLAPADU,71,71,0,0,0,71
ANDHRA PRADESH,GUNTUR,GUNTUR,66,53,0,17,0,70
ANDHRA PRADESH,GUNTUR,GURAZALA,108,108,0,0,0,108
ANDHRA PRADESH,GUNTUR,IPURU,82,85,0,0,0,85
ANDHRA PRADESH,GUNTUR,KAREMPUDI,550,550,101,0,0,651
ANDHRA PRADESH,GUNTUR,KARLAPALEM,155,155,0,0,0,155
ANDHRA PRADESH,GUNTUR,KOLLIPARA,2223,1508,168,739,1,2416
ANDHRA PRADESH,GUNTUR,KOLLUR,3508,801,70,2709,0,3580
ANDHRA PRADESH,GUNTUR,KROSURU,26,26,0,0,0,26
ANDHRA PRADESH,GUNTUR,MACHAVARAM,352,340,3,11,0,354
ANDHRA PRADESH,GUNTUR,MACHERLA,254,303,0,0,0,303
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,1802,917,34,887,3,1842
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,3,2,2,1,0,4
ANDHRA PRADESH,GUNTUR,NADENDLA,11,11,0,0,0,11
ANDHRA PRADESH,GUNTUR,NAGARAM,79,78,1,0,0,79
ANDHRA PRADESH,GUNTUR,NAKARIKALLU,90,89,63,0,0,153
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,8,8,0,0,0,8
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,3,3,3,0,0,5
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,98,97,69,0,0,166
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,146,0,0,146,0,146
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,118,118,0,0,0,118
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,2,1,0,1,0,2
ANDHRA PRADESH,GUNTUR,PONNUR,1145,895,2,339,0,1236
ANDHRA PRADESH,GUNTUR,PRATHIPADU,44,44,0,0,0,44
ANDHRA PRADESH,GUNTUR,RAJUPALEM,53,47,0,8,0,56
ANDHRA PRADESH,GUNTUR,RENTACRINTALA,74,69,0,5,0,74
ANDHRA PRADESH,GUNTUR,REPALLE,161,161,0,0,0,161
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,1,1,1,0,0,2
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,1,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,25,1,0,24,0,25
ANDHRA PRADESH,GUNTUR,TADIKONDA,807,802,2,8,2,815
ANDHRA PRADESH,GUNTUR,TENALI,597,0,0,597,0,597
ANDHRA PRADESH,GUNTUR,THADEPALLE,1428,877,901,425,0,2203
ANDHRA PRADESH,GUNTUR,THULLUR,2384,437,755,1973,0,3164
ANDHRA PRADESH,GUNTUR,TSUNDUR,809,676,0,133,0,809
ANDHRA PRADESH,GUNTUR,VEMURU,605,981,304,67,0,1351
ANDHRA PRADESH,GUNTUR,VINUKONDA,15,15,0,0,0,15
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,1125,1069,639,8,0,1716
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,80,75,67,4,0,146
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,347,306,171,0,0,477
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,367,265,181,63,24,533
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,418,413,380,0,0,793
ANDHRA PRADESH,KARIMNAGAR,DHARMAPURI,28,28,17,0,0,45
ANDHRA PRADESH,KARIMNAGAR,ELKATHURTHI,268,262,145,0,0,407
ANDHRA PRADESH,KARIMNAGAR,ELLANTHAKUNTA,946,770,547,3,0,1321
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,879,851,842,0,0,1693
ANDHRA PRADESH,KARIMNAGAR,HUSNABAD,768,727,578,9,0,1314
ANDHRA PRADESH,KARIMNAGAR,HUZURABAD,2,2,1,0,0,3
ANDHRA PRADESH,KARIMNAGAR,IBRAHIMPATNAM,253,246,173,2,0,421
